# Name			NumRecords	NumBases	MedianLength	MinLength	MaxLength	LB95Len	UB95Len	MedianQV	MinQV	MaxQV	LB95QV	UB95QV
0159.AQ29.10034.20171121.ST	F	raw	5196	1301704	251	247	251	249	251	38	12	39	15	39
0159.AQ29.10034.20171121.ST	F	dust	5195	1301455	251	247	251	249	251	38	12	39	15	39
0159.AQ29.10034.20171121.ST	F	qvtrim	3920	981537	251	189	251	249	251	38	12	39	33	39
0159.AQ29.10034.20171121.ST	F	seq_adapt_trim	3920	981501	251	189	251	249	251	38	12	39	32	39
0159.AQ29.10034.20171121.ST	F	primer_trim	3920	981495	251	189	251	249	251	38	12	39	33	39
0159.AQ29.10034.20171121.ST	R	raw	5196	1298611	250	249	251	249	251	38	12	39	15	39
0159.AQ29.10034.20171121.ST	R	dust	5185	1295850	250	249	251	249	251	38	12	40	15	39
0159.AQ29.10034.20171121.ST	R	qvtrim	3527	881103	250	220	251	249	250	38	12	40	32	39
0159.AQ29.10034.20171121.ST	R	seq_adapt_trim	3527	881094	250	220	251	249	250	38	12	39	32	39
0159.AQ29.10034.20171121.ST	R	primer_trim	3527	881078	250	220	251	249	250	38	12	39	33	39
0159.AQ29.10034.20171121.ST	for_frag	merged	660	165050	250	189	251	248	251	38	12	39	30	39
0159.AQ29.10034.20171121.ST	rev_frag	merged	267	66671	250	220	251	249	250	38	20	39	31	39
0159.AQ29.10034.20171121.ST	paired	merged	6520	1630852	250	236	251	249	251	38	12	39	33	39
0159.AY44.33069.20171018.ST	F	raw	28026	7012679	251	246	251	249	251	38	12	39	15	39
0159.AY44.33069.20171018.ST	F	dust	27999	7005920	251	246	251	249	251	38	12	39	15	39
0159.AY44.33069.20171018.ST	F	qvtrim	21021	5257937	251	198	251	249	251	38	12	39	33	39
0159.AY44.33069.20171018.ST	F	seq_adapt_trim	21021	5257685	251	198	251	248	251	38	12	39	33	39
0159.AY44.33069.20171018.ST	F	primer_trim	21021	5257564	251	198	251	248	251	38	12	39	33	39
0159.AY44.33069.20171018.ST	R	raw	28026	6999787	250	246	251	249	251	38	12	39	14	39
0159.AY44.33069.20171018.ST	R	dust	27899	6967936	250	246	251	249	251	38	12	39	14	39
0159.AY44.33069.20171018.ST	R	qvtrim	17435	4352081	250	196	251	249	250	38	12	39	32	39
0159.AY44.33069.20171018.ST	R	seq_adapt_trim	17435	4351922	250	196	251	249	250	38	12	39	32	39
0159.AY44.33069.20171018.ST	R	primer_trim	17435	4351835	250	196	251	249	250	38	12	39	32	39
0159.AY44.33069.20171018.ST	for_frag	merged	4271	1067016	250	200	251	247	251	38	12	39	32	39
0159.AY44.33069.20171018.ST	rev_frag	merged	685	170914	250	211	251	249	250	38	12	39	27	39
0159.AY44.33069.20171018.ST	paired	merged	33500	8371469	250	196	251	249	251	38	12	39	33	39
