# Name			NumRecords	NumBases	MedianLength	MinLength	MaxLength	LB95Len	UB95Len	MedianQV	MinQV	MaxQV	LB95QV	UB95QV
0159.AY44.32002.20171110.ST	F	raw	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	F	dust	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	F	qvtrim	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	F	seq_adapt_trim	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	F	primer_trim	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	R	raw	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	R	dust	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	R	qvtrim	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	R	seq_adapt_trim	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	R	primer_trim	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	for_frag	merged	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	rev_frag	merged	0	0				NA	NA				NA	NA
0159.AY44.32002.20171110.ST	paired	merged	0	0				NA	NA				NA	NA
