# Name			NumRecords	NumBases	MedianLength	MinLength	MaxLength	LB95Len	UB95Len	MedianQV	MinQV	MaxQV	LB95QV	UB95QV
0159.AY44.33058.20171011.ST	F	raw	18563	4657476	251	248	251	250	251	37	12	39	15	39
0159.AY44.33058.20171011.ST	F	dust	18537	4650960	251	248	251	250	251	37	12	39	15	39
0159.AY44.33058.20171011.ST	F	qvtrim	14145	3547391	251	186	251	250	251	38	12	39	33	39
0159.AY44.33058.20171011.ST	F	seq_adapt_trim	14145	3547151	251	186	251	250	251	38	12	39	33	39
0159.AY44.33058.20171011.ST	F	primer_trim	14145	3547053	251	186	251	250	251	38	12	39	33	39
0159.AY44.33058.20171011.ST	R	raw	18563	4640692	250	246	251	249	251	38	12	39	14	39
0159.AY44.33058.20171011.ST	R	dust	18506	4626399	250	246	251	249	251	38	12	39	14	39
0159.AY44.33058.20171011.ST	R	qvtrim	11631	2906722	250	201	251	249	250	38	12	39	32	39
0159.AY44.33058.20171011.ST	R	seq_adapt_trim	11631	2906670	250	201	251	249	250	38	12	39	32	39
0159.AY44.33058.20171011.ST	R	primer_trim	11631	2906588	250	201	251	249	250	38	12	39	32	39
0159.AY44.33058.20171011.ST	for_frag	merged	2932	734776	251	186	251	249	251	37	12	39	31	39
0159.AY44.33058.20171011.ST	rev_frag	merged	418	104347	250	201	251	249	250	38	12	39	30	39
0159.AY44.33058.20171011.ST	paired	merged	22426	5614518	250	212	251	249	251	38	12	39	33	39
