Taxonomy	GO:0036094	GO:0097159	GO:0030246	GO:0005515	GO:0033218	GO:0044877	GO:0097367	GO:0008289	GO:0016597	GO:0043176	GO:0051192	GO:0042277
(Carnobacteriaceae)	0.00027176	0	0	0	0	0	0	0	0	0	0	0
(Eubacteriales_Family_XIII._Incertae_Sedis)	0.00027176	0	0	0	0	0	0	0	0	0	0	0
(Actinomycetales)	0.00020382	0	0	0	0	0	0	0	0	0	0	0
(Burkholderiaceae)	0.00020382	0	0	0	0	0	0	0	0	0	0	0
(Eggerthellaceae)	0	0.00020382	0	0	0	0	0	0	0	0	0	0
(Erysipelotrichaceae)	0.00010191	0.00010191	0	0	0	0	0	0	0	0	0	0
(Pyrinomonadaceae)	0.00020382	0	0	0	0	0	0	0	0	0	0	0
(Tissierellia)	0.00010191	0.00010191	0	0	0	0	0	0	0	0	0	0
Candidatus_Saccharimonas	0.00010191	0.00010191	0	0	0	0	0	0	0	0	0	0
Catonella	0	0.00020382	0	0	0	0	0	0	0	0	0	0
Fretibacterium	0.00010191	0.00010191	0	0	0	0	0	0	0	0	0	0
Lautropia	0.00020382	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus	0.00020382	0	0	0	0	0	0	0	0	0	0	0
Mogibacterium	0.00020382	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus	0.00020382	0	0	0	0	0	0	0	0	0	0	0
Schaalia	0	0.00020382	0	0	0	0	0	0	0	0	0	0
Simonsiella	0.00010191	0.00010191	0	0	0	0	0	0	0	0	0	0
Tannerella	0	0.00020382	0	0	0	0	0	0	0	0	0	0
(Candidatus_Absconditabacteria)	0	0.00013588	0	0	0	0	0	0	0	0	0	0
Solobacterium	0	0.00013588	0	0	0	0	0	0	0	0	0	0
