OTU	Size	Taxonomy
Otu0416	1	Bacteria
Otu0417	1	Bacteria
Otu0418	1	Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella
Otu0419	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0420	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0421	1	Bacteria
Otu0422	1	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu0423	1	Bacteria Bacteroidetes
Otu0424	1	Bacteria Firmicutes Negativicutes Selenomonadales
Otu0425	1	Bacteria
Otu0426	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0427	1	Bacteria Firmicutes Bacilli
Otu0428	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0429	1	Bacteria
Otu0430	1	Bacteria
Otu0431	1	Bacteria
Otu0432	1	Bacteria Fusobacteria Fusobacteria Fusobacteriales Leptotrichiaceae Leptotrichia
Otu0433	1	Bacteria Firmicutes
Otu0434	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0435	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0436	1	Bacteria
Otu0437	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0438	1	Bacteria
Otu0439	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0440	1	Bacteria Proteobacteria
Otu0441	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0442	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae
Otu0443	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0444	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0445	1	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0446	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella
Otu0447	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0448	1	Bacteria Bacteroidetes
Otu0449	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0450	1	Bacteria Proteobacteria
Otu0451	1	Bacteria
Otu0452	1	Bacteria Bacteroidetes
Otu0453	1	Bacteria Gemmatimonadetes Gemmatimonadetes Gemmatimonadales Gemmatimonadaceae Gemmatimonas
Otu0454	1	Bacteria
Otu0455	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0456	1	Bacteria
Otu0457	1	Bacteria
Otu0458	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0459	1	Bacteria Proteobacteria Alphaproteobacteria
Otu0460	1	Bacteria Proteobacteria Betaproteobacteria
Otu0461	1	Bacteria
Otu0462	1	Bacteria
Otu0463	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0464	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0465	1	Bacteria Bacteroidetes
Otu0466	1	Bacteria Firmicutes Negativicutes Selenomonadales
Otu0467	1	Bacteria
Otu0468	1	Bacteria
Otu0469	1	Bacteria Proteobacteria Betaproteobacteria
Otu0470	1	Bacteria Firmicutes
Otu0471	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0472	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0473	1	Bacteria
Otu0474	1	Bacteria
Otu0475	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0476	1	Bacteria Proteobacteria
Otu0477	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0478	1	Bacteria
Otu0479	1	Bacteria
Otu0480	1	Bacteria
Otu0481	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0482	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae
Otu0483	1	Bacteria Proteobacteria
Otu0484	1	Bacteria
Otu0485	1	Bacteria
Otu0486	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Dermacoccaceae Dermacoccus
Otu0487	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0488	1	Bacteria
Otu0489	1	Bacteria Proteobacteria
Otu0490	1	Bacteria
Otu0491	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae
Otu0492	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Negativicoccus
Otu0493	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0494	1	Bacteria
Otu0495	1	Bacteria
Otu0496	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0497	1	Bacteria Proteobacteria
Otu0498	1	Bacteria Firmicutes Bacilli
Otu0499	1	Bacteria Firmicutes
Otu0500	1	Bacteria Firmicutes Bacilli
Otu0501	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Dermacoccaceae Dermacoccus
Otu0502	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0503	1	Bacteria
Otu0504	1	Bacteria Firmicutes
Otu0505	1	Bacteria
Otu0506	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Alcaligenes
Otu0507	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0508	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Delftia
Otu0509	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0510	1	Bacteria Proteobacteria
Otu0511	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0512	1	Bacteria
Otu0513	1	Bacteria Proteobacteria
Otu0514	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0515	1	Bacteria
Otu0516	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Negativicoccus
Otu0517	1	Bacteria
Otu0518	1	Bacteria Firmicutes
Otu0519	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0520	1	Bacteria Proteobacteria Gammaproteobacteria
Otu0521	1	Bacteria
Otu0522	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0523	1	Bacteria Proteobacteria Alphaproteobacteria Sphingomonadales
Otu0524	1	Bacteria Proteobacteria Epsilonproteobacteria Campylobacterales
Otu0525	1	Bacteria Firmicutes Bacilli Bacillales
Otu0526	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0527	1	Bacteria
Otu0528	1	Bacteria
Otu0529	1	Bacteria
Otu0530	1	Bacteria Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_XII Exiguobacterium
Otu0531	1	Bacteria
Otu0532	1	Bacteria Firmicutes
Otu0533	1	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu0534	1	Bacteria Proteobacteria
Otu0535	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0536	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae
Otu0537	1	Bacteria
Otu0538	1	Bacteria Proteobacteria Gammaproteobacteria
Otu0539	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae Granulicatella
Otu0540	1	Bacteria
Otu0541	1	Bacteria
Otu0542	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae Capnocytophaga
Otu0543	1	Bacteria
Otu0544	1	Bacteria Firmicutes
Otu0545	1	Bacteria Proteobacteria
Otu0546	1	Bacteria
Otu0547	1	Bacteria
Otu0548	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae
Otu0549	1	Bacteria
Otu0550	1	Bacteria Proteobacteria Betaproteobacteria
Otu0551	1	Bacteria
Otu0552	1	Bacteria Firmicutes
Otu0553	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Negativicoccus
Otu0554	1	Bacteria
Otu0555	1	Bacteria
Otu0556	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0557	1	Bacteria Proteobacteria
Otu0558	1	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0559	1	Bacteria
Otu0560	1	Bacteria Actinobacteria Actinobacteria
Otu0561	1	Bacteria
Otu0562	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0563	1	Bacteria
Otu0564	1	Bacteria Proteobacteria
Otu0565	1	Bacteria
Otu0566	1	Bacteria
Otu0567	1	Bacteria
Otu0568	1	Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella
Otu0569	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0570	1	Bacteria
Otu0571	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae
Otu0572	1	Bacteria Proteobacteria
Otu0573	1	Bacteria
Otu0574	1	Bacteria
Otu0575	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0576	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0577	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0578	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae Trichococcus
Otu0579	1	Bacteria
Otu0580	1	Bacteria Proteobacteria
Otu0581	1	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu0582	1	Bacteria Proteobacteria
Otu0583	1	Bacteria
Otu0584	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0585	1	Bacteria
Otu0586	1	Bacteria Firmicutes Bacilli
Otu0587	1	Bacteria
Otu0588	1	Bacteria Proteobacteria
Otu0589	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae
Otu0590	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0591	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Anaerococcus
Otu0592	1	Bacteria
Otu0593	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0594	1	Bacteria
Otu0595	1	Bacteria Proteobacteria Alphaproteobacteria
Otu0596	1	Bacteria
Otu0597	1	Bacteria
Otu0598	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Tannerella
Otu0599	1	Bacteria
Otu0600	1	Bacteria Proteobacteria
Otu0601	1	Bacteria
Otu0602	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Micrococcaceae
Otu0603	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0604	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0605	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0606	1	Bacteria
Otu0607	1	Bacteria Firmicutes
Otu0608	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0609	1	Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella
Otu0610	1	Bacteria
Otu0611	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0612	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales
Otu0613	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0614	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae
Otu0615	1	Bacteria Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae Enhydrobacter
Otu0616	1	Bacteria Firmicutes
Otu0617	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu0618	1	Bacteria
Otu0619	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Spirosoma
Otu0620	1	Bacteria
Otu0621	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae
Otu0622	1	Bacteria
Otu0623	1	Bacteria Bacteroidetes
Otu0624	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0625	1	Bacteria
Otu0626	1	Bacteria Firmicutes Bacilli
Otu0627	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu0628	1	Bacteria Firmicutes Bacilli Bacillales Paenibacillaceae_1 Paenibacillus
Otu0629	1	Bacteria Actinobacteria Actinobacteria
Otu0630	1	Bacteria
Otu0631	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0632	1	Bacteria
Otu0633	1	Bacteria Proteobacteria Alphaproteobacteria Alphaproteobacteria_incertae_sedis Geminicoccus
Otu0634	1	Bacteria
Otu0635	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0636	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0637	1	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu0638	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0639	1	Bacteria Proteobacteria Alphaproteobacteria Alphaproteobacteria_incertae_sedis Geminicoccus
Otu0640	1	Bacteria
Otu0641	1	Bacteria
Otu0642	1	Bacteria Proteobacteria
Otu0643	1	Bacteria Firmicutes
Otu0644	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu0645	1	Bacteria Actinobacteria Actinobacteria
Otu0646	1	Bacteria Proteobacteria Alphaproteobacteria
Otu0647	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0648	1	Bacteria
Otu0649	1	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae Howardella
Otu0650	1	Bacteria Proteobacteria Alphaproteobacteria
Otu0651	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0652	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Nocardioidaceae Marmoricola
Otu0653	1	Bacteria Proteobacteria Gammaproteobacteria
Otu0654	1	Bacteria Proteobacteria
Otu0655	1	Bacteria Bacteroidetes
Otu0656	1	Bacteria Proteobacteria
Otu0657	1	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0658	1	Bacteria
Otu0659	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0660	1	Bacteria
Otu0661	1	Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella
Otu0662	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0663	1	Bacteria
Otu0664	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0665	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0666	1	Bacteria
Otu0667	1	Bacteria
Otu0668	1	Bacteria
Otu0669	1	Bacteria
Otu0670	1	Bacteria Proteobacteria
Otu0671	1	Bacteria
Otu0672	1	Bacteria
Otu0673	1	Bacteria Proteobacteria
Otu0674	1	Bacteria
Otu0675	1	Bacteria Proteobacteria
Otu0676	1	Bacteria
Otu0677	1	Bacteria Proteobacteria Alphaproteobacteria
Otu0678	1	Bacteria
Otu0679	1	Bacteria Proteobacteria
Otu0680	1	Bacteria
Otu0681	1	Bacteria Proteobacteria
Otu0682	1	Bacteria
Otu0683	1	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0684	1	Bacteria
Otu0685	1	Bacteria Proteobacteria
Otu0686	1	Bacteria
Otu0687	1	Bacteria
Otu0688	1	Bacteria
Otu0689	1	Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales
Otu0690	1	Bacteria
Otu0691	1	Bacteria Proteobacteria
Otu0692	1	Bacteria
Otu0693	1	Bacteria
Otu0694	1	Bacteria
Otu0695	1	Bacteria
Otu0696	1	Bacteria Proteobacteria
Otu0697	1	Bacteria
Otu0698	1	Bacteria Proteobacteria
Otu0699	1	Bacteria
Otu0700	1	Bacteria Proteobacteria
Otu0701	1	Bacteria
Otu0702	1	Bacteria
Otu0703	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0704	1	Bacteria
Otu0705	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0706	1	Bacteria Proteobacteria Alphaproteobacteria
Otu0707	1	Bacteria
Otu0708	1	Bacteria Proteobacteria Betaproteobacteria Neisseriales Neisseriaceae
Otu0709	1	Bacteria
Otu0710	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0711	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Alcaligenaceae Advenella
Otu0712	1	Bacteria
Otu0713	1	Bacteria
Otu0714	1	Bacteria
Otu0715	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae
Otu0716	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0717	1	Bacteria Proteobacteria Alphaproteobacteria Rhodospirillales Acetobacteraceae
Otu0718	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0719	1	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu0720	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae
Otu0721	1	Bacteria
Otu0722	1	Bacteria
Otu0723	1	Bacteria Proteobacteria Alphaproteobacteria Rhizobiales
Otu0724	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0725	1	Bacteria
Otu0726	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0727	1	Bacteria
Otu0728	1	Bacteria
Otu0729	1	Bacteria
Otu0730	1	Bacteria
Otu0731	1	Bacteria
Otu0732	1	Bacteria Proteobacteria Gammaproteobacteria Alteromonadales Alteromonadaceae Alishewanella
Otu0733	1	Bacteria Firmicutes Bacilli Bacillales Staphylococcaceae Staphylococcus
Otu0734	1	Bacteria
Otu0735	1	Bacteria Proteobacteria Betaproteobacteria
Otu0736	1	Bacteria
Otu0737	1	Bacteria Cyanobacteria_Chloroplast Chloroplast Chloroplast Streptophyta
Otu0738	1	Bacteria
Otu0739	1	Bacteria
Otu0740	1	Bacteria
Otu0741	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae Granulicatella
Otu0742	1	Bacteria Bacteroidetes
Otu0743	1	Bacteria
Otu0744	1	Bacteria Proteobacteria
Otu0745	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0746	1	Bacteria Bacteroidetes
Otu0747	1	Bacteria
Otu0748	1	Bacteria Fusobacteria Fusobacteria Fusobacteriales
Otu0749	1	Bacteria
Otu0750	1	Bacteria
Otu0751	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0752	1	Bacteria
Otu0753	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0754	1	Bacteria Actinobacteria Actinobacteria
Otu0755	1	Bacteria Bacteroidetes
Otu0756	1	Bacteria
Otu0757	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0758	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Burkholderiaceae Ralstonia
Otu0759	1	Bacteria Actinobacteria Actinobacteria
Otu0760	1	Bacteria
Otu0761	1	Bacteria
Otu0762	1	Bacteria Proteobacteria
Otu0763	1	Bacteria
Otu0764	1	Bacteria
Otu0765	1	Bacteria Firmicutes Bacilli Lactobacillales Carnobacteriaceae
Otu0766	1	Bacteria
Otu0767	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0768	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0769	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI
Otu0770	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0771	1	Bacteria
Otu0772	1	Bacteria Proteobacteria
Otu0773	1	Bacteria Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae
Otu0774	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Propionispora
Otu0775	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Pseudonocardiaceae Actinomycetospora
Otu0776	1	Bacteria
Otu0777	1	Bacteria
Otu0778	1	Bacteria
Otu0779	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0780	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales
Otu0781	1	Bacteria
Otu0782	1	Bacteria
Otu0783	1	Bacteria
Otu0784	1	Bacteria
Otu0785	1	Bacteria
Otu0786	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0787	1	Bacteria
Otu0788	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Selenomonas
Otu0789	1	Bacteria
Otu0790	1	Bacteria Proteobacteria Gammaproteobacteria
Otu0791	1	Bacteria Proteobacteria
Otu0792	1	Bacteria
Otu0793	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae
Otu0794	1	Bacteria
Otu0795	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0796	1	Bacteria Bacteroidetes
Otu0797	1	Bacteria
Otu0798	1	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0799	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae Delftia
Otu0800	1	Bacteria
Otu0801	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0802	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0803	1	Bacteria
Otu0804	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0805	1	Bacteria Proteobacteria
Otu0806	1	Bacteria
Otu0807	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0808	1	Bacteria
Otu0809	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0810	1	Bacteria
Otu0811	1	Bacteria Bacteroidetes
Otu0812	1	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae
Otu0813	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0814	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0815	1	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae Treponema
Otu0816	1	Bacteria
Otu0817	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0818	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0819	1	Bacteria
Otu0820	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0821	1	Bacteria
Otu0822	1	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0823	1	Bacteria
Otu0824	1	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu0825	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0826	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0827	1	Bacteria
Otu0828	1	Bacteria
Otu0829	1	Bacteria
Otu0830	1	Bacteria
Otu0831	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0832	1	Bacteria
Otu0833	1	Bacteria
Otu0834	1	Bacteria Proteobacteria
Otu0835	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0836	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu0837	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0838	1	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Chitinophagaceae
Otu0839	1	Bacteria
Otu0840	1	Bacteria
Otu0841	1	Bacteria
Otu0842	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Microbacteriaceae
Otu0843	1	Bacteria
Otu0844	1	Bacteria
Otu0845	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0846	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Microbacteriaceae
Otu0847	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0848	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae Negativicoccus
Otu0849	1	Bacteria Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XI Anaerococcus
Otu0850	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0851	1	Bacteria Firmicutes Clostridia Clostridiales Incertae_Sedis_XI Murdochiella
Otu0852	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0853	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0854	1	Bacteria
Otu0855	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0856	1	Bacteria
Otu0857	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0858	1	Bacteria Actinobacteria Actinobacteria
Otu0859	1	Bacteria
Otu0860	1	Bacteria Proteobacteria Gammaproteobacteria
Otu0861	1	Bacteria
Otu0862	1	Bacteria Proteobacteria
Otu0863	1	Bacteria
Otu0864	1	Bacteria
Otu0865	1	Bacteria
Otu0866	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae
Otu0867	1	Bacteria
Otu0868	1	Bacteria
Otu0869	1	Bacteria
Otu0870	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Microbacteriaceae Rathayibacter
Otu0871	1	Bacteria Acidobacteria Acidobacteria_Gp1
Otu0872	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0873	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0874	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0875	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Arcanobacterium
Otu0876	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0877	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0878	1	Bacteria Firmicutes Clostridia Clostridiales Incertae_Sedis_XI Murdochiella
Otu0879	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0880	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Otu0881	1	Bacteria Firmicutes Clostridia Clostridiales
Otu0882	1	Bacteria
Otu0883	1	Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Pseudoramibacter
Otu0884	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae
Otu0885	1	Bacteria Acidobacteria Acidobacteria_Gp1 Granulicella
Otu0886	1	Bacteria Actinobacteria Actinobacteria
Otu0887	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae
Otu0888	1	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0889	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0890	1	Bacteria
Otu0891	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
Otu0892	1	Bacteria
Otu0893	1	Bacteria
Otu0894	1	Bacteria
Otu0895	1	Bacteria Firmicutes Bacilli
Otu0896	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0897	1	Bacteria Proteobacteria
Otu0898	1	Bacteria Firmicutes Bacilli
Otu0899	1	Bacteria Bacteroidetes
Otu0900	1	Bacteria Proteobacteria
Otu0901	1	Bacteria Firmicutes Negativicutes Selenomonadales Veillonellaceae
Otu0902	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0903	1	Bacteria Chloroflexi Thermomicrobia Sphaerobacterales Sphaerobacteraceae Sphaerobacter
Otu0904	1	Bacteria Bacteroidetes Bacteroidia Bacteroidales
Otu0905	1	Bacteria
Otu0906	1	Bacteria
Otu0907	1	Bacteria Bacteroidetes
Otu0908	1	Bacteria Deinococcus-Thermus Deinococci Deinococcales Trueperaceae Truepera
Otu0909	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0910	1	Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae
Otu0911	1	Bacteria
Otu0912	1	Bacteria Firmicutes Bacilli Lactobacillales
Otu0913	1	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0914	1	Bacteria Proteobacteria Betaproteobacteria Burkholderiales Comamonadaceae
