OTU	Size	Taxonomy
Otu0084	7	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae
Otu0085	7	Bacteria
Otu0086	6	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Actinomyces
Otu0087	6	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0088	6	Bacteria
Otu0089	6	Bacteria Firmicutes Bacilli Lactobacillales Lactobacillaceae Lactobacillus
Otu0090	6	Bacteria
Otu0091	6	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu0092	6	Bacteria
Otu0093	6	Bacteria Bacteroidetes Flavobacteria Flavobacteriales Flavobacteriaceae
Otu0094	5	Bacteria Proteobacteria Deltaproteobacteria Myxococcales Kofleriaceae Kofleria
Otu0095	5	Bacteria Actinobacteria Actinobacteria
Otu0096	5	Bacteria Bacteroidetes Bacteroidetes_incertae_sedis Ohtaekwangia
Otu0097	5	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0098	5	Bacteria
Otu0099	5	Bacteria
Otu0100	5	Bacteria Proteobacteria Gammaproteobacteria
Otu0101	5	Bacteria
Otu0102	5	Bacteria Firmicutes Clostridia Clostridiales Lachnospiraceae
Otu0103	5	Bacteria Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae Prevotella
Otu0104	5	Bacteria Spirochaetes Spirochaetes Spirochaetales Spirochaetaceae
Otu0105	5	Bacteria Proteobacteria
Otu0106	5	Bacteria Firmicutes Clostridia Clostridiales Peptococcaceae_1 Peptococcus
Otu0107	4	Bacteria Firmicutes Clostridia Clostridiales Eubacteriaceae Eubacterium
Otu0108	4	Bacteria Firmicutes
Otu0109	4	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0110	4	Bacteria Fusobacteria Fusobacteria Fusobacteriales Leptotrichiaceae Sneathia
Otu0111	4	Bacteria Firmicutes Bacilli Bacillales Bacillales_Incertae_Sedis_XI Gemella
Otu0112	4	Bacteria
Otu0113	4	Bacteria
Otu0114	4	Bacteria
Otu0115	4	Bacteria
Otu0116	4	Bacteria
Otu0117	4	Bacteria Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae Porphyromonas
Otu0118	4	Bacteria
Otu0119	4	Bacteria Firmicutes Bacilli Bacillales
Otu0120	4	Bacteria Actinobacteria Actinobacteria Actinomycetales Actinomycetaceae Varibaculum
Otu0121	4	Bacteria Bacteroidetes
Otu0122	4	Bacteria
Otu0123	4	Bacteria
Otu0124	4	Bacteria Firmicutes Clostridia Clostridiales Ruminococcaceae
Otu0125	4	Bacteria Actinobacteria Actinobacteria Actinomycetales Propionibacteriaceae
Otu0126	4	Bacteria
Otu0127	4	Bacteria Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae Haemophilus
Otu0128	4	Bacteria
Otu0129	4	Bacteria Proteobacteria
Otu0130	4	Bacteria Deinococcus-Thermus Deinococci Deinococcales Trueperaceae Truepera
Otu0131	4	Bacteria
Otu0132	4	Bacteria Bacteroidetes Sphingobacteria Sphingobacteriales Cytophagaceae Spirosoma
Otu0133	4	Bacteria Actinobacteria Actinobacteria Actinomycetales
Otu0134	4	Bacteria Proteobacteria
