0215_PT07R_012920_CS	177
0215_BLH20_000000_CS	192
0215_HC13R_092316_CS	213
0215_HC15R_051718_CS	250
0215_HC10R_092316_CS	252
0215_HC13L_092316_CS	317
0215_LYSIS_000000_CS	326
0215_PT21R_000000_CS	382
0215_HC10L_092316_CS	416
0215_HC09R_092316_CS	438
0215_PT01L_081319_CS	441
0215_HC15L_051718_CS_2	455
0215_PT06R_112019_CS	507
0215_HC11R_092316_CS	590
0215_PT01R_081319_CS	592
0215_HC12R_092316_CS	621
0215_HC15L_051718_CS	630
0215_BLAS2_092316_CS	637
0215_HC22L_000000_CS	638
0215_HC13R_092316_CS_2	640
0215_PT06L_112019_CS	685
0215_PT21L_000000_CS	698
0215_BLUS1_092316_CS	796
0215_HC12L_092316_CS	852
0215_BLAS1_092316_CS	860
0215_PT03L_082119_CS	954
0215_PT05R_091719_CS	990
0215_PT08R_051718_CS	1045
0215_HC14R_051718_CS	1046
0215_PT02R_081519_CS	1058
0215_PT04L_091119_CS	1066
0215_HC11R_092316_CS_2	1080
0215_HC17R_052118_CS	1127
0215_HC22R_000000_CS	1152
0215_PT05L_091719_CS	1177
0215_PT08L_051718_CS_2	1243
0215_HC11L_092316_CS	1257
0215_PT08L_051718_CS	1295
0215_HC14L_051718_CS	1423
0215_BLAS1_092316_CS_2	1528
0215_HC17L_052118_CS	1560
0215_PT08R_051718_CS_2	1572
0215_PT20L_000000_CS	1686
0215_HC09L_092316_CS	2009
0215_PT04R_091119_CS	2408
0215_PT02L_081519_CS	2483
0215_PT07L_012920_CS	2570
0215_PT20R_000000_CS	3721
0215_HC16R_051718_CS	5299
0215_HC16L_051718_CS	5541
0215_PT03R_082119_CS	6433
