rxn00179_c0	2.573735	atp[c]+glu-L[c]+h[c]-->adp[c]+glu5p[c]
rxn00199_c0	13.50919	h[c]+oxasucc[c]-->akg[c]+co2[c]
rxn00213_c0	0.243265	g1p[c]+utp[c]-->ppi[c]+udpg[c]
rxn00224_c0	0.0003908795	fe2[c]+ppp9[c]-->(2)h[c]+pheme[c]
rxn00225_c0	363.1408	actp[c]+adp[c]-->ac[c]+atp[c]+h[c]
rxn00250_c0	961.6234	atp[c]+hco3[c]+pyr[c]-->adp[c]+h[c]+oaa[c]+pi[c]
rxn00251_c0	913.6252	(2)h[c]+oaa[c]+pi[c]-->co2[c]+h2o[c]+pep[c]
rxn00272_c0	0.5748228	ala-L[c]+glx[c]-->gly[c]+pyr[c]
rxn00293_c0	0.8098104	acgam1p[c]+utp[c]-->ppi[c]+uacgam[c]
rxn00300_c0	0.007932555	(3)h2o[c]+gtp[c]-->25drapp[c]+for[c]+h[c]+ppi[c]
rxn00337_c0	12.52576	asp-L[c]+atp[c]+h[c]-->4pasp[c]+adp[c]
rxn00338_c0	0.04483618	asp-L[c]+o2[c]-->h2o2[c]+h[c]+iasp[c]
rxn00379_c0	2.870171	atp[c]+h[c]+so4[c]-->aps[c]+ppi[c]
rxn00392_c0	0.007932555	atp[c]+ribflv[c]-->adp[c]+fmn[c]
rxn00410_c0	1.808622	atp[c]+nh4[c]+utp[c]-->(2)h[c]+adp[c]+ctp[c]+pi[c]
rxn00414_c0	7.25385	(2)atp[c]+gln-L[c]+h2o[c]+hco3[c]-->(2)adp[c]+cbp[c]+glu-L[c]+h[c]+pi[c]
rxn00416_c0	2.80771	asp-L[c]+atp[c]+gln-L[c]+h2o[c]-->amp[c]+asn-L[c]+glu-L[c]+ppi[c]
rxn00420_c0	19.3996	h2o[c]+pser-L[c]-->h[c]+pi[c]+ser-L[c]
rxn00440_c0	0.003908795	atp[c]+thm[c]-->amp[c]+thmpp[c]
rxn00461_c0	0.3005174	pep[c]+uacgam[c]-->h[c]+pi[c]+uaccg[c]
rxn00470_c0	0.40548	h[c]+orn[c]-->co2[c]+ptrc[c]
rxn00474_c0	999.3566	h2o[c]+trp-L[c]-->indole[c]+ser-L[c]
rxn00545_c0	1000	atp[c]+f6p[c]-->adp[c]+fdp[c]
rxn00548_c0	363.1408	f6p[c]+h[c]+pi[c]-->actp[c]+e4p[c]+h2o[c]
rxn00567_c0	82.91018	(2)h[c]+focytc[c]+no2[c]-->ficytc[c]+h2o[c]+no[c]
rxn00649_c0	1.056858	acser[c]+h2s[c]-->ac[c]+cys-L[c]+h[c]
rxn00693_c0	1.825039	5mthf[c]+hcys-L[c]-->met-L[c]+thf[c]
rxn00695_c0	1000	adpglc[c]+ppi[c]-->atp[c]+g1p[c]
rxn00726_c0	0.6434337	chor[c]+nh4[c]-->anth[c]+h2o[c]+h[c]+pyr[c]
rxn00763_c0	0.08387814	glyc[c]+nad[c]-->glyald[c]+h[c]+nadh[c]
rxn00770_c0	11.21784	atp[c]+r5p[c]-->amp[c]+prpp[c]
rxn00781_c0	1000	g3p[c]+nad[c]+pi[c]-->13dpg[c]+nadh[c]
rxn00782_c0	532.9021	13dpg[c]+nadph[c]-->g3p[c]+nadp[c]+pi[c]
rxn00839_c0	996.4039	adp[c]+datp[c]-->atp[c]+dadp[c]
rxn00849_c0	7.501254	glu-D[c]+pyr[c]-->akg[c]+ala-D[c]
rxn00863_c0	1.111385	cbs_412[c]+h2o[c]+nad[c]-->(2)h[c]+his-L[c]+nadh[c]
rxn00910_c0	998.175	5mthf[c]+nadp[c]-->h[c]+mlthf[c]+nadph[c]
rxn00917_c0	3.297207	atp[c]+gln-L[c]+h2o[c]+xmp[c]-->amp[c]+glu-L[c]+gmp[c]+h[c]+ppi[c]
rxn00929_c0	994.6314	nad[c]+pro-L[c]-->1pyr5c[c]+h[c]+nadh[c]
