SampleID	aa34.1.test	aa34.2.test	aa34.3.test	aa34.4.test	aa34.5.test	aa34.6.test	=	Total
0159.AA34.42151.20180907.ST	0	31923	0	0	0	0		31923
0159.AA34.42157.20180706.ST	0	14224	0	0	0	0		14224
0159.AA34.42158.20180730.ST	0	2212	0	0	0	0		2212
0159.AA34.42162.20180717.ST	0	1946	0	0	0	0		1946
0159.AA34.42164.20190116.ST	0	5743	0	0	0	0		5743
0159.AA34.42165.20180723.ST	0	11062	0	0	0	0		11062
0159.AA34.42167.20190116.ST	0	7417	0	0	0	0		7417
0159.AA34.42168.20190116.ST	0	10976	0	0	0	0		10976
0159.AA34.42169.20190716.ST	0	38788	0	0	0	0		38788
0159.AA34.42171.20180723.ST	0	2226	0	0	0	0		2226
0159.AA34.42172.20190116.ST	0	61568	0	0	0	0		61568
0159.AA34.42173.20181025.ST	0	18126	0	0	0	0		18126
0159.AA34.42174.20180806.ST	0	1614	0	0	0	0		1614
0159.AA34.42175.20180807.ST	0	13121	0	0	0	0		13121
0159.AA34.42177.20180806.ST	0	2070	0	0	0	0		2070
0159.AA34.42178.20180730.ST	0	10468	0	0	0	0		10468
0159.AA34.42180.20190306.ST	0	1546	0	0	0	0		1546
0159.AA34.42181.20180726.ST	0	18964	0	0	0	0		18964
0159.AA34.42183.20180730.ST	0	3310	0	0	0	0		3310
0159.AA34.42184.20180725.ST	0	9148	0	0	0	0		9148
0159.AA34.42186.20180806.ST	0	606	0	0	0	0		606
0159.AA34.42187.20180809.ST	0	10262	0	0	0	0		10262
0159.AA34.42188.20181015.ST	0	0	0	0	0	0		0
0159.AA34.42190.20181015.ST	0	4436	0	0	0	0		4436
0159.AA34.42194.20180813.ST	0	1540	0	0	0	0		1540
0159.AA34.42195.20180809.ST	0	27351	0	0	0	0		27351
0159.AA34.42196.20180814.ST	0	40282	0	0	0	0		40282
0159.AA34.42197.20180809.ST	0	13055	0	0	0	0		13055
0159.AA34.42198.20180814.ST	0	8331	0	0	0	0		8331
0159.AA34.42200.20180817.ST	0	7991	0	0	0	0		7991
0159.AA34.42202.20180814.ST	0	1518	0	0	0	0		1518
0159.AA34.42203.20180814.ST	0	19783	0	0	0	0		19783
0159.AA34.42204.20180619.ST	0	37401	0	0	0	0		37401
0159.AA34.42205.20180817.ST	0	15969	0	0	0	0		15969
0159.AA34.42207.20180827.ST	0	16364	0	0	0	0		16364
0159.AA34.42208.20180907.ST	0	24863	0	0	0	0		24863
0159.AA34.42210.20180907.ST	0	31874	0	0	0	0		31874
0159.AA34.42211.20180917.ST	0	32730	0	0	0	0		32730
0159.AA34.42212.20180907.ST	0	2258	0	0	0	0		2258
0159.AA34.42213.20180907.ST	0	3826	0	0	0	0		3826
0159.AA34.42214.20181102.ST	0	129	0	0	0	0		129
0159.AA34.42215.20180917.ST	0	2910	0	0	0	0		2910
0159.AA34.42216.20180907.ST	0	28040	0	0	0	0		28040
0159.AA34.42217.20180907.ST	0	37236	0	0	0	0		37236
0159.AA34.42218.20180920.ST	0	24498	0	0	0	0		24498
0159.AA34.42218.20181121.ST	0	11401	0	0	0	0		11401
0159.AA34.42219.20181017.ST	0	12835	0	0	0	0		12835
0159.AA34.42220.20181015.ST	0	4162	0	0	0	0		4162
0159.AA34.42222.20180920.ST	0	10056	0	0	0	0		10056
0159.AA34.42223.20180920.ST	0	2457	0	0	0	0		2457
0159.AA34.42226.20181105.ST	0	13419	0	0	0	0		13419
0159.AA34.42227.20181105.ST	0	23452	0	0	0	0		23452
0159.AA34.42229.20180619.ST	0	33472	0	0	0	0		33472
0159.AA34.42231.20181203.ST	0	11634	0	0	0	0		11634
0159.AA34.42232.20181116.ST	0	14466	0	0	0	0		14466
0159.AA34.42233.20181116.ST	0	36449	0	0	0	0		36449
0159.AA34.42234.20181217.ST	0	29838	0	0	0	0		29838
0159.AA34.42235.20181114.ST	0	13577	0	0	0	0		13577
0159.AA34.42236.20181116.ST	0	15737	0	0	0	0		15737
0159.AA34.42237.20181127.ST	0	32505	0	0	0	0		32505
0159.AA34.42238.20181126.ST	0	9876	0	0	0	0		9876
0159.AA34.42239.20181129.ST	0	7531	0	0	0	0		7531
0159.AA34.42241.20181105.ST	0	32988	0	0	0	0		32988
