SampleID	Attempts	TotalReads	AvgReadsPerAttempt
0159.AA34.42001.20180413.ST	1	25711	25711
0159.AA34.42003.20180313.ST	1	45504	45504
0159.AA34.42005.20180409.ST	1	16720	16720
0159.AA34.42007.20180420.ST	1	20064	20064
0159.AA34.42009.20180313.ST	1	6012	6012
0159.AA34.42011.20180315.ST	1	25336	25336
0159.AA34.42013.20180321.ST	1	5917	5917
0159.AA34.42014.20180323.ST	1	23896	23896
0159.AA34.42015.20180329.ST	1	26434	26434
0159.AA34.42018.20180409.ST	1	17717	17717
0159.AA34.42019.20180402.ST	1	1	1
0159.AA34.42020.20180607.ST	1	5817	5817
0159.AA34.42021.20181004.ST	1	16192	16192
0159.AA34.42025.20180402.ST	1	5567	5567
0159.AA34.42026.20180329.ST	1	4659	4659
0159.AA34.42027.20180402.ST	1	9898	9898
0159.AA34.42028.20180918.ST	1	13090	13090
0159.AA34.42029.20180719.ST	1	1583	1583
0159.AA34.42031.20180409.ST	1	5108	5108
0159.AA34.42033.20180613.ST	1	3147	3147
0159.AA34.42037.20180418.ST	1	12526	12526
0159.AA34.42038.20180920.ST	1	10147	10147
0159.AA34.42039.20180413.ST	1	3416	3416
0159.AA34.42040.20180410.ST	1	38195	38195
0159.AA34.42043.20180410.ST	1	327	327
0159.AA34.42044.20180410.ST	1	622	622
0159.AA34.42045.20180907.ST	1	7514	7514
0159.AA34.42046.20180413.ST	1	16471	16471
0159.AA34.42047.20180417.ST	1	10006	10006
0159.AA34.42049.20180413.ST	1	3162	3162
0159.AA34.42050.20180419.ST	1	14712	14712
0159.AA34.42051.20180417.ST	1	2209	2209
0159.AA34.42052.20180419.ST	1	26098	26098
0159.AA34.42053.20180420.ST	1	19212	19212
0159.AA34.42056.20180419.ST	1	10102	10102
0159.AA34.42057.20180419.ST	1	17303	17303
0159.AA34.42059.20180426.ST	1	0	0
0159.AA34.42060.20180425.ST	1	2390	2390
0159.AA34.42061.20180423.ST	1	6582	6582
0159.AA34.42063.20180426.ST	1	22465	22465
0159.AA34.42066.20180503.ST	1	21913	21913
0159.AA34.42067.20180503.ST	1	5336	5336
0159.AA34.42069.20180504.ST	1	4208	4208
0159.AA34.42070.20180503.ST	1	27226	27226
0159.AA34.42073.20180514.ST	1	5493	5493
0159.AA34.42075.20180508.ST	1	1355	1355
0159.AA34.42076.20180823.ST	1	5492	5492
0159.AA34.42077.20180504.ST	1	5593	5593
0159.AA34.42078.20180523.ST	1	5719	5719
0159.AA34.42080.20180508.ST	1	0	0
0159.AA34.42081.20180515.ST	1	2601	2601
0159.AA34.42082.20180514.ST	1	13383	13383
0159.AA34.42083.20180504.ST	1	14496	14496
0159.AA34.42084.20180509.ST	1	4772	4772
0159.AA34.42085.20180717.ST	1	5138	5138
0159.AA34.42086.20180514.ST	1	11753	11753
0159.AA34.42087.20180523.ST	1	5403	5403
0159.AA34.42088.20180515.ST	1	10254	10254
0159.AA34.42089.20180515.ST	1	12469	12469
0159.AA34.42090.20180515.ST	1	18296	18296
0159.AA34.42092.20180525.ST	1	25703	25703
0159.AA34.42094.20180523.ST	1	8199	8199
0159.AA34.42097.20180525.ST	1	10129	10129
0159.AA34.42098.20180531.ST	1	8810	8810
0159.AA34.42099.20180525.ST	1	13	13
0159.AA34.42100.20180523.ST	1	5831	5831
0159.AA34.42101.20180611.ST	1	6212	6212
0159.AA34.42103.20180813.ST	1	8530	8530
0159.AA34.42104.20180813.ST	1	1889	1889
0159.AA34.42106.20180813.ST	1	29846	29846
