1.4.1.2	PWY-5022	GLUTAMATE-DEHYDROGENASE-RXN
1.4.1.2	PWY-6728	GLUTAMATE-DEHYDROGENASE-RXN
1.4.1.2	PWY-7126	GLUTAMATE-DEHYDROGENASE-RXN
1.4.1.2	ALACAT2-PWY	GLUTAMATE-DEHYDROGENASE-RXN
1.4.1.2	GLUTAMATE-DEG1-PWY	GLUTAMATE-DEHYDROGENASE-RXN
2.3.1.-	PWY-4922	RXN-7404
1.1.1.-	PWY-6682	RXN-12009
3.1.3.12	PWYG-321	RXN1G-1439
6.3.2.43	PWY-3081	RXN-15002
3.5.1.M4	PWY-7821	RXN-18073
2.4.1.237	PWY-7495	RXN-15523
1.8.98.6	PWY-7868	RXN-18529
4.2.1.131	PWY-7591	RXN-16055
1.5.5.-	PWY-5748	RXN-13527
1.5.8.M1	PWY-7128	RXN-16529
3.7.1.23	PWY-7469	RXN-10447
1.14.19.3	PWY-6000	1.14.19.3-RXN
2.4.99.-	PWY-8242	RXN-22212
1.3.3.6	PWY-7007	RXN-11026
1.3.3.6	PWY-7288	RXN-11026
1.3.3.6	PWY66-391	RXN-11026
1.3.3.6	PWY-5136	RXN-11026
2.1.1.161	RXN-13406	RXN-9680
2.1.1.161	RXN-13405	RXN-9680
2.1.1.161	P541-PWY	RXN-9680
2.1.1.161	PWY-6004	RXN-9680
2.5.1.-	PWY-5815	RXN0-5180
3.5.3.3	CRNFORCAT-PWY	CREATINASE-RXN
3.5.2.15	PWY-5169	RXN-20062
3.5.2.15	PWY-8025	RXN-20062
2.4.1.-	PWY-6525	RXN-11492
2.5.1.62	PWY-5086	RXN1F-66
2.5.1.62	PWY-5068	RXN1F-66
2.5.1.62	PWY-7764	RXN1F-66
4.2.99.24	PWY-5270	RXN-8144
1.14.13.237	PWYQT-4475	RXNQT-4338
2.4.1.-	PWY-7491	RXN-15493
4.1.2.45	PWY-8111	RXN-8615
4.1.2.45	PWY-5427	RXN-8615
1.14.19.23	PWY-5995	RXN-16036
