sample_id	total	cellular_anatomical_entity	pericentriolar_material	cellular_bud_neck_septin_structure	phagophore_assembly_site	chromatin	lateral_element	transverse_filament	spindle_pole	mating_projection_base	fibrillar_center	photoreceptor_outer_segment	immunological_synapse	phagocytic_cup	photoreceptor_inner_segment	extracellular_region	extracellular_space	cellular_bud_scar	intracellular_anatomical_structure	nuclear_lamina	nucleoplasm	replication_fork	cytoplasm	microtubule_organizing_center	intermediate_layer_of_spindle_pole_body	inner_plaque_of_spindle_pole_body	central_plaque_of_spindle_pole_body	outer_plaque_of_spindle_pole_body	half_bridge_of_spindle_pole_body	cytosol	axoneme	cellular_bud	nucleoid	bacterial_type_flagellum_filament_cap	bacterial_type_flagellum_hook	bacterial_type_flagellum_basal_body	bacterial_type_flagellum_basal_body__distal_rod	bacterial_type_flagellum_basal_body__distal_rod__L_ring	bacterial_type_flagellum_basal_body__distal_rod__P_ring	bacterial_type_flagellum_basal_body__MS_ring	cell_plate	phragmoplast	plastid_stroma	preprophase_band	cell_surface	plastoglobule	stromule	endomembrane_system	membrane	lateral_plasma_membrane	nuclear_matrix	nuclear_body	host_cellular_component	extrinsic_component_of_membrane	kinetoplast	sarcomere	Z_disc	cell_junction	mitochondrial_crista	external_encapsulating_structure	site_of_polarized_growth	cell_septum	actin_cap	smooth_muscle_dense_body	midbody	bacterial_type_flagellum_basal_body__rod	nucleolar_chromatin	rDNA_protrusion	intrinsic_component_of_membrane	cell_leading_edge	cell_trailing_edge	leading_edge_membrane	cell_trailing_edge_membrane	M_band	A_band	I_band	membrane_enclosed_lumen	envelope	thylakoid_lumen	organelle_subcompartment	eisosome	cell_division_site	cleavage_apparatus_septin_structure	medial_membrane_band	actin_filament_bundle	filopodium_tip	cellular_bud_membrane	gas_vesicle_shell	nuclear_periphery	centriolar_satellite	microtubule_organizing_center_attachment_site	glycogen_granule	periplasmic_space	actomyosin	yolk_granule	intracellular_immature_spore	cell_projection	costamere	starch_grain	acrosomal_matrix	cell_septum_edging	perikaryon	myelin_sheath	Schmidt_Lanterman_incisure	organelle	exosporium	filiform_apparatus	other_organism_part	organelle_membrane_contact_site	dendrite_terminus	cell_body	neuron_projection_terminus	endoplasmic_reticulum_quality_control_compartment	fusome	intercellular_bridge	apical_part_of_cell	basal_part_of_cell	perinuclear_region_of_cytoplasm	presynaptic_active_zone	spindle_midzone	striated_muscle_dense_body	cell_pole	endocytic_patch	phagophore	spongiome	actin_wave	prospore_membrane_spindle_pole_body_attachment_site	respirasome	macropinocytic_cup_cytoskeleton	mucus_layer	investment_cone	contractile_ring	endoplasmic_reticulum_exit_site	medial_cortical_node	cellular_birth_scar	cell_periphery	ascus_epiplasm	cleavage_furrow_leading_edge	cortical_dynamic_polarity_patch	site_of_DNA_damage	mitochondrial_inner_boundary_membrane	perinuclear_endoplasmic_reticulum	DNA_replication_termination_region	phagocytic_cup_lip	phagocytic_cup_base	sperm_midpiece	sperm_mitochondrial_sheath	sperm_principal_piece	cytoophidium	tubular_endosome	dense_body	ciliary_base	lateral_part_of_cell	side_of_membrane	chromosomal_region	presynapse	postsynapse	cluster_of_actin_based_cell_projections	actin_body	supramolecular_complex	synaptonemal_structure	mitotic_actomyosin_contractile_ring__proximal_layer	mitotic_actomyosin_contractile_ring__intermediate_layer	mitotic_actomyosin_contractile_ring__distal_actin_filament_layer	microtubule_end	actin_fusion_focus	Remaining
0159_AS41_40000_20171201_ST	98245.9999999999	548	0	0	0	0	0	0	0	0	0	0	0	0	0	611.666666666667	62.5	0	19	0	0	0	15994.3333333333	4.5	0	0	0	0	0	146.333333333333	0	0	28.5	8.5	14.5	30	0	0	0	0.333333333333333	0	0	0	0	35.5	0	1	0	18736.3333333333	0	0	0	22	0.5	0	0	0	0	0	17.3333333333333	0	0	0	0	0	1	0	0	55027	0	0	0	0	0	0	0	0.666666666666666	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	427.333333333333	0	0	0	243	0	0	0	0	0	0	0	1488.16666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5	0	0	0	0	0	1	0	0	0	0	0	0	4703.5
0159_AS41_40001_20171122_ST	15007	72	0	0	0	0	0	0	0	0	0	0	0	0	0	82.5	13	0	0	0	0	0	2423	2	0	0	0	0	0	34.5	0	0	4.75	0	0.5	2.5	0	0	0	0	0	0	0	0	13.3333333333333	0	0	0	2848.33333333334	0	0	0	7.5	0.5	0	0	0	0	0	2.16666666666667	0	0	0	0	0	0	0	0	8247.33333333333	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0	0	65.6666666666666	0	0	0	43.25	0	0	0	0	0	0	0	239.333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	895.333333333333
0159_AS41_40002_20171204_ST	318018	1489	0	0	0	0	0	0	0	0	0	0	0	0	0	1832.25	186	0	27.3333333333333	0	0	5	62994.5833333333	15.1666666666667	0	0	0	0	0	508.833333333333	0	0	104.25	86.1666666666667	137.666666666667	239.083333333333	6	1	4	18.3333333333333	0	0	0.333333333333333	0	104.916666666667	0	0	0.25	50463.5	0	0	0	66.5	18.5	0	0	0	0	0	68.5	0	0	0	0	0	37	0	0	175277.083333333	0	0	0	0	0	0	0	3.5	1	0	0	0	180	0	0	0	0	0	0	0	0	0	0	1384.83333333333	0	0	0	455.291666666667	0	0	0	0	0	0	0	5434.45833333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	8	0	0	0	0	0	0	16800.6666666667
0159_AS41_40003_20171129_ST	122222	724	0	0	0	0	0	0	0	0	0	0	0	0	0	710.583333333333	93	0	28.3333333333333	0	1	3.5	20262.75	5	0	0	0	0	0	216.666666666667	0	0	25.5	16.6666666666667	34.1666666666667	59.3333333333333	0	0	0	3.66666666666667	0	0	0	0	33.5833333333333	0	0	0.5	21745	0	0	0	21	2	0	0	0	0	0	16.4166666666667	0	0	0	0	0	10	0	0	69205.4166666667	0	0	0	0	0	0	0	1.5	4	0	0	0	42.5	0	0	0	0	0	0	0	0	0	0	730.166666666667	0	0	0	169.833333333333	0	0	0	0	0	0	0	1954.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.5	0	0	0	0	0	2.66666666666667	0	0	0	0	0	0	6081
0159_AS41_40005_20171202_ST	126439	548	0	0	0	0	0	0	0	0	0	0	0	0	0	795	40.3333333333333	0	14	0	1.5	1	25626.3928571429	9.5	0	0	0	0	0	190	0	0	50.75	23	31	55.6666666666667	0	0	0	4.33333333333333	0	0	0	0	50.9761904761905	0	1	1.25	19069.1428571429	0	0	0	29.7857142857143	2	0	0	0	0	0	24.8333333333333	0	0	0	0	0	11	0	0	70343.8333333333	0	0	0	0	0	0	0	2.16666666666667	1	0	0	0	59.3333333333333	0	0	0	0	0	0	0	0	0	0	579.333333333333	0	0	0	168.416666666667	0	0	0	0	0	0	0	2140.86904761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3333333333333	0	0	0	0	0	3.33333333333333	0	0	0	0	0	0	6546.41666666667
0159_AS41_40006_20171201_ST	373945	1794	0	0	0	0.25	0	0	0	0	0	0	0	0	0	1689.2	86	0	12	0	0.25	0	73466	11.5	0	0	0	0	0	489.5	0	0	104.875	132.5	89	76.8333333333333	1	0	0	9.66666666666667	0	0	0	0	175.2	0	0	1	53634.2833333333	0	0	0	72	9.75	0	0	0.5	1	0	70.5	0	0	0	0	0	14	0	0	212406.7	0	0	0	0	0.5	0	0	3.16666666666667	3	0	0	0	170	0	0	0	0	0	0	0	0	0	0	1780.7	0	0	0	260.166666666667	0	0	0	0	0	0	0	6643.20833333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	43.5	0	0	0	0	0	0	0	0	0	0	0	0	20692.25
0159_AS41_40009_20171207_ST	18711	86	0	0	0	0	0	0	0	0	0	0	0	0	0	107.9	6.5	0	12	0	0	0	3406.5	1	0	0	0	0	0	39.2	0	0	7	7	9	10.6666666666667	0	0	0	1.66666666666667	0	0	0	0	4.23333333333333	0	0	0.2	3123.56666666666	0.2	0	0	4.5	0	0	0	0	0	0	3.83333333333333	0	0	0	0	0	3	0	0	10519.1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	103.4	0	0	0	31.5	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	904.199999999999
0159_AS41_40011_20180102_ST	240396	1239	0	0	1	0	0	0	0	0	0	0	0	0	0	1467.33333333333	109.333333333333	0	17.3333333333333	0	0	8.5	42320.9166666667	9	0	0	0	0	0	378.25	0	0	85.75	33	75.1666666666667	130.333333333333	1	0	0	12.8333333333333	0	0	0	0	89.3333333333333	0	0	0.25	42115.25	0	0	0	73.5	4.5	0	0	0	0	0	36.1666666666667	0.333333333333333	0	0	0	0	20	0	0	134275.5	0	0	0	0	0	0	0	3.33333333333333	2	0	0	0	97	0	0	0	0	0	0	0	0	0	0	1192.66666666667	0	0	0	294.5	0	0	0	0	0	0	0	4002.41666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0.25	0	3.58333333333333	0	0	0	0	0	0	12271.6666666667
0159_AS41_40015_20171215_ST	39477	147	0	0	0	0	0	0	0	0	0	0	0	0	0	244.166666666667	108	0	0.5	0	0	0	6549.16666666667	6.5	0	0	0	0	0	70	0	0	18.75	1.83333333333333	0.833333333333333	6.66666666666667	0	0	0	1.33333333333333	0	0	0	0	24.6666666666667	0	0	0	7399.33333333333	0	0	0	15.5	1	0	0	0	0	0	12.6666666666667	0	0	0	0	0	0	0	0	21683.5833333334	0	0	0	0	0	0	0	3	0	0	0.5	0	25	0	0	0	0	0	0	0	0	0	0	215.166666666667	0	0	0	73.5833333333333	0	0	0	0	0	0	0	654.583333333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	5.33333333333333	0	0	0	0	0	0	2193.33333333333
0159_AS41_40055_20180716_ST	167641028	1075988.5	0	2.76111111111111	9.55952380952381	29.5833333333334	2	0.5	26.3166666666667	0.7	0	0	0	0	5	592350.083333333	168198.283333333	1.63333333333333	1692.1	0	63.3333333333333	725.166666666667	31943837.231746	5221.18333333333	0	0.666666666666667	0.666666666666667	3	4	478846.234523809	0	7.25	159876.975	13192.1666666667	22656.1666666667	43495	50	0	4.5	3170.91666666667	0.111111111111111	0.111111111111111	613.083333333333	0	32187.7	0	33	95.3333333333333	30344904.8190476	0	3.5	21.8666666666667	41719.3333333333	88594.9428571429	0.5	0	5	103.95	0.533333333333333	103989.75	34.3071428571429	26443.3	0	0	0	7069.5	0.5	0	85449080.9047619	0	0	0.125	0	4.5	0.5	0	60289.2	7507.33333333333	0	326.892857142857	2.5	137891.452380952	2.76111111111111	0	0	0	0	0	17.2833333333333	0	0	0	3057195.96666666	0	0	13.25	593956.233333334	0	0	0	0.3	0	0	0	3065935.45079366	0	0	0.666666666666667	13.35	0	0	0	1	0	0	0.5	0	48.2916666666667	0	0.833333333333333	0	3.92619047619047	13.6166666666667	1.26190476190476	0	0	0	20662.3333333333	0	0	0	4.41666666666667	2.5	0	0.333333333333333	8.16666666666667	0	0	0	4.41666666666667	0.866666666666667	1.83333333333333	0	0	0	0	2	0	10342	0	0	5	0	100827.3	3038.79285714286	0	0	0	0	4237.84682539683	0	0	0	0	1.5	0	9974297.97380952
