sample_id	total	GO:0032991	GO:0000133	GO:0000408	GO:0000417	GO:0000444	GO:0000808	GO:0000930	GO:0000939	GO:0000940	GO:0000974	GO:0001534	GO:0002144	GO:0002199	GO:0005577	GO:0005581	GO:0005663	GO:0005667	GO:0005833	GO:0005835	GO:0005838	GO:0005839	GO:0005850	GO:0005851	GO:0005852	GO:0005853	GO:0005854	GO:0005861	GO:0005875	GO:0005885	GO:0008091	GO:0008290	GO:0008537	GO:0008540	GO:0008541	GO:0009330	GO:0009368	GO:0010598	GO:0015627	GO:0016272	GO:0016281	GO:0016459	GO:0017101	GO:0017102	GO:0018444	GO:0019008	GO:0019773	GO:0019774	GO:0022623	GO:0030015	GO:0030076	GO:0030256	GO:0030257	GO:0030314	GO:0030877	GO:0030991	GO:0030992	GO:0031074	GO:0031082	GO:0031105	GO:0031209	GO:0031250	GO:0031251	GO:0031262	GO:0031389	GO:0031390	GO:0031422	GO:0031511	GO:0031518	GO:0031521	GO:0031522	GO:0031680	GO:0031941	GO:0032993	GO:0033061	GO:0033104	GO:0033186	GO:0033551	GO:0033596	GO:0034044	GO:0034270	GO:0034464	GO:0034518	GO:0034973	GO:0035649	GO:0035658	GO:0035859	GO:0036038	GO:0036125	GO:0036286	GO:0036452	GO:0042555	GO:0043235	GO:0043291	GO:0043293	GO:0043684	GO:0044697	GO:0044815	GO:0045239	GO:0045293	GO:0045298	GO:0046798	GO:0055087	GO:0061574	GO:0061576	GO:0061700	GO:0061702	GO:0061957	GO:0062092	GO:0070069	GO:0070864	GO:0071203	GO:0071521	GO:0071563	GO:0072379	GO:0089713	GO:0090443	GO:0090665	GO:0097078	GO:0097255	GO:0097344	GO:0097361	GO:0097373	GO:0097452	GO:0098046	GO:0098636	GO:0098796	GO:0098798	GO:0099023	GO:0099078	GO:0101031	GO:0106333	GO:0110078	GO:0110131	GO:0110142	GO:0110157	GO:0120114	GO:0120155	GO:0120171	GO:0120216	GO:0140224	GO:0140513	GO:0140534	GO:0140535	GO:0150005	GO:1902494	GO:1903269	GO:1904090	GO:1905742	GO:1990062	GO:1990112	GO:1990130	GO:1990131	GO:1990143	GO:1990221	GO:1990229	GO:1990252	GO:1990298	GO:1990315	GO:1990351	GO:1990356	GO:1990391	GO:1990393	GO:1990423	GO:1990526	GO:1990527	GO:1990528	GO:1990533	GO:1990615	GO:1990745	GO:1990811	GO:1990861	GO:1990871	GO:1990904	GO:1990964	Remaining
0159_AK37_71041_20181122_ST	1315430	59	0	12	0	0	0	0	0	0	0	0	0	0	4	27.5	24	133.5	0	589.5	0	65	0	0	0.333333333333333	0	0	0	13	20	0	0	0	0.5	0	0	0	0	200.416666666667	12.5	0	129	0	0	0	404	8	5	12	2	9.25	12.5	61	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4470.45	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	49.75	0.333333333333333	0	0	7	0	473.95	190.25	0	0	0	0	0	0	0	0	0	0	123.625	0	0	0	0	0.25	0	0	0	0	0.333333333333333	0	1	0	0	1	0.333333333333333	11057.9583333333	5.58333333333333	0.5	0	0	0	0	0	0	0	0	0	0	0	0	3.86111111111111	1.33333333333333	9630.61111111111	0	26065.3527777778	0.2	0	0	0	0	0	0	0	0	1	0	0	0	4457.45833333333	0	3636.91666666667	0	0	0	0	0	0	0	0	0	0	0	16289.9	0	1237149.05
0159_AK37_71047_20190117_ST	1774048	35.6111111111111	0	0	0	0	0	0	0	0	0	0	0	0	17	28	0	406.5	0	686	0	35.5	0	0	5.33333333333333	0	0	0	3.5	21	0	0	0	4.5	0	0	0	0	230.5	0	0	192	0	0	0	621	0	0	0	0	4.5	1.5	102.333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5895.43333333333	0	388	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	606.1	159.5	0	0	0	0	0	0	0	0	0	0	190.458333333333	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13503.375	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83333333333333	2.73333333333333	12186.3333333334	0	34270.7916666667	0	0	0	0	0	0	0	0	0	0	0	0	0	5914.37500000002	0	4672.66666666667	0	0	0	0	0	0	0	0	0	0	0	19487.7	0	1674368.50555555
0159_AK37_71048_20190125_ST	17169619	10486.3888888889	0	0	0	0	0	0	0	0	0	0	0	0	160	507	0	4091.41666666667	0	2233	0	1275.16666666667	0	0	13.6666666666667	0	0	0	26.8166666666667	222	0	0	9	4	0	0.333333333333333	0	0	6065.91666666667	0	0	408	0.5	0	0	6394.66666666667	0.25	0	0.5	2	39	66.5	523	0	0	0	0	0	0	0	0	2	5	0	0	0	0	2	0	0	0	0	0	53194.95	0	1609	0	0	0	0	0	0	1.5	0	0	0	0	0	2618	0	0.5	3	65.6666666666667	0	0	1.5	0	5389.45	3392.625	0	0	0	0	0	0	0	0	0	0	2437.625	0	0	0	0	0.25	0	0	0	0	0.5	0	2.5	0	0	0	65.6666666666667	169582.475	73.25	0.333333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	203	11.7333333333333	115007.25	0	342946.683333333	107.2	0	0	0	1	0	0	0	0.333333333333333	164	0	0	0	70601.8083333333	0	40142.75	0	0	0	0	0	0	0	0	0	0	0	162310.016666667	0	16167145.6444444
0159_AK37_71050_20190313_ST	22476650	749	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	856	1	2323.5	0	2659	0	655	0	0	13.3333333333333	0	0	0	193.666666666667	111	0	0	71	4	0	0	0	0	1240.91666666667	0	0	138.333333333333	0	0	0	5637.33333333333	0	0	5.5	4	3.75	183.5	775	0	0	0	0	0	0	0	0	1	77	0	0	0	0	1	0	0	0.5	0	0	69407.3916666667	0	1472	0.25	0	0	0	4.33333333333333	0	2	0	0.4	0	0	0	62	0	1	2	1.33333333333333	0	0	7	0	7093.225	1725.41666666667	0	0	0	1	0	0	0	0	0	0	2023.625	0	0	0	0	2.1	0	0	0	0	0	0	13	0	0	0	1.33333333333333	174675.816666667	102.416666666667	1.16666666666667	0	16	0	1	0	0	0	1	0	0.125	0	0	48.6706349206349	6.6	156320.916666667	0	417813.320634921	1	0.333333333333333	0	0	0	0	0	1	2.66666666666667	0.5	0	0	0	67239.2750000002	0	56546.8333333334	0	0	0	0	0	0	0	0	0	0	0	239280.011111111	0	21267066.1059524
0159_AK37_71051_20190224_ST	29488025	8475.11111111111	0.428571428571429	0.5	0.333333333333333	0	2.5	32.25	0.142857142857143	0	0.5	0	0	0	280	644	220.5	2781.10648148148	0	6724	0	800	0	0	23.8333333333333	2	0	0	303.642857142857	136	0	0	0	9.25	0	1	1	0	7856.25	2	0	307.090909090909	0	1	0	6103.5	1.5	0.666666666666667	4.5	1	289.25	180.833333333333	2834.91666666667	0	0	0	0	0.333333333333333	0	0	0	10	7	0.333333333333333	5	5	0	0	0	0	0.5	0.5	0.0909090909090909	102864.233333333	0	7207	0	0	0	0	0	0	0.5	0	0.7	0	0	0	3014	0	1.5	7.41666666666667	79.4	0	0	566.333333333333	0.2	8832.48333333333	4372.70833333333	0	0.333333333333333	0	1	0	0	0	0	0	0	7036.325	0	0	0	0.0909090909090909	4	0	0	0	0.333333333333333	2	0.833333333333333	39	0.166666666666667	0	3	78	211370.73037518	126.977777777778	6.20833333333333	0	4.66666666666667	0	0	0	0	0	3.13888888888889	0.5	0.5	0	0	247.094793169793	6.33611111111111	201067.069480519	1	693710.903703703	126	0	0	0	0	0	0	0	0	154	0	0	0	91344.4972222222	0	76274.6666666667	0	0	0	0	0	1	0	0	0	0	0	273567.625793651	0	27767851.1629149
0159_AK37_71052_20190226_ST	17359085	500	0	6	0	0	0	0	0	0	0	0	0	0	0	517	14	2890.7	0	2578	0	273	0	0	0.333333333333333	0	0	0	496.791666666667	35	0	0	0	0	0	0.333333333333333	0	0	2640.58333333333	3	0	154	0	0	0	3633	3	1.5	1	0	18.5	6	663.75	0	0	0	0	0	0	0	0	3	0	2	0	0	0.571428571428571	9	0	0	0	0	0	56776.3666666667	0	9796	0	0	0	0	0	0	0	0	0	0	0	0	40	0	2.25	15	2	0	0	0	0	3863.45	2787.16666666667	0	0	0	0	0	0	0	0	0	0	3181.58333333333	0	0	0	0	1	0	0	0	0	0.333333333333333	0	13	0	0	0	0	111940.041666667	22.75	2	0	0	0	0	0	0	0	0.5	0	0	0	0	34.3611111111111	6.06666666666667	103378.452777778	0	350418.227777778	0.4	0	0	0	0	0	0	0	0	0.5	0	0	0	51124.7083333333	0	38780.4166666666	0	0	0	0	0	0	0	0	0	0	0	138549.5	0	16473898.8619048
0159_AK37_71053_20190325_ST	4666259	92.5	0	0	0	0	0	0	0	0	0	0	0	0	2	175	0	1778	0	1292.5	0	112	0	0	6	0	0	0	28.6666666666667	122	0	0	3	23.5	0	0.666666666666667	0	0	394.833333333333	0	0	152	0	0	0	1214.5	0	0	0	0	2	35.8333333333333	257.166666666667	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	15721.25	0	60	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	10	0	0.25	0.333333333333333	0.2	0	0	5.5	0	1538.375	681.833333333333	0	0	0	0	0	0	0	0	0	0	858.958333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31985.25	10.5	1	0	0	0	0	0	0	0.2	0	0	0	0	0	14.7111111111111	2.96666666666667	30539.8361111111	0	98080.8527777778	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	13165.5833333333	0	12326.8333333334	0	0	0	0	0	0	0	0	0	0	0	45550.8333333334	0	4410007.56666667
0159_AK37_71054_20190305_ST	30472858	4824	0	0	0	0	2	0	0	0	0	0	0	0.5	73	297	0	3033	0	11551	0	2006	0	0	2.66666666666667	0	3	0	259.666666666667	625	0	0	0	26.5	0	0	2	0	5076.08333333333	0	0	642	0	0	0	7521.33333333333	0	0	1.5	3.5	96.75	21.5	1538.5	0	0	0	0	0	0	0	0	4	0	1	0	2	0	7	0	0	0	0	0	104138.683333333	0	9807	0	0	0	0	1.33333333333333	0	4.5	0	0	0	0	0	1603	0	0.75	0	12.5333333333333	0	0	13	0	7975.9	6229.70833333333	0	0	0	3	0	0	0	0	0	0	4620.76388888889	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	12.3333333333333	256403.413888889	89.0555555555555	5.5	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	82.8888888888889	3	208558.888888889	0	632651.188888889	28	0	0	0	7	0	0	0	0.583333333333333	91.5	0	0	0	117000.858333333	0	73486.25	0	0	0	0	0	0	0	0	0	0	0	298899.066666667	0	28713506.4666667
0159_AK37_71056_20190611_ST	5606526.99999999	130.5	0	0	0	0.25	0	0	0	0	0	0	0	0	0	346	0	515.5	0	528	0	411.5	0	0	0.666666666666667	0	0	0	11.8333333333333	132	0	0	0	4.5	0	0	0	0	508.5	1	0	13	0	0	0	1225	0.5	0	0	0	6.25	40	193	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	17624.9	0	2154	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	12	0	1	1	26.3333333333333	0	0	0	0	1552.25	765.416666666667	0	0	1	0	0	0	0	0	0	0	592.333333333333	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	26.3333333333333	44060.3333333333	18	3	0	1	0	0	0	0	0	1.33333333333333	0	0	0	0	11.3333333333333	0	36066	0	110736.933333333	0	0	0	0	0	0	0	0	0.333333333333333	0.5	0	0	0	17122.4166666667	0	12852.1666666666	0	0	0	0	0	0	0	0	0	0	0	49022.55	0	5309788.86666666
0159_AK37_71057_20190430_ST	13743463	5504.16666666667	0	0	0	0	0	0	0	0	0	0	0	0	27	392	0	4239	0	1861	0	788.5	0	0	0.666666666666667	0	0	0	4.91666666666667	172	0	0	0	0	0	0	0	0	3522.33333333333	1.5	0	31	0	0	0	3725	0	0	0	0	24.25	62.3333333333333	1855.25	0	0	0	0	0	0	0	0	0	47	0	0	20	0.5	0	0	0	0	0	0	46545.2	0	2706	0	0	0	0	1	0	0	0	0	0	0	0	2359	0	0.25	5.5	83.6	0	0	12.8333333333333	0	3493.325	4782.54166666667	0	0	0	1	0	0	0	0	0	0	2298.125	0	0	0	0	2	0	0	0.25	0	0.25	0	0	0	0	124	83	110596.766666667	196.444444444444	2.25	0	5	0	0	0	0	0	3.33333333333333	0	0	0	0	133.069444444444	1.76666666666667	89323.5833333331	0	287667.972222222	31.4	0	0	0	0	0	0	0	0.333333333333333	112.5	0	0	0	50985.6833333333	0	31451.1666666666	0	3	0	0	0	0	0	0	0	0	0	119302.372222222	0	12968870.0666667
