sample_id	total	protein_containing_complex	virion_component	cellular_anatomical_entity
0159_AA34_42131_20190211_ST	3491649	183419.713095238	1075	3307154.28690476
0159_AA34_42132_20190220_ST	3329231	179243.816666667	713.5	3149273.68333333
0159_AA34_42133_20190227_ST	240014	17331.15	61.5	222621.35
0159_AA34_42135_20190211_ST	79573.9999999999	4760.55	40.3333333333333	74773.1166666666
0159_AA34_42138_20190306_ST	10261	877.583333333333	0	9383.41666666667
0159_AA34_42139_201900301_ST	2319060	119709.85	274	2199076.15
0159_AA34_42143_20180613_ST	2783181	147145.6	3623	2632412.4
0159_AA34_42146_20180730_ST	1268089	69802.2	147	1198139.8
0159_AA34_42148_20180706_ST	590446	33162.1666666667	106	557177.833333333
0159_AA34_42149_20180619_ST	256091	15589.1	84.5	240417.4
0159_AA34_42150_20180907_ST	6421650	346640.98939394	1729	6073280.01060606
0159_AA34_42151_20180907_ST	1870458	89433.0666666667	208.5	1780816.43333333
0159_AA34_42157_20180706_ST	1062387	53048.3166666667	333.5	1009005.18333333
0159_AA34_42158_20180730_ST	508594	43220.0833333333	493.5	464880.416666667
0159_AA34_42162_20180717_ST	42158	2749.5	0	39408.5
0159_AA34_42165_20180723_ST	2924134	145307.75	364	2778462.25
0159_AA34_42167_20190116_ST	3303725	175908.866666667	513.5	3127302.63333333
0159_AA34_42168_20190116_ST	3164486	160081	291.5	3004113.5
0159_AA34_42169_20190716_ST	4076369	198056.066666667	1183	3877129.93333333
0159_AA34_42171_20180723_ST	383896	22116.6	10.3333333333333	361769.066666666
0159_AA34_42172_20190116_ST	2422376	120854.666666667	2758	2298763.33333333
0159_AA34_42173_20181025_ST	386595	25074	7	361514
0159_AA34_42174_20180806_ST	69060	5658.43333333333	239.5	63162.0666666667
0159_AA34_42175_20180807_ST	3607603	191749.244444444	427	3415426.75555555
0159_AA34_42177_20180806_ST	2865746	203201.533333333	3469	2659075.46666667
0159_AA34_42181_20180726_ST	4264541	236316.8	394.5	4027829.7
0159_AA34_42183_20180730_ST	1309744	85663.9619047619	777.5	1223302.53809524
0159_AA34_42184_20180725_ST	828055.000000001	58450.8666666667	1198.16666666667	768405.966666667
0159_AA34_42186_20180806_ST	161108	11879.6833333333	38	149190.316666667
0159_AA34_42187_20180809_ST	617939.999999999	33885.05	64	583990.949999999
0159_AA34_42190_20181015_ST	288226	15662.8666666667	87.5	272475.633333333
0159_AA34_42195_20180809_ST	109783	7191.5	27	102564.5
0159_AA34_42196_20180814_ST	6676	412.833333333333	0	6263.16666666667
0159_AA34_42197_20180809_ST	1740831	85278.6166666667	550.5	1655001.88333333
0159_AA34_42198_20180814_ST	329990	18173.65	38.5	311777.85
0159_AA34_42200_20180817_ST	63934	3831.41666666667	23	60079.5833333334
0159_AA34_42203_20180814_ST	871956	43972.75	121.5	827861.75
0159_AA34_42204_20180619_ST	24909	1538.36666666667	0	23370.6333333334
0159_AA34_42207_20180827_ST	37225	2426.65	27.5	34770.85
0159_AA34_42208_20180907_ST	165715	9877.58333333334	2.5	155834.916666667
0159_AA34_42210_201800907_ST	413209	24878.15	100	388230.85
0159_AA34_42211_201800917_ST	419466	24004.7333333333	4	395457.266666666
0159_AA34_42212_201800907_ST	2187323	116689.15	193	2070440.85
0159_AA34_42213_201800907_ST	458220	24480.6	87	433652.4
0159_AA34_42214_201801102_ST	10267	741.666666666667	1	9524.33333333333
0159_AA34_42216_201800907_ST	758275	40670.0333333333	119	717485.966666667
0159_AA34_42217_201800907_ST	134917	8071.27777777778	115	126730.722222222
0159_AA34_42218_201800920_ST	310789	18018.4833333333	11.5	292759.016666666
0159_AA34_42218_201801121_ST	68760	4602	2	64156
0159_AA34_42219_201801017_ST	80419	5360.65	418	74640.35
0159_AA34_42220_201801015_ST	295561	17017.5333333333	49	278494.466666667
0159_AA34_42222_201800920_ST	167865	10094.3333333333	13	157757.666666667
0159_AA34_42223_201800920_ST	51307	2688.48333333333	0	48618.5166666667
0159_AA34_42227_201801105_ST	676702	35789.95	143.5	640768.55
0159_AA34_42229_20180619_ST	46354	2685.66666666667	0	43668.3333333333
0159_AA34_42231_20181203_ST	191296	11001.2666666667	11.5	180283.233333333
0159_AA34_42232_20181116_ST	4123	228.833333333333	9	3885.16666666667
0159_AA34_42236_20181116_ST	1194742	65986.5333333333	143.5	1128611.96666667
0159_AA34_42237_20181127_ST	14919	975.5	33	13910.5
0159_AA34_42238_20181126_ST	182613	10541.1785714286	14	172057.821428572
0159_AA34_42239_20181129_ST	4514439.00000001	316055.270995671	502.5	4197881.22900434
0159_AA34_42242_20181111_ST	5333638.00000001	238660.045238095	873	5094104.95476191
0159_AA34_42245_20181108_ST	637484	45601.7833333333	21.1666666666667	591861.05
0159_AA34_42246_20180801_ST	2395769	124723.283333333	262	2270783.71666667
0159_AA34_42247_20181112_ST	719284	34107.1333333333	179	684997.866666667
0159_AA34_42249_20181203_ST	4652748	247484.45	2108	4403155.55
0159_AA34_42250_20180920_ST	2666771	180521.883333333	188.5	2486060.61666667
0159_AA34_42255_20180920_ST	928430	61287.9833333334	98.5	867043.516666667
0159_AA34_42256_20180919_ST	2276677	119727.916666667	1278.83333333333	2155670.25
0159_AA34_42257_20181004_ST	3913049	202255.283333333	338	3710455.71666667
0159_AA34_42258_20181005_ST	2017894	107361.566666667	87.5	1910444.93333333
0159_AA34_42260_201800927_ST	167852	9708.58333333333	5	158138.416666667
0159_AA34_42261_20181120_ST	8228824	392244.333333333	86047	7750532.66666667
0159_AA34_42268_20181004_ST	4141368	222832.564285714	1428.5	3917106.93571429
0159_AA34_42269_20181008_ST	158489	8232.25	2781	147475.75
0159_AA34_42272_20181010_ST	794695	46580.7	34.5	748079.8
0159_AA34_42273_20190102_ST	2242286	137433.883333333	240.5	2104611.61666667
0159_AA34_42274_20181011_ST	419966	25127	14	394825
0159_AA34_42281_20181017_ST	3841334	191951.516666667	392	3648990.48333333
0159_AA34_42282_20181025_ST	5961842	309141.416666667	661.5	5652039.08333333
0159_AA34_42283_20181102_ST	117698	6999.16666666667	48	110650.833333333
0159_AA34_42285_20181015_ST	250298	13573.3333333333	15	236709.666666667
0159_AA34_42288_20181031_ST	917177	46348.2476190476	196.5	870632.252380952
0159_AA34_42292_20181127_ST	930709	57267.4166666667	39	873402.583333333
0159_AA34_42294_20181129_ST	846938	55780.4166666666	15	791142.583333333
0159_AA34_42295_20181127_ST	1156205	65401.5833333333	21	1090782.41666667
0159_AA34_42296_20181213_ST	7215.99999999999	551.25	2	6662.74999999999
0159_AA34_42297_20190116_ST	541665	32807.1023809524	21	508836.897619047
0159_AA34_42301_20181213_ST	98980	6193.66666666666	3	92783.3333333333
0159_AA34_42302_20181203_ST	268094	15573.3333333333	520	252000.666666667
0159_AA34_42303_20181205_ST	631254	29412.0666666667	28266	573575.933333334
0159_AA34_42304_201812213_ST	196448	11144.3833333333	10.5	185293.116666667
0159_AA34_42306_20181205_ST	276077	16002.6666666667	10	260064.333333333
0159_AA34_42311_20181213_ST	46956	2177.16666666667	27	44751.8333333333
0159_AA34_42314_20190102_ST	4279966	198194.683333333	177.5	4081593.81666666
0159_AA34_42316_20190102_ST	42838	2288.9	0	40549.1
0159_AA34_42317_20190103_ST	35337	2318	19.5	32999.5
0159_AA34_42318_20190102_ST	2937924	164344.216666667	1081.5	2772498.28333333
0159_AA34_42323_20190102_ST	28034	1681.16666666667	779	25573.8333333333
0159_AA34_42325_20190102_ST	272130	15565.4333333333	65	256499.566666667
0159_AA34_42327_20190109_ST	10618	644	0	9974
0159_AA34_42328_20190211_ST	2034	189.75	0	1844.25
0159_AA34_42329_20190116_ST	4929992	365469.4	1972	4562550.6
0159_AA34_42332_20190117_ST	648634	34851.75	13	613769.25
0159_AA34_42333_20190117_ST	5157300	303990.083333333	906.5	4852403.41666666
0159_AA34_42335_20190115_ST	10698	593.666666666667	2	10102.3333333333
0159_AA34_42337_20190123_ST	22129	1297.5	0	20831.5
0159_AA34_42340_20190125_ST	20077	1136	0	18941
0159_AA34_42341_20190130_ST	10312	529	0	9782.99999999999
0159_AA34_42345_20190125_ST	22785	1355.25	1	21428.75
0159_AA34_42347_20190125_ST	343	10.6666666666667	0	332.333333333333
0159_AA34_42349_20190203_ST	248	16.5	0	231.5
0159_AA34_42352_20190207_ST	2174	121.666666666667	0	2052.33333333334
0159_AA34_42354_20190211_ST	7996	603.066666666667	7	7385.93333333333
0159_AA34_42356_20190203_ST	7942.00000000001	438.833333333333	0	7503.16666666668
0159_AA34_42358_20190207_ST	1109	71.5	0	1037.5
0159_AA34_42359_20190211_ST	23762	1347.83333333333	0	22414.1666666667
0159_AA34_42360_20190304_ST	30320	1607.66666666667	1	28711.3333333333
0159_AA34_42362_20190305_ST	95482	5894.58333333333	2	89585.4166666666
0159_AA34_42363_20190301_ST	73596	4302.33333333333	0	69293.6666666667
0159_AA34_42364_20190301_ST	33755	2156.16666666667	2	31596.8333333333
0159_AA34_42365_20190318_ST	64989	3438.16666666667	3	61547.8333333333
0159_AA34_42366_20190305_ST	2128119	153864.1	19558.5	1954696.4
