Sample ID,Shannon,Simpson,Evenness,SimpsonsRecip,Tail,DiscTaxa
585U_00_V1V3,3.75116858101953,0.956065684174481,0.776910694936613,22.7612512272047,26.4644468678849,125
588I_14_V1V3,3.69119898959035,0.957397073971656,0.754792529696659,23.4725661644621,25.2411867552451,133
587I_14_V1V3,3.59681175626115,0.951729708569661,0.755287775185788,20.7166762488505,22.6019808905746,117
< ALL >,3.59208119892567,0.950603134086827,0.606883868399222,20.244199333572,26.1982151736607,372
588I_14_V3V5,3.59059195463411,0.956868433927182,0.741216614996399,23.1848757430169,21.9584821848966,127
589I_14_V1V3,3.52675211834807,0.952272206832872,0.765824492019586,20.9521524805956,20.7978195550787,100
596I_14_V3V5,3.4971702399203,0.952081452420525,0.752987919377509,20.8687460391295,18.9287823530692,104
596I_14_V1V3,3.47299101727017,0.949429055288245,0.743230950737381,19.7742004959531,19.5402706248941,107
595I_14_V1V3,3.45340858202528,0.948046636286884,0.721339851339039,19.2480318603035,19.9736076278594,120
586I_00_V1V3,3.41550721870472,0.93304834051115,0.725233106638316,14.9361495687279,21.6191214342984,111
582U_14_V1V3,3.41237796668639,0.916412956180473,0.71401753304866,11.9635765820251,23.9468717179421,119
586I_03_V3V5,3.402362422789,0.951094888690155,0.734101698595462,20.4477604327362,17.0004068102544,103
581I_01_V3V5,3.38311518429998,0.942263426839491,0.716989719946974,17.3200442156477,18.7195716747656,112
587I_00_V1V3,3.38243343315153,0.928993541392368,0.716845235193021,14.0832259432315,21.3826659199461,112
595I_14_V3V5,3.375746366288,0.947680899748289,0.72098499647593,19.1134785420417,17.6763499617219,108
581I_05_V1V3,3.37192069402544,0.942433809456123,0.720167917227831,17.3713075427112,18.7982359620827,108
587I_01_V1V3,3.36684843386555,0.941061953805686,0.732700896531988,16.9669689541978,18.3198203613476,99
581I_14_V1V3,3.36606373771937,0.930948303995058,0.703095465970105,14.4819035281686,21.4165505405178,120
585U_14_V1V3,3.3525699150134,0.921567285706091,0.697867449745852,12.7497818863278,22.3898040889304,122
582U_05_V1V3,3.3525476328381,0.942231046141858,0.731204233930615,17.3103359713873,17.9044391131228,98
585U_14_V3V5,3.35049788635976,0.941000878529103,0.729142654736551,16.9494049244999,18.0801177625371,99
582U_00_V1V3,3.34876852906275,0.929583941266639,0.708376096373429,14.2013060371161,21.695556463932,113
585U_01_V1V3,3.34708006748701,0.934209567622743,0.733309538861152,15.1997785067861,19.4197991056365,96
586I_14_V3V5,3.34534667354882,0.933623952425001,0.715914661559404,15.0656755943489,18.3034869702617,107
592U_14_V1V3,3.339567351849,0.934671204753395,0.697560963292306,15.3071856939221,19.7876599872416,120
586I_14_V1V3,3.31818968436605,0.920917683577053,0.703229941317184,12.6450519563921,19.7898494753334,112
590U_14_V1V3,3.31186655649237,0.935280589988255,0.701889869390465,15.4513151436103,19.0334718647162,112
584U_14_V3V5,3.30998203143669,0.925358170353657,0.685535822965401,13.3973136073707,21.3150957075018,125
581I_00_V1V3,3.30822004784216,0.919113537847549,0.698496924039068,12.363008263549,21.9091849326294,114
584U_14_V1V3,3.29076762586011,0.897148472692653,0.66885780157902,9.72275304198195,24.6305173652148,137
584U_00_V1V3,3.29035211879335,0.898074322105735,0.694724293047461,9.81107038637874,22.8436494396579,114
588I_00_V1V3,3.27652496451838,0.925623857929905,0.689273755791681,13.445171693062,20.2074698032531,116
581I_01_V1V3,3.24544402730489,0.933487953738614,0.709431490329175,15.0348704664731,17.0190300548503,97
582U_01_V1V3,3.23196563805984,0.921743153866452,0.753291269243363,12.7784347236978,17.4820434768746,73
588I_01_V1V3,3.23006095005339,0.926778884659582,0.691243155801436,13.6572625990581,16.8056426109781,107
593U_14_V1V3,3.22446539705515,0.928428925973798,0.683366783591097,13.9721251022991,18.0496221756548,112
587I_03_V3V5,3.20180393792147,0.938281225379128,0.706394629121318,16.2025251820507,14.7673172808625,93
588I_01_V3V5,3.19279704426884,0.923585079310242,0.686038729178423,13.0864494914543,16.4357211499328,105
585U_03_V1V3,3.18531127013096,0.924106316482032,0.688719998738548,13.1763271150656,17.5349181787955,102
589I_01_V1V3,3.1834199256198,0.922814000110068,0.688311056980939,12.955717376545,16.2429163038638,102
589I_01_V3V5,3.17004735419966,0.920413712066275,0.694523559820754,12.5649785404333,16.8068332965779,96
587I_03_V1V3,3.1553357832332,0.927268431476114,0.69614264132525,13.7491878739229,15.6642558449096,93
586I_03_V1V3,3.15145914279843,0.930921941099973,0.709364512506903,14.4763766661024,14.6478105251725,85
586I_05_V3V5,3.15076533806539,0.927771203155819,0.716987551150823,13.8448935008192,14.5689342833938,81
590U_07_V1V3,3.14673254150867,0.921214287861242,0.676140814436067,12.6926567375414,17.7558892535301,105
591U_14_V1V3,3.13853296466071,0.915438068619158,0.683014386353553,11.8256523197926,17.0726661136688,99
590U_05_V1V3,3.13373229154745,0.912440880087293,0.683479720657928,11.4208548578031,17.4195443164725,98
595I_01_V3V5,3.1139601340705,0.925321453596285,0.669098982324828,13.3907266297602,16.0386647851712,105
585U_03_V3V5,3.11347576019242,0.925908275942099,0.679061689025367,13.4967840567257,15.3249571251391,98
596I_01_V1V3,3.11157457696098,0.931849153147712,0.696739497161527,14.6733319714636,13.3148557010775,87
592U_01_V1V3,3.10300230526606,0.905939293836537,0.648147813506804,10.6314319845968,20.2845650451468,120
595I_01_V1V3,3.0924807368067,0.922453059809843,0.659188108500978,12.8954153129427,16.6455030970122,109
590U_00_V1V3,3.08289163327177,0.906854589701656,0.654607041783639,10.7359020352909,18.7492570056845,111
596I_01_V3V5,3.0789593636254,0.926310930286547,0.713136731974352,13.5705336475082,13.0335540521637,75
581I_03_V3V5,3.07149593480244,0.926838537583205,0.677645562870071,13.6683981835011,13.2227392992247,93
584U_07_V1V3,3.07101371557299,0.922247610899249,0.693103293364487,12.8613411313215,14.9150531053496,84
596I_03_V3V5,3.06192966511494,0.929394471414066,0.677150117247009,14.1631968491376,12.8476190594249,92
586I_05_V1V3,3.05422062373536,0.919682681298331,0.695017854624152,12.4506148383066,13.4409298897184,81
592U_01_V3V5,3.04315245791693,0.918856944222646,0.700572922213971,12.3239134935203,14.6327013530598,77
581I_14_V3V5,3.04026687578853,0.909555291536448,0.697835682101035,11.0564787812101,14.7145709416598,78
592U_05_V1V3,3.02978918664696,0.905446630862284,0.656491889126365,10.5760377352975,16.4811612358316,101
589I_07_V3V5,3.02897597049518,0.912067344868122,0.659172354428679,11.3723394170259,14.3491091870153,99
591U_00_V1V3,3.02760137831504,0.904548135968462,0.674503597290888,10.4764847721527,16.2746345488757,89
592U_07_V1V3,3.02456233863044,0.913099394213993,0.649890010027282,11.5073996430187,16.088823987162,105
590U_00_V3V5,3.01611311079859,0.91515751039987,0.648074518017006,11.786547102909,15.0414109639429,105
