Sample ID,Shannon,Simpson,Evenness,SimpsonsRecip,Tail,DiscTaxa
0104.35.06.SINUS,2.635629157137,0.837803435046075,0.622475876380368,6.16535868243617,13.0473955614952,69
0104.48.01.SINUS,2.35363068855698,0.864359535379717,0.633791574871944,7.37243124903354,5.6167733303805,41
< All Normalized >,1.60482966965912,0.685716478645295,0.281034967223322,3.18184038313414,6.67207283599826,302
< All Total Counts >,1.42325585821577,0.661661152807287,0.249238078673502,2.95561685658406,4.97506296923597,302
0104.52.06.SINUS,1.2998941577039,0.700182264160486,0.668013452900158,3.33535972179871,1.43817255808683,7
0104.52.05.SINUS,1.2623418986132,0.605011689710829,0.397205952447631,2.53172049387462,1.7014542178497,24
0104.35.04.SINUS,1.24399942786198,0.624739573946919,0.317993893731162,2.66481603327538,3.13508177646103,50
0104.52.01.SINUS,1.12138728631117,0.540571177155973,0.404454969219263,2.17661572430229,1.41079921286552,16
0104.20.01.SINUS,0.896839576106626,0.460015706629315,0.408169281081818,1.85190571703078,0.988162776724844,9
0104.35.01.SINUS,0.895619336688108,0.529794870403444,0.323026393891049,2.12673137117415,1.00465728032585,16
0104.32.01.SINUS,0.86733327363215,0.454549171297532,0.361706069264636,1.83334582583516,0.953810093562278,11
0104.35.02.SINUS,0.853955211343846,0.52355480974386,0.26870382219119,2.09887731149599,1.2597220182718,24
0104.36.02.SINUS,0.832245844236875,0.429670489185658,0.427689759797444,1.75337235937898,1.14070365094406,7
0104.32.03.SINUS,0.823443772822743,0.521602912017005,0.284891993762806,2.09031372706756,0.997835908608548,18
0104.01.02.SINUS,0.817982895441224,0.516112683689892,0.277806027303983,2.06659684247465,1.23346472520773,19
0104.09.05.SINUS,0.78229204600564,0.514874797813312,0.436605503942265,2.06132354182493,0.728577924353465,6
0104.35.03.SINUS,0.757388987793409,0.313018413737788,0.197821866651691,1.45564309145589,3.56206678771257,46
0104.24.03.SINUS,0.711031096043198,0.500355171250387,0.441788459529849,2.00142169489185,0.694251020118587,5
0104.33.04.SINUS,0.694160672329068,0.453368952915677,0.245008260244624,1.82938749149706,0.731613723686629,17
0104.44.02.SINUS,0.694080287969342,0.493920191853138,0.315889552269073,1.97597292739608,0.675507719875688,9
0104.50.01.SINUS,0.694080067924559,0.499858782935857,0.631778904244753,1.99943529123646,0.699147990446622,3
0104.32.02.SINUS,0.690045259873193,0.378162130435858,0.354613115208938,1.60813621836978,0.674187980090953,7
0104.18.02.SINUS,0.688874581984126,0.491111117979471,0.496917971611478,1.96506552870546,0.659390883488436,4
0104.50.03.SINUS,0.688871661667673,0.483590930173722,0.384466594706744,1.93644933528453,0.648549830866436,6
0104.47.02.SINUS,0.668673943566686,0.432155077001025,0.373194033602497,1.76104418565314,0.58890148536568,6
0104.07.02.SINUS,0.667824454573507,0.468751642995694,0.343193880199308,1.88235876274323,0.619813863607697,7
0104.09.03.SINUS,0.655882467359036,0.438656740904351,0.36605497480173,1.78144118379732,0.611193249167489,6
0104.27.08.SINUS,0.655810379108757,0.453340254867668,0.407477898987053,1.82929145397001,0.598640252726615,5
0104.44.01.SINUS,0.643860786483282,0.442640475468972,0.214926010634267,1.79417405819236,0.659216995501365,20
0104.24.04.SINUS,0.638978987128724,0.394833913398255,0.198509983576296,1.65243892898131,1.16587182386933,25
0104.18.01.SINUS,0.620572848932807,0.323748018309751,0.169390584593659,1.47873873508003,1.92072163683019,39
0104.44.03.SINUS,0.613475517402583,0.403548214001942,0.212247962818844,1.67658144962493,0.689520956969349,18
0104.43.02.SINUS,0.598378177561689,0.377620270215628,0.215819307336106,1.60673613253191,0.674591213453948,16
0104.24.02.SINUS,0.581199842809839,0.391096166460652,0.529030895434867,1.64229545770363,0.516774496177894,3
0104.07.01.SINUS,0.563151800641032,0.370641781500739,0.162491262010501,1.58892022159424,0.572287649919951,32
0104.04.01.SINUS,0.551572059014522,0.35447306437684,0.342710989192698,1.54912203475235,0.486962881838925,5
0104.53.01.SINUS,0.545078098959042,0.348680885737725,0.280114731517107,1.53534569783456,0.490351865002769,7
0104.33.02.SINUS,0.535955872217036,0.343038138181818,0.275426834315669,1.5221583749663,0.483923359822419,7
0104.09.04.SINUS,0.515291510587449,0.319235026442378,0.234519273042247,1.46893573970776,0.473792817065264,9
0104.07.05.SINUS,0.507146755997647,0.265176972749884,0.159577774031009,1.36087188740157,0.983476939615923,24
