#id	len	geom_mean	median	min	max
0a71fd6f-0e9a-410e-9d4d-b363f337f042	66	14.8	18	3	35
987a22d3-0f1b-471c-8e86-f89043fe5bf2	128	10.6	10	1	39
ffcd5c05-dbf0-4cc6-8188-462ce21aca5d	141	14.3	15	3	39
92833a63-bdc5-4be8-a889-bd2d1de40a66	217	30.2	38	5	50
d4b66041-af70-499f-a74e-4a72b8ce6d93	155	21.7	26	6	50
20a425c1-607e-46d7-85b1-5af946b93cda	784	29.6	37	4	50
a188bb20-ab51-441e-9bd4-28f779deb1d1	91	26.5	29	6	50
af268440-a055-43c6-b03c-87bcc26dd353	129	19.9	30	3	50
4865c02a-8a40-4fdb-8b39-6129f0d6d154	624	28.2	34	3	50
3b6175cd-d5c0-40a6-be1a-5380d48d90be	218	29.9	36	6	50
ae4b3109-267a-4a0b-8d25-d2ed3321f570	495	35.0	40	5	50
af182426-e252-4459-8c2e-d52c1247c3cc	57	16.2	14	2	42
5d968b8b-19d6-4fe4-b1e8-1ecf2fde5989	10	6.9	7	4	13
aa91f3d2-aeee-439d-b3d6-dd8d98c27d4f	121	23.0	35	5	50
750ffbd2-1fd3-4f6f-8275-2978e161663f	130	22.2	31.5	5	50
8e22e847-b6e3-4615-8487-6d69b6d019b7	131	14.3	15	3	44
cfb9983b-93f7-45e4-956f-597f49cb9edb	130	28.3	38	4	50
1014b01c-d2a8-426d-960a-c7dc8f79a3b4	18	3.1	3	2	9
918f62a0-f352-4431-b27f-51a0a0263602	220	15.4	22.5	3	33
780dbe6b-979c-48a2-b280-2971d06ca437	82	25.1	38	5	50
35967f5d-af4c-48f1-a502-37e648a75f24	73	15.7	17	3	42
e8ec9ec4-9c91-4399-a597-0022186ffefa	129	13.8	12	3	50
e0b703ce-d3f7-40a0-a620-d38aa38bb145	37	11.4	10	2	50
e0d1a20f-e437-493f-8397-dcf34e8d8ca2	82	21.1	27.5	3	43
c41eb702-5e05-4a5b-a2a8-d56b93467310	299	26.5	32	3	50
4295c0df-ec75-4773-8a17-5b48d71ff0c8	58	25.7	34	6	50
bc93366a-2d37-4ab8-9014-30949c21bf39	1835	25.7	30	4	50
f95e2b45-bf2b-4469-bb88-444614c52a92	161	18.0	20	3	50
1c7740bf-ac5e-487c-9857-d330add401c4	8	4.8	4.5	4	7
ca240a8c-b352-47a7-8735-6f9842af51d9	121	19.1	28	3	45
8b295aa8-c190-443b-b799-8ed50f212d5b	82	9.1	9	3	24
ae3b4e79-1d07-46d3-81ac-139d348d09c6	210	17.3	23.5	3	50
ea53fc06-3ec5-4739-9aeb-60ab082d40b2	1267	29.6	38	4	50
23630c96-c40c-43d1-8d42-b13b54fea543	111	24.0	29	4	44
99b8cb2f-bcd5-4cb9-bb7a-17163427d1fd	74	12.7	12	7	39
ff71414c-c96e-4181-9384-b00093df5241	141	35.9	40	8	50
900f4a89-da97-4c63-acf9-340a18cec683	56	35.3	36	19	50
fa012aa5-c5a8-4dc1-bea5-80b96858f2a9	123	32.1	35	11	50
49557110-aee9-44fc-bfa7-4184e7805a42	1	6.0	6	6	6
e42e0ff0-f597-41f7-a6fc-e362b26ab5a4	57	21.2	23	4	50
