sample_id	total	small_molecule_metabolic_process	monosaccharide_metabolic_process	alcohol_metabolic_process	organic_acid_metabolic_process	one_carbon_metabolic_process	vitamin_metabolic_process	Entner_Doudoroff_pathway_through_6_phosphogluconate	ether_metabolic_process	urea_metabolic_process	cellular_ketone_metabolic_process	small_molecule_catabolic_process	small_molecule_biosynthetic_process	formaldehyde_metabolic_process	cellular_ketone_body_metabolic_process	nucleobase_containing_small_molecule_metabolic_process	cellular_lactam_metabolic_process	Remaining
m21278	13683931	2398.33333333333	114917.120833333	16778.65625	176356.358637115	11710.3113095238	42587.3170568783	34.6666666666667	0.0625	63.7569444444444	3666.42168209876	6268.25441688712	13972.3465750845	49.3125	862.7	58693.7164290409	92.8694444444444	13235478.7954212
m21216	13534973	1702.83333333333	112334.163888889	12701.7791666667	165601.390251185	12430.5208333334	51941.0664539241	25	0	106.5625	5777.72569444445	3954.04313505842	14699.6226459849	17.9375	107.2	63371.3361663686	183.821296296296	13090017.9971345
m21056	13415072	647.666666666667	126374.447486772	11634.2048611111	170676.098475134	13347.7375	49644.2113646384	19.75	0	60.8333333333333	8567.11412037036	4374.85568171296	14554.2554084684	13.8125	132.2	63989.0306573747	194.183333333333	12950841.5986111
m21141	13287340	1431.66666666667	109421.863888889	15353.8497685185	174626.685476031	13313.0347222222	42784.023305776	5.16666666666665	0.270833333333333	44.8958333333333	4923.20810185185	3711.35787227183	14755.5304270925	7.125	119.7	68699.1176811638	125.217592592593	12838017.2861636
m41015	13235486	905.333333333333	108101.623611111	13899.6184027778	174306.887289159	13788.9375	49344.8215332893	2.66666666666667	0	77.5625000000001	5416.50069444443	3624.36495158179	15018.5672197191	13.375	83.5166666666667	67967.5791936524	156.347592592593	12782778.297845
m21310	13117571	557.833333333333	114803.773611111	13271.853968254	162271.567134607	12810.5	43739.4692493386	3.08333333333333	0.75	91.0069444444444	6098.80034722221	4001.35961876954	13623.6656678516	3.84375	125.183333333333	62056.3905446755	245.743518518518	12683866.1756452
m32023	12965349	2911.25	102262.863194444	17091.9814814815	173219.047420693	11871.8527777778	44999.8487301587	376.25	0.166666666666667	192.645833333333	6534.19259259259	4575.13308371914	14579.9946637777	91.8541666666666	300.6	63711.3168495656	138.731481481482	12522491.2710576
m21331	12938281	2427.33333333333	116279.120138889	14573.0354166667	163692.535540313	11480.8125	45733.2745216049	154.5	0.166666666666667	229.340277777778	5912.82175925926	4422.63369603275	14155.7388135426	59.1875	219.8	58107.1006598855	177.672222222222	12500655.9269538
m42476	12799296	967.5	119648.645138889	11918.8875	162527.068043553	13839.3777777778	45469.5992746913	3.75	0	84.4791666666667	6924.51018518519	4244.40471296296	14000.8208623144	36.9375	190.666666666667	63073.7340267571	227.137037037037	12356138.4821075
m42100	12774147	1278.33333333333	115412.640972222	16893.5197916667	162794.579566386	12142.3916666667	50114.8232627866	117.5	0	346.416666666667	7570.71354166668	5322.49769276345	15780.427655584	69.9375	142.5	63229.1252863307	202.461111111111	12322729.1319528
m45014	12693372	16444	104746.227777778	21614.599537037	195833.036097332	6027.9375	41569.0542548501	1417.25	0	127.979166666667	19827.2569444444	9410.58102623456	14996.487258506	757.520833333334	1719.1	56586.0579945824	189.805555555556	12202105.1060537
m21061	12583931	803.5	106269.16875	12221.7989583333	164137.434076052	13007.3986111111	45930.1322111993	5.25	0	60.9166666666667	5487.81030092592	3855.15589169974	13783.5130089378	7.375	173.9	58898.3858332313	128.213888888889	12159161.046803
m21407	12557001	6391.66666666667	96092.308994709	25323.1679783951	201733.57940805	8775.07083333334	38236.1859104938	1111	9.33333333333333	454.298611111111	18570.9627700617	8598.64274249063	15595.2732145843	487.34375	561.866666666667	59038.8903976419	80.1611111111111	12075941.2476114
m10020	12478391	422	100763.858333333	15585.4974155474	168318.978525554	13803.755952381	35144.4143220899	0.75	0	28.875	4787.20877425045	3372.26378111857	13647.4374507872	5.1875	122.933333333333	65661.141872731	97.5870370370372	12056629.1107018
m33160	12441671	5942.66666666667	102043.778472222	18654.6524636243	172136.207613744	11673.4875	45390.8492460318	567.333333333335	0.75	264.875	8164.76516203705	5333.40943892296	13886.4499553801	208.208333333334	374.533333333333	59910.1124417214	116.417592592593	11997002.5034471
m66162	12425518	958.333333333333	102310.0125	12022.5643518519	159378.918059597	11681.5166666667	50978.6909744268	12.75	0	97.2083333333333	5591.65104166668	3602.81072889109	14479.4382571833	7.9375	95.5333333333333	60007.4701363781	183.415740740741	12004109.7490426
m21317	12386349	788.666666666667	106391.915046296	13199.2773148148	154741.657140092	12493.0791666667	46276.2142989418	4.66666666666667	0.5	221.041666666667	5900.77723765433	4018.18642322531	13670.0116553911	13.5	127.3	57735.2566338632	197.077777777778	11970569.8723053
m26038	12351819	2631.58333333333	109887.505555556	16364.0924768518	174088.299134362	15386.6736111111	40546.1060019841	31.25	0	170.541666666667	4403.18310185186	4694.57974594907	14473.0811462697	63.875	589.9	63377.9939763272	160.336111111111	11904949.9991386
m21057	12338532	910.416666666667	109324.905555556	12848.9072420635	163443.525503608	14339.3486111111	43724.8757396384	11.1666666666667	0	276.625	6773.27233796295	4107.3417871648	13649.7202002498	11.9375	94.6	62370.1890776871	143.626481481482	11906501.5416301
m21224	12286507	830.833333333333	117825.877777778	12466.5854166667	151835.620793531	12544.375	39858.1877777778	2	0.0277777777777778	132.979166666667	5599.31550925926	4164.18225385802	12777.1153479801	8.64583333333334	260.833333333333	56056.5133776982	100.236111111111	11872043.6711899
m26455	12157781	687.833333333333	104128.726388889	12835.437962963	153055.333763731	12491.8375	44701.9284391535	0.5	0	240.666666666667	5931.1324074074	4125.29969725028	13252.4514977173	7.9375	237.316666666667	58696.3519489353	239.647222222222	11747148.5990051
m21052	12131286	245.333333333333	119087.283796296	11641.391313933	162191.147485012	12713.4930555556	43085.6995348324	2.5	0	43.0208333333333	5812.65596064814	3667.66942708333	13518.9930552111	8.625	81.05	63233.1241238405	115.222222222222	11695838.7908587
m26347	12119708	851	101405.518055556	12740.2565972222	153921.339654118	12025.375	42243.1218452381	1.16666666666666	0.75	62.1041666666667	4942.77314814815	3331.61873263889	13260.0574923069	13.03125	79.6333333333333	58202.2942036547	106.466666666667	11716521.4931878
m21316	11989247	781	103600.714814815	12557.10625	146107.763977587	11507.3125	33609.6044808201	2	0	191.958333333333	5956.83888888889	3408.59836554784	12475.5310815788	8.25	112.1	59651.6728858433	122.725925925926	11599153.8224957
m21393	11942620	856.833333333333	105285.983333333	11513.5538194444	154242.627942497	11168.0166666667	43842.1765343915	5.16666666666665	0	58.9791666666667	5626.85717592593	3442.92013084215	13427.6434750698	3	126.6	57294.0688443073	146.545370370371	11535579.0275405
m66136	11787430	779.916666666667	101885.472222222	10052.8238425926	124076.042057751	10795.5416666666	36977.8702876984	2.25	0	119.986111111111	4857.58194444444	3666.25165798611	10617.6633553562	10.3125	133.1	50324.143000543	255.538888888889	11432875.5057981
m21302	11781775	2403	98119.1409722223	13380.4668154762	151116.890785512	10521.875	42211.4809281305	194.75	0	265.694444444444	6658.63796296296	3994.57583253417	12651.911382367	44.1875	84.0333333333333	55653.3120659008	156.999074074074	11384318.043903
m71072	11764136	1306.5	93422.1493055555	11525.3885416667	147752.305510885	11025.6333333333	43731.2320756173	114.833333333333	0	92.9861111111111	6390.67974537036	3673.53241561949	12652.7328174373	24.625	130.633333333333	57120.4768910853	235.420370370371	11374936.8712153
m21384	11744006	704.166666666667	102858.00787037	12830.2506944444	140649.227298731	10593.8708333333	39203.5980015432	5.58333333333335	0	83.8541666666667	4126.19438657408	3525.26434747024	11927.2739760848	8.75	134.3	54098.1965729514	207.889814814815	11363049.572037
m32027	11740516	1765	107054.252777778	12071.2903439154	143068.429783251	10979.3375	43434.4284016755	29.25	0	151.972222222222	4946.58981481482	3974.87070403439	12571.79166708	37.8125	247.85	52575.6343990259	168.187037037037	11347439.3028492
m21333	11687417	1170.14285714286	99366.8395833333	12823.5883101852	148886.331096846	11629.225	40079.245907187	60.4166666666665	0	114.895833333333	5460.85023148147	3713.07019904652	12824.8238439475	29	183.9	58799.4754571249	151.17037037037	11292124.0246433
m26692	11528103	10436.3333333333	91093.0229166667	17110.077662037	157324.678468364	6930.49999999999	34365.4703824956	1087	0.166666666666667	75.1875	12681.3020833333	6123.76012138999	11958.9517083241	460.6875	721.166666666667	51074.9784773459	56.8185185185184	11126602.8979949
m10135	11421929	936.583333333333	91136.9108796296	14733.597337963	153056.415153788	11992.2166666666	40636.2193915344	9.25	0	49.6736111111111	4055.61412037037	3445.32076851852	13256.3116692846	8.3125	211.8	58236.728299795	87.3685185185184	11030076.6777495
m32022	11368815	969.166666666667	100930.654861111	10604.6970679012	139625.901466346	10967.4861111111	42279.4848842592	0.25	0.333333333333333	92	5636.14056712963	3379.56471508488	12377.0139466444	6.875	119.633333333333	52320.9933797725	89.3212962962962	10989415.483371
m26457	11361486	5212.33333333333	108047.621296296	15797.0891203704	153209.727433495	10283.2708333333	44206.4974371693	254.666666666666	0	177.645833333333	4838.62152777778	4896.72173142637	13194.9089310516	122.125	563	55435.7826679568	77.7703703703705	10945168.2178174
m32065	11293276	638.5	97368.66875	11771.6071759259	143780.600834472	11237.6458333333	37051.0009424603	0	0.75	347.145833333333	4580.02453703704	3438.88246778549	12494.4852765377	2.09375	61.4	54785.4512084191	73.3231481481483	10915644.4202425
m26640	11285747	2432.66666666667	103256.299305556	11931.6199074074	139026.949659529	9818.29166666668	40849.3422409612	228.75	0	161.3125	6355.44791666667	4213.73018559855	11784.4876830495	57.75	174.6	47985.9559342135	125.992592592593	10907343.8037411
m21246	11282241	4119	99371.0442129629	12017.7683201058	145786.602276478	9914.225	39656.7820348325	402.5	0	199.416666666666	7996.10543981482	4547.97511964386	12038.0727048427	151.71875	312.55	52227.9314029329	97.5842592592594	10893401.7238125
m32056	11158712	3690.83333333333	91783.0493055555	11982.9572916667	159680.34410402	13085.9541666667	39026.9794422399	183	0	39.25	7543.39629629631	4186.32517085538	13255.8059710281	94.2875	244.8	56471.054074666	141.937962962963	10757302.0253807
m21321	11033223	3594.33333333333	108816.353472222	13207.144212963	137712.731228781	9556.89583333332	33010.564363977	251.25	0	101.819444444444	6422.11824845679	4312.38333801808	11008.3676657573	123.3125	236.3	48068.5782328614	146.224074074074	10656654.6240518
m42451	10980150	1272	93457.6805555555	8991.415244709	126841.572306869	9734.20833333332	40944.4388183422	27	0	56.8819444444444	6946.33506944445	3454.57752425044	11222.1234440449	40.5	131.9	49592.5170492235	124.041666666667	10627312.8080431
m21072	10968513	1207.5	103164.274305556	11176.1335648148	141966.440269051	10188.875	40553.8883179012	9.75	0	65.3125	4358.83680555556	3641.56966765873	12109.5891177524	18.1875	279.3	51270.1082303506	160.221296296296	10588343.0134251
m21350	10925006	1179.66666666667	99505.2444444444	9983.89976851852	122349.003185534	9712.3125	37724.3447486772	25.4166666666667	0	86.375	4490.33333333334	3444.57613508598	10505.6110445602	38.3125	225.866666666667	43980.7146515938	95.1157407407406	10581659.2069475
m32068	10887230	673.940476190476	88085.1875	12286.2806712963	136148.204463414	10751.2541666667	37146.6314373898	5.66666666666665	0	253.319444444445	3133.47719907407	3657.29676929012	11862.7894358557	22.4166666666667	243.5	52189.4225221836	85.9533333333333	10530684.6592475
m71065	10861752	1539.66666666667	83533.8208333333	9251.90543981481	161597.939736165	11330	32906.6083730159	1.5	0	19.3541666666667	5959.36805555557	3403.91766589506	12725.5044018225	3.1875	98.8	63160.2515173243	144.896296296296	10476075.2793474
m42468	10832921	2892.66666666667	90441.8125	12140.60625	148352.243878693	10848.5208333334	44702.118042328	2.5	0	114.625	4326.54166666668	4423.4000462963	13151.2441377774	28.5	582.1	52852.5155569436	163.883333333333	10447897.722088
m10040	10755115	411.833333333333	84668.4194444444	14090.8936342593	138445.05473938	11221.9791666667	27703.6385593033	1.08333333333334	0	56.1458333333333	3824.54097222221	2989.69814699074	10984.8487777181	9	60.5	52827.4069735735	126.899074074074	10407693.0580114
m32099	10716455	967.142857142857	82145.4074074074	9943.18406084657	138652.307486483	9821.52638888887	40294.3996858466	7.25	0	54.1458333333333	4990.34374999999	3202.8707863481	12075.6661727936	7.75	139.25	53195.4149249828	144.603703703704	10360813.7369422
