sample_id	total	intracellular_non_membrane_bounded_organelle	kinetochore	chromosome	nucleolus	lipid_droplet	centriole	spindle	ribosome	cytoskeleton	chromocenter	gas_vesicle	bacterial_microcompartment	proteasome_storage_granule	ribonucleoprotein_granule	nematocyst	mitochondrial_nucleoid	plastid_nucleoid	contractile_fiber	bacterial_nucleoid	dynein_axonemal_particle	protein_aggregate_center	encapsulin_nanocompartment	Remaining
0159_AP39_21014_20171107_ST	1495923	0	0	6271.66666666667	0.7	0	3.7	0	15328.9833333333	89.6666666666667	0	0	524	0	0	0	0.25	0.25	0	57.75	0	0	0	1473646.03333333
0159_AB10_101585_20180920_ST	1495169	0	0	6096.25	11.15	7.33333333333333	93.5	0.2	17448.2666666667	50.25	0	0	406	0	1.5	0	0.875	0	0	64.625	0	0	0	1470989.05
0159_AY44_33272_20191114_ST	1494415	0	0.5	5146	2	0	4	1	13539.1	63.5	0	0	907	0	0.5	0	2.75	0	0	50.25	0	0	0	1474698.4
0159_AJ09_750005_20190925_ST	1492400	0	0	5307.75	0	0	93	0.333333333333333	16288.7833333333	54.5833333333334	0	0	535	0	0	0	1.25	0	0	64.75	0	0	0	1470054.55
0159_AQ29_10077_20180415_ST	1491723	0	0	3932	1.23333333333333	0.333333333333333	7.5	0	16787.4666666667	29.8333333333333	0	0	196.5	0	0	55.5	4.125	0	0	26.5	0	0	0	1470682.00833333
0159_AP39_21033_20171106_ST	1491336	0	0.125	5440	3	2	47.5	0.583333333333333	14474.1833333333	48	0	0	616	0	0	0	1.91666666666666	1.5	0	51.25	0	0	0	1470649.94166667
0159_AZ03_32054_20190917_STLS	1484017	0	0.125	5801.5	4.2	4	156.5	0.25	16350.9	47.9166666666666	0	2	618	0	2	0	4	0	0	62.25	0	0	0	1460963.35833333
0159_AS41_40071_20190501_ST	1473425	0	0	6650.16666666667	5.9	3.5	118.5	0	17119.4333333333	68.5833333333333	0	0	313	0	0	0	1.375	1	0	54	0	0	0	1449089.54166667
0159_AA34_42489_20190928_ST	1465893	0	0	8483.33333333333	92	0.5	0	0	12887.0333333333	89.3333333333333	0	0	3061.5	0	50.5	0	0	0	0	125.125	0	0	0	1441103.675
0159_AB10_26137_20180827_ST	1458302	0	0.125	5262.33333333333	1.7	0	48	0.25	15616.2833333333	58.9166666666666	0	0	426.5	0	0	1	1.25	0	0	53.25	0	0	0	1436832.39166667
0159_AB10_26267_20190116_ST	1453156	0	0	4339.83333333333	2.8	0	22	0	15214.55	28.75	0	0	236	0	0	0	0.375	0	0	40.5	0	0	0	1433271.19166667
0159_AP39_21131_20180213_ST	1452528	0	0	5379.83333333333	0.75	0	18.5	0	16475.5	134.5	0	0	909	0	0	0	0.75	0	0	67	0	0	0	1429542.16666667
0159_AB10_26420_20190311_ST	1448023	0	0.125	6623.58333333333	4.15	0	108	0.583333333333333	17336.5666666667	68.6666666666666	0	0	494.5	0	0.5	0	0	0.5	0	78.375	0	0.2	0	1423307.25
0159_AP39_21027_20171120_ST	1445714	0	0	3252.75	2.1	10.1666666666667	3	0.5	12945.3833333333	5.33333333333333	0	0	250	0	0.333333333333333	0	0.75	0	0	17.125	0	0	0	1429226.55833333
0159_AP39_21403_20180907_ST_E21	1434601	0	0	6867.25	4	0.5	59.5	1	16611.5333333333	117.916666666667	0	5.5	709	0	0	0	2.25	0	0	78.375	0	0	0	1410144.175
0159_AB10_26298_20181218_ST	1432885	0	0.25	4790.08333333333	4.2	0	57	1	15202.1166666667	61.75	0	0	503.5	0	4	8.5	0	0	0	55.125	0	0	0	1412197.475
0159_AQ29_10104_20180715_ST	1422306	0	0	4729.16666666667	0.9	3	66	2	15069.8833333333	42.1666666666667	0	0	260.5	0	0	0	1.25	0.25	0	41	0	0	0	1402089.88333333
0159_AZ03_32051_20190819_STHS	1419821	0	0	5940.08333333333	2.5	1	82	0.333333333333333	16011.25	121.666666666667	0	0	367	0	4	0	1.25	0.5	0	71.875	0	0	0	1397217.54166667
0159_AP39_21210_20180228_ST	1407694	0	0.375	4755.5	3	0	3	1.15	13765.9166666667	39.1666666666667	0	0	440	0	0.5	0	0.5	0	0	36.5	0	0	0	1388648.39166667
0159_AK37_71037_20181003_ST	1406536	0	0	6105.08333333333	4.2	0	122	0	15864.6	43.3333333333333	0	0	525.5	0	0	5	0.75	1.5	0	61.875	0	0	0	1383802.15833333
0159_AP39_21356_20180515_ST_E21	1403239	0	0.125	4781.58333333333	1.5	0	50	0.25	11913.4166666667	31.3333333333334	0	0	637	0	3	0	0.625	0	0	21.875	0	0	0	1385798.29166667
0159_BC12_41004_20171127_ST	1396914	0	0.125	4067.83333333333	1.2	0	45	0.45	14589.0833333333	59	0	0	485.5	0	0.35	0	2.125	0	0	38.5	0	0	0	1377624.83333333
0159_AK37_71012_20180504_ST	1384613	0	0.375	4698.75	3.2	0	84	0.75	14220.5833333333	44.1666666666667	0	0	575	0	1	0	1	0	0	41.625	0	0	0	1364942.55
0159_AY44_33252_20190930_ST	1381137	1	0.25	4277.25	5.3	0.25	59	0.5	15076.9833333333	42.4166666666666	0	0	586.5	0	0	0	2.5	0	0	40.875	0	0	0	1361044.175
0159_AP39_21040_20171006_ST	1372572	0	0	3776.83333333333	14.75	0.333333333333333	96.5	0	14350.7333333333	8.5	0	0	1756.5	0	43.5	0	2.625	0	0	93.25	0	0	0	1352428.475
0159_AP39_21167_20171214_ST	1368652	0	0.82142857142857	6693.83333333333	9	2.16666666666667	4.5	1.79285714285714	13091	41.5833333333333	0	0	2873.5	0	67.125	0	2.75	0	0	122.75	0	0	0	1345741.17738095
0159_AB10_26118_20180813_ST	1361964	0	0	6265.33333333333	4.7	3.5	60	0.5	15964.4333333333	62.4166666666667	0	0	313.5	0	0	5.5	1	0.5	0	69.25	0	0.4	0	1339212.96666667
0159_AS41_40088_20191004_ST	1357709	0	0	4456.16666666667	2.6	1	11	0	13635.8	38.2	0	0	144	0	3.5	0	13.5	0	0	32.75	0	0	0	1339370.48333333
0159_AA34_42117_20180619_ST	1339178	0	0.0714285714285715	4181.5	2	0.5	1	0	12923.6833333333	42.3333333333333	0	0	604	0	0	0	0.5	0	0	38.5	0	0	0	1321383.91190476
0159_AY44_33260_20191106_ST	1333069	0	0	5867	8.2	3	142	0	16078.85	84.5833333333333	0	0	422.5	0	0	0	3	1.25	0	56.25	0	0	0	1310402.36666667
0159_AQ29_10042_20171130_ST	1329470	0	0	3718.83333333333	0	0	25	0	9110.33333333333	41.6666666666666	0	0	308	0	0	0	0	0	0	4	0	0	1	1316261.16666667
0159_AB10_106685_20190116_ST	1322929	0	0	4550.58333333333	1.5	0	40	0.666666666666667	12752.95	34.1666666666667	0	0	308.5	0	0	0	1	0	0	41.125	0	0	0	1305198.50833333
0159_AB10_101383_20190318_ST	1319102	0	0.125	3849.5	0.75	1	1	0.25	12516.0833333333	55	0	0	486	0	0	0	0.875	0	0	41.5	0	0.333333333333333	0	1302149.58333333
0159_BC12_41001_20171018_ST	1316868	0	0.25	4312.33333333333	2.2	0	79	0.5	13805.0333333333	44.75	0	0	341.5	0	0	0	0.75	0	0	36.75	0	0	0	1298244.93333333
0159_AK37_71041_20181122_ST	1315430	0	0.25	6549.58333333333	2.9	17	46.5	1	16676.4	80.8333333333333	0	0	686	0	0.5	0	1.75	0	0	79.875	0	0.25	0	1291287.15833333
0159_AA34_42183_20180730_ST	1309744	0.5	0.583333333333335	7066.83333333333	25.3444444444444	2.16666666666667	0	0	9888.83333333333	136.066666666667	0	0	1327.5	0	52.75	0	1.41666666666666	0	0	58	0	0	0	1291184.00555556
0159_AB10_100707_20181102_ST	1307833	0	0	5362.33333333333	2.5	0	11.7	3.4	14824.7	70.1666666666667	0	0	722	0	0	0	7	0.5	0	51.5	0	0	0	1286777.2
0159_BA21_18022_20171205_ST	1294819	0	0	2651.58333333333	2.2	16.5	14.5	0.5	10930.3833333333	8.66666666666667	0	0	400.5	0	0	0	5.25	0	0	17.625	0	0	0	1280771.29166667
0159_AA34_42460_20191014_ST	1284171	0	0	4847	22.25	0	147.5	0	10901.4166666667	31.5	0	0	665	0	27	0	0	0	0	38.25	0	0	0	1267491.08333333
0159_AK37_71025_20181010_ST	1281993	0	0	4336.41666666667	1.2	0	170.5	0.833333333333333	14900.05	32.4166666666667	0	0	476	0	0	0	1.91666666666666	0	0	47.875	0	0	0	1262025.79166667
0159_AA34_42090_20180515_ST	1281859	0	0.25	3827.25	4.45	3	2.5	0.7	10900.4833333333	12.1666666666667	0	0	1018	0	2.5	0	1.125	0	0	29.75	0	0	0	1266056.825
0159_AY44_33186_20190530_ST	1281049	0	0.125	4574.75	2.68333333333333	0	73	1.41666666666667	14065.9833333333	58.25	0	0	549.5	0	0.25	0	0.875	0	0	42.875	0	0	0	1261679.29166667
0159_AZ03_32051_20190819_STLS	1277296	0	0	5560.5	2.08333333333333	2.33333333333333	76.5	0.333333333333333	14695.25	99.9166666666666	0	0	379.5	0	3.5	0	0	1	0	63.25	0	0	0	1256411.83333333
0159_AA34_42146_20180730_ST	1268089	0	0.125	6499.16666666667	1.75	1	26	1.25	14113.4166666667	74.8333333333334	0	0	436	0	0.5	0	0.25	0	0	62	0	0	0	1246872.70833333
0159_AZ03_32018_20180723_STHS	1263769	0	0	5772.66666666667	1.75	0.333333333333333	48	1.1	14524.5	47.75	0	0	312.5	0	0.5	0	0.25	0	0	67.75	0	0	0	1242991.9
0159_AZ03_32052_20190827_STLS	1228323	0	0.25	3935.33333333333	7.65	0.2	56.5	1.5	12291.4833333333	32.3333333333333	0	0	403.5	0	4.66666666666667	0	0.333333333333333	0.25	0	63.25	0	0	1	1211524.75
