sample_id	total	phosphate_containing_compound_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	phosphagen_metabolic_process	phospholipid_metabolic_process	nucleoside_phosphate_metabolic_process	phosphorylation	dephosphorylation	glucose_1_phosphate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	X7_8_dihydroneopterin_3__triphosphate_biosynthetic_process	thiamine_diphosphate_metabolic_process	pyridoxal_phosphate_metabolic_process	molybdopterin_cofactor_metabolic_process	inositol_phosphate_metabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	carbamoyl_phosphate_metabolic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	methanopterin_containing_compound_metabolic_process	lipid_X_metabolic_process	Remaining
0159_BA21_18022_20171205_ST	1284789	43.7333333333333	919.833333333333	6.16666666666667	11.2222222222222	920.674537037037	7162.45900062871	61079.9417989418	958.45	0	158.458333333333	56.7142918381344	656.8545781893	78.1666666666667	35.75	150.777777777778	5.10416666666667	28.6611111111111	24.0370370370371	198.583333333333	37.6666666666667	136.159259259259	75.5185185185185	12.2962962962963	9.66666666666667	7.11111111111111	0	0	1212014.99329336
0159_AZ03_32051_20190819_STLS	1283692	401.9	772.333333333333	5.83333333333333	17.2222222222222	1091.6498015873	8357.5085003511	53977.6127645502	1232.875	0	172.020833333333	114.871889084852	764.179504886831	117.666666666667	30.5833333333333	141.611111111111	9.41666666666667	48.8722222222221	18.2074074074074	129.208333333333	27.4166666666667	195.781481481482	58.462962962963	11.3611111111111	18	3.16666666666667	1.72222222222222	0	1215972.51596547
0159_AA34_42090_20180515_ST	1283223	65.7666666666667	817.333333333333	2	9.33333333333333	958.173412698412	7252.6997624355	58159.1060846561	1651.18333333333	0	125.861111111111	71.128000685871	696.155884283755	76.7222222222223	34.875	138.027777777778	8.14583333333333	54.6666666666667	23.7592592592593	135.027777777778	33.8888888888889	98.4648148148149	61.2222222222222	15.2037037037037	23.9074074074074	6.11111111111111	0	0	1212704.23639228
0159_AZ03_32018_20180723_STHS	1276215	252.9	936.777777777777	6.5	12.3333333333333	1142.16342592593	9035.3530675583	51985.7595238095	1385.95833333333	0	179.3125	79.6882716049383	855.905539266118	126.277777777778	30.9166666666667	171.435185185186	10.2152777777778	54.1944444444443	14.5111111111111	120.222222222222	20.6666666666667	209.242592592593	71.8148148148148	12.9444444444444	26.9074074074074	2.44444444444444	0	0	1209470.55517184
0159_AQ29_10072_20180330_ST	1275551	258.333333333333	1052.44444444444	2.83333333333333	9	1160.36064814815	9400.16804983996	43794.525462963	1280.49166666667	0	194.452777777777	72.2623885459533	909.358164008916	140.166666666667	41.5833333333333	187.555555555556	12.8125	54.061111111111	17.7222222222222	137.680555555555	28.0555555555556	193.837037037037	97.6296296296296	10.6296296296296	24.1851851851852	2.83333333333333	0	0	1216468.01741612
0159_AB10_101383_20190318_ST	1245349	395.4	732	3.16666666666667	17.1111111111111	840.722784391534	7303.88925668724	58340.6428571429	1377.31666666667	0	133.916666666667	58.400591563786	677.961207990398	101.666666666667	31.6666666666667	142.351851851852	10.8958333333333	23.85	22.1111111111111	140.694444444444	25.1222222222222	90.8888888888888	61.5555555555556	8.74074074074074	18.0740740740741	0.777777777777778	0	0	1174790.07635778
0159_AZ03_32052_20190827_STLS	1244511	200.95	685	3.83333333333333	6.44444444444444	1075.23834325397	7362.90565933438	54040.920436508	1013.075	0	150.194444444444	90.4373775230256	665.562248371057	76.111111111111	29.5416666666667	158.138888888889	9.78472222222222	53.8277777777777	19.9814814814815	157.777777777778	34.3888888888889	262.768518518518	53.5740740740741	5.09259259259259	14.3333333333333	3.72222222222222	0	0	1178337.39565723
0159_AA34_42492_20191121_ST	1240669	237.666666666667	453.333333333333	76.8333333333333	0.777777777777778	1057.00724206349	10675.2895310765	36832.157473545	1807.525	0	120.902777777778	83.8840081814618	1151.97281592935	179.444444444444	148.8125	195.12037037037	19.1944444444444	166.25	37.3518518518518	243.416666666667	9.38888888888889	594.029629629631	45.8703703703703	6.22222222222222	77.0555555555555	14	0	0	1186435.49309587
0159_AA34_42295_20181127_ST	1233524	132.5	1095.33333333333	0.166666666666667	8.55555555555555	1025.27708333333	7917.48849879972	46654.6898148148	974.991666666667	0	135.916666666667	65.8483796296296	779.791225137174	123.166666666667	29.7916666666667	168.064814814814	12.4305555555556	58.8277777777777	16.4537037037037	136.444444444444	42.1111111111111	173.640740740741	69.4444444444444	16.0740740740741	30.8148148148148	1.88888888888889	0	0	1173854.28740569
0159_AQ29_10142_20190319_ST	1229416	99.75	799	1.83333333333333	4.44444444444444	1266.61898148148	8871.78020118884	50213.7046296297	1081.18333333333	0	213.861111111111	78.4018347050754	833.371030521262	44.6666666666667	43.25	198.888888888889	29.1944444444444	23	2.96296296296296	69.4444444444445	23.3888888888889	152.474074074074	103.796296296296	4.40740740740741	11.7777777777778	1.11111111111111	0.388888888888889	0	1165243.2992484
0159_AQ22_10435_20191009_ST	1214477	85	916	0.333333333333333	3.11111111111111	894.382175925926	7399.50115883631	39057.5097883598	1184.18333333333	0	137.833333333333	62.337920096022	701.740950788752	107.611111111111	31.9583333333333	149.953703703703	7.90972222222222	40.1166666666667	26.2592592592593	168	31.7222222222222	143.977777777778	65.2222222222222	9.96296296296297	12.6666666666667	3.44444444444444	0	0	1163236.26180229
0159_AA34_42236_20181116_ST	1206265	163.75	779	4.66666666666667	8.66666666666667	893.488657407408	7036.08573959762	48039.6294973545	949.4	0	130.291666666667	60.7810785322359	668.009516460905	92.8333333333333	33.5208333333333	133.805555555556	8.11111111111111	44.6583333333333	24.1944444444444	180.013888888888	28.7888888888889	163.053703703704	59.9351851851852	8.51851851851852	15.2407407407408	2.77777777777778	0	0	1146735.77819583
