sample_id	total	transmembrane_transporter_activity	amine_transmembrane_transporter_activity	organic_acid_transmembrane_transporter_activity	ion_transmembrane_transporter_activity	carbohydrate_transmembrane_transporter_activity	polyamine_transmembrane_transporter_activity	nucleobase_transmembrane_transporter_activity	heme_transmembrane_transporter_activity	inorganic_molecular_entity_transmembrane_transporter_activity	siderophore_transmembrane_transporter_activity	efflux_transmembrane_transporter_activity	organophosphate_ester_transmembrane_transporter_activity	nucleobase_containing_compound_transmembrane_transporter_activity	oxidative_phosphorylation_uncoupler_activity	toxin_transmembrane_transporter_activity	passive_transmembrane_transporter_activity	active_transmembrane_transporter_activity	macromolecule_transmembrane_transporter_activity	amide_transmembrane_transporter_activity	xenobiotic_transmembrane_transporter_activity	modified_amino_acid_transmembrane_transporter_activity	auxin_transmembrane_transporter_activity	vitamin_transmembrane_transporter_activity	azole_transmembrane_transporter_activity	carbohydrate_derivative_transmembrane_transporter_activity	poly_beta_1_6_N_acetyl_D_glucosamine_transmembrane_transporter_activity	organic_hydroxy_compound_transmembrane_transporter_activity	sulfur_compound_transmembrane_transporter_activity	Remaining
0159_AK37_71051_20190224_ST	44419239	1017215.77261905	475	85352.4954365079	498332.55448082	96658.1763888889	2229.98611111111	75999.8333333333	5907.48333333333	237953.350380291	25977.5000000001	208931.066666666	642.8125	13745.4875	0	1425	154066.888194444	688878.48941799	48548.3354166667	51015.075	175810.075	2064.375	1	10622.0194444444	807.333333333333	19468.5777777778	3127.5	5815.57222222222	10571.3805555556	40977595.8598876
0159_BC12_41010_20171203_ST	38285200	731365.24047619	1639.66666666667	67755.5465277778	353855.45775463	56744.5965277778	2824.5	50488.8333333333	1027.08333333334	207123.862731481	8682.83333333333	151447.25	618.472222222222	5178.63333333333	0	176	60360.3340277778	688397.136441799	26541.125	27384.0222222222	192276.955555555	578.5	0	11685.5083333333	1098.875	10405.4944444444	0	7540.33333333333	5721.95972222222	35614281.7796792
0159_AV42_66107_20190327_ST	34893409	1125265.51666667	1681	98004.9691666666	403501.659768518	123090.036805556	2870.13888888889	106589.166666667	12786.25	190645.154100529	37465.8333333333	143429.645833333	2037.05208333333	24989.84375	0	6093	272574.571527778	547122.505853175	43121.9583333333	51808.8777777777	105854.180555556	2842.97222222222	0	7603.61388888889	454.541666666667	32595.9375	7	19541.4111111111	6507.40158730159	31524924.7609127
0159_AP39_21065_20180201_ST	34822918	843347.866666667	446	60758.3461111111	367515.958125	67008.9520833334	2020.1875	35692.1666666667	824	182575.856342593	18388.8333333333	270639.75	84.5196759259259	6883.84375	0	275	69856.0513888889	555058.162843916	33812.2839285714	37528.9694444445	154725.027777778	1098.29166666667	0	9623.775	841	9949.15509259259	5	6011.25	5322.58055555556	32082625.172047
0159_AP39_21295_20180811_ST_E21	34369045	740663.945238095	564.333333333333	76569.2908531746	354528.045869709	56543.3298611111	2505.52083333333	59620.5	2724.91666666666	196881.713293651	12175	125085.025	259.876157407407	5736.08958333333	0	568.333333333333	79747.2444444444	594456.199652777	24914.6361111111	27874.0805555556	145877.858333333	1426.51388888889	0	11690.2972222222	1559.02380952381	8434.78518518518	939	5373.56111111111	6692.35734126984	31825633.5223214
0159_AZ03_32019_20180325_ST	33704867	595723.435714286	568.333333333333	61399.3851984126	319533.99978836	32555.76875	3291.52083333333	57731.0833333333	646.541666666667	194417.691534392	6572.5	105722.45	133.251322751323	4237.14761904762	0	175.5	51188.8055555556	553675.701471561	20650.8680555555	20164.2694444444	144011.963888889	675.847222222221	0	11790.3638888889	1997.7380952381	6660.49021164021	10.5	2972.30555555556	5308.95	31503050.5875165
0159_AK37_71050_20190313_ST	33238352	641458.266666667	557.333333333333	63570.6138888889	319427.241484788	52680.2590277778	2488.71527777778	47170.1666666667	1660.41666666667	185843.632655423	9813.33333333333	131369.125	452.981481481481	4538.11666666667	0	249	60390.7330357143	584879.49905754	22700.0888888889	27387.9166666667	149094.375	799	0	11356.25	1497	7201.45925925926	12.5	4254.02777777778	5770.80555555556	30901729.1426091
0159_AZ03_32013_20200922_ST	32993539	683925.5	374.666666666667	59340.868452381	321813.565658069	36834.1506944445	2514.55555555556	43719.1666666667	497.833333333334	183456.207490079	12594.4444444444	155131.95	194.68287037037	6733.22083333333	0	67.1666666666667	58954.6083333333	530145.528654102	24798.3694444444	30395.3638888889	130241.294444444	605.119444444445	0	9902.00277777778	1399.08333333333	8635.6537037037	24.5	4225.66666666667	5091.73650793651	30681922.0934689
0159_AB10_100710_20181001_ST	32532675	922673.8	1379.11111111111	98028.9984722222	374893.583009259	84960.8479166666	3138.81944444444	89205.5	16899.5	204691.739252645	19635	65350.7166666667	1083.83680555556	12862.3479166666	0	3715	167127.317361111	623023.028488756	22562.7680555555	29526.5	140095.383333333	1220.75	0	12091.25	870.75	18629.9597222222	4330	10906.2	8166.05654761905	29595606.2358962
0159_AP39_21076_20180429_ST	31933635	652823.15952381	354.333333333333	64230.2791468254	315616.886643518	49961.0694444445	1987.52083333333	40962.6666666667	903.666666666666	167621.679001323	15172.8333333333	165134.833333333	221.260416666667	4674.82708333333	0	191	60141.3791666667	526251.028439153	25886.6458333333	28779.8583333333	153000.683333333	1001.79166666667	0	10306.0805555556	1054.66666666667	6573.76805555555	3	3479.66666666667	5711.69067460317	29631588.7251819
0159_AP39_21119_20181218_ST	31279866	737112.2	259.666666666667	51201.099186508	329320.247837302	51944.0527777778	1842.72222222222	32576.3333333333	1230.25	167856.506481482	16255.3333333334	218490.333333333	72.9849537037037	6946.18958333333	0	508	76113.3666666667	462011.098958334	31435.9270833333	40825.4416666667	120213.216666667	1181.91666666667	0	8579.12222222222	480.690476190476	9670.18842592593	16	5177.77777777778	4671.18472222222	28903874.1489583
