sample_id	total	kinase_activity	inositol_1_3_4_5_6_pentakisphosphate_kinase_activity	inositol_hexakisphosphate_kinase_activity	inositol_heptakisphosphate_kinase_activity	lipid_kinase_activity	NAD__kinase_activity	acetylglutamate_kinase_activity	adenylylsulfate_kinase_activity	choline_kinase_activity	creatine_kinase_activity	dephospho_CoA_kinase_activity	diacylglycerol_kinase_activity	dolichol_kinase_activity	ethanolamine_kinase_activity	glycerol_kinase_activity	glycerone_kinase_activity	hydroxyethylthiazole_kinase_activity	mevalonate_kinase_activity	pantothenate_kinase_activity	phosphoglycerate_kinase_activity	phosphomevalonate_kinase_activity	protein_kinase_activity	selenide__water_dikinase_activity	shikimate_kinase_activity	pyridoxal_kinase_activity	riboflavin_kinase_activity	acetate_kinase_activity	carbamate_kinase_activity	glycerate_kinase_activity	hydroxymethylpyrimidine_kinase_activity	inosine_kinase_activity	phosphomethylpyrimidine_kinase_activity	phosphoribulokinase_activity	polyphosphate_kinase_activity	propionate_kinase_activity	pyruvate__water_dikinase_activity	tagatose_6_phosphate_kinase_activity	tetraacyldisaccharide_4__kinase_activity	thiamine_phosphate_kinase_activity	undecaprenol_kinase_activity	phytol_kinase_activity	phosphatidylinositol_phosphate_kinase_activity	D_erythro_sphingosine_kinase_activity	inositol_3_kinase_activity	thiamine_kinase_activity	carbohydrate_kinase_activity	amino_acid_kinase_activity	nucleobase_containing_compound_kinase_activity	diphosphoinositol_pentakisphosphate_kinase_activity	aminoglycoside_phosphotransferase_activity	phosphatidylinositol_3_kinase_activity	inositol_pentakisphosphate_2_kinase_activity	NADH_kinase_activity	adenosylcobinamide_kinase_activity	glycerate_2_kinase_activity	ADP_specific_glucokinase_activity	ADP_specific_phosphofructokinase_activity	gluconokinase_activity	S_methyl_5_thioribose_kinase_activity	phosphoenolpyruvate_glycerone_phosphotransferase_activity	polyphosphate_glucose_phosphotransferase_activity	X5_dehydro_2_deoxygluconokinase_activity	beta_glucoside_kinase_activity	butyrate_kinase_activity	dehydrogluconokinase_activity	erythritol_kinase_activity	glucosamine_kinase_activity	glucose_1_6_bisphosphate_synthase_activity	glucose_1_phosphate_phosphodismutase_activity	macrolide_2__kinase_activity	fucokinase_activity	pseudouridine_kinase_activity	ribosylnicotinamide_kinase_activity	sedoheptulokinase_activity	tagatose_kinase_activity	triokinase_activity	X4__cytidine_5__diphospho__2_C_methyl_D_erythritol_kinase_activity	alpha_glucan__water_dikinase_activity	inositol_tetrakisphosphate_kinase_activity	inositol_trisphosphate_kinase_activity	phosphatidylinositol_kinase_activity	phosphatidylinositol_bisphosphate_kinase_activity	autoinducer_2_kinase_activity	guanosine_kinase_activity	Remaining
0159_AS41_40084_20190710_ST	774055	7661.09285714286	0	0	0	0	35.2083333333333	58.9166666666665	22.5833333333333	0	6.5	42.6	59.1	0	0	123.833333333333	159.75	12.2083333333333	4.25	69.5833333333335	80.6666666666665	3	2247.3375	12.6666666666667	32.0666666666666	125	50.625	63.5833333333335	56.5	153.25	45.6666666666667	1.5	71.8333333333335	0.75	135.583333333334	0.5	21.5833333333333	25.9166666666667	55.5	47.1666666666667	7.5	0	2	0	0	0.5	1154.66666666667	291.25	430.658333333333	0	0.666666666666665	0	0	0	23.65	23.75	0	0	2.58333333333333	9.5	17.5	0	109.5	30.5	66.5	0	0.333333333333333	1.5	0	0.333333333333333	0	14	1.25	20.9166666666667	0	0	0	58.5	0	0	0	0	0	13.5	1.5	760286.119642857
0159_BE31_82028_20191119_ST	768952	7320.81666666667	0	0	0	0	40.4166666666667	63.875	27.2380952380953	0	2.58333333333333	50.3916666666665	49.75	0	0	102	147.25	18.8916666666667	1.25	92	99.3333333333335	0.75	2024.02777777778	15.5	40.225	144.5	60.5416666666665	68	45.25	140.166666666666	51.75	0	86.6416666666665	0	129.75	0	6.66666666666665	26.9583333333333	46.75	36.5	5.08333333333335	0	0	0	0	0	1129.04166666667	310.895833333333	464.904761904762	0	1.41666666666666	0	0	0	33.6750000000001	11.5	0	0	0.75	5	1.75	0	163	48	56.75	0	0	0	0	0	0	11.4166666666667	17.25	18.5	0	0	0	63.5	0	0	0	0	0	1.5	0	755668.291865079
0159_AB10_26084_2018069_ST	768704	8011.6	0	0	0	0	41.2083333333333	57.875	15.8333333333333	0	9.66666666666665	58.1666666666665	63.8333333333335	0	0	99.6666666666665	206.25	21.5916666666667	0.25	76.75	74.8333333333335	0.25	1968.87023809524	20.9166666666667	41.5166666666667	169.5	47.4166666666667	52.8333333333335	73.25	146.416666666666	50.375	0	83.6333333333335	0	115.666666666667	0	12.3333333333333	19.625	34.25	31	8.75	0	0	0	0	0	1213.91944444444	291.416666666667	440.166666666666	0	0	0	0	0	29.1833333333334	13.25	0	0	0	17	7.75	0	130.75	37.25	52.75	0	0	6.5	0	0	0	0	6.75	8.5	0	0	0	70.25	0	0	0	0	0	10.5	0	754753.93531746
0159_AP39_21211_20171227_ST	759905	6878.76666666667	0	0	0	0	39.8916666666667	54.9166666666665	15.9547619047619	0	16.0833333333333	46.7333333333333	47.3333333333333	0	0	143.666666666666	182.25	22.0416666666667	0.333333333333333	75.6666666666665	112.25	0	2007.95416666667	16.9166666666667	43.1833333333334	132	56.3333333333335	60	52.5	146	39.25	0	76.4166666666665	0	182	0	11	25.0833333333333	41	38.8333333333333	1.25	0	0	0	0	0	1103.77777777778	287.325	473.383333333334	0	0.25	0	0	0	25.1583333333333	6.25	0	0	0.875	4.25	3.5	1.5	137.75	36	31.75	0	0	1	0	0	0	4.91666666666667	11.75	19.5	0	0	0	71.75	0	0	0	0	0	1.5	0	747117.204960317
0159_AA34_42387_20190408_ST	757439	7438.10238095238	0	0	0	16	88.375	52.0333333333335	16.3333333333333	0	20.1666666666667	56.5	10.5833333333333	0	0	190.666666666666	241.083333333334	56.5666666666665	6.75	74.35	94.5833333333335	6.5	978.227777777777	35.75	93.2916666666665	124.083333333333	46.4166666666667	108.166666666667	97	123.916666666667	57.5666666666665	27.75	121.066666666667	17.3333333333333	228	12.4166666666667	194.416666666666	86.7083333333335	83.75	65.3333333333335	1	0	15.5	0	0	17.5	1013.20833333333	337	599.440476190476	0	2.16666666666667	0	0	0	22.1166666666666	11.25	0	0	50	33.25	85.0833333333335	2	95	42	9.25	0	0	0	0	0	0	0	19.25	8.66666666666665	0	0	0	73.75	0	0	0	0	0	8	27.75	744096.029365079
0159_BD46_77002_20190112_ST	753993	7880.56666666667	0	0	0	0	32.0416666666667	67.8333333333335	13.4	0	5.08333333333335	76.5916666666665	52.8333333333335	0	0	100.583333333333	179	20.2916666666667	0	84.3333333333335	124.916666666667	0.5	1776.94722222222	22	51.2916666666665	103	67.4166666666665	74.75	43	137.5	36.5	0	65.25	0	134.416666666666	0	6.16666666666665	27.7083333333333	40.5	41.6666666666667	3.41666666666667	0	0	0	0	0	1027.58928571429	278.416666666667	599.083333333333	0	0	0	0	0	31.1750000000001	18.75	0	0	0.75	1.5	3.5	1.5	141.75	96.5	38.75	0	0	1	0	0	0	0	16	8.58333333333335	0	0	0	81.5	0	0	0	0	0	2.5	0	740374.646825397
0159_AQ29_10102_20180706_ST	748319	6891.96666666667	0	0	0	0	49.625	57.2916666666665	8.8	0	26	69.1666666666665	28.5833333333333	0	0	138.75	283	22.6666666666667	0.916666666666665	73.1666666666665	144.791666666666	0	1505.0125	26.9166666666667	55.8416666666665	121.5	73.875	108.583333333333	99	142.833333333334	31.25	0	81.0833333333335	0	105.25	0	12	30.0833333333333	32.5	27.5	0.833333333333335	0	0	0	0	0	993.25	305.583333333333	601.966666666667	0	1.75	0	0	0	20.8916666666667	6	0	0	0	3	3.5	2.5	77	14.5	80.75	0	0	0	0	0	0	1	7.5	5.5	0	0	0	69.75	0	0	0	0	0	2	0	735873.770833333
0159_AY44_33230_20191018_ST	740098	7328.86666666667	0	0	0	0	39.125	58.9166666666665	20.9666666666667	1	11.25	50.6166666666665	41	0	0	122.416666666667	223.5	20.2583333333334	0	77.5	82.8333333333335	0.5	2148.91388888889	16.25	42.5083333333333	129.25	47.0833333333333	64.75	65	109.5	47.6	0.75	77.15	0.5	126.5	0.166666666666666	8.91666666666665	33.1666666666667	24.25	34.1666666666667	6.25	0	0	0	0	0	1106.83333333333	267.125	456.966666666666	0	0.25	0	0	0	21.7	6.25	0	0	0.666666666666665	11	17.8333333333333	0.5	124.25	33.25	42.5	0	0	1	0	0	0	13.8333333333333	15.25	4.70833333333333	0	0	0	59.5	0	0	0	0	0	1	0.75	726851.411111111
0159_AS41_40072_20190422_ST	738912	7281.58333333333	0	0	0	0	28.25	53.5416666666665	13.3666666666666	0	5	53.9166666666665	47.6666666666667	0	0	76.75	180.25	16.8333333333333	0.5	52.5833333333335	74.9166666666665	0.75	2362.04186507936	21	39.5333333333334	71	38	60.3333333333335	54	123.166666666667	34.25	0	59.6666666666665	0	185.833333333334	0	6.83333333333335	44.0416666666667	27.5	29.5	1.25	0	0	0	0	1.5	980.725	284.291666666667	354.166666666667	0	6.75	0	0	0	21.325	31.25	0	0	1	13	6.16666666666665	0	139.75	29	28.75	0	0	1	0	0	0	0	12	1.16666666666666	0	0	0	53	0	0	0	0	0	8.5	0	725894.799801587
0159_AQ29_10148_20190612_ST	733429	8968.61666666667	0	0	0	0	41.7916666666667	70.2916666666665	19.85	0	4.16666666666667	64.1	29.5833333333333	0	0	137	155.166666666666	23.7	0.25	81.5166666666665	110.958333333333	0.25	1599.64444444444	25.5833333333333	47.85	126.166666666667	59.9166666666665	76.1666666666665	88.75	178.916666666666	46	0	79.1166666666665	0	187.25	0	11.5	47.7916666666667	51.25	49.5	1.83333333333334	0	0.166666666666666	0	0	0	995.208333333333	281.875	534.933333333333	0	0	0	0	0	28.2	11	0	0	0	3	3.66666666666667	0	128.25	24	39.5	0	0	0	0	0	0	0	11	2.75	0	0	0	78.5	0	0	0	0	0	1.5	0	718900.972222222
0159_AA34_42430_20190612_ST	726174	6605.41666666667	0	0	0	0	27.375	41.25	19.7666666666667	0	2.91666666666667	27.75	70.5833333333335	0	0	118.833333333333	80.75	8.66666666666665	0	66.8333333333335	77.5	0	2479.64305555556	8	22.0416666666667	120.25	43.3333333333333	51.9166666666665	41.25	94.1666666666665	48.0833333333333	0.5	48.75	1.25	178.166666666666	0	21.4166666666667	10.6666666666667	45	39.5	1.16666666666666	0	0	0	0	0.5	1032.64642857143	303.708333333334	315.45	0	0	0	0	0	16.675	26	0	0	0.25	8	0	0.5	101.5	2.25	49	0	0	2.5	0	0	0	10.3333333333333	5	29.375	0	0	0	35.25	0	0	0	0	0	3	0.5	713828.818849206
0159_AA34_42213_201800907_ST	724478	10791.9166666667	0	0	0	0	63.125	101.916666666667	5	0.25	3.25	45.5	21	0	0	56.4166666666665	100.083333333333	47.5	0	52.5	74.5	0.25	1837.8	13.25	32.7916666666667	157.5	65	78.1666666666665	46	168.166666666666	52.5833333333335	4	103.916666666667	4	144.833333333334	1.83333333333334	4.41666666666667	27.8333333333333	43.5	52	5	0	0	0	0	1.5	772.791666666666	285.541666666667	470.666666666667	0	0	0	0	0	9.24166666666667	2.5	0	0	1.25	0	8.58333333333335	0.5	99.75	51	20.5	0	0	2	0	0	0	0	26	4.625	0	0	0	58	0	0	0	0	0	2	4	708451.75
0159_AB10_26341_20190102_ST	714777	9009.35	0	0	0	0	45.2916666666667	58.5833333333335	10.95	0	11.5	44.9583333333333	42.0833333333333	0	0	93.3333333333335	156.75	25.3333333333333	0	78.8333333333335	96.1666666666665	0	1701.58194444445	16.3333333333333	41.3666666666667	130	51.75	62	41.5	130.666666666666	54	0	93.0416666666665	0	151.25	0	15	22.375	46.5	44	1.83333333333334	0	0	0	0	0	802.5	282.166666666667	473.533333333333	0	0	0	0	0	26.975	18.5	0	0	0.25	2	2.5	1.5	102.75	21.5	28.75	0	0	0.5	0	0	0	1.66666666666666	7	11.6666666666667	0	0	0	80	0	0	0	0	0	5	0	700631.909722222
0159_AP39_21136_20171209_ST	701856	7325.13333333333	0	0	0	0	30.9166666666667	78.9166666666665	9.95	0	13.1666666666667	90.2416666666665	47.8333333333333	0	0	134.5	235.75	39.7583333333333	0.75	85.3333333333335	94.6666666666665	0	1728.04305555555	29.1666666666667	49.6666666666667	159.75	53	70.0833333333335	82	148.75	67.25	0	96.5916666666665	0	166.666666666666	0	2.83333333333333	53.875	10	16.3333333333333	10.0833333333333	0	0	0	0	0	1075.79166666667	258.625	511.395454545454	0	0.75	0	0	0	36.8166666666666	12.25	0	0	2	3.5	4.25	3.5	161.5	33.5	30.5	0	0	0	0	0	0	2.5	10	9	0	0	0	82.75	0	0	0	0	0	1.5	0	688684.861489899
