sample_id	total	catalytic_activity__acting_on_a_protein	peptidyl_prolyl_cis_trans_isomerase_activity	protein_disulfide_isomerase_activity	dihydrolipoyllysine_residue_succinyltransferase_activity	dolichyl_phosphate_mannose_protein_mannosyltransferase_activity	holocytochrome_c_synthase_activity	peptidylamidoglycolate_lyase_activity	polypeptide_N_acetylgalactosaminyltransferase_activity	protein_kinase_activity	protein_lysine_6_oxidase_activity	phosphoprotein_phosphatase_activity	dihydrolipoyllysine_residue_acetyltransferase_activity	peptidase_activity	protein_methyltransferase_activity	protein_prenyltransferase_activity	palmitoyl__protein__hydrolase_activity	protein_tyrosine_sulfotransferase_activity	microtubule_severing_ATPase_activity	ubiquitin_like_modifier_activating_enzyme_activity	X_acyl_carrier_protein__phosphodiesterase_activity	X_protein_PII__uridylyltransferase_activity	phosphatidylglycerol_prolipoprotein_diacylglyceryl_transferase_activity	protein_disulfide_reductase_activity	protein_N_acetylglucosaminyltransferase_activity	aminoacyltransferase_activity	lipoate_protein_ligase_activity	biotin_protein_ligase_activity	deoxyhypusine_monooxygenase_activity	protein_cysteine_S_acyltransferase_activity	ubiquitin_like_protein_transferase_activity	protein_xylosyltransferase_activity	peptidyl_proline_dioxygenase_activity	protein_lysine_deacetylase_activity	lipoyl_octanoyl__transferase_activity	protein_deglycase_activity	peptide_O_fucosyltransferase_activity	X_glutamine_synthetase__adenylyl_L_tyrosine_phosphorylase	protein_glucosylgalactosylhydroxylysine_glucosidase_activity	protein_methylesterase_activity	peptide_lysine_N_acetyltransferase_activity	microtubule_plus_end_polymerase	peptidyl_aspartic_acid_3_dioxygenase_activity	protein_glycine_ligase_activity	protein_glutamic_acid_ligase_activity	peptidyl_lysine_5_dioxygenase_activity	protein_O_GlcNAc_transferase_activity	protein_ribulosamine_3_kinase_activity	protein_methylthiotransferase_activity	catalytic_activity__acting_on_a_glycoprotein	protein_demethylase_activity	ATP_dependent_histone_chaperone_activity	NAD__protein_ADP_ribosyltransferase_activity	Remaining
0159_AA34_42090_20180515_ST	1890222	0	2292.51666666667	0	7.6	4.5	0.25	0	0	6475.5	0	1461.16666666667	3.66666666666667	47650.1116747835	437.572474747475	0	0	0	0	549.25	1.5	17.1666666666667	305.25	761.993055555556	0	780.458333333333	70	188.291666666666	0	0	1.625	107.5	0	50.7547619047619	80	0.375	0	3.21666666666667	0	43.8333333333333	0	0	0	0	0	0	1.5	0	84.7083333333335	167.208333333334	0	0	2.16666666666667	1828672.31803301
0159_AK37_71025_20181010_ST	1884206	0	3225.58333333333	0	38.225	25.5	0	0	0	4761.83611111112	0	1374.625	2.33333333333333	32922.999025974	598.036111111111	0	0	0	0	670.666666666665	10.5	7.75	478.5	943.402777777778	0	733.25	22.8333333333333	299.791666666667	0	0	1.75	13.75	0	67.0952380952379	220.25	2.5	0	1.4	0	66.9583333333335	0.75	0	0	0	0	0	0.25	0	175.666666666666	38.8333333333333	0	0	332.75	1837168.21406926
0159_AA34_42146_20180730_ST	1882409	0	3080.25	0	3.275	31	2.5	0	0	4421.24861111111	0	2031.83333333333	8.66666666666667	32349.3123511905	718.480555555554	0	0	3	0	445.916666666667	2.5	8.41666666666665	449.5	743.555555555556	0	466.433333333333	15	227.383333333333	0	0	10.25	19.75	0	71.9107142857143	48.3333333333333	0	0	5.7	0	67.3333333333335	0	0	0	0	0	0	0	0	168.708333333334	43.875	0	0	84.9166666666665	1836879.95054563
0159_AQ22_10435_20191009_ST	1879430	0	2582.91666666667	0	3.225	29	0.25	0	0	6461.25416666667	0	1463.16666666667	54.6666666666667	31839.406547619	532.580555555555	0	0	0	0	400.083333333333	10	7.75	444.5	666.458333333333	0	496.375	38.3333333333333	202.391666666667	0	0	0	63.5	0	57.4904761904764	112.25	0	0	2.6	0	62.125	0	0	0	0	0	0	0	0	124.5	66.25	0	0	35	1833673.9265873
0159_AZ03_32018_20180723_STHS	1848727	0	2856.33333333333	0	27	143.5	5.75	0	0	4195.89325396825	0	1830.70833333333	17	33054.4339285714	667.50972222222	0	0	0	0	532.083333333335	24	32.5833333333333	467	791.694444444445	0	566.375	42.611111111111	243.375	0	0	2.625	26.25	0	75.4690476190478	46.9166666666667	9.625	0	1.375	0	80.25	0	0	0.5	0	0	0	0	0	162.791666666666	36.0416666666667	0	0	162	1802625.30515873
0159_AZ03_32051_20190819_STLS	1844833	0	2645.91666666667	0.125	13.7	131.5	1.5	0	0	4785.18492063492	0	1696.33333333333	28.1333333333333	35607.8724702381	543.121527777778	0	0	2.5	0	510.833333333335	28.5	14.6666666666667	403	723.736111111111	0	629.375	44.3333333333333	210.708333333334	0	0	3.75	46.4166666666667	1	69.125	73.5833333333335	1	0	1.225	0	82.375	1	0	0	0	0	0	0	0	143.141666666667	41.125	0	0	90.1666666666665	1796258.05163691
0159_AA34_42492_20191121_ST	1839367	0	2271.41666666667	1.5	61.45	9.5	5	0	0	3587.46527777778	0	1382.65277777778	24.7666666666667	26043.2748511905	918.322916666665	0	0	0	0	391.916666666667	17	75.75	461.25	626.416666666667	0	732.791666666667	153.9	175.433333333334	0	0	0	35.25	0	12.0916666666667	116.75	6.75	0	18.7583333333334	0	13.7916666666667	0	0	0	0	0.166666666666666	0	0	0	99	3.25	0	0	1.5	1802119.88417659
0159_AB10_101383_20190318_ST	1837378	0	2404	0	1	105	1	0	0	6194.02083333333	0	1537.58333333333	22.3333333333333	34273.0540178571	533.915277777778	0	0	7.5	0	457.833333333333	0	6.75	276	789.381944444444	0	296.333333333333	13.5	180.325	0	0.25	4.125	0.75	0	55.325	68.5	0	0	3.425	0	102.833333333333	0	0	0	0	0	0	0	0.25	115.208333333333	154.375	0	0	11.5	1789761.92792659
0159_AA34_42236_20181116_ST	1826616	0	2577	0.5	31.6	50	2.25	0	0	5052.95277777778	0	986.027777777778	35.7333333333333	32957.709077381	484.965277777778	0	0	0	0	515.749999999998	5.5	54.2916666666665	392.5	792.881944444444	0	288.8	32.4	183.875	0	0	7.625	36.75	0	43.0952380952381	85.25	1.25	0	17.7583333333334	0	86	0	0	0	0	0.166666666666666	0	0	0.75	113.875	155.75	0	0	16.8333333333333	1781606.15957341
0159_AQ29_10142_20190319_ST	1796327	0	4308	5	0	50.5	0	0	0	3478.93194444444	0	1302.39166666667	1	37260.1712797619	518.633333333333	0.5	0	0	0	642.333333333335	1	64.5833333333335	472.5	616.118055555556	0	321.291666666667	5.16666666666667	305.75	0	0.5	14.2083333333333	82.3333333333335	0	26.5041666666666	1.75	0	0	14.5	0	26.2916666666667	7.375	0.5	0	0	0	0	0	0	185.683333333334	7.41666666666665	0	0	13	1746593.06622024
