sample_id	total	catalytic_activity__acting_on_a_protein	peptidyl_prolyl_cis_trans_isomerase_activity	protein_disulfide_isomerase_activity	dihydrolipoyllysine_residue_succinyltransferase_activity	dolichyl_phosphate_mannose_protein_mannosyltransferase_activity	holocytochrome_c_synthase_activity	peptidylamidoglycolate_lyase_activity	polypeptide_N_acetylgalactosaminyltransferase_activity	protein_kinase_activity	protein_lysine_6_oxidase_activity	phosphoprotein_phosphatase_activity	dihydrolipoyllysine_residue_acetyltransferase_activity	peptidase_activity	protein_methyltransferase_activity	protein_prenyltransferase_activity	palmitoyl__protein__hydrolase_activity	protein_tyrosine_sulfotransferase_activity	microtubule_severing_ATPase_activity	ubiquitin_like_modifier_activating_enzyme_activity	X_acyl_carrier_protein__phosphodiesterase_activity	X_protein_PII__uridylyltransferase_activity	phosphatidylglycerol_prolipoprotein_diacylglyceryl_transferase_activity	protein_disulfide_reductase_activity	protein_N_acetylglucosaminyltransferase_activity	aminoacyltransferase_activity	lipoate_protein_ligase_activity	biotin_protein_ligase_activity	deoxyhypusine_monooxygenase_activity	protein_cysteine_S_acyltransferase_activity	ubiquitin_like_protein_transferase_activity	protein_xylosyltransferase_activity	peptidyl_proline_dioxygenase_activity	protein_lysine_deacetylase_activity	lipoyl_octanoyl__transferase_activity	protein_deglycase_activity	peptide_O_fucosyltransferase_activity	X_glutamine_synthetase__adenylyl_L_tyrosine_phosphorylase	protein_glucosylgalactosylhydroxylysine_glucosidase_activity	protein_methylesterase_activity	peptide_lysine_N_acetyltransferase_activity	microtubule_plus_end_polymerase	peptidyl_aspartic_acid_3_dioxygenase_activity	protein_glycine_ligase_activity	protein_glutamic_acid_ligase_activity	peptidyl_lysine_5_dioxygenase_activity	protein_O_GlcNAc_transferase_activity	protein_ribulosamine_3_kinase_activity	protein_methylthiotransferase_activity	catalytic_activity__acting_on_a_glycoprotein	protein_demethylase_activity	ATP_dependent_histone_chaperone_activity	NAD__protein_ADP_ribosyltransferase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	0	383228.56439394	10.5416666666667	11573.0625	4873	48.75	1.75	0	544358.685912698	0	168361.083333333	17208.8333333333	3850030.43012543	78583.1708333335	74.5	0	270	0	81439.4333333335	8066.25	16329.2797619048	49856.25	126803.161805556	0	88819.4333333333	8957.25555555557	29260.4	0	0.75	459.458333333333	3278.25	10.8333333333333	5961.57291666665	14037.4333333334	0	0	1199.41666666666	0	4665.35	6.91666666666665	0	0.5	0	63.3333333333335	0	6.5	0.5	13902.8583333333	2308.175	3.33333333333333	0.133333333333333	3264.83333333333	246364734.016195
0159_AP39_21110_20190111_ST	186513229	0	334633.734848485	4.5	4062.1	2435.5	168.75	2.16666666666667	0.75	424536.299603175	0	134588.105050505	3113.46666666667	3393726.49395292	51274.6395833333	0	0	0.5	0	54215.25	1904.5	4019.83333333333	43094	84116.0555555555	0	51425.0583333333	3374.63333333333	27311.7333333334	0	0	1865.33333333333	7280.41666666665	8.5	3595.59523809524	4573.66666666667	423.625	0	422.9	0	4221.01666666666	1.66666666666666	0	0	0	1.5	0	4.5	1.5	12965.6416666667	3396.64166666667	7.21875	0	4165.83333333333	181852285.374085
0159_AA34_42475_20190911_ST	166344029	0	237266.548484848	8.25	37.775	2417.25	5	7.66666666666665	0	464472.534986772	0	141333.608333333	66	3205087.17147366	47230.6472222222	1.75	0	423.25	0	51235.9750000002	1808.5	29.2083333333333	34378.2916666666	70284.7638888889	0	49749.25	2353.06666666667	18189.3083333333	0	0	225.458333333333	3791	38.6666666666667	4705.51666666667	7455.65	1.25	0	7.725	1	7767.95	0.916666666666665	0	1	0	0	0	0	0.25	11622.5916666667	2968.08333333333	0.5	0	21287	161957768.62561
0159_AA34_42480_20191103_ST	114788551	0	187104.516666666	2.625	491	1017	27	0.166666666666666	0	301153.188425926	0	128064.388888889	314.9	1844107.4656746	38998.48125	39	0	0	0	23141.6666666666	36.5	4496.75	27278.4166666666	53123.1874999999	0	37164.5333333334	1028.83333333333	18705.3166666666	0	0	892.791666666667	2960.25	21	3968.97142857143	3566.25	0.75	0	2397.55	0	6405.79166666665	1	0	63	0	0	0.166666666666666	3.5	30.25	8473.98333333335	15150.5	0	0	1002.33333333333	112077317.975165
0159_AP39_21298_20181004_ST_E21	86839131	0	129347.033333334	4.5	245.95	3557.25	88.5	1	4.5	230117.608730158	0	72848.7777777778	35.5666666666667	1576323.67410714	25546.4972222222	0.5	0	0	0	23735.3333333334	301.5	419.291666666667	19207.25	35270.3680555556	0	24132.3041666667	418.966666666667	11362.6083333333	0	0	219.125	1770.5	0.333333333333333	2728.9	2928	31.5	0	179.158333333334	0	2710.20833333333	0.5	0	1.5	0	0	0	1.75	0.5	6131.325	3326.5	0	0	2035.66666666666	84664096.5532738
0159_AK37_71062_20190607_ST	69169479	0	105439.416666666	7.5	1291.9	3297	63.75	0.25	0	180080.841269841	0	61183.3527777778	549.7	1216809.08713474	17997.7886363637	10.25	0	0.5	0	21477	975	3180.20833333333	15536	32123.8208333333	0	26494.7958333333	962.233333333333	10464.5333333333	0	0	796.916666666667	2965.5	74	1933.90238095238	6952.83333333335	69.125	0	1154.375	0	3644.66666666667	1.25	0	0	0	0.166666666666666	0	0.5	5.25	4858.98333333334	2001.33333333334	0.75	0	3564.91666666667	67443509.6028003
0159_AP39_21108_20171121_ST	68136264	0	93488.9977272725	43.5	9332.6	1343	17.75	0.583333333333335	0	162935.233333334	0	40665.3880952381	3988.06666666667	1118729.32472493	15704.3007575757	0.25	0.0833333333333333	62.5	0	17172.7916666666	2326	4864.54166666667	11518.4166666666	37630.6388888889	0	23271.6958333333	3446	8834.49166666665	0	0	254.75	1527.58333333334	3.83333333333333	1353.4630952381	3858.25	921.875	0	353.025	0	3543.89166666667	15.5	0	0	0	0.166666666666666	0	5.5	6.41666666666665	3467.3	869.666666666665	10.5	0	2058.41666666667	66562637.7075442
0159_AP39_21129_20180205_ST	62377466	0	90492.125	3.25	308.25	1614.75	1.25	1.5	0	167599.154695767	0	52912	142.4	1059853.12306097	17982.6756313131	9.75	0	0	0	13537.9166666667	7	631.875	12068	28975.4375	0	21706.225	716.833333333333	7376.95	0	0	220.083333333333	2752.25	1	2340.08809523809	4091.5	2.75	0	226.45	0	1720.29166666666	0	0	0	0	0	0	0	26.25	4867.39166666666	4514.125	0	0	982.833333333335	60879780.5210167
0159_AP39_21301_20180706_ST_E21	62312960	0	90228.9166666665	1.25	121.375	2139.25	54.5	0.333333333333333	1.5	165061.893650794	0	51834.4583333334	19.3333333333333	1125375.06075487	17971.9123737374	0.25	0	19.5	0	16721.6666666666	116.5	219.416666666666	13644.1666666666	25615.7916666666	0	17838.6	307.666666666667	7784.99166666665	0	0	144.541666666667	1219.08333333334	1	1988.55	1863.5	82.5	0	90.675	0	1851.89166666667	357.5	0	0	0	0	0	0	2.25	4531.1	2291.45833333333	0	0	658.916666666665	60762798.6998873
0159_AK37_71054_20190305_ST	44724247	0	63918.75	344.625	614.925	2505.5	182	0	0	108252.385912698	0	37538.5611111111	507.433333333333	818171.624404762	13638.7597222222	0	0	33.5	0	11108.0833333334	810	874.166666666665	10412.6666666666	20537.1458333334	0	11575.1166666667	1420.44444444444	5641.425	0	0	116.083333333333	1003	1	1482.24285714285	2018.91666666666	1	0	427.858333333334	0	2107.45833333333	0.5	0	0	0	4.16666666666667	0	3	0.166666666666666	2469.28333333334	1458.75	0.25	0	4883.58333333333	43600182.627381
0159_AK37_71051_20190224_ST	44419239	0	88400.75	2.25	881.458333333335	503.75	8	0.25	0	102544.317989418	0	33051.6333333333	900.333333333333	896526.279604077	13202.7076388889	5	0	66.5	0	13350.25	525	1013.70833333333	11482.4166666666	19675.8333333333	0	9658.3	2008.66666666667	6309.15833333335	0	0.5	65.625	449	1.5	975.367261904761	1240.83333333334	9.125	0	201.25	0	1484.41666666666	0	0	7.5	0	1	0	0	0.25	3246.18333333334	1175.625	0.125	0	1947.66666666666	43208316.4691724
0159_BC12_41010_20171203_ST	38285200	0	50351.4166666665	1.375	565	3130.5	13.75	0.5	0	99726.9575396825	0	34647.7845238095	202.4	592881.822375541	12012.8514520202	4.5	0	66	0	11149.6666666666	12	123.25	7997.5	15521.5034722222	0	13729.675	639.833333333333	4784.26666666666	0	0	54.5833333333333	1023	2.75	1309.275	2545.91666666667	0	0	55.55	0	1031.875	0	0	0	0	0	0	4.5	0	3271.325	878.708333333335	0	0	2675.66666666667	37424784.2973034
0159_AV42_66107_20190327_ST	34893409	0	69735.375	1.25	2467.6	900	70.5	0	0.5	68809.8805555555	0	17233.1694444444	2382.9	694832.198187229	8664.83920454547	0	0	2.5	0	7316.16666666665	1162	2820.41666666667	6825.75	18791.1458333333	0	7341.1375	2752.34444444444	5605.20833333335	0	0	39.2083333333333	28.1666666666667	0	394.825	1057.16666666666	557.125	0	144.316666666666	0	1935.04166666666	0.5	0	0	0	0	0	3	11.25	1960.85	347	5.875	0	72.25	33969137.5431638
0159_AP39_21065_20180201_ST	34822918	0	52603.5166666665	4	26.425	3099.75	2.75	1.08333333333334	0	93972.6557539682	0	21483.244047619	63.6666666666667	663208.814880953	10912.89375	0	0	0	0	12036.0833333334	246.5	9.33333333333335	7528.58333333335	14628.4861111111	0	8131.70833333333	334.566666666667	3547.69166666666	0	0	43.25	1395.25	2	1018.21666666666	1598.58333333334	0.25	0	3.7	0	1578	0.5	0	0	0	0	0	3.75	0	2414.875	598.916666666665	0	0	321	33922097.9554564
0159_AP39_21295_20180811_ST_E21	34369045	0	48090.2954545454	3.79166666666667	272.05	2290.25	30.25	1.75	0	77743.9766534392	0	34583.2595238095	335.8	601185.625308893	11414.7625	0.166666666666666	0	102.5	0	8508.91666666665	201.75	513.666666666665	9385.75	15053.2361111111	0	8718.8	833.28888888889	4629.375	0	0.25	194.666666666667	506.583333333335	8.83333333333335	1165.91309523809	755.208333333335	142	0	126.416666666667	0	1091.04166666666	0.166666666666666	0	0	0	0.833333333333335	0	2.5	14	2883.48333333333	1252.59166666667	0	0.0666666666666667	2228.91666666667	33534772.2674641
0159_AZ03_32019_20180325_ST	33704867	0	41021.2335858586	8.95833333333335	54.025	4326.5	0.25	4.16666666666667	0	70006.0787698412	0	40318.7595238096	95.1333333333333	542401.760624098	11665.0479166667	2.3	0	14	0	9475.6	242.5	42.3333333333333	9161.75	14133.8958333333	0	9194.26666666666	1285.38888888889	3892.6	0	0	142.875	349	17.125	1556.49166666666	970.958333333335	1.625	0	0.883333333333335	0	804.5	1.41666666666667	0	0	0	0	0	0	0	3461.66666666667	1001.70833333333	0.0833333333333332	0	2101.41666666667	32937110.7015242
0159_AK37_71050_20190313_ST	33238352	0	45343.8579545454	1.875	122.75	2414.25	21	3.66666666666667	0	83075.8932539683	0	32816.9583333334	314.4	572970.245211039	10449.3900883838	0.5	0	50	0	7172.45833333335	216.5	64.9166666666665	7650.25	13530.2256944444	0	11319.2791666667	537.11111111111	3833.3	0	0	111.625	1148.5	7	1346.28809523809	1227.66666666666	0	0	24.3583333333333	0	1022.43333333333	0.5	0	0	0	0	0	1	0	2797.125	1719.66666666666	0	0	587.666666666665	32436449.3427579
0159_AZ03_32013_20200922_ST	32993539	0	50724.6954545455	35.375	31.5	2335	1.75	0.5	0.5	70474.0136904761	0	30682.0833333333	80.5	573996.097059885	10889.7291666667	9	0	0	0.1	11101.1083333333	276.5	85.7916666666665	9341	16412.410218254	0	9284.05	1557.5	4118.61666666666	0	21.3333333333333	299.666666666667	993	9	1336.27321428571	1111.95833333334	5.5	0	4.54166666666667	0	662.541666666665	88.0416666666665	2.5	1	0	0	0	0	1	3148.83333333333	1497.95833333334	0	0	826.5	32192091.5311959
0159_AB10_100710_20181001_ST	32532675	0	40111.6	8.75	1932.325	863.75	39	0.416666666666667	0	79771.2945767195	0	28780.0305555556	1417.9	443713.430605159	10275.0055555556	0.2	0	3	0	8555.58333333335	933	1792.66666666666	7084.5	16068.4618055556	0	9869.975	1107.61111111111	4823.23333333334	0	0	62.375	428.75	2	953.217857142857	1466.25	202.625	0	97.25	0	1209.625	1	0	0	0	0.333333333333333	0	0.75	0	2070.88333333334	1150.29166666666	2.5	0	751.333333333335	31867124.0812665
0159_AP39_21076_20180429_ST	31933635	0	46239.7666666666	0	144.35	1443.25	34.25	1.5	0	87321.9083333333	0	31483.9761904762	135.666666666667	562786.554261363	10071.2672979798	0.75	0	65.5	0	8777.83333333335	377.5	199.75	6709.66666666665	10679.3784722222	0	7667.225	332	4242.01666666666	0	0	105.575	882.75	2.625	1116.70833333334	1259.91666666666	0	0	100.908333333334	0	1532.04166666666	0	0	0.5	0	0	0	1	1.5	2470.38333333334	1272.83333333334	0.1875	0	1877.41666666666	31144296.5446113
0159_AP39_21119_20181218_ST	31279866	0	50280	0	89.35	743	51.5	0	0	83489.9805555555	0	22122.4333333333	63.3333333333333	588332.062405303	8977.31603535355	0.75	0	217.5	0	9669.33333333335	361.5	548.833333333335	6590	13144.4305555556	0	12536.125	828	4487.41666666667	0.166666666666667	0.25	232.883333333333	1479	1.16666666666667	990.091666666667	1874	0	0	172.6	0	1777.95833333334	3.08333333333333	0	0	0	0	0	1.75	81.25	1974.04166666666	1654.66666666666	0.875	0	1881.75	30465207.6021149
0159_AQ29_10022_20170920_ST	29966568	0	54284.713131313	31	22.2	1751.25	0.75	0	0	57913.4990079365	0	33097.95	26	528000.845770202	10928.5694444445	21.75	0.333333333333333	120.5	0	9145.03333333332	27	150.25	8491.91666666665	10864.8819444445	0	6043.00833333333	733.977777777777	4489.41666666667	0	3.5	165.958333333333	305.25	3.5	1116.82113095238	118.333333333333	1	0	38.475	0	694.375	80.5416666666667	0.25	0	0	0	0	1	0	3304.2	529.958333333333	0.375	0	581.833333333335	29233477.7834596
0159_AB10_26156_20180815_ST	29238094	0	46601.25	1.58333333333334	451.525	960.75	144.5	0.25	0	86003.8452380952	0	17795.6111111111	374.466666666667	589681.641923701	7993.24804292931	1	0	0	0	7212.11666666667	693.5	408.333333333333	5601.5	12862.6861111111	0	8414.29166666666	538	3694.58333333333	0	0.75	151.241666666667	1164.75	0.5	834.914583333333	1804.83333333334	0	0	129.658333333334	0	1692.875	4.58333333333333	0	0	0	0.666666666666665	0	5	1.5	1809.43333333333	168.916666666666	0.1875	0	452.166666666667	28440437.3404897
0159_AZ03_32015_20201210_ST	28328007	0	37729.9621212121	36.875	50.85	2929.75	7	1.5	0	62430.2517977393	0	30865.7928571428	133.666666666667	434278.11388438	8990.95700757576	16.5	0	26	0	7811.79166666668	62.5	311	6590.5	12274.5104166667	0	8723.725	691.91111111111	3267.63333333334	0	21.25	327.458333333333	340.083333333333	1	1098.59494047619	943.666666666665	0	0	162.616666666667	0	757.125	51.7916666666665	4.75	0	0	0.25	0	0.5	0.75	2457.6	1713.58333333334	0	0	1622.91666666666	27701272.2725304
0159_AP39_21090_20180504_ST	28053925	0	47211.0454545454	3.5	12.425	579.5	1.5	0	0	71744.1279761904	0	18653.375	12.3333333333333	570907.817248377	8789.76458333332	2	0	0	0	7770.91666666665	366	94.3333333333335	6623	11168.5347222222	0	6026.6125	173.966666666667	3800.90833333334	0	0.25	89.625	1048.5	2.5	868.646428571429	2135.48809523809	0.75	0	45.15	0	1430	1.16666666666666	0	0	0	0	0	0	1.25	1824.175	396.75	0	0	599.666666666665	27291539.4213248
0159_AP39_21314_20180719_ST_E21	27214217	0	38994.3843434344	3	169.425	697.75	0.25	1	0	78140.2700396825	0	19601.0531746032	264.9	507841.304549964	7876.2715277778	0.5	0	69	0	8987	518	208.333333333334	5255	10645.75	0	7759.90416666667	348.166666666667	3137.1	0	0	36.25	949.166666666665	5.5	835.560714285716	1374.83333333334	38	0	39.7583333333333	0	1078.75	0	0	0	0	0.666666666666665	0	0	0	1742.39166666667	380.458333333333	0.125	0	2364.41666666667	26514852.7598169
0159_AP39_21330_20190102_ST_E21	27151093	0	40094.5	5.375	203.05	1658	8.25	0.25	2.25	64515.6817460317	0	23407.259090909	114.866666666667	477279.842207792	8424.31660353534	0	0	113	0	7273.29166666665	41.25	217.333333333334	6273.75	12120.1388888889	0	7231.66666666667	379.844444444443	3232.75	0	0	114.809523809524	567.166666666665	0	808.470238095236	658.25	12.875	0	73.65	0	798.658333333335	1.25	0	0	0	0	0	2.5	0	2109.29166666667	3526.20833333333	1.125	0	1799.08333333334	26488022.9955898
0159_AK37_71031_20180929_ST	26677816	0	38303.9797979798	0	90.225	281.333333333333	1.25	2	0	70732.0777777778	0	22402.4166666666	92.6333333333333	475017.390534812	8254.86369949497	0.5	0	45.5	0	7237.91666666665	208.75	113.416666666667	6425.5	11577.75	0	6158.625	469.066666666667	3359.59166666666	0	0	73.1666666666667	948.25	5	829.566666666665	1378.25	0	0	25.8583333333333	0	1019.125	0.25	0	0	0	0	0	3.25	0	1893.73333333333	1428.45833333334	0	0	698.5	26018737.8048566
0159_AV42_66163_20190718_ST	25997855	0	39211.9071969697	0	39.05	972.5	3.25	3.75	0	65277.4257936507	0	17656.8333333333	47.0666666666667	500595.518114178	7863.26597222224	0.25	0	36.5	0	6655.91666666665	25	833.5	6121.5	12177.2083333333	0	8174.96666666667	283.466666666667	3369.90833333334	0	0	208.625	458.25	1	784.257142857143	1172.33333333334	320.875	0	378.3	0	1788.20833333334	0	0	0	0	0	0	0	24.25	1808.125	1240.16666666666	0	0	427.583333333333	25319894.2424468
0159_AK37_71023_20180813_ST	25813498	0	38935.1666666666	1.5	324.8	2252.75	20.75	0.5	0	68845.2361111112	0	22673.5555555556	451.966666666667	443888.092708333	8623.03472222224	1	0	6.5	0	6423.25	114.75	200.458333333334	5612.5	10001.8611111111	0	6092.54583333334	421.233333333333	3523.35	0	0	34.5	609.166666666665	1.5	904.161904761906	1261.5	0.5	0	34.075	0	1422.41666666666	0	0	0	0	0.5	0	2	0	1897.70833333334	842.916666666665	0.125	0	407.583333333333	25187664.5453869
0159_AP39_21289_20190125_ST_E21	25806206	0	45010.6297619047	0	26.45	1424	31	0.25	0	65984.5640873016	0	20270.7222222222	46.6666666666667	495154.480492424	7519.72897727274	0	0	1	0	6935.43333333335	311.25	205	6069.16666666665	10134.6875	0	8106.25	172.733333333333	3422.825	0	0	91.9166666666667	1465.5	1.16666666666666	796.085714285715	838.516666666665	19.625	0	106.416666666667	0	973	16	0	1	0	0	0	0.25	0	2029.85	535.458333333335	0.0833333333333332	0	1020.5	25127483.7929112
0159_AK37_71048_20190125_ST	25529990	0	34727.375	1	640.85	1449	17.5	0.416666666666667	0	59454.2109126984	0	24823.3111111111	1243.56666666667	382619.188690476	8374.22500000002	0.1	0	0	0	6525	498.75	823.125	5288.75	11111.9340277778	0	7320.10416666667	557.333333333333	2958.10833333333	0	0	148.875	119.5	3.5	908.605357142857	898.516666666665	0.5	0	64.7	0	948.458333333335	0.5	0	0	0	2.5	0	0	0.166666666666666	1758.49166666666	1430.83333333334	0	0	787.583333333335	24974483.4207341
0159_AK37_71052_20190226_ST	25502511	0	38921.1504329005	5.5	297	168	38.75	1.25	0	64755.3619047619	0	13424.7916666667	16.3333333333333	497443.843871754	7563.50972222222	0	0	7	0	7959.41666666668	253.5	92.1666666666665	5125	12514.4583333333	0	5975.77083333333	469.633333333333	2943.625	0	0	6	572.333333333335	4	574.222619047621	1372.25	61.5	0	25.1666666666667	0	960.416666666665	0	0	0	0	0	0	1.25	0	1683.075	588.716666666665	0	0	2493.5	24836192.5072826
0159_AZ03_32016_20180619_ST	25155806	0	39283.4837662338	0	13.975	539.5	37.25	1.16666666666666	0	69415.7071428571	0	15602.4583333333	137.066666666667	495062.244615801	7196.44791666665	1	0	136	0	5866.33333333335	540.5	62.2916666666665	5635.5	10006.7638888889	0	7002.45833333333	182.666666666667	3431.11666666666	0	0.25	13.5833333333333	1507.66666666666	0	768.602083333335	1416.66666666666	0.75	0	17.5333333333333	0	1139.91666666666	0	0	0	0	0	0	0	0	1667.81666666667	302.75	0	0	6409.08333333335	24482407.4505862
0159_AK37_71024_20181010_ST	24832720	0	39725.3863636364	3	293.775	706	8.5	1.08333333333334	0	61196.0656746032	0	19380.9027777778	181.066666666667	461121.168790584	7725.78541666667	0	0	8.5	0	7305.08333333335	246.75	267.125	5544	11772.1527777778	0	8309.68333333333	287.177777777778	3383.71666666666	0	0	61.625	498.666666666667	11	835.927380952379	1392.95833333334	42.375	0	50.625	0	933.083333333335	1.91666666666667	0	0	0	0	0	0.5	0.5	1910.26666666667	406.083333333333	0	0	2200.16666666667	24196907.3830402
0159_AP39_21282_20180907_ST_E21	24826056	0	33242.9166666666	27.25	305.241666666667	652.5	29	1.16666666666666	0	68145.5315476191	0	17926.6880952381	254.033333333333	440829.751835318	6244.11249999998	0	0	16.5	0	6757.875	323.5	1071	5942.41666666665	10832.4166666667	0	10065.3833333333	511.2	3369.5	0	0	304.291666666667	561.75	8.66666666666665	520.5375	2075.58333333333	30.75	0	374.933333333334	0	1403.33333333334	0.333333333333333	0	0	0	0.166666666666666	0	0	100.25	1326.275	2864.45833333333	0.875	0	1091.33333333334	24208844.4785218
0159_AZ03_32057_20190910_ST	24532951	0	37285.4791666666	0	4.5	2142.25	1.75	1	0	68603.4712301587	0	21964.2083333333	138.666666666667	451528.194345238	7530.73611111113	3.5	0	0	0	7939.93333333335	45.5	117.25	4763	9521.63888888889	0	5661.70833333333	350	3133.29166666667	0	0	47.2083333333333	565.833333333335	3	709.313095238094	804.933333333335	0	0	53.375	0	1162.16666666666	0	0	0	0	0	0	5.25	0.25	1938.925	342.333333333333	0	0	802.583333333335	23905779.750496
0159_AP39_21294_20181026_ST_E21	23821878	0	35106.7954545454	2.125	64.975	741	42.5	0.25	0	63083.4751984127	0	18634.8825396825	93.0666666666667	432033.498944805	6967.80833333335	0	0	37.5	0	9776.70833333335	253.75	340.916666666667	5222.5	10158.3125	0	7578.66666666667	254.733333333333	3018.09166666666	0	0	86.875	703.416666666665	0	748.840476190477	1203.78333333333	6.75	0	108.925	0	1032.08333333334	0	0	0	0	0	0	1	7.75	1647.10833333333	1093	0	0	2782.5	23219044.411553
0159_AP39_21220_20180215_ST_E21	22977537	0	37154.7833333333	1	34.95	927.5	5.75	0.166666666666666	0	57717.6402777778	0	18160.2916666666	12.1333333333333	432823.583996212	7436.18914141414	0.5	0	9	0	5754.20833333335	93.5	33.7916666666667	5521.66666666665	9246.04166666667	0	7070.51666666666	191.2	2958.21666666666	0	0	79.9166666666667	481.5	13.8333333333333	780.25	1343.75	0.125	0	13.725	0	922.541666666665	62	0	0	0	0	0	4	2.75	1837.30833333333	419.166666666667	0.166666666666666	0	271.25	22386152.0865846
0159_AP39_21368_20180504_ST_E21	22709004	0	33017	0.291666666666667	183.15	791.75	4.75	0.75	0	68998.8097222222	0	17138.5916666667	8.5	430278.660037879	6029.25928030303	0.25	0	17.5	0	6519.83333333332	80	86.625	4420.58333333333	9537.25347222222	0	4980.85833333333	536.4	2632.35833333333	0	0.25	16.2083333333333	602	0.666666666666665	635.570833333332	1513.16666666666	82	0	50.55	0	1282.95833333334	0.25	0	0	0	0	0	0.5	5.25	1545.85	1306.54166666666	0	0	800.416666666665	22115898.646654
0159_AP39_21111_20190126_ST	22636937	0	40445.3333333334	0	58.35	529.5	18.25	0.5	0	52158.9119047619	0	14198.5833333333	8.66666666666667	446430.416030844	6300.62500000002	0	0	24.5	0	8665.5	160.5	79	5603.25	10107.3020833333	0	7371.83333333333	252.666666666667	3283.65833333334	0	0	52.9166666666667	732.666666666665	0.5	763.85	1365.33333333334	43.5	0	45.3416666666666	0	999.125	0	0	0.5	0	0	0	0	0	1588.425	486.083333333333	0	0	622.916666666665	22034538.4949811
0159_AP39_21311_20180613_ST_E21	22512648	0	32173.9333333333	0	36.775	662	2	0.25	0	61115.2527777778	0	17470.875	63	455932.602130682	6585.63055555557	0	0	44	0	6223	313	207.25	4977.25	8991.27777777778	0	5700.33333333333	225.833333333333	2723.69166666666	0	0	55.9333333333333	629.75	0.5	731.236904761906	831	0	0	93.7	0	981.166666666665	1	0.5	0.5	0	0	0	2.5	19.5	1574.3	1178.79166666666	0.375	0	855.333333333335	21902243.9581868
0159_AQ11_10150_20181221_ST	22233710	0	42611.9166666666	1.5	52	631.25	0	1.25	0	42361.0194444445	0	21093.1	106.4	430708.010714286	6460.65902777776	1.5	0	31	0.0625	7303.84166666665	11.5	70	6242.91666666665	9908.00694444445	0	4492.04166666667	778.3	3490	0	0.25	39.9583333333333	711.083333333335	1	689.258482142857	146.666666666666	0.875	0	20.7333333333333	0	170.875	125.791666666667	0	0	0	0	0	0	0	2289.35833333333	491.041666666667	0	0	489.666666666667	21652177.1662202
0159_AZ03_32038_20181018_ST	22169581	0	38492.5625	0	30.6833333333334	532	0.5	0	0	53035.0767857143	0	11330.2916666667	4.23333333333333	497928.032291667	6240.88402777778	0	0	85	0	7519.58333333335	233	86.6666666666665	5164.25	10005.4722222222	0	7092.125	280.333333333333	2964.26666666667	0	0	25.625	300.583333333333	0.5	543.535714285714	1165.91666666666	91.75	0	47.725	0	1130.625	1	0	0.5	0	0	0	0	0	1518.075	231.5	0	0	763.416666666665	21522735.2864583
0159_AK37_71066_20190709_ST	21461338	0	29412.7222222222	0	553.75	2452.25	15.25	1	0	54395.264484127	0	20895.6865079365	107.166666666667	370920.474084596	7123.24097222222	0.5	0	16	0	6344.975	69	266.25	5212.5	8809.875	0	7451.55833333334	399.68888888889	2977.95	0	0	104.708333333333	428.5	1.5	727.85476190476	1512.1	5.625	0	108.466666666666	0	583.25	0	0	0	0	0	0	0	0.5	1766.58333333334	760.875	0	0	408.666666666667	20937504.2680781
0159_AP39_21371_20180409_ST_E21	21434995	0	32432.8912878788	1.625	68.1	1291.75	0.25	0.333333333333333	0	56421.3267195767	0	18372.2936507937	25.2333333333333	399925.539653228	6337.20050505052	0	0	46	0	7119.04166666665	295	38.9166666666667	5136.5	8974.45138888889	0	6057.875	455.333333333333	2717.30833333334	0	0.25	34.8333333333333	764	1.5	666.058333333335	1006.25	0	0	17.55	0	908.625	0	0.25	0	0	0	0	1	0	1586.025	346.666666666667	0	0	524.083333333335	20883420.9384612
0159_AQ11_10126_20181116_ST	21368550	0	30439.0867424242	1	6.125	1592.75	2.5	1.66666666666666	0	58157.7396825397	0	16139.9583333333	16.6666666666667	384967.802502706	6374.2076388889	5.5	0	47.5	0	5465.08333333335	256	55.3333333333335	4454.66666666667	8491.81597222222	0	6771.20833333333	226.366666666667	2566.70833333333	0	0.25	127.625	496.666666666667	0	628.144047619049	928.083333333335	1.25	0	19.425	0	891.791666666665	0.25	0	0	0	0	0	0.5	0	1496.18333333333	1086.25	0	0	1781.25	20835052.6450803
0159_AV42_66160_20190805_ST	21275702	0	29663.1909090909	1.125	54.4	750.75	7.75	1.5	2.5	55681.464484127	0	19271.0416666667	31.1666666666667	374424.331588203	6327.28428030305	2.25	0	49.5	0	6962.66666666665	525.5	67.0833333333335	4578.25	8878.52083333333	0	7153.625	360.222222222223	2791.675	0	0	29.4583333333333	706.25	0.5	727.860714285714	1055.58333333334	1.125	0	22.2666666666667	0	870.416666666665	0.5	0	0	0	0	0	0	4.5	1667.875	561.875	0	0	2964.83333333333	20749503.1583018
0159_AP39_21231_20180727_ST_E21	21114155	0	30805.6871212121	0.75	80.375	1065.75	46.75	0.833333333333335	0	51371.0728174603	0	19615.4623015873	67.7333333333333	384341.456006494	6602.75902777778	0	0	50	0	6873.58333333335	138.5	173.833333333334	5523.58333333335	9305.1875	0	4720.16666666667	457.4	2603.475	0	0	54	345.75	3.16666666666667	696.69761904762	731.5	1.25	0	65.4416666666665	0	698	0.166666666666666	0	1	0	0	0	0.5	2.25	1670.6	329.916666666667	0	0	633.833333333335	20585076.5692731
