sample_id	total	incipient_cellular_bud_site	ubiquitin_ligase_complex	proteasome_complex	mRNA_cap_binding_complex	nuclear_cap_binding_complex	cAMP_dependent_protein_kinase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_kinase_CK2_complex	magnesium_dependent_protein_serine_threonine_phosphatase_complex	exodeoxyribonuclease_VII_complex	sulfite_reductase_complex__NADPH_	exodeoxyribonuclease_V_complex	ethanolamine_ammonia_lyase_complex	enterobactin_synthetase_complex	ferredoxin_hydrogenase_complex	nitrogenase_complex	protein_N_acetylglucosaminyltransferase_complex	TRAPP_complex	CCR4_NOT_complex	RNA_polymerase_complex	glutamyl_tRNA_Gln__amidotransferase_complex	protein_acetyltransferase_complex	ubiquitin_conjugating_enzyme_complex	Dbf4_dependent_protein_kinase_complex	mannosyltransferase_complex	nucleotide_activated_protein_kinase_complex	guanyl_nucleotide_exchange_factor_complex	ribonuclease_H2_complex	elongator_holoenzyme_complex	GID_complex	aryl_hydrocarbon_receptor_complex	Hedgehog_signaling_complex	TOR_complex	DNA_polymerase_complex	methionine_adenosyltransferase_complex	tRNA_specific_adenosine_34_deaminase_complex	nonhomologous_end_joining_complex	tRNA_splicing_ligase_complex	ubiquitin_activating_enzyme_complex	endonuclease_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	RPB4_RPB7_complex	Remaining
0159_AK37_71051_20190224_ST	29488025	7.80281385281385	11.5013888888889	3217.91666666667	0	0.5	0	0	1	38	9468.25	2532.75	4271.5	156.75	506.5	702.5	129	5.08333333333335	1.54166666666667	0	130859.875	11445.25	6.92708333333333	0	0	0.0833333333333333	0.625	0	0	0	0.25	0	0	1	37698.9166666666	0	0	0	0.5	0	0	0	0.25	0.25	0	0	29286960.4770473
0159_AV42_66107_20190327_ST	25109407	0.325	1.5875	5075.5	0	0	0	0	0	0	8854	6860.75	11752.5	381	2504.5	4126.91666666667	0	379.916666666667	0	0	129232.375	4310.16666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	11	32597.75	0	0	0	0	0	0	0.166666666666666	0	0	0	0	24903318.3791666
0159_BC12_41010_20171203_ST	25020998	18	17.4583333333333	2347.16666666667	0	3	0	0	1	0	7023	1371	157.5	435.75	115	907.75	0	236.25	1.5	0	114611.583333334	9752.83333333333	4	0	0	0	1	0	0.5	0.333333333333333	0	0	0	3	33250.5	0	0	0	0.5	0	0	0	0	0	0	0	24850739.375
0159_AP39_21065_20180201_ST	23605340	0.666666666666667	1.375	712.75	0	0	0	0	1	0	5323.25	6	49	108.25	61	251	0	228.666666666666	0.166666666666666	0	98820.2083333335	7711.66666666667	0.625	0	0	0	4.5	0	0.5	0	0	0	0	0	24912.25	0	0	0	0	0	0	0	0	0	0	0	23467147.125
0159_AP39_21295_20180811_ST_E21	23076371	1.44209956709957	8.66388888888889	5004.375	0.166666666666666	0.166666666666666	1	0	1.25	0.5	7212.16666666665	744.25	1409	139.25	274	346.5	5	503.416666666665	0.666666666666665	0	103238.620833333	11650.5	18.71875	0.0277777777777777	0	0.25	1.5	0.833333333333333	3.5	0.333333333333333	0.333333333333333	0	0	6.25	31411.5	0	0	0	1	0	0.25	0.0555555555555555	0.555555555555555	0.555555555555555	0	0	22914384.4016504
0159_AB10_100710_20181001_ST	22476810	0	3.5	4968.25	0	2	0	0	0	55.5	7589.75	5066.25	7011	373	1448.5	3217.33333333333	3.5	915.833333333335	0	0	90557.1666666665	15390.6666666667	70.4166666666667	0	0	0	0	0	1	0.666666666666667	0	0	0	0	33834.9166666666	0.25	0	0	1	0	0	0	0	0	0	0	22306299.5
0159_AK37_71050_20190313_ST	22476650	0.791666666666667	24.5833333333333	3184.66666666667	0	2	0	0	4	0.25	6897.5	6	161	81	81.5	404.25	13	352.916666666667	0.166666666666666	0	103250.458333334	12388.5	8.25	0	0	0	6	0	8	1	0	0	0	0	29442.4166666666	0	0	0	1	0	0	0	0	0	0	0	22320330.75
0159_AZ03_32013_20200922_ST	21886689	0.476190476190476	28.1020833333333	2934.26666666667	0	3.5	3.33333333333333	0	39.2261904761905	73.5	6981.33333333335	44.5	151	136	97	144.75	3	18.9166666666667	11.875	56.3333333333333	108011.995833333	6607.08333333333	86.5871212121212	0.638888888888889	0	0	1.5	13	6.5	14.5833333333333	0	0	0	108	27444.1666666667	7	0	0	19	0	0	0.277777777777778	1.77777777777778	0.277777777777778	0	0	21733639.4986923
0159_AZ03_32019_20180325_ST	21736839	0.652380952380952	13.4136904761905	7419.08333333333	0	0	0.2	0	15	0.222222222222222	7066.33333333335	27.25	291.5	218	33.5	450.75	8	228.333333333334	1.04166666666666	0	107303.083333334	10560.1666666667	60.3125	0	0	0.25	6.625	1.7	3	1.33333333333333	0	0	0	1	30145.6666666666	0.75	0	0	24	0	0	0	0	0	0.142857142857143	0	21572957.6896825
0159_AP39_21119_20181218_ST	21439715	7.48733766233766	13.3333333333333	4358.25	0.125	0.125	0	0	1.5	2.75	6078.25	3	139.5	49.25	4	307	0	751.916666666665	1.70833333333334	0	90927.3541666665	6389.16666666667	6.35416666666667	0	0.333333333333333	0.416666666666667	1.2	1.33333333333333	0	2.5	7.66666666666667	0	0	29.5	23460.7083333333	0.5	0	0	0	0	1.5	0.333333333333333	1.5	0.5	0.25	0	21307165.6876624
0159_AP39_21076_20180429_ST	20996683	0.5	7.0625	1905	0	2.5	0	0.25	0	0.5	5420	184	124.5	91.75	71	265.5	1	72.5	0.666666666666665	0	86291.2416666665	8803.16666666667	1.125	0	0	0.111111111111111	0.166666666666666	0.25	7	0	0	0	0	9	24637.25	0	0	0	0.5	0	0	0	0	0	0	0	20868786.4597222
0159_AB10_26156_20180815_ST	20352699	13.0607142857143	13.2166666666667	2159.16666666667	0.125	0.125	1	0.5	1.75	4.1	5075.5	425.25	1124.5	140.75	81	623	0.5	142.333333333334	1.625	3	80190.5416666665	5789.25	6.75625	0	0.666666666666667	0.833333333333333	2.54166666666667	1	1	2.16666666666667	4.83333333333333	0	0	31.5	21589.4166666666	0	0	0	5.5	0	0.75	0.166666666666666	2.25	1.25	0.75	0	20235257.3247024
0159_AQ29_10022_20170920_ST	19485035	1.23730158730159	6.2875	1962.58333333334	0	0	0.45	0	7.33333333333333	11.25	5999.33333333335	15	240.5	120	23.5	196.5	0.5	178.083333333334	1.95833333333334	6	96770.205357143	10810.4166666667	8.79545454545455	0.0277777777777777	0	0	9	3	3.5	3.16666666666667	0	0	0	11	30022.25	1	0	0	8.5	0.5	0	0.222222222222222	0.0555555555555555	0.0555555555555555	0	0	19338612.7882756
0159_AP39_21090_20180504_ST	18989837	0.333333333333333	12.6666666666667	697	0	0	0	0	1	0	5005.75	12	86.5	76	23	161.5	0	33.9166666666667	0.5	0	83248.2083333335	4204.33333333333	0.25	0	0	0	2	0	0	0	0	0	0	0	19694.25	0	0	0	0	0	0	0	0	0	0	0	18876577.7916667
0159_AP39_21314_20180719_ST_E21	18760936	0.533333333333333	2.89583333333333	1486.41666666666	0	0.5	0	0.25	1	21.1666666666667	4951	429.25	818	112.5	242.5	149.25	251	83	0.333333333333333	0	76213.5416666668	4740	3	0	0	0	3.5	0	1	0	0	0	0	1	18706.5	0	0	0	1	0	0	0	0	0	0	0	18652716.8625
0159_AZ03_32015_20201210_ST	18411108	1.24126984126984	19.325	4068	1	3	1.75	0	28.25	145.583333333333	6074.5	20	224.5	246.5	531	280	32.5	46.6666666666667	6.875	45.8333333333333	85401.1249999998	9592.83333333333	50.1515151515152	0.666666666666666	0	0	3.25	20.6	2	16.6666666666667	0.5	0	0	103	25230	0.25	0	0	28	0	0	0.166666666666666	0.666666666666665	0.166666666666666	0	0	18278881.432215
0159_AK37_71031_20180929_ST	18190337	0.25	9.1875	1647.66666666666	0	0	1	0	0	0.5	4731.5	126.75	338	102.75	29.5	303.25	0	38.1666666666667	0	0	78331.3666666665	8373.16666666667	9.2875	0	0	0.611111111111111	0.25	14.25	0	0	0	0	0	0	21342.4166666666	0	0	0	0	0	0	0	0	0	0.25	0	18074936.8805556
0159_AK37_71023_20180813_ST	17982284	6	2.375	1255.125	0	1.75	0	0	0	34.5	5032.25	622.5	827.5	122.25	125	925	0	188.666666666666	0	0	74484.7916666665	7368.5	0.5	0	0	0	0.5	0	0	0	0	0	0	0	21301.9166666666	0	0	0	0	0	0	0	0	0	0	0	17869984.875
0159_AV42_66163_20190718_ST	17925240	0.333333333333333	0.95	5265	0	1.5	0	0.5	0	0	5092.75	27	604	148	247.5	270	0.5	563.25	0	0.666666666666667	74149.3333333335	10550.75	1.5	0	0	0	0	0	0.25	0	0	0	0	0	22690.1666666666	0	0	0	0	0	0	0	0	0	0	0	17805626.05
0159_AP39_21330_20190102_ST_E21	17843070	0	3.85833333333333	2017.58333333334	0	0	0	0	0	6.5	5178.75	238.75	572.5	163	117	316.5	0	65.75	0.333333333333333	0	74131.2916666665	8991.5	0.5	0	0	0	0.5	0	1	0.333333333333333	0	0	0	3	23304	0	0	0	2.5	0	0	0	0	0	0	0	17727954.85
0159_AP39_21289_20190125_ST_E21	17461506	0	2.5625	1684.25	0	1	0	0	0	0	4841.25	53.75	409.5	65	276	148.75	10.5	153.666666666666	0	0.333333333333333	79768.9166666665	7407	1.25	0	0	0	0	0	0	0	0	0	0	0.5	21341.75	0	0	0	0	0	0	0	0	0	0	0	17345340.0208333
0159_AK37_71052_20190226_ST	17359085	0	2.025	1676.25	0	0	0	0	9	0	4517.66666666667	79	249.5	41.75	117	916.75	1	0.166666666666666	0.5	0	71249.7083333335	6795.41666666667	3.83333333333333	0	0	0	2.5	0	0	0	0	0	0	3	17713	0	0	0	0	0	0	0	0	0	0	0	17255706.9333333
0159_AZ03_32016_20180619_ST	17356229	1.75	3.04166666666667	784	0	0	0	0	0	0	4687.5	34	145.5	61	23.3333333333333	156.75	0	8	0.166666666666666	1	75215.9583333335	3837.16666666667	5.25	0	0	0	0	0	0	0.333333333333333	0	0	0	3	18155.1666666666	0	0	0	0	0	0	0	0	0	0	0	17253106.0833333
0159_AK37_71024_20181010_ST	17179762	0	3.5	2339	0	0.5	0	0	0	8.83333333333333	4939.5	652	1059	77.5	1058.83333333333	332	205.5	207.333333333334	0	0	71476.25	6151	11.75	0	0	0	2	0	0	0	0	0	0	0	19884.9166666666	0	0	0	0	0	0	0	0	0	0	0	17071352.5833333
0159_AK37_71048_20190125_ST	17169619	0	6.66666666666667	4037.75	0	1.5	0	0	0	0.166666666666666	5504.75	2037.75	3519.5	101	346.5	196.75	15	114.333333333333	0.333333333333333	0	66980.6666666665	9706.5	9.375	0	0	0	7	0	0	1	0	0	0	3	22414.75	0	0	0	0	0	0	0	0	0	0	0	17054614.7083333
0159_AP39_21282_20180907_ST_E21	17068619	1.33333333333333	2.4125	5408.08333333333	0	0.5	0	0	0	0	4598	773.5	1299	253.25	901.5	1561.25	0.5	14.5833333333333	0	0.333333333333333	68718.0416666665	8801.33333333333	1.5	0	0	0	0	0	0	0	0	0	0	2.5	23773.6666666666	0	0	0	0	0	0	0	0	0	0	0	16952507.7125
0159_AZ03_32057_20190910_ST	16831551	0	1.54166666666667	1168	0	0	0	0	1	0	4527.08333333333	3	603.5	43.25	141	397.75	0	265.916666666667	0	1	68810.3333333335	7109.16666666667	4.4375	0	0	0	0	1.5	0	0	0	0	0	0.5	19324.75	1	0	0	0.5	0	0	0	0	0	0	0	16729145.7708333
0159_AP39_21294_20181026_ST_E21	15994897	0.333333333333333	4.54166666666667	1956.75	0	0	0	0	4	0.166666666666666	4424.25	178.75	435.5	39	176.5	286.75	3.5	4.16666666666667	0	0.666666666666667	69875.0833333335	6455.16666666667	1	0	0	0	1.5	0	0	0	0	0	0	5	19199.5	0	0	0	0	0	0	0	0	0	0	0	15891844.875
0159_AP39_21111_20190126_ST	15468048	2.66666666666667	3.83333333333333	1409	0	0	0	0	0	0	4284.75	207	310	23.75	62	222.25	0.5	0.166666666666666	0.666666666666667	1	65129.625	5008.66666666667	9.125	0	0	0	0	0.5	0	0	0	0	0	3	17894.75	0	0	0	0	0	0	0	0	0	0	0	15373474.75
0159_AP39_21220_20180215_ST_E21	15437595	1.08333333333333	4.65	1064.5	0	0	0	0	4	0.5	4021.75	9	52.5	68	24.5	106.5	0.5	146	0.5	1.33333333333333	66815.1416666665	6037.33333333333	1.35	0	0	0	0	0	0	0	0	0	0	1	18232.9166666666	0	0	0	0	0	0	0	0	0	0	0	15341001.9416667
0159_AZ03_32038_20181018_ST	15424570	1	0	1016.25	0	0.5	0	0	0	0	4032.75	90	368	13.5	1441	474.5	0	1.08333333333334	0	0	62117.5833333335	3235	0.5625	0	0	0	24	0	0	0	0	0	0	0	15220.5	0	0	0	0	0	0	0	0	0	0	0	15336533.7708333
0159_AP39_21311_20180613_ST_E21	15275564	2.4	2.3561507936508	1532.25	0.125	1.125	0	0	0.166666666666667	0.166666666666666	3978	71	301.5	56.5	36	347	0.5	123.916666666667	0	0.833333333333333	64773.9166666665	6718.5	1.33333333333333	0	0	0.25	0	0	0	0.333333333333333	3	0	0	7	17840.2916666666	0	0	0	0	0	0	0	0	0	0.321428571428572	0	15179765.2140873
0159_AP39_21368_20180504_ST_E21	14879083	5.2	4.65	716	0	0	0	0	1	1.31666666666667	3457.75	371	101.5	166	30	846.25	1	105.25	0	0	62967.625	4573.16666666667	0.75	0	0	0	0.5	0.5	0	0.666666666666667	0	0	0	0	17155	0	0	0	0	0	0	0.166666666666666	0	0	0	0	14788577.7083333
