sample_id	total	organophosphate_metabolic_process	fructose_6_phosphate_metabolic_process	fructose_2_6_bisphosphate_metabolic_process	phosphagen_metabolic_process	phospholipid_metabolic_process	nucleoside_phosphate_metabolic_process	glucose_1_phosphate_metabolic_process	organic_phosphonate_metabolic_process	glyceraldehyde_3_phosphate_metabolic_process	deoxyribose_phosphate_metabolic_process	ribose_phosphate_metabolic_process	fructose_1_6_bisphosphate_metabolic_process	thiamine_diphosphate_metabolic_process	pyridoxal_phosphate_metabolic_process	molybdopterin_cofactor_metabolic_process	inositol_phosphate_metabolic_process	organophosphate_catabolic_process	glucose_6_phosphate_metabolic_process	xylulose_5_phosphate_metabolic_process	alditol_phosphate_metabolic_process	X1_deoxy_D_xylulose_5_phosphate_metabolic_process	carbamoyl_phosphate_metabolic_process	organophosphate_biosynthetic_process	D_tagatose_6_phosphate_metabolic_process	D_glycero_D_manno_heptose_7_phosphate_metabolic_process	methanopterin_containing_compound_metabolic_process	lipid_X_metabolic_process	Remaining
0159_AS41_40055_20180716_ST	174241359	59743.8333333333	86121.3055555557	147.611111111111	633.111111111111	150921.270113169	1051111.9343212	0.111111111111111	151441.472222222	17733.0847222223	9855.49065549677	93677.6663277126	8123.72222222223	21169.3148148148	2151.45833333333	9400.32539682541	6278.65555555555	101201.342702977	22256.167063492	4378.95793650794	48137.9546296297	7588.53902116402	971.694444444444	266610.315138642	3251.83333333333	317.5	6.66666666666667	0.5	172118127.162156
0159_AP39_21110_20190111_ST	130999038	12788.6666666667	79943.6833333333	775.5	905.888888888889	122276.221612287	896166.070445694	0.0555555555555557	38766.8055555556	17615.5402777777	7162.99192141878	85377.3193954537	7152.3888888889	19788.0648148148	2335.60416666667	7394.05555555557	1319.81388888889	52242.5303889869	10684.6388888889	3518.18888888889	20054.1509259259	7247.4537037037	934.444444444444	229207.11429291	3027.35185185185	329.611111111111	0	0	129372023.844536
0159_AA34_42475_20190911_ST	111488220	6312.83333333333	81124.0666666667	617.5	1176.77777777778	88997.6386078042	670864.654053797	0	31673.5	13439.5569444444	5936.583960987	62102.6318772046	7894.33333333333	14805.1944444444	653.472222222222	2778.52222222222	1679.24074074074	43744.4589961787	12006.6388888889	2242.90185185185	16104.5731481482	6053.14814814814	1088.2037037037	164049.487020952	1411.75925925926	425.388888888889	0	0	110251036.933909
0159_AA34_42480_20191103_ST	79089243	1169.83333333333	60149.7333333333	456.166666666667	458.666666666667	71560.0280257937	589613.379042189	0	13163.25	11618.4711805556	4449.74446771507	54628.3769518543	7013	13221.8722222222	1002.95138888889	6149.2388888889	998.157407407405	36076.6870407113	11678.5416666667	1445.69444444444	14787.6435185185	4219.22222222222	778.37037037037	149709.290341007	2204.74074074074	66.1666666666667	0	0	78032623.7734131
0159_AP39_21298_20181004_ST_E21	57892245	3152.5	45120.6666666667	176.111111111111	329.333333333333	47209.4737103175	368618.207255414	0	13652.9444444444	7096.29722222222	3821.48242577895	33234.5099240643	5066	7807.72222222222	499.513888888889	3210.56666666667	669.379629629628	22827.1474169606	5695.13888888888	976.588888888889	7124.7611111111	3027.44444444444	365.861111111111	93200.9599472737	1200.07407407408	80.7222222222222	0	0.166666666666667	57218081.4267276
0159_AP39_21108_20171121_ST	49162387	8858	19968	212.333333333333	277.222222222222	41586.9376984127	296727.17853889	0	38148.6666666667	4832.61979166667	2359.12490079365	27340.1880909922	2524.05555555556	5965.10185185185	495.534722222222	3363.25555555556	805.428703703705	27085.5092004703	6801.86111111112	1322.45370370371	14215.062962963	1585.10185185186	251.037037037037	74359.7957160617	1401.37037037037	283.055555555556	90.9444444444444	0.166666666666667	48581526.9937479
0159_AK37_71062_20190607_ST	48167112	3592.16666666667	28319.5555555556	306.5	713.222222222222	40917.0805720899	327182.310890122	0	10394.3333333333	6881.375	3041.65203679208	30108.7709353567	3773.8888888889	7123.84567901234	513.263888888889	1887.58809523809	902.257936507939	17215.3354460611	6613.50000000001	768.483333333333	7976.68333333332	2428.14814814814	364.055555555555	80332.1280169141	672.87037037037	445.555555555555	0	0	47584637.42854
0159_AP39_21129_20180205_ST	43094386	1590.66666666667	30505.25	301	467.666666666667	37149.7876488095	301159.3787213	0	9788.41666666667	5912.58888888889	2632.72451254164	27663.7848072212	4214.6111111111	5315.59259259259	351.618055555555	2106.58333333333	581.190740740739	15936.9062334656	4073.92222222223	854.672222222222	7845.44166666665	2349.98148148148	413.759259259259	72664.7089807772	751.703703703703	37.0555555555556	0.907407407407407	0	42559716.0808551
0159_AP39_21301_20180706_ST_E21	41557720	2291.66666666667	31960.0555555556	122.444444444444	264.888888888889	34455.3867228836	267284.630557204	0	8640.75	5124.54861111111	2932.83637688614	24050.4857563597	3717.77777777777	5628.34259259259	385.090277777778	2324.57222222222	447.298148148148	16033.5332047325	3743.31944444445	607.261111111111	5089.85833333333	2163.56481481481	277.703703703703	67634.2668436459	862.444444444444	52.4444444444444	0.074074074074074	0.333333333333333	41071624.4216494
0159_AK37_71054_20190305_ST	31353698	1344.66666666667	18383.8333333333	498.166666666667	249.888888888889	26690.5457175926	216879.811379131	0	12415.8888888889	3480.08194444444	2455.5765383108	20566.1228392	2573.44444444444	4066.74074074074	287.280092592592	1233.66666666667	640.356481481483	14587.5013300999	4603.56944444445	850.527777777778	6660.52870370372	1624.93518518519	338.981481481481	51953.4260156403	833.37037037037	105	0	0	30960374.0884022
