sample_id	total	mannan_polymerase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	ESCRT_I_complex	ESCRT_II_complex	ESCRT_III_complex	ER_ubiquitin_ligase_complex	signal_recognition_particle_receptor_complex	signal_peptidase_complex	phosphatidylinositol_3_kinase_complex	oligosaccharyltransferase_complex	photosystem	photosystem_I_reaction_center	photosystem_II_reaction_center	photosystem_II_oxygen_evolving_complex	photosystem_I_antenna_complex	proton_transporting_two_sector_ATPase_complex	phycobilisome	membrane_coat	AP_type_membrane_coat_adaptor_complex	HOPS_complex	retromer_complex	retromer__tubulation_complex	retromer__cargo_selective_complex	NADH_dehydrogenase_complex	SNARE_complex	Sec62_Sec63_complex	endoplasmic_reticulum_palmitoyltransferase_complex	dolichyl_phosphate_mannose_protein_mannosyltransferase_complex	SREBP_SCAP_complex	proton_transporting_two_sector_ATPase_complex__proton_transporting_domain	proton_transporting_two_sector_ATPase_complex__catalytic_domain	VCP_NPL4_UFD1_AAA_ATPase_complex	GPI_anchor_transamidase_complex	MHC_class_I_peptide_loading_complex	TAP_complex	UDP_N_acetylglucosamine_transferase_complex	Dsc_E3_ubiquitin_ligase_complex	proton_transporting_ATP_synthase__stator_stalk	proton_transporting_ATP_synthase__catalytic_core	proton_transporting_ATP_synthase__central_stalk	pore_complex	cargo_receptor_complex	translocon_complex	clathrin_complex	Nem1_Spo7_phosphatase_complex	Ragulator_complex	EMC_complex	Asi_complex	plasma_membrane_protein_complex	outer_mitochondrial_membrane_protein_complex	inner_mitochondrial_membrane_protein_complex	respiratory_chain_complex	nuclear_membrane_protein_complex	COPII_vesicles_tethering_complex	transmembrane_transporter_complex	Ire1_complex	IRE1_TRAF2_ASK1_complex	ESCRT_IV_complex	nuclear_membrane_complex_Bqt3_Bqt4	Remaining
0159_AY44_33255_20191018_ST	2064502	0	0	0	0	0	0	0	0	0	0	6.66666666666667	0	0	1	0	2792.5	7.25	76	9	0	0	0	0	20.6666666666667	0	0	0.666666666666667	0.222222222222222	0	2062.33333333333	4195.83333333333	0	0	0	0	0	0	0	0.25	0	356	0	0	0	0	0	0.5	0	7446.92222222222	0.25	4.125	15.125	0	0	3599.35416666667	0	0	0	0	2043907.33472222
0159_AN08_59000_20171012_ST	2050355	0	0	0	0	0	0	0	0	0	0	37.3333333333333	0	0	0	0	1067.83333333333	3.25	125.666666666667	0	0	0	0	0	70.3333333333333	0	0	0.333333333333333	0	0	1499.83333333333	4292.66666666667	0.166666666666666	0	0	0	0	0	0	0	0	440.5	0	0	0	0	0	0	0	6680.20833333333	0	1	55.6666666666667	0	0	3207.6875	0	0	0	0	2032872.52083333
0159_AN08_59001_20171018_ST	2047422	0	0	0	0	0	0	0	0	0	0	50.8333333333333	0	0	1.25	0	2460.66666666667	6	134.833333333333	0	0	0	0	0	30	0	0	0.333333333333333	0	0	1916.83333333333	4321.83333333333	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	5975.91666666667	0	5.75	7	0	0	2909	0	0	0	0	2029549.75
0159_AZ03_32017_20180615_STLS	2047162	0	0	0	0	0	0	0	0	0.333333333333333	0	52	0	0	0.25	0	1264.5	0.5	53.8333333333333	0	0	0	0	0	30.0833333333333	0	0	0	0	0	1548.5	4374.33333333333	0	0	0	0	0	0	0	0	0	451.5	0	0	0	0	0	0	0	6254.5	0	2	2.70833333333333	0	0	2984.22916666667	0	0	0	0	2030142.72916667
0159_AJ09_750038_20191031_ST	2035693	0	0	0	0	0	0	0	0	0	0	33.6666666666667	0	0	0.25	0	1696.5	77.75	168.5	0	0	0	0	0	85.6666666666667	0	0	0	0	0	1697.33333333333	3958.33333333333	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	5563.125	0.25	2.75	54.8333333333333	0	0	2600.99583333333	0	0	0	0	2019312.04583333
0159_AJ09_750002_20190916_ST	2028333	0	0	0	0	0	0	0	0	0	0	27.3333333333334	0	0.583333333333333	2.25	0	2066.16666666667	1.5	123.833333333333	1	0	0	0	0	79.7499999999998	0	0	0.666666666666667	0	0	1877.08333333334	3268.83333333333	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	0	5833.29166666667	0	6.25	15.875	0	0	2743.72916666667	0	0	0	0	2011932.85416667
0159_AP39_21147_20180112_ST	2022199	0	0	0.25	0	0	0	0	0	0	0	52.6666666666667	0	0	0.75	0	2037.66666666667	0	65.3333333333333	0	0	0	0	0	25.0833333333333	0	0	0	0	0	1892.16666666667	5189.33333333333	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	6901.875	0	7	4.16666666666667	0	0	3285.39583333333	0	0	0	0	2002357.3125
0159_AA34_42258_20181005_ST	2017894	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0	1743.16666666667	0	3	0	0	0	0	0	109.5	0	0	0	0	0	1036.25	3015.75	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	4833.83333333333	0	0	2.66666666666667	0	0	2232.25	0	0	0	0	2004761.33333333
0159_AB18_26592_20191024_ST	2017574	0	0	0	0	0	0	0	0	0	0	59.8333333333333	0	0	0	0	1991.66666666667	2.5	10.6666666666667	0	0	0	0	0	103.75	0	0	0	0	0	1940.91666666667	4423.58333333333	0	0	0	0	0	0	0	0	0	21.8333333333333	0	0	0	0	0	0	0	5218.70833333333	0	3.5	5.66666666666667	0	0	2429.5625	0	0	0	0	2001361.8125
0159_AZ03_32085_20191015_ST	1993114	0	0	0	0	0	0	0	0	0	0	19.5	0	0	0.75	0	1368.5	0.5	97.5	0	0	0	0	0	88.9166666666667	0	0	0.166666666666667	0	0	1529.33333333333	3311.5	0	0	0	0	0	0	0	0	0	164.333333333333	0	0	0	0	0	0	0	5486.875	0	2.5	62.0833333333333	0	0	2588.70416666667	0	0	0	0	1978392.8375
0159_AV42_66166_20190824_ST	1989489	0	0	3	0	0	0	0	0	0	0	16.1666666666667	0	0	0.5	0	3322.33333333333	1	131.833333333333	1	0	0	0	0	46.4166666666667	0	0	0	0	0	2360	3453	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	6467.66666666667	1	11.25	44.4583333333333	0	0	3077.97916666667	0	0	0	0	1970478.39583333
0159_AQ22_10415_20190605_ST	1983946	0	0	0	0	0	0.111111111111111	0	0	0	0	77.3690476190476	0	0	3	0	1573.16666666667	2.75	53	0	0	0	0	0	41	0	0	0	0	0	1837.16666666667	5380.83333333333	0.0833333333333335	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	6157.75	0	2	5.66666666666667	0	0	2898.80833333333	0	0	0	0	1965557.29484127
0159_AB18_26476_20190924_ST	1975859	0	0	0.5	0	0	0	0	0	0	0	10.6666666666667	0	0	0	0	1391.83333333333	1.5	17.3333333333333	0	0	0	0	0	127.75	0	0	0	0	0	1288.83333333333	2996.33333333333	0.166666666666666	0	0	0	0	0	0	0	0	1107	0	0	0	0	0	0	0	7774.33333333332	0.375	2	189.916666666667	0	0	3795.62499999999	0	0	0	0	1957154.83333333
0159_AB10_103277_20190425_ST	1967708	0	0	0	0	0	0	0	0	0.25	0	44.3333333333333	0	0	1	0	1469.16666666667	1.25	55.6666666666667	1	0	0	0	0	13.3333333333333	0	0	0	0	0	1698.16666666667	3798.5	0	0	0	0	0	0	0	0	0	541.5	0	0	0	0	0	0	0	5773.83333333333	0	1.75	2.66666666666667	0	0	2711.25	0	0	0	0	1951594.33333333
0159_AB10_26135_20180925_ST	1967092	0	0	0	0	0	0.194444444444444	0	0	0	0.166666666666667	58.3333333333333	0	0	0	0	1506	74	32.6666666666667	4	0	0	0	0	29.8333333333333	0.25	0	0	0	0	1652.16666666667	3487.91666666667	0.395833333333333	0	0	0	0	0	0	0	0.5	448	0	0	0	0	0	0	0	5490.33333333333	0.0625	1.875	8.5	0	0	2622.45833333333	0	0	0	0	1951674.34722222
0159_AZ03_32087_20191111_STHS	1961226	0	0	0	0	0	0	0	0	0	0	34	0	0.25	0	0	1238.16666666667	1	80	0	0	0	0	0	167.75	0	0	0	0	0	1530.33333333333	4177.5	0	0	0	0	0	0	0	0	0	290.5	0	0	0	0	0	0	0	7262.66666666667	0	5.5	251.666666666667	0	0	3451.79166666667	0	0	0	0	1942734.875
