sample_id	total	organic_substance_metabolic_process	carbohydrate_metabolic_process	cellular_aldehyde_metabolic_process	organic_acid_metabolic_process	lipid_metabolic_process	flavonoid_metabolic_process	carbon_fixation	ether_metabolic_process	organometal_metabolic_process	cyanide_metabolic_process	organophosphate_metabolic_process	alkanesulfonate_metabolic_process	choline_metabolic_process	polyketide_metabolic_process	thioester_metabolic_process	cellular_ketone_metabolic_process	macromolecule_metabolic_process	S_adenosylmethionine_metabolic_process	hydrocarbon_metabolic_process	olefinic_compound_metabolic_process	acetate_ester_metabolic_process	carbohydrate_derivative_metabolic_process	organic_cyclic_compound_metabolic_process	poly_hydroxyalkanoate__metabolic_process	organonitrogen_compound_metabolic_process	fatty_acid_derivative_metabolic_process	organic_substance_catabolic_process	organic_substance_biosynthetic_process	organic_hydroxy_compound_metabolic_process	Remaining
0159_AK37_71048_20190125_ST	18023348	39071.4166666667	827702.20786945	4988.84722222222	242081.582813464	84159.6873015873	0	2155.05	0	2.16666666666667	0	113917.445354882	384.5	1141	130.771296296296	2662.90609567901	10110.3923611111	2274666.4478588	1699.375	230.795138888889	185.416666666667	0	222285.12915003	328577.214532593	14.25	495959.003098404	643.477777777778	103921.285233365	185233.530653903	36130.9254574515	13045293.1757841
0159_AV42_66163_20190718_ST	17994071	32257.4166666667	1062812.63799236	5006.61597222222	238393.912848802	82589.725849684	0	2666.58333333333	0.333333333333333	0.833333333333333	0	109375.515624714	5.15	179	212.381481481481	2297.84726851852	7208.81550925925	2185511.58484118	1599.08333333333	56.2187500000001	0.477083333333333	0	222655.553363126	310874.999539191	4.125	521319.081372005	1115.6	126090.085016718	181783.516560433	27754.5324129189	12872299.3735141
0159_AK37_71023_20180813_ST	17833556	40797.8333333333	991152.872023644	3934.28368055556	228823.320493637	91896.2367638716	0	1034.98333333333	0.25	1.5	0	108769.370518481	83.15	327.375	340.478703703704	2138.60788580247	8114.99772376542	2201965.38480824	1661.41666666667	97.2534722222223	38.5541666666667	0	215970.639453732	312795.391769192	45	506540.494537443	475.555555555556	127378.305941435	182467.469001838	26530.199167769	12780175.0759991
0159_AP39_21289_20190125_ST_E21	17725209	55922.6666666667	1078318.47812959	3953.13194444445	229459.274794829	93384.7754199569	0.5	1021.75	0	0.833333333333333	0	104304.348485144	1.15	117.25	200.257407407407	1681.38953703704	7900.95138888889	2320943.46075036	1628.11111111111	61.7604166666667	0.75	0.833333333333333	215026.402193808	308698.786088544	9	520461.141668287	318.066666666667	138227.726452454	177538.08727256	26444.1429132596	12439583.9740257
0159_AK37_71052_20190226_ST	17361335	36364.8333333333	1065400.82795139	2776.31226851852	212226.311453832	82192.6943238046	0	1336	0	22.8333333333333	0	99755.2214898405	2.5	150.25	230.231944444444	1886.58089506173	9150.3611111111	2212530.17961401	1430.80555555555	169.34375	0.510416666666667	0	215156.991489728	295838.113845099	18.375	485584.810570228	1304.72222222222	127235.859601919	169020.005259728	26514.5232473545	12315035.8013228
0159_AP39_21282_20180907_ST_E21	17180440	37375.3333333333	1106987.01941964	5076.81643518519	225490.608559441	81336.6183384773	0	3457.91666666667	0	4.16666666666667	0	99541.8230907422	146	608.75	232.974074074074	2211.65782407407	10286.6207561728	2077676.58825232	1278.88888888889	99.5208333333333	15.1180555555556	1.09259259259259	213221.041568318	291881.369328059	9	486471.457062151	620.6	131779.34005562	167785.266469058	28929.1119984568	12207915.2997312
0159_AZ03_32016_20180619_ST	17159390	42681.3333333333	1150627.27592133	3471.6125	207300.261445895	88002.7472263697	0	619.416666666667	0	2.16666666666667	0	94758.3694080126	1.5	142	154.031481481481	1451.88652777778	8247.05729166667	2244694.43737992	1446.33333333333	56.8854166666667	1.01666666666667	0.444444444444444	204626.080014299	293852.350546477	3.75	484960.509228406	406.666666666667	141783.288282184	162282.657611722	22765.3607428451	12005050.5611972
0159_AK37_71024_20181010_ST	17003481	36769.8333333333	928313.163901747	3997.45347222222	209167.499335878	82243.1205008084	0	715.583333333333	0.5	0.833333333333333	0	100379.117152921	79	564.375	205.918055555556	1911.45305555556	8608.11435185186	2276152.29015285	1658.34722222222	287.260416666667	26.25	0.222222222222222	207083.161771119	309668.481501262	41.25	484514.055136635	305.4	115443.118388494	174177.622175814	25648.2852044753	12035519.2909817
0159_AZ03_32057_20190910_ST	16713937	36488	1010460.95510988	3850.37638888889	198934.631386166	84621.6394670915	0	214.916666666667	0.5625	1.16666666666667	0	98390.5366157979	0	106.25	178.652777777778	1805.45203703704	5995.60243055555	2227090.52504284	1663.90277777778	119.663194444444	0.416666666666667	0	199698.000163139	297970.821571616	4.5	468591.297140706	337.275	120295.90356385	177204.570847742	22450.8906828704	11757460.4913018
0159_AP39_21294_20181026_ST_E21	16210343	31754.1666666667	964272.444606111	4031.85902777778	198520.361640625	75063.1014106285	0	1792.65	0.25	0.5	0	95125.553719197	34.5	210.125	99.2509259259259	1720.41592592593	7024.35590277778	2154448.64429747	1495.41666666667	103.246527777778	0.422222222222222	0.0555555555555556	202391.080176581	290409.182195547	23.625	454851.886065127	277	115683.212771287	158822.074682471	22779.420116843	11429408.1988968
0159_AP39_21111_20190126_ST	15642062	33211.8333333333	983673.562336495	3247.69375	190501.213639991	77107.0409823265	0	414.833333333333	0.416666666666667	1	0	94458.833110711	0	62.5	617.133333333333	1801.46657407407	7199.01643518518	2021767.522676	1533.5	69.7291666666666	0	0.0555555555555556	191561.643171358	273097.696953188	5.25	449566.905122281	159.733333333333	125430.629930262	150087.659734292	22513.0710841049	11013972.0597775
0159_AP39_21220_20180215_ST_E21	15613916	32410.6666666667	992647.519779726	3563.06527777778	204488.758209515	75503.1758827528	0	168.5	0	1	0	94777.7897284277	0.5	84.375	117.472222222222	1664.73972222222	6757.48344907406	2041447.90857767	1493.27777777778	58.6400462962963	0.296296296296296	0	192663.440773687	277580.185051359	45.75	448598.148740882	343.36712962963	115265.624821551	157251.752689107	22755.6818535053	10944226.8803038
0159_AP39_21311_20180613_ST_E21	15304949	37543.4166666667	1037680.85932723	3541.396875	187606.932136528	71824.8571969001	0	838.75	0	3.66666666666667	0	90904.2512128486	2	91	114.215740740741	1639.14518518518	5306.47256944444	1951800.80261577	1404	79.0243055555554	0.0833333333333333	0.166666666666667	187105.910315531	263459.683920066	49.125	442226.23105453	287.533333333333	125790.371303773	153384.376049318	22252.7028880071	10720012.0256369
