sample_id	total	organonitrogen_compound_biosynthetic_process	urea_cycle	sulfur_amino_acid_biosynthetic_process	aminoglycan_biosynthetic_process	phosphatidylcholine_biosynthetic_process	Mo_molybdopterin_cofactor_biosynthetic_process	cellular_amino_acid_biosynthetic_process	aromatic_amino_acid_family_biosynthetic_process	branched_chain_amino_acid_biosynthetic_process	glycoprotein_biosynthetic_process	biotin_biosynthetic_process	nucleoside_biosynthetic_process	amine_biosynthetic_process	alkaloid_biosynthetic_process	pyrroloquinoline_quinone_biosynthetic_process	allantoin_biosynthetic_process	ectoine_biosynthetic_process	glucosinolate_biosynthetic_process	sphingolipid_biosynthetic_process	holo__acyl_carrier_protein__biosynthetic_process	wybutosine_biosynthetic_process	molybdopterin_cofactor_biosynthetic_process	tetrapyrrole_biosynthetic_process	kynurenic_acid_biosynthetic_process	lipoprotein_biosynthetic_process	cellular_modified_amino_acid_biosynthetic_process	taurine_biosynthetic_process	indole_containing_compound_biosynthetic_process	hemoglobin_biosynthetic_process	pteridine_containing_compound_biosynthetic_process	flavin_containing_compound_biosynthetic_process	peptide_biosynthetic_process	nucleobase_biosynthetic_process	N_acetylneuraminate_biosynthetic_process	thiazole_biosynthetic_process	L_pipecolic_acid_biosynthetic_process	purine_containing_compound_biosynthetic_process	pyridine_containing_compound_biosynthetic_process	pyrimidine_containing_compound_biosynthetic_process	primary_amino_compound_biosynthetic_process	Remaining
0159_AK37_71051_20190224_ST	30677676	7410.63333333333	352.666666666667	5003.27847222222	7003.31240079364	0.26984126984127	6299.8	62192.1713128307	14756.2898809524	20531.1611111111	257.90625	3028.34375	6425.05289351852	3433.4837962963	1.16666666666667	265.166666666667	0	231.4	0	0.960185185185185	0	0	1097.33333333333	11403.8627645502	0	10975.3055555556	9436.44544973545	0	429.598379629629	0	1692.49947530864	5889.84305555556	56836.3407407407	5178.55684523809	0.1	580.388888888888	0	9342.74227415246	5292.94462962963	7171.15499706055	0	30415155.8203831
0159_BC12_41010_20171203_ST	26329100	6616.66666666667	94.5	5022.36412037037	5924.85125661375	0	5816.25	68807.1068727953	13031.8023015873	27569.2518518519	522.6875	1936.3875	4130.48919753087	1697.28009259259	7.5	0.333333333333333	0	355.4	0	2.31481481481481	0	0	1703.2	11743.3804563492	0	7810.83333333333	5136.37909090909	0	359.94675925926	0	1071.78143518519	3512.88416666667	51298.8685185185	5010.70416666667	0	34.4861111111112	0	9406.50437242798	4220.09444444443	6498.63955555556	0	26079757.1120814
0159_AV42_66107_20190327_ST	25918625	7354.06666666667	210.833333333333	5557.43958333334	6194.57371031746	0	8731.3	51387.7372023809	11647.505952381	17907.8925925926	25.71875	3740.78125	6162.34459876543	2385.05625	1	0.166666666666667	0	2.4	0	4.3148148148148	0	0	810.5	9184.32407407407	0	8463.75	11891.0473214286	0	469.381944444444	0	1591.63611111111	4453.59365079365	47102.1175925926	4737.09206349207	0	328.694444444445	0	6985.95620223398	4112.70740740741	6072.66975308642	0	25691108.3980636
0159_AP39_21295_20180811_ST_E21	23598601	5526.58333333333	89.9166666666667	4557.03935185185	5713.54551917989	0.103174603174603	5805.6	57305.5779320988	11955.9736904762	19513.4287037037	314.770833333333	2192.28125	3952.19035493827	2040.97777777778	3.83333333333333	147.25	0	45.4	0	3.53703703703704	0	0.125	1292.73333333333	9778.625	0	7229.33333333333	4845.55585978836	0.2	341.315972222222	0	755.806728395061	2962.91861111111	47049.2185185186	3996.25813492063	0.4	78.0555555555555	0	7857.93808788947	3634.97092592592	5576.65354497354	0.0833333333333333	23384032.7991024
0159_AB10_100710_20181001_ST	23465581	7997.61666666667	368.777777777777	6041.91041666666	6716.24375	0.333333333333333	9617.65	64873.5984953704	12433.6579365079	22063.5907407407	239.916666666667	3656.15625	3793.80405092593	2070.21967592592	3.33333333333333	11	0	256.4	0	4.12962962962963	0	0	1281.8	11174.793287037	0	7423.08333333333	8620.71884920634	0	550.148148148148	0	1045.85300925926	3003.55682539683	47790.4362433862	4717.34583333333	0	101.625	0	8146.90677175191	3680.96324074074	5876.58947089947	0	23222018.841264
0159_AZ03_32019_20180325_ST	23266629	5207.76666666667	61.75	4321.01875	5231.44894179893	2	4376.26666666666	65039.4137566138	12533.7481746032	20704.1833333333	211.40625	1640.7125	3845.07881944445	1618.99861111111	8.83333333333333	0.333333333333333	0	37.2	0	1.52777777777778	0	0	1401.63333333333	9201.68042328042	0	7350.22222222223	4241.88221200096	0	241.590277777778	0	667.783675044093	2732.96722222222	53032.0476851852	4838.81952380952	0	24.5833333333333	0	9454.01763521458	3776.87462962963	6661.49244562022	0	23038161.7184666
0159_AP39_21065_20180201_ST	23251625	4754.21666666667	112.083333333333	3693.85393518518	4429.56094576721	0	4577.19523809524	52010.9847277337	9797.07416666666	20600.6685185185	801.427083333333	3167.2125	3758.24378858025	2211.29976851852	0	0.333333333333333	0	27	0	0.388888888888889	0	0	945.166666666666	10039.1631944444	0	5811.1111111111	5026.2797979798	0	389.792824074074	0	858.939351851852	3171.35	37607.6592592592	3885.92311507937	0	25.4722222222222	0	7406.88140432099	3398.75462962963	4711.04005291006	0	23058405.9234758
0159_AK37_71050_20190313_ST	22908156	8527.08333333333	151.666666666667	4382.93796296297	5081.89021164021	0.833333333333333	4857.3	61332.0524360671	12053.9163095238	22801.0962962963	615.625	1456.0375	3786.87309992284	1770.03958333333	2.66666666666667	0.75	0	52.8	0	1.48148148148148	0	0	1265.06666666667	9634.89837962963	0	6703.1111111111	4472.5797979798	0	411.739583333333	0	692.925462962962	2795.80027777778	46917.3833333333	4478.48368055555	0	53.1666666666667	0	8567.07331961591	3632.27166666667	5696.04724279835	0	22685960.4029297
0159_AZ03_32013_20200922_ST	22364500	4163.8	22.4444444444444	3567.06527777778	5074.04618055554	0	2832.86666666666	48232.7216435185	10578.32	14555.0898148148	532.71875	1587.9375	4068.16585648148	1621.69490740741	1.83333333333333	5.5	0	142.8	0.166666666666667	4.53703703703704	0	0	799.066666666666	8568.66792328043	0.166666666666667	8055.6111111111	4165.66570707071	0	183.337962962962	0	814.862685185186	2829.52	50311.7592592593	3840.10625	0.1	42.1111111111112	0	7065.77378257887	3489.70416666667	5492.96378600823	0	22171848.8748427
0159_AP39_21076_20180429_ST	21809905	4500.9	92.9166666666667	3613.34722222222	4469.43571428572	0	4377.7	54069.5848875661	11076.1034126984	20195.7351851852	455.4375	2396.1875	3253.73148148148	2159.67592592593	0.333333333333333	0.166666666666667	0	145.4	0	0.296296296296296	0	0	1061	9699.65132275134	0	5122	3810.26583333334	0	309.155092592593	0	620.061990740741	2989.71083333334	35357.5518518518	3814.14365079364	0.1	40.4722222222222	0	7483.70120884773	3824.76805555554	5173.624664903	0	21619791.8414807
