sample_id	total	septum_digestion_after_cytokinesis	cell_activation	cell_killing	plasmid_maintenance	protein_folding	vesicle_targeting	movement_of_cell_or_subcellular_component	syncytium_formation	microtubule_based_process	cell_cycle	chromosome_segregation	cell_communication	cell_adhesion	establishment_or_maintenance_of_cell_polarity	signal_transduction	ensheathment_of_neurons	cell_recognition	cell_death	cell_population_proliferation	horizontal_gene_transfer	stomatal_movement	intercellular_transport	light_absorption	cell_growth	cellular_homeostasis	cytolysis	cell_cycle_process	membrane_docking	cellular_process_involved_in_reproduction_in_multicellular_organism	actin_filament_based_process	transposition	RNA_folding	phenotypic_switching	protein_unfolding	cellular_metabolic_process	intermediate_filament_based_process	cellular_developmental_process	cell_division	cellular_localization	maintenance_of_location_in_cell	cellular_response_to_stimulus	transmembrane_transport	microtubule_organizing_center_localization	process_utilizing_autophagic_mechanism	cell_wall_organization_or_biogenesis	cellular_component_organization_or_biogenesis	DNA_clamp_unloading	cell_aggregation	exocytic_process	cell_cell_fusion	export_from_cell	cellular_detoxification	Remaining
0159_AK37_71051_20190224_ST	30677676	0.333333333333333	0	263	5399	173968.857142857	0	21271.90635334	0	885.716281512605	77071.2063492063	15346.7246031746	26851.1675595238	55876.5666666667	1.49583333333333	306795.508889218	0.1	7	2.9	3.57692307692308	30410	0	0	56	0.437962962962963	11209.7703215188	16168.7722222222	40563.8289777743	0.636706349206349	0.63888888888889	2.66229915577342	329949.975	0	0.333333333333333	1200.55714285714	2748103.2191888	60	25627.7053571429	363781.455555556	11680.6815920917	3.36458333333333	136540.914519666	423144.960006614	0	69.1322654061626	73475.5736607143	866979.313494841	65.3333333333333	550.216666666665	0.305555555555556	0	16056.5261574074	5962.28392857143	24892266.341344
0159_BC12_41010_20171203_ST	26329100	0	0	146	2429.5	108354.783333333	0	5036.54345238095	0	190.504166666667	66860.3777777778	10549.8952380952	32840.4229166667	15165.6166666667	0	280545.475595238	0	113.75	18	4	18572	0	0	4	0	15000.1168309772	18624.4666666667	27657.8125	0	1.70337301587302	0.0125	247450.779761905	0	0	316.5	2349472.9048375	131	27873.4656565657	317318.911111111	8898.196875	0.875	122170.536520337	463780.604764385	0	124.071428571429	56172.2412698415	623453.900992064	0	3513.76666666667	0	0	7275.625	5231.33333333333	21493800.3057652
0159_AV42_66107_20190327_ST	25918625	0	7.54545454545455	985.5	433.5	146910.171428571	0	42198.7479166667	0	29.48125	54883.0690476191	25261.4428571429	17463.9848214286	174104.583333333	0	173101.794047619	0.1	0.5	4.4	0.5	23222.5	0	0.0555555555555555	22	0	15481.3549262153	15377.8111111111	40650.5833333334	0	0.166666666666667	0	183279.608333333	0	0	513.071428571429	2315185.24200285	2	9196.74027777778	296203.369047619	9729.58716517857	0.375	109083.060094246	457794.634880952	0	15.3333333333333	84402.7595238095	867536.733847402	0	654.375	0.1	0	25074.1474747475	5226.27083333333	20824587.800007
0159_AP39_21295_20180811_ST_E21	23598601	56.25	0.100961538461538	95.75	15877.7777777778	107200.083874459	0.583333333333333	10063.8467592593	0.0192307692307692	197.306278935185	62383.7781746032	12238.70503663	24322.2122891865	37908.95	1.64583333333334	202004.654683048	0	15.25	7.16666666666667	8	19396.0333333333	0	0	9	0.198280423280423	11385.2488560268	11989.55	31149.7571890783	1.81944444444445	0.847222222222222	1.11859292328042	216298.871428572	0.333333333333333	0	759.264682539683	2119333.26752976	53.5	29035.1948768824	279326.21984127	8458.49879287668	1.88194444444444	113480.059511539	366320.234138145	0	73.3842261904762	61744.6743551587	614710.773885649	0	882.629166666668	2.97222222222222	0.0384615384615384	8236.17251984127	4954.24791666667	19228613.1273487
0159_AB10_100710_20181001_ST	23465581	0	0	642.066964285714	18415.5833333333	114500.820238095	0	24944.0613095238	0	627.220833333333	64976.7904761905	21293.9529532967	22057.2062830688	159417.083333333	0	218840.34065934	0	32.25	6.33333333333333	0.611111111111111	19610.7	0	0	1	0	10802.2023148148	28068.3222222222	35212.6364087302	0	0.0714285714285715	0	203621.141666667	0	0	646.9	2115498.99431184	55	19135.6027777778	288498.837301587	8474.6769469246	0.145833333333333	99845.9119177986	489005.107981978	0	91.6805555555556	63612.1333333333	672601.054838217	0	1130.08333333334	0	0	13524.7696759259	4616.625	18745773.0813232
0159_AZ03_32019_20180325_ST	23266629	0	0.0325	6.52272727272727	10935.1666666667	103728.333333333	0	3780.31333333333	0	319.3140625	61540.3555555556	13249.2523809524	22271.9303165585	18336.025	0.465873015873016	177862.352965969	0	6.9	8.70666666666667	0.005	20258.8333333333	0	0	3	0.372867063492063	15193.4857669891	11583.0833333333	32052.695668741	0.2	0.132936507936508	35.9797123015873	153596.671428572	0	0	1327.58333333333	2113377.43634498	84	36954.2468742986	267837.488888889	9036.95080673769	3.51488095238095	120539.354074818	332632.391641639	0	90.2326964925757	55884.4118551587	617843.343110965	0.5	1333.6125	0.4	0	5516.23680555555	6015.24166666667	19053381.9230908
0159_AP39_21065_20180201_ST	23251625	5	0	120.28125	25473.5	92139.8	0	13125.4166666666	0	233.5625	46991.5876984127	6904.41666666667	18875.4475694444	22189.75	0.0454545454545455	241249.704761905	0	8.25	2.5	1.14285714285714	15196.5	0	0	0	0.00568181818181819	12874.7105525984	14682.5333333333	21407.1011904762	0.05	0	0	209342.458333333	0	0	182.891666666667	2003902.39084474	92	16501.691504329	243045.843650794	7123.98559027777	0.541666666666667	94521.3974383448	293688.211172066	0	36.0714285714286	57415.6807081807	546071.868590437	1	397.833333333333	0.2	0	9768.68700396825	3359.375	19234691.5658853
0159_AK37_71050_20190313_ST	22908156	0	0.0338541666666666	9.5	12201.5	95929.7	0	5459.29270833332	0	796.85	63778.8948412699	11287.0380952381	23293.3555555556	20651.75	0.226190476190476	222374.05610119	0	14	4.24166666666667	0.505208333333333	17716.5	0	0	0	0.276041666666667	12852.2093558351	15154.6166666667	27470.3662698413	0.65	0.1875	0.691666666666667	145535.747619048	0	0	648.325	2031344.14132636	37.5	24007.1826073232	280320.255555556	8080.18179563492	0.625	103640.882015467	341185.794071068	0	51.1428571428571	55008.4221230159	546859.230493552	0.2	1441.54166666666	2.1	0	6868.71224747475	4828.21726190476	18829299.3566379
0159_AZ03_32013_20200922_ST	22364500	5.37142857142857	0.333333333333333	4.5	13962.5	99130.1532467532	0	2451.93047138047	0	492.710724896019	61926.9642857143	10521.4761904762	23699.9356688161	13073.0166666667	10.9649267399267	167082.222655122	0	9.16233766233766	8.25882352941176	7.7843137254902	19881.9523809524	0	0	2	0.556845238095238	13566.0140353137	12216.9166666667	28613.160173065	1.35	0.480753968253968	44.6775132275132	197075.761904762	0	0	788.034523809524	2024975.74316813	63.5	23982.9564253647	261824.132142857	8431.3596510366	7.37234848484848	114115.211201929	275503.419939314	0	50.3737840590781	51638.1194940476	602649.557581513	1.5	721.95	7.95	0	6517.0775255994	5381.92500000001	18324049.6618673
0159_AP39_21076_20180429_ST	21809905	0	0	0.25	18425.25	87228.7876984128	0	8337.125	0	583.764583333333	54248.7619047619	8160.6380952381	19444.4055555556	18122.6666666666	0.166666666666667	208372.483134921	0	8.35	1.83333333333333	1.75	17428.5	0	0	9	0.166071428571429	10323.701640005	9176.25	22915.7983300265	0.175	0.12202380952381	0.0138888888888889	259115.241666667	0	0	413.015476190476	1901903.6101332	28	23413.2188051147	249463.056349206	6975.29109623016	0.28125	96990.0928323413	286900.936184371	0	46.7241071428571	52980.6337797619	522805.662698412	0	524.5	0.625	0	7455.8681013431	3104	17914994.282927
