sample_id	total	carboxy_lyase_activity	aminocarboxymuconate_semialdehyde_decarboxylase_activity	adenosylmethionine_decarboxylase_activity	aromatic_L_amino_acid_decarboxylase_activity	aspartate_1_decarboxylase_activity	diphosphomevalonate_decarboxylase_activity	glutamate_decarboxylase_activity	histidine_decarboxylase_activity	indole_3_glycerol_phosphate_synthase_activity	ornithine_decarboxylase_activity	orotidine_5__phosphate_decarboxylase_activity	phosphatidylserine_decarboxylase_activity	phosphoenolpyruvate_carboxykinase_activity	phosphopantothenoylcysteine_decarboxylase_activity	phosphoribosylaminoimidazole_carboxylase_activity	pyruvate_decarboxylase_activity	tyrosine_decarboxylase_activity	uroporphyrinogen_decarboxylase_activity	gamma_glutamyl_carboxylase_activity	X2_oxoglutarate_decarboxylase_activity	X3_octaprenyl_4_hydroxybenzoate_carboxy_lyase_activity	arginine_decarboxylase_activity	diaminopimelate_decarboxylase_activity	lysine_decarboxylase_activity	oxaloacetate_decarboxylase_activity	oxalyl_CoA_decarboxylase_activity	tartronate_semialdehyde_synthase_activity	ribulose_bisphosphate_carboxylase_activity	X4_5_dihydroxyphthalate_decarboxylase_activity	gallate_decarboxylase_activity	X4_hydroxybenzoate_decarboxylase_activity	X5_oxopent_3_ene_1_2_5_tricarboxylate_decarboxylase_activity	glutaconyl_CoA_decarboxylase_activity	X2_4_dihydroxyhept_2_ene_1_7_dioate_aldolase_activity	phosphonopyruvate_decarboxylase_activity	X3_dehydro_L_gulonate_6_phosphate_decarboxylase_activity	diaminobutyrate_decarboxylase_activity	X4_hydroxyphenylacetate_decarboxylase_activity	X5_amino_4_imidazole_carboxylate_lyase_activity	oxalate_decarboxylase_activity	X2_2_dialkylglycine_decarboxylase__pyruvate__activity	branched_chain_2_oxoacid_decarboxylase_activity	indolepyruvate_decarboxylase_activity	X5_guanidino_2_oxopentanoate_decarboxylase_activity	arylmalonate_decarboxylase_activity	X4_oxalocrotonate_decarboxylase_activity	X4_carboxymuconolactone_decarboxylase_activity	acetoacetate_decarboxylase_activity	acetolactate_decarboxylase_activity	aspartate_4_decarboxylase_activity	UDP_glucuronate_decarboxylase_activity	threonine_phosphate_decarboxylase_activity	malonyl_CoA_decarboxylase_activity	o_pyrocatechuate_decarboxylase_activity	phenylalanine_decarboxylase_activity	phenylpyruvate_decarboxylase_activity	tartrate_decarboxylase_activity	UDP_galacturonate_decarboxylase_activity	X3_oxolaurate_decarboxylase_activity	sulfopyruvate_decarboxylase_activity	benzoylformate_decarboxylase_activity	X2_oxo_4_hydroxy_4_carboxy_5_ureidoimidazoline_decarboxylase_activity	X3_oxo_myristate_decarboxylase_activity	X3_oxo_palmitate_decarboxylase_activity	phenylacetaldehyde_synthase_activity	Remaining
0159_AS41_40055_20180716_ST	251882058	262511.233333333	5375	23993.5	0	24441	40.6666666666667	13800	6462	49247.4166666667	50589	85979.45	50424.8333333333	122635	23113	6596.73333333333	1595.08333333333	0.5	55594.9166666667	0	18.3333333333333	344.333333333333	118462.666666667	92597.3333333333	103485	62642.5833333333	3.5	19.0833333333333	482.066666666667	39	3	4473	12487.3333333333	24213	7713	912.166666666667	11184.5	16869.8333333333	68360.75	2133.48333333333	1320.5	2.66666666666667	1.25	16269.9166666667	0	15	1303	9781	22	19646	1202.16666666667	15887.8333333333	49907	5888.5	0.5	0.5	0.25	999.866666666667	0	0	21	633.75	3.5	0	0	0	250450308.5
0159_AP39_21110_20190111_ST	186513229	116311.666666667	134.5	8494.5	0	22015.2777777778	3017	13032.3333333333	2161	47055.7333333333	14457.6666666667	75686.5	41399.8333333333	74227.9166666667	23854.9166666667	5949.14285714286	46.15	8.75	32053.45	1	50.75	89.6666666666667	109131.833333333	80527	19792.1666666667	25896.6666666667	2511.08333333333	2879	2369.93333333333	11	0	414	3762.33333333333	19400.5	991.5	1565.83333333333	4210.16666666667	358.083333333333	40177.1666666667	1606.39285714286	3594	137.333333333333	0	410.75	0	63	1296	3197	31	5686	705.833333333333	22124.1666666667	25334.8333333333	65.5	0	2.25	0	21.7333333333333	0	0	0	33	0	0	0	0	185654874.186508
0159_AA34_42475_20190911_ST	166344029	87929.6	0	6181	0	13759.9444444444	12.6666666666667	19769.3333333333	5302	32477.0333333333	79	55234	24861.4166666667	29369.5833333333	13984.3333333333	911	0	0	37584.4166666667	0	1	7	66810	57162	1617	22639.8666666667	0	102.25	171.233333333333	31	0	44	8.83333333333333	22808	9.33333333333333	1955.83333333333	3.83333333333333	54.8333333333333	17114.5	265.416666666667	2704	14.6666666666667	0	2	0	109	2.5	1218	105	663.5	6451.83333333333	17316.3333333333	20347.1666666667	3	0	0	0	0	0	0	0	12.0833333333333	0	0	0	0	165776818.655556
0159_AA34_42480_20191103_ST	114788551	62087.2333333333	0	3094	0	9542.33333333333	117.833333333333	6308	114	23772.0666666667	1925	53818.6666666667	16298.6666666667	46126	13626	2417.81666666667	2.7	3.08333333333333	9629	0	1.11666666666667	1.5	75522.6666666667	58409.5	1619	10388.3833333333	0.666666666666667	3.91666666666667	860.233333333333	0	0	11	81.5	23595	27.3333333333333	109.166666666667	34.8333333333333	82.5833333333333	20637.1666666667	110.533333333333	2117	14.3333333333333	0.666666666666667	32.1666666666667	0	0	4.5	311.5	267	2197	3218	5402.16666666667	26084.1666666667	3	0	1.75	0	0	0	0	0	0	0	0	0	0	114308519.25
0159_AP39_21298_20181004_ST_E21	86839131	54848.2333333333	0.333333333333333	2353.83333333333	0	6235.22222222222	80.3333333333333	7510.5	2789	13674.0333333333	1635.83333333333	29882.5	11293.3333333333	17696.5833333333	9510.91666666667	784.016666666667	0.5	0.833333333333333	13568.3333333333	0	0.333333333333333	14.5	47657.6666666667	35965	948.333333333333	11545.9166666667	16.75	14.3333333333333	404	2	0	35	25.1666666666667	15280.5	5.66666666666667	1546.91666666667	17	17.1666666666667	11299.8333333333	145.333333333333	1475	16.3333333333333	0	4.66666666666667	0	14	1	677.5	22.5	180	2406.83333333333	7947.41666666667	17424.6666666667	2	3	0	0	0.2	0	0.666666666666667	0	3.16666666666667	0	0.666666666666667	0.666666666666667	0	86512144.9611111
0159_AK37_71062_20190607_ST	69169479	44413.6666666667	37.5	3869	0	5877.5	85	12777	1153	18007.9	4943	29312.4	13473.5833333333	26571.9166666667	7581.58333333333	2633.3119047619	9.03333333333333	0	11484.4166666667	0	4.33333333333333	13	29796.3333333333	31314.3333333333	4754.5	7705.11666666667	440.75	506.25	356.466666666667	7	0	51	1348.33333333333	7399.5	25	291.833333333333	691.166666666667	82.5	15332.5166666667	164.028571428571	1292.5	13.3333333333333	0	96.5	0	91	6.5	1040.5	5	270	1402.66666666667	9581	10670.6666666667	37	0.5	0	0	4	0	0	0	6.16666666666667	0	0	0	0	68862447.8928571
0159_AP39_21108_20171121_ST	68136264	45848.45	23.3333333333333	7736.5	0	6734.5	206	14535	1047	10269.8	29334.8333333333	26227.5	16522.4166666667	36174.4166666666	7594.66666666667	3117.8	6.3	97.6666666666667	34120.9166666667	0	56.75	89.8333333333333	42754.8333333333	24576.6666666667	25206.8333333333	12064.5833333333	3567.41666666667	7745.36666666667	381.433333333333	40	0	149	30.3333333333333	3805	24	656.083333333333	5499.33333333333	45.5	23616.0833333333	647.65	750	60	0	40.6666666666667	1.66666666666667	107	8.5	2124	96	877	513.5	5810.91666666667	5117.33333333333	16	1	0	0	6.33333333333333	0	0	90.1666666666667	13.1666666666667	0	0	0	0	67730076.95
0159_AP39_21129_20180205_ST	62377466	45839.5	0	1946	0	5812	9.66666666666667	6286.5	1118	10384	832	23764.8333333333	8934.5	13782.0666666667	7043.5	1696.45952380952	0	0	21105.75	0	0.25	3.5	30989	27998.6666666667	313	6499.28333333333	125.083333333333	36.6666666666667	194.3	4	0	15	38.5	9887	1.5	208.916666666667	14.6666666666667	46.5	16935.7	42.2595238095238	1176	94	0	0.25	0.333333333333333	29	0	737	290	23.5	1711.83333333333	9115.5	9529.66666666667	1	6	0	0.25	0	0	0	0.833333333333333	5.33333333333333	0.5	0	0	0	62112836.4309524
0159_AP39_21301_20180706_ST_E21	62312960	38132.9	0	1326	0	4611	34.6666666666667	5094.5	1908	9843.26666666667	992.666666666667	21439.75	8223	12527.75	6720.16666666667	538.65	0	0	9264.33333333333	0	0.866666666666667	0.5	34148.3333333333	26233	799.166666666667	7964.71666666667	8.75	6.08333333333333	208.2	5	0	18	15.1666666666667	11087.5	4	872.166666666667	2	3.5	8169.83333333333	107.2	1164	5	0.333333333333333	1.33333333333333	0	11.5	1	446	7	64	1362.5	5925.66666666667	11901	3	4	0	0	0	0	0	0	2.33333333333333	0	0	0	0	62081750.7
0159_AK37_71054_20190305_ST	44724247	28373	4.5	1152.5	0	3608.55555555556	1361.16666666667	4142.5	392	10352.9666666667	2219.5	17617.8333333333	7280	14555.4166666667	4900.5	2084.71666666667	20.85	534	12784.4166666667	0	63	24	16585.6666666667	17919.3333333333	1479.5	5419.76666666667	170.333333333333	381	213.833333333333	0	0	77	22	4621	14.6666666666667	414.083333333333	562.333333333333	804.333333333333	6540.16666666667	821.333333333333	655	23.3333333333333	0.666666666666667	267.083333333333	0	31	3	812	1233	3232	2162.83333333333	3037.33333333333	6519.83333333333	17	0.5	351	0	3.53333333333333	0	0	0	27.8333333333333	0	0	0	0	44538352.2777778
0159_AK37_71051_20190224_ST	44419239	31139.6666666667	127.5	1796	0	5200.38888888889	6.66666666666667	2290	756	6435.7	4203.5	17175.5833333333	10860.8333333333	13360.8333333333	5986.16666666667	606.55	79.2642857142857	0	6315.41666666667	0	26.6666666666667	57.5	23802	14246.5	3794	4265.03333333333	50	66.75	165.333333333333	6	0	151	879	4327.5	336	301	609	546.166666666667	4505.16666666667	177.166666666667	740	24.6666666666667	0	588.083333333333	0	48.5	57	479.833333333333	19.5	808	315.666666666667	7354.08333333333	5627.66666666667	127	0.5	0	0	42.9333333333333	0	0	0	99.6666666666667	0	0	0	0	44238254.0468254
0159_BC12_41010_20171203_ST	38285200	24129.5666666667	0.5	719.333333333333	0	2869.5	0.666666666666667	3817.66666666667	387	6775.5	313.166666666667	15105.5	5422.5	7464.08333333333	3934.11666666667	707.583333333333	0.333333333333333	0	18953.3333333333	0	0	1	11461.6666666667	16152	35.6666666666667	3024.73333333333	0	9.91666666666667	402.966666666667	35	1	20	0.5	6282	0	96	0.5	207.5	9288.33333333333	35.5833333333333	268	27.3333333333333	0	0	0	12	0	539.5	68	112.5	326.5	4300.5	7170	5	5.5	0	0	0.2	0	0	0	17.5	0	0	0	0	38134692.75
0159_AV42_66107_20190327_ST	34893409	20686.2333333333	0	4335.5	0	4603.55555555556	63.6666666666667	6207	176	5031.1	19458.5	15255.3333333333	11023.1666666667	21216.3333333334	4753.08333333333	1476.25	0	31.5	6898.5	0	39.7	37	26428.6666666667	14418	13841	8399.48333333333	2357.16666666667	2553.83333333333	375.833333333333	0	0	1	2967	2365.5	725.666666666667	57.6666666666667	2692.66666666667	2.5	8056.13333333333	328.75	197	30.3333333333333	0	0	0	0	1087.5	123	2	142	39	3189.41666666667	2238.33333333333	0	0	0	0	1.73333333333333	0	0	0	0	0	0	0	0	34679495.3944445
0159_AP39_21065_20180201_ST	34822918	19635.5333333333	0.666666666666667	1219	0	2933.5	73.6666666666667	4828.66666666667	2043	6718.85	34.3333333333333	11760.8333333333	4880	6863.21666666667	3044.16666666667	404.633333333333	0	0	7748	0	0	0	16971.6666666667	13009.5	291.833333333333	5826.7	3.5	3.58333333333333	65.0333333333333	0	0	4	0	3377.5	1	620.833333333333	0.5	10	5262.16666666667	51.5	292	10	0.666666666666667	0	0	2	0	257.5	134	126	911.166666666667	4247.16666666667	6335.16666666667	1	1	0	0	0	0	0	0	0	0	0	0	0	34692912.95
0159_AP39_21295_20180811_ST_E21	34369045	19489	71.5	1295	0	2429.44444444444	27.5	2020	727.5	5681.13333333333	1726.83333333333	12969.5666666667	4871.83333333333	11130.5833333333	3621	307.733333333333	22.2	21.8333333333333	5950.25	0	1.75	8.5	14035.8333333333	14608.5833333333	2148.33333333333	3381.56666666667	148.583333333333	98	163.333333333333	11	0	102.5	307	6923.5	110.833333333333	285.833333333333	258.333333333333	191.833333333333	5391.63333333333	54.2333333333333	444.5	36.6666666666667	0	195.166666666667	0	15.5	50	799.5	105	561	344.166666666667	2869	5371.41666666667	57.5	0	1.5	0	15	0	0	19.1666666666667	13.3333333333333	1	0	0	0	34237551.4888889
0159_AZ03_32019_20180325_ST	33704867	20340.6666666667	1	2885	0	1665.83333333333	21.6666666666667	2217	419.5	4311	88.6666666666667	16055.9166666667	3662.16666666667	8789.78333333333	3412.58333333333	273.9	0.2	22.3333333333333	15347	0	0.5	1.5	8897.5	14379	121.666666666667	2526.61666666667	9.5	37.2333333333333	389	29	0	28	9.16666666666667	10077	5	158.583333333333	10.8333333333333	17.5	4409	50.3	493.5	1.33333333333333	0	0.333333333333333	0.333333333333333	4	4.5	1522	45	146.25	394.166666666667	2060.83333333333	3915	6.5	0	0	0	0	0	0	56.3333333333333	1.33333333333333	0	0	0	0	33575544.4666667
0159_AK37_71050_20190313_ST	33238352	20909.6666666667	0.5	948.333333333333	0	2231.5	172.166666666667	2967	377	6783.33333333333	171.333333333333	14453.1666666667	3655.75	7636.41666666667	3118.03333333333	729.1	0	0	15923.6666666667	0	3.91666666666667	0.5	11184.6666666667	12817.8333333333	35.8333333333333	2652.53333333333	11.3333333333333	11.6666666666667	418.3	4	0	7	5.5	5648.5	10	199	19	34.5	6305.33333333333	130.666666666667	299	12.3333333333333	0	0	0	5	0	707.5	35	438	596.5	4151.5	4633	1	2.5	0	0	0	0	0	0	1.66666666666667	0	0	0	0	33107891.95
0159_AZ03_32013_20200922_ST	32993539	17093.7833333333	0.5	588	0	2201.16666666667	6	3089.5	173	3473.16666666667	65.3333333333333	13965.6166666667	4938	7878.58333333333	2351.41666666667	342.116666666667	0	42.6666666666667	9857.08333333333	0	0	3	8315.83333333333	9370.83333333333	99.3333333333333	2154.18333333333	3.08333333333333	39.6666666666667	168.8	2	0	76	4	5742.5	4	347.833333333333	2.83333333333333	0	3125.66666666667	45.8666666666667	314.5	0	0	0	0	15	0	182.5	10	947.25	781.333333333333	2649.16666666667	3750.5	9	0.5	0	0	0.8	0	0	67.3333333333333	6	0	0	0	0	32889233.75
0159_AB10_100710_20181001_ST	32532675	29133.9666666667	7	3554.5	0	3447.55555555556	266.666666666667	4532.5	97	7915.66666666667	10963.8333333333	14175.75	7361.08333333333	16879.3333333334	4423.16666666667	1435.9	2.1	90.3333333333333	9649.91666666667	0	21	34.3333333333333	20325.3333333333	16721.6666666667	9223.83333333333	4452.06666666667	1450.25	1593.75	69.3666666666667	0	0	373	9.5	4590	5	65.9166666666667	1932	18.5	11616.0166666667	467.35	693	27.3333333333333	0	11.5	0	2	0	264	3	543	6.83333333333333	1010.33333333333	4763.83333333333	4	0.5	0	0	1	0	0	106.833333333333	3.5	0	0	0	0	32338329.1777778
0159_AP39_21076_20180429_ST	31933635	18007.1333333333	0	1064	0	2188.5	5.33333333333333	2983.16666666667	655	5274.58333333333	699.333333333333	12020	4124	6883.78333333333	3340.45	233.833333333333	0	0	7762	0	0.45	0	13676.1666666667	12473.1666666667	546.333333333333	3595.5	0.333333333333333	4.53333333333333	262.6	1	0	3	1	6277.5	4	837	0.5	4.5	2503.33333333333	22	291	2.33333333333333	0	0	0	12	0	367.5	31	189	1111.83333333333	2672.33333333333	6285.16666666667	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	31817218.4666667
0159_AP39_21119_20181218_ST	31279866	18615.1666666667	0	944	0	2938	22	4796.5	596	6731.23333333333	988.333333333333	12113.1666666667	5799	8016.58333333334	3580.75	529.004761904762	0.2	0	6690.5	0	0	0	14969	11270	43.8333333333333	4030.76666666667	201	4.66666666666667	283.333333333333	1	0	6	9.83333333333333	3579.5	2	522	1.5	58	3703	16.1547619047619	198	199.666666666667	1	0	0	0	0	76.5	0	49	1935	2515	4787	0	2	0	0	0	0	0	0	0	0	0	0	0	31159040.8071429
0159_AQ29_10022_20170920_ST	29966568	16381.4166666667	0	1052.5	0	2415.33333333333	4.66666666666667	71.5	5	4526.03333333333	388	13422.5	5135.2	8071.16666666666	3391.83333333333	207.216666666667	0	2.33333333333333	2745.08333333333	0	0.833333333333333	3	13556.3333333333	13917.6666666667	454	2220.91666666667	4.66666666666667	7.25	147.8	3	0	3.5	0.5	7691.5	7.5	236.333333333333	14.5	2.5	2098	25.5166666666667	350.5	0.333333333333333	0	0	0	41	0	484	6	806.25	8.66666666666667	2208.5	5881	7	2.5	0	0	0	0	0	1.83333333333333	0.333333333333333	0	0	0	0	29858554.9833333
0159_AB10_26156_20180815_ST	29238094	20331.5833333333	70	1057	0	2864	45.6666666666667	4126.5	775	6019.83333333333	3007	9631.33333333333	5534.66666666667	6222.41666666666	3161.25	430.883333333333	19	0	5286.91666666667	0	0	2	11101.8333333333	9445	1505.5	4885.63333333333	17.6666666666667	5.66666666666667	747.8	1	0	76	177.5	4574.5	117.333333333333	106.166666666667	130.333333333333	132.166666666667	3145.5	67.3666666666667	189	5.66666666666667	1.75	156.333333333333	0	106	16	171	59	233	1351.66666666667	3558.83333333333	3836.5	43	0	0	0.75	7.2	0	0	0	13	0	0	0	0	29123523.2833333
0159_AZ03_32015_20201210_ST	28328007	16576.3333333333	0	1585	0	2364.33333333333	27.1666666666667	2602.5	196	4385.66666666667	82.6666666666667	12649.5	3881	7047.5	2859.9	526.533333333333	0	0	13748.4166666667	0	0	6	7281.16666666667	11979.1666666667	238.666666666667	1482.75	15.1666666666667	47.1595238095238	201.733333333333	20	1	8	0.833333333333333	5361	6	209.166666666667	1	45.5	3195.91666666667	32.8333333333333	343	3.33333333333333	0	1.33333333333333	0	5	0.5	816.5	12	305	203.333333333333	2026.16666666667	3145.16666666667	15	0.5	0	0	0	0	0	0	3.33333333333333	0	0	0	0	28222461.2571429
0159_AP39_21090_20180504_ST	28053925	17407.7	0	455	0	2829.5	24	4991.5	1103	6598.16666666667	39	10218.5	5332.5	5318.36666666666	3120.33333333333	224.883333333333	0	0	3259.33333333333	0	0	0	14540.8333333333	9637.16666666667	95	4336.43333333333	43.9166666666667	8.33333333333333	51.2	45	0	6	2	2430.5	7	550.833333333333	6.16666666666667	6	3395.16666666667	54.5333333333333	200	10	0	0	0	14	0	86	47	42	2320.5	2673	4741.16666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	27947653.4666667
0159_AP39_21314_20180719_ST_E21	27214217	17081.9333333333	34	600	0	2598.27777777778	11.6666666666667	3565	608	5275.26666666667	698	9234.66666666667	4380.58333333333	5506.08333333333	2530.41666666667	336.1	18.7	0	4979	0	0.916666666666667	5	11128.5	8897	1149	4177.56666666667	5	30.8333333333333	41.1	4	0	44	98	3058.5	57.6666666666667	756.416666666667	170.333333333333	148	3575.58333333333	43.8	180.5	1.33333333333333	0.333333333333333	149.5	0	4	12	207	5	237	1364	2772.83333333333	3693.16666666667	46	0	0	0	8.8	0	0	0	65.3333333333333	2	0	0	0	27114619.2888889
0159_AP39_21330_20190102_ST_E21	27151093	16921.5	0.5	1684	0	2322.5	29.3333333333333	1710.33333333333	635	5416.86666666667	931.5	10101.8333333333	4304.66666666667	7047.66666666667	3074.33333333333	331.666666666667	0.333333333333333	4	6005.75	0	0.666666666666667	3.5	12984.3333333333	11032.5	990	2947.66666666667	68.5833333333333	87.75	247.966666666667	0	0	21	45.5	4203	11	782.916666666667	94.3333333333333	34.5	3388.81666666667	92.4166666666667	478	3.33333333333333	0	0.666666666666667	0	14.5	11	133.5	46	94	168.333333333333	1820.5	5722.66666666667	1	0	0	0	0	0	0	0	3	0	0	0	0	27045038.2666667
0159_AK37_71031_20180929_ST	26677816	18595.3333333333	22	1653.5	0	2687.5	22	3219.5	898	5500.41666666667	333	9677.33333333333	5036.16666666667	5355.25	2696.75	259.516666666667	4.5	0	10064	0	0	1.5	13538.5	10789.6666666667	994	3383.33333333333	3	2.25	93.2	3	0	14	40.3333333333333	3175.5	16	959.916666666667	68.1666666666667	165.333333333333	5425.33333333333	47.0666666666667	658	4.33333333333333	0	54	0	5	4.5	393.5	1	90	1105.66666666667	2285.16666666667	3960.83333333333	12	2.5	0	0	2.26666666666667	0	0	0.333333333333333	14.8333333333333	0	0	0	0	26564477.2
0159_AV42_66163_20190718_ST	25997855	14863.8666666667	0	1335	0	2733.5	11.6666666666667	3539.5	1430	7374.98333333333	982	10318.8333333333	4873.33333333333	8216	3120.25	472.733333333333	0	0	4932.5	0	0	1	12302	11562.5	694	3632.6	8.75	20.0833333333333	148.1	0	0	7	288.166666666667	2328	0	73.8333333333333	8.33333333333333	8.5	2871.83333333333	59.8333333333333	706	1	0	0.333333333333333	0	49	0	227.5	140	461	837	2524.83333333333	4213.5	0	0	0	0	0	0	0	0	2.66666666666667	0	0	0	0	25890473.4666667
0159_AK37_71023_20180813_ST	25813498	20693.8333333333	58.5	792	0	2016.5	91.6666666666667	2401	104.5	5110.73333333333	780.833333333333	10109.8333333333	3812.83333333333	6246.36666666666	3107.58333333333	408.4	20.9	0	5615.33333333333	0	0.2	4	11746.3333333333	10323.8333333333	1169.33333333333	2806.16666666667	197.25	11.5	112.033333333333	1	0	67	123.333333333333	4424.5	107.333333333333	674.166666666667	135.166666666667	126.833333333333	3191.91666666667	120.25	345	2.66666666666667	0	153.666666666667	0	21	21	413.5	1	321	437.666666666667	2325.5	4717.16666666667	28	1	0	0	7	0	0	0	10.1666666666667	0	0	0	0	25707979.7
0159_AP39_21289_20190125_ST_E21	25806206	15559.8333333333	0	934.5	0	2588.5	56.1666666666667	2196	437.5	6003.56666666667	563.333333333333	9958.33333333333	4646	6094.03333333334	2787.25	333.016666666667	0.25	2.83333333333333	3359.33333333333	1	0	3	9972.66666666667	10681.5	148.5	3290.26666666667	17.5	3.83333333333333	178.766666666667	6	0	22	31.1666666666667	3603.5	3.66666666666667	58.5	6.16666666666667	24.3333333333333	2847.16666666667	29.6166666666667	329	6	0	2.58333333333333	0	4	0.5	280.5	23	147	683.666666666667	3829.91666666667	3389.66666666667	0	0	1	0	0	0	0	0	3	0	0	0	0	25711056.5666667
0159_AK37_71048_20190125_ST	25529990	19700	276.5	2257	0	1781.22222222222	13.3333333333333	1102.5	127	4766.2	2939.5	10407.8333333333	4932	9142.08333333334	2663.25	331.083333333333	92.25	0.333333333333333	5380.25	0	5.75	13.6666666666667	14683.6666666667	12222	5056.5	3849.6	11.1666666666667	1.75	67.6666666666667	4	0	194	684.166666666667	4827	336.333333333333	77.8333333333333	621	753	4729.33333333333	123.933333333333	530	303.333333333333	0	785.583333333333	0	3	68	457	13	52	220.666666666667	1400.75	5698.83333333333	106	3	0	0	48.6666666666667	0	0	0	30.1666666666667	0	0	0	0	25406095.2944444
0159_AK37_71052_20190226_ST	25502511	15189.5	0	3452	0	2639.66666666667	84.3333333333333	3041.5	920	5802.66666666667	723.333333333333	7785.75	6217.5	4034.08333333333	2860.25	208.4	0	10.1666666666667	5375	0	0	2	10721.3333333333	8149.5	294.5	4056.1	5.16666666666667	11.0833333333333	422.333333333333	0	0	10	0	2147	0	1153.33333333333	27	8	2430.66666666667	47.3333333333333	410	5	0	0.333333333333333	0	13	0	153	11	162	728.5	2533	4649.83333333333	0	0	7	0	0	0	0	2.66666666666667	1.33333333333333	0	0	0	0	25406004.8333333
0159_AZ03_32016_20180619_ST	25155806	16160.5	0	562	0	2626	5.33333333333333	4085	1233	5010.91666666667	666.5	8236	4384	4430.33333333333	2694.25	380.6	0	0	3835.33333333333	0	0	1	10057.6666666667	8121.33333333333	129	3964.9	3.5	13.25	167.9	25	0	1	6	2480.5	0	79.5833333333333	17.6666666666667	11	2855.33333333333	22.5	208	1.66666666666667	0.333333333333333	0	0	77	1.5	346.5	39	8	1075.33333333333	2702.5	3390	0	1	0	0	0	0	0	0	2.66666666666667	0	0	0	0	25065685.6
0159_AK37_71024_20181010_ST	24832720	18329.6666666667	45.5	1104.5	0	2280.27777777778	29.3333333333333	3224.5	799	4380.36666666667	1066.5	8954.25	4623.33333333333	5856.75	2645.5	558.583333333333	6.9	12.5	3349.33333333333	0	1.25	3.5	13195	8404	1307.5	3517	65	68.8333333333333	48.3666666666667	2	0	42	78.5	3351	32.3333333333333	474.083333333333	221.5	80.3333333333333	3727.23333333333	87.4833333333333	228	24.6666666666667	0	93.6666666666667	0	12	16	270	0	161	748.166666666667	2586.16666666667	4110.33333333333	36	0.5	0.5	0	8.66666666666667	0	0	4.5	40.3333333333333	0	0	0	0	24732405.7888889
0159_AP39_21282_20180907_ST_E21	24826056	12270.2	1.5	825	0	1964	141.5	4031.33333333333	699	6898.7	2500.33333333333	10562.6666666667	4542.91666666667	9178.99999999999	1969.83333333333	788.016666666667	0.9	23.25	8199	0	3.66666666666667	2.5	9122.83333333333	10168.3333333333	1522	4285.41666666667	246.833333333333	302.5	229.533333333333	2	0	10	331.833333333333	1790.5	91.6666666666667	325	458.833333333333	36.75	3737.56666666667	66.0166666666667	196	35.3333333333333	0	3	0	4	123.5	438.5	0	1143	759.666666666667	3024.83333333333	3137.5	1	0	16.25	0	0.666666666666667	0	0	0	27	0	0	0	0	24719814.8166667
0159_AZ03_32057_20190910_ST	24532951	16033.4333333333	1.5	994	0	1980.66666666667	4.2	2107	277	3863.5	460.833333333333	8919.58333333333	4403.5	4473.25	2651.25	195.166666666667	0	6.66666666666667	4289.33333333333	0	0.333333333333333	1	10912.5	9333.16666666667	503.333333333333	2581.21666666667	439	8.66666666666667	86.1666666666667	2	0	5	0	3675	0	435.666666666667	2.5	3	2832.83333333333	21.1666666666667	186	1	0	0	0	13	0	225	2	225	528.166666666667	2707.75	3844.33333333333	4	0	0	0	0	0	0	9.16666666666667	6.33333333333333	0	0	0	0	24443695.8166667
0159_AP39_21294_20181026_ST_E21	23821878	13899.2	0.5	564.5	0	2152.05555555556	2.66666666666667	2776.16666666667	546	4195.26666666667	1158	8676.83333333333	4228.33333333333	6597.56666666667	2374.33333333333	420.65	0.7	0.333333333333333	4004.33333333333	0	2.16666666666667	13.3333333333333	11026	8074.5	415	3100.6	62.5	53	247.2	19	0	14	87.1666666666667	3005.5	24.6666666666667	593.833333333333	65.5	19.8333333333333	2859.4	32.7	419	24.3333333333333	0.333333333333333	15	0	0	20.5	433.5	21	70.5	870.833333333333	2149.33333333333	3090.66666666667	1.5	0	0	0	0.2	0	0	0.333333333333333	0.333333333333333	0	0	0	0	23733447.2944444
0159_AP39_21220_20180215_ST_E21	22977537	13147.5	0	1104.6	0	1865.5	9.33333333333333	3213.5	867	4964.16666666667	78.5	8799.16666666667	3442	4813.86666666667	2251.33333333333	242	0.5	0	3328.33333333333	0	0.333333333333333	0	11241.8333333333	8837.83333333333	286	3560.25	8.5	4.41666666666667	36.8	2	0	14	1.5	3199.5	3	920.416666666667	6	3.5	2486.83333333333	82.7	105.5	8	0	2.16666666666667	0	14	1	249.5	12	72	1129.5	2757.33333333333	3612.33333333333	1.5	2.5	0	0	0	0	0	0	0.333333333333333	0	0	0	0	22890746.6166667
0159_AP39_21368_20180504_ST_E21	22709004	13989.8666666667	0.333333333333333	593	0	1749.5	9.33333333333333	3074.16666666667	432	4147	333.5	7443.91666666667	3552	4421.58333333334	2286.16666666667	206.338095238095	0	0	5692.25	0.5	0	0	8449.83333333333	8383.5	386	3162.88333333333	0	7.33333333333333	38.3	0	0	12	0	2328	1	610.833333333333	0	58.5	4321	23.4047619047619	152	1.33333333333333	0	0.333333333333333	0	21	0	129.5	133.5	46	799	3250.75	2913.5	0	0	0	0	0.2	0	0	0	1.33333333333333	0	0	0	0	22625841.5071429
