sample_id	total	carboxy_lyase_activity	aminocarboxymuconate_semialdehyde_decarboxylase_activity	adenosylmethionine_decarboxylase_activity	aromatic_L_amino_acid_decarboxylase_activity	aspartate_1_decarboxylase_activity	diphosphomevalonate_decarboxylase_activity	glutamate_decarboxylase_activity	histidine_decarboxylase_activity	indole_3_glycerol_phosphate_synthase_activity	ornithine_decarboxylase_activity	orotidine_5__phosphate_decarboxylase_activity	phosphatidylserine_decarboxylase_activity	phosphoenolpyruvate_carboxykinase_activity	phosphopantothenoylcysteine_decarboxylase_activity	phosphoribosylaminoimidazole_carboxylase_activity	pyruvate_decarboxylase_activity	tyrosine_decarboxylase_activity	uroporphyrinogen_decarboxylase_activity	gamma_glutamyl_carboxylase_activity	X2_oxoglutarate_decarboxylase_activity	X3_octaprenyl_4_hydroxybenzoate_carboxy_lyase_activity	arginine_decarboxylase_activity	diaminopimelate_decarboxylase_activity	lysine_decarboxylase_activity	oxaloacetate_decarboxylase_activity	oxalyl_CoA_decarboxylase_activity	tartronate_semialdehyde_synthase_activity	ribulose_bisphosphate_carboxylase_activity	X4_5_dihydroxyphthalate_decarboxylase_activity	gallate_decarboxylase_activity	X4_hydroxybenzoate_decarboxylase_activity	X5_oxopent_3_ene_1_2_5_tricarboxylate_decarboxylase_activity	glutaconyl_CoA_decarboxylase_activity	X2_4_dihydroxyhept_2_ene_1_7_dioate_aldolase_activity	phosphonopyruvate_decarboxylase_activity	X3_dehydro_L_gulonate_6_phosphate_decarboxylase_activity	diaminobutyrate_decarboxylase_activity	X4_hydroxyphenylacetate_decarboxylase_activity	X5_amino_4_imidazole_carboxylate_lyase_activity	oxalate_decarboxylase_activity	X2_2_dialkylglycine_decarboxylase__pyruvate__activity	branched_chain_2_oxoacid_decarboxylase_activity	indolepyruvate_decarboxylase_activity	X5_guanidino_2_oxopentanoate_decarboxylase_activity	arylmalonate_decarboxylase_activity	X4_oxalocrotonate_decarboxylase_activity	X4_carboxymuconolactone_decarboxylase_activity	acetoacetate_decarboxylase_activity	acetolactate_decarboxylase_activity	aspartate_4_decarboxylase_activity	UDP_glucuronate_decarboxylase_activity	threonine_phosphate_decarboxylase_activity	malonyl_CoA_decarboxylase_activity	o_pyrocatechuate_decarboxylase_activity	phenylalanine_decarboxylase_activity	phenylpyruvate_decarboxylase_activity	tartrate_decarboxylase_activity	UDP_galacturonate_decarboxylase_activity	X3_oxolaurate_decarboxylase_activity	sulfopyruvate_decarboxylase_activity	benzoylformate_decarboxylase_activity	X2_oxo_4_hydroxy_4_carboxy_5_ureidoimidazoline_decarboxylase_activity	X3_oxo_myristate_decarboxylase_activity	X3_oxo_palmitate_decarboxylase_activity	phenylacetaldehyde_synthase_activity	Remaining
0159_AB18_105395_20190806_ST	3650847	2227.66666666667	3	393	0	332.5	0.333333333333333	751.5	138	631	1339	1409.33333333333	731.333333333333	1635.36666666667	348	120.866666666667	0.5	0	659.25	0	2.25	6	2420.83333333333	1336	1118.5	745.166666666667	160.166666666667	184.916666666667	1.16666666666667	0	0	11	5.33333333333333	287.5	3	39.6666666666667	214.833333333333	13	940.7	31.7666666666667	17	3	0	10.3333333333333	0	2	1	23	0	17	54	286	340.666666666667	0	0	0	0	0.333333333333333	0	0	0	16	0	0	0	0	3631834.21666667
0159_AB18_26484_20191018_ST	3648559	1784.5	0	100	0	330	44.6666666666667	369	167	962.866666666667	78	1338.16666666667	534	978.25	379.166666666667	81.4333333333333	0	0	467	0	0.4	0	1759	1632.5	73.5	530.433333333333	6.25	0	5.33333333333333	0	0	0	0	472.5	0	112.333333333333	0.5	2	312.166666666667	23.8333333333333	53	6	0	0	0	0	0	67	9	58	102.333333333333	580.833333333333	505.666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	3634632.36666667
0159_AP39_21414_20180831_ST_E21	3640266	2436.5	0	114	0	301	1	434	68	794.5	36	1392.16666666667	659	757.916666666667	393.416666666667	41.9166666666667	0	0	709	0	0	0	1581.16666666667	1483.5	34.5	488.95	0	0.833333333333333	11.5333333333333	0	0	1	1.5	587	0	57.8333333333333	0	4	846.666666666667	3.41666666666667	43	2	0	0.333333333333333	0	2	1	36.5	3	19	79	388.166666666667	618.333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	3625833.35
0159_AA34_42172_20190116_ST	3617985	2238.5	0.5	69	0	267	1.33333333333333	367	95	726.5	49.5	1299.16666666667	591	658.166666666667	373.083333333333	35.5833333333333	0	0	762.5	0	0	0	1672.66666666667	1634	60	437.483333333333	0.333333333333333	0.5	6	4	0	3	0	503.5	0	10	0	6	862.666666666667	3.33333333333333	100	1	0	0	0	0	0	43.5	0	5	47.1666666666667	320.75	545.666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	3604184.6
0159_AY44_33011_20171005_ST	3602465	1814.83333333333	0	98	0	284.5	0	377.5	173	739	8	1234	455	693	353.916666666667	17.5	0	0	365.5	0	0	0	1884.33333333333	1549	25	469.066666666667	0.25	0.833333333333333	0.333333333333333	0	0	0	1	479.5	0	45.3333333333333	0.5	0	347.166666666667	6	44	0	0	0	0	1	0	18.5	1	0	158.333333333333	361.666666666667	710.166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	3589748.26666667
0159_AB18_26625_20191024_ST	3595970	2355	0	167	0	320	48.3333333333333	83	90	770.333333333333	24	1425.66666666667	439	987.416666666666	374.25	64.95	0	0	1351.83333333333	0	0	1	2343.5	1956.5	99	320.8	1.25	4.5	17.3333333333333	0	0	0	0	713	0	66.8333333333333	3	5	731	29	169	1.33333333333333	0	0	0	7	1	35.5	7	79	0	293.083333333333	862.166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	3579722.41666667
0159_AK37_71001_20180227_ST	3576111	2400.5	0	128.5	0	449	2.66666666666667	317	267	745.1	304	1173.5	721	1044.5	293.833333333333	20.9166666666667	1.95	0	766.5	0	0	4	1956.66666666667	1422	489.5	735.133333333333	0.75	0	13.1666666666667	0	0	12	71.1666666666667	353.5	28.6666666666667	36.6666666666667	87.3333333333333	32.3333333333333	925.916666666667	5.46666666666667	69	0	0	65.75	0	3	0.5	60.5	12	58	25.1666666666667	434	775.333333333333	1	0	0	0	0	0	0	0	0	0	0	0	0	3559796.51666667
0159_AA34_42246_20180801_ST	3563063	2029.83333333333	0	653	0	375.111111111111	2.66666666666667	484.5	134	605.7	235	1029.33333333333	798	1056.91666666667	280.666666666667	28.45	0	0	610.5	0	0	1	1520.66666666667	1061	77	578.133333333333	15.0833333333333	12.8333333333333	42.8333333333333	0	0	1	4.33333333333333	254	0	95	8.33333333333333	5.5	466.5	3	31	1.33333333333333	0	0	0	8	3.5	10	10	4	160.666666666667	473.166666666667	554.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3549336.93888889
0159_AY44_33313_20200205_ST	3546675	2125.33333333333	0	73	0	273.5	0.333333333333333	345.5	114	756.333333333333	88.5	1325	644	789.666666666667	395.666666666667	40.5166666666667	0	0	848.5	0	0.2	0	2579	1619	13	459.516666666667	9.83333333333333	1	5.66666666666667	0	0	1	0	478	0	1.83333333333333	0	1.5	632.5	7.06666666666667	135	3	0	0	0	0	0	34	3	6	158.833333333333	279.833333333333	798.666666666667	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	3531627.03333333
0159_AQ29_10000_20170613_ST	3527625	1943	0	214	0	326	3	653	85	823	561	1177.33333333333	784.666666666667	1061.83333333333	367.666666666667	68.4666666666667	0	0	887	0	2	2	1579.66666666667	1220.5	512	613.6	50.25	64.75	45.6666666666667	0	0	2	15.5	291.5	0	50.9166666666667	67.1666666666667	3	742.833333333333	12.8666666666667	22	0.666666666666667	0	0.333333333333333	0	4	0	9.5	1	12	215.5	282	410.5	0	0	0	0	0	0	0	0	0	0	0	0	0	3512436.31666667
