sample_id	total	organic_cyclic_compound_metabolic_process	allantoin_metabolic_process	nucleobase_containing_compound_metabolic_process	biotin_metabolic_process	steroid_metabolic_process	aromatic_amino_acid_family_metabolic_process	lipoate_metabolic_process	phenylpropanoid_metabolic_process	phenol_containing_compound_metabolic_process	s_triazine_compound_metabolic_process	nicotianamine_metabolic_process	beta_lactam_antibiotic_metabolic_process	tetrapyrrole_metabolic_process	isoquinoline_alkaloid_metabolic_process	furaldehyde_metabolic_process	kynurenic_acid_metabolic_process	vitamin_E_metabolic_process	ectoine_metabolic_process	indole_containing_compound_metabolic_process	benzene_containing_compound_metabolic_process	pteridine_containing_compound_metabolic_process	flavin_containing_compound_metabolic_process	molybdopterin_cofactor_metabolic_process	daunorubicin_metabolic_process	doxorubicin_metabolic_process	ommochrome_metabolic_process	X3__3_hydroxy_phenylpropionate_metabolic_process	creatinine_metabolic_process	F420_0_metabolic_process	thiazole_metabolic_process	pyrrolysine_metabolic_process	purine_containing_compound_metabolic_process	pyridine_containing_compound_metabolic_process	pyrimidine_containing_compound_metabolic_process	epoxide_metabolic_process	lactone_metabolic_process	organic_cyclic_compound_catabolic_process	organic_cyclic_compound_biosynthetic_process	organic_heteropentacyclic_compound_metabolic_process	methanofuran_metabolic_process	Remaining
0159_AK37_71051_20190224_ST	30677676	125.5	132.8	340892.060604052	432.620535714286	24742.0729166667	11467.8767010582	0	7.5	1172.97716049383	1.41428571428571	1.25	590.466666666665	18828.5668816137	0	0	0	0	57.85	634.086398148148	2767.84976851852	11913.1025407848	5445.51805555556	1232.85555555556	0.0238095238095238	0.0178571428571429	0	20.45	13.375	0.4	116.077777777778	3.93333333333333	18854.3121569542	17424.2744675926	13411.6063989932	0	279.800462962963	8608.93257034041	67540.8393909939	0	0	30130955.5887038
0159_BC12_41010_20171203_ST	26329100	82	88.7916666666667	298568.158310291	276.626785714286	33937.8273809524	9036.14847089947	0	5.79166666666667	333.940354938272	1.67142857142857	6.55	291.475	18290.9842509921	0	0	0	0	88.85	560.955500000001	2185.16203703704	12467.1220045194	3322.21375	1253.24166666667	0	0	0	0	10.0833333333333	4.6	6.89722222222223	1.8	16208.3760349794	13848.2138888889	12035.1373773148	0	48.9472222222222	6196.64128328924	63439.1032993888	0	0	25836502.6900644
0159_AV42_66107_20190327_ST	25918625	2.33333333333333	381.7	244784.117579181	534.397321428571	10225.3689814815	6151.16670634921	0	1.47916666666667	1910.11921296296	0	0.1	145.8	17978.4372685185	0	0	0	0	0.6	662.594722222222	5936.165625	9075.63175429895	4116.48472222222	1590.3	0	0	0	358.475	7.125	0	65.738888888889	0.133333333333333	15874.7597129997	12600.3980902778	12299.1333553792	0	624.236574074074	13989.0740751764	54094.6117501654	0	0	25505214.517826
0159_AP39_21295_20180811_ST_E21	23598601	40.1428571428571	67.4666666666667	273790.256663925	313.183035714286	30132.0810185185	6664.0823042328	0.275	4.89583333333333	548.785648148148	0	2.8	377.25	14099.5197916667	0	0.0833333333333333	0	0	11.35	513.205712962963	2214.18877314815	9399.88125	2804.15361111111	1183.05555555556	0.0166666666666667	0.0125	0	22.7	6.29166666666667	37.1	15.6111111111111	3.46666666666667	14543.5875819738	12074.2682523148	10954.1093270503	0	127.384259259259	7289.42630250254	54618.6160396848	0	13.5555555555556	23156728.1970151
0159_AB10_100710_20181001_ST	23465581	6.66666666666667	314.366666666667	240232.919683254	522.308035714286	26719.5699074074	6987.62992328042	0	2.52083333333333	796.519212962963	0.128571428571429	7.675	269.2	20923.9965856482	0	0	0	0	64.1	792.749648148149	2049.27349537037	9547.34872409611	2811.515	1816.575	0	0	0	210.725	33.625	168.3	20.325	2.13333333333333	15890.1388600823	11678.6242592593	12082.8673958333	0	799.059259259259	8950.27685747354	56866.1156518837	0	49.8333333333333	23044963.9130956
0159_AZ03_32019_20180325_ST	23266629	22.3333333333333	68.5466666666667	281822.515192163	234.3875	35515.5891975309	7635.01135449735	0.025	14.047619047619	186.932600308642	0.685714285714286	2.3	207.326666666667	13968.7396494709	0	0	0	0	9.3	414.153	3261.81782407407	10599.6704006834	2627.68555555556	962.983333333332	0.0166666666666667	0.0125	0	1.1	4.29166666666667	42.3	4.91666666666667	14.0333333333333	16465.4975642269	13013.9197321429	13235.301452087	0	56.0490740740741	8391.63212999706	59319.9583272728	0	11.9444444444444	22798513.9758348
0159_AP39_21065_20180201_ST	23251625	72.3333333333333	43.975	246877.161038666	452.458928571429	21272.1720679013	6700.53753703703	0	3.02083333333333	145.866203703704	0.342857142857143	0	476.133333333333	12920.8411458333	0	0	0	0	6.75	577.40762037037	2096.834375	9064.52332727071	2953.47638888889	920.393650793651	0.0166666666666667	0.0125	0	0.125	2.5	0	5.09444444444443	0.333333333333333	12540.6721350309	10856.2768402778	8733.4038106261	0	16.6907407407407	6368.48952351558	51237.2183051581	0	0	22857279.939059
0159_AK37_71050_20190313_ST	22908156	28.6666666666667	119.113541666667	254934.822552713	208.005357142857	42032.0178030303	7718.50871428571	0	4.75416666666667	151.126929012346	0.3	0	256.441666666667	15086.8228587963	0	0	0	0	13.2	631.349194444444	2266.28969907407	9433.12280368166	2662.2775	1020.39444444444	0.0904761904761905	0.0678571428571429	0	0.025	18.4166666666667	0.4	10.6333333333333	4.93333333333333	14411.8326374314	12248.3506134259	11093.3228883745	0	43.2277777777778	6460.37377974353	54862.720518079	0.0520833333333333	0	22472434.3391369
0159_AZ03_32013_20200922_ST	22364500	36.3333333333333	44.4	279273.760049824	226.848214285714	27743.8545805275	6778.15357407407	0	10.0416666666667	142.074151234568	0.0857142857142857	4.9	184.083333333334	11505.428885582	0	0	0.0333333333333333	0	35.7	292.054185185185	2100.96967592593	8748.98055555556	2705.48277777778	605.488888888888	0.166666666666667	0.125	0	0.125	1.875	102.5	8.42222222222223	10.4111111111111	14049.9557626886	11821.6227546296	10507.3323675412	0	23.6462962962963	7146.63722502727	50989.8758037972	0	22.5555555555555	21929376.0763146
0159_AP39_21076_20180429_ST	21809905	28.3333333333333	24.1	245419.248867047	342.3125	27325.5513685389	6986.31098015873	0	13.5833333333333	160.875154320988	0.214285714285714	0	262.21	13772.6604497355	0	0	0	0	36.35	459.49662962963	1716.03078703704	8290.01574074074	2799.01347222222	906.45	0.216666666666667	0.1625	0	0	6.75	0	8.09444444444443	0.333333333333333	12324.5572201646	12296.8792824074	9693.3472266314	0	23.8907407407407	5606.19018496472	50235.9515105698	0	0	21411165.8699883
0159_AP39_21119_20181218_ST	21571050	80.3333333333333	22.7166666666667	239702.221977562	473.544642857143	21733.8717592593	7258.29543783069	0	2.78819444444444	137.715972222223	0	0	418.025	11784.5539351852	0	0	0	0	7.4	488.290287037037	2034.98715277778	8295.12279265874	3316.47152777778	868.63888888889	0	0	0	0.05	21.4166666666667	0	6.70833333333333	4.33333333333333	11854.5950709877	10972.5598611111	8764.82715222663	0	23.1981481481481	6482.83408584817	48366.3339497662	0	0	21187928.1658301
0159_AQ29_10022_20170920_ST	20764220	43.1666666666667	59.4916666666667	249024.366608472	190.446428571429	28088.4317881193	6598.79541666667	0	17.9583333333333	197.008641975308	0.0857142857142857	0.35	180.175	12477.1860284391	0	0	0	0	8	394.968657407408	1257.56643518518	8699.22449294532	2543.15486111111	1244.77222222222	0.0238095238095238	0.0178571428571429	0.0074074074074074	0	2.29166666666667	3.9	11.0361111111111	0.2	14826.4618502841	11439.6779596561	10810.4622692887	0	17.2962962962963	5167.10375780791	52554.1848145675	0	0.555555555555555	20358361.6316826
0159_AB10_26156_20180815_ST	19951859	173.5	73.6583333333332	199075.404448665	506.883928571429	16621.1699074074	6580.43082671958	0	4.89930555555556	434.06712962963	3.12857142857143	0.1	238.975	12171.6280092593	0	0	0	0	1.15	413.41287037037	2105.828125	7469.20443397266	3219.53944444444	654.25	0	0	0	8.575	6.04166666666667	0.2	20.8194444444444	1.73333333333333	10588.643050681	10447.2607060185	7382.29442294973	0	67.2597222222222	5765.66952517904	44142.972691618	0	0	19623680.3001025
0159_AZ03_32015_20201210_ST	19254643	119.166666666667	78.6416666666668	229802.25226945	195.782142857143	31947.6965698653	7188.86854232804	0	10.2916666666667	157.424652777778	1.45714285714286	0	262.491666666667	11909.0171296296	0	0	0	0	63.75	414.407574074073	2107.40046296296	7927.5787367725	2616.6975	607.391666666666	0.1	0.075	0	0.175	13.4166666666667	4	9.07777777777777	7.5	12777.8484146091	11751.8853009259	9853.99874706055	0	82.4666666666667	5909.15976784077	47241.027026298	0	0	18871581.9535752
0159_AP39_21090_20180504_ST	19033213	3.16666666666667	36.6666666666667	203205.77231272	504.955357142857	19862.3666005291	6625.80994708994	0.05	5	94.229012345679	0.214285714285714	0	277.575	11078.1387731481	0	0	0	0	3.3	488.105231481481	2406.02824074074	7543.08913690475	2858.15	564.78888888889	0.314285714285715	0.235714285714286	0.0111111111111111	0	8.95833333333333	0	1.24444444444444	4.66666666666667	9997.56181579557	9258.22114583333	7175.81314704585	0	14.2962962962963	5581.47278218695	42878.8091005338	0	0	18702733.9890367
0159_AP39_21330_20190102_ST_E21	18485852	35.5	103.983333333333	206573.442119448	271.026785714286	25866.9791666666	5326.56056613756	0.025	4.9375	238.095138888889	5.78571428571429	0	216	11665.16875	0	0	0.0333333333333333	0	8.1	452.060074074075	1403.32534722222	7379.08117835097	2253.85333333334	1195.1	0.0833333333333333	0.0625	0	9.675	10.125	0	4.975	0	11550.4146416201	9121.51873842593	8660.97305665784	0	51.6634259259259	4694.94104027043	43458.0037869268	0	0	18145290.507136
0159_AP39_21314_20180719_ST_E21	18445058	38.3095238095238	37.1833333333333	198017.176191047	377.633928571429	17495.2521164021	5611.4561005291	0	1.04166666666667	349.042206790123	0.3	0	249.116666666667	10495.741724537	0	0.0833333333333333	0	0	36.85	405.094416666667	1960.28587962963	6762.20816798941	2661.97180555555	569.958333333334	0.266666666666667	0.2	0	9.35	4.58333333333333	1.1	8.325	3.16666666666667	9433.63591823437	8472.34630787038	6821.74013058495	0	85.9634259259259	5916.28757708701	39459.123339637	0	0	18129773.2062391
0159_AK37_71031_20180929_ST	18386521	66	50.275	201352.52301199	363.566071428571	20078.7847222222	5789.54877777778	0	2.73958333333333	256.774305555556	0.514285714285714	2.25	407.908333333334	12016.7380456349	0	0	0	0	4.5	435.968712962964	2152.07951388889	7787.17108134922	2464.89333333333	754.072222222223	0	0	0	2.575	8.41666666666667	0	2.76666666666667	4.36666666666667	10533.3119887566	9427.50248842593	7436.98254354056	0.333333333333333	38.0277777777778	5632.5484819224	42509.1961767365	0	0	18056938.6652088
0159_AK37_71048_20190125_ST	18023348	108.333333333333	32.1916666666666	194081.265694171	270.516964285714	22310.6558862434	5052.12235449735	0	3.75	1727.49023919753	0.0428571428571429	0.075	157.675	13991.5011904762	0	0	0	0	8.95	476.730787037036	3092.26643518518	6870.99012070106	1963.12930555555	1098.98333333333	0	0	0	48.8	2.5	0.2	14.1194444444444	0.666666666666667	11132.2991775671	9339.81997685185	8453.09030379189	0	275.719907407407	6190.41273809524	41872.9161499424	0	0	17694770.7854674
0159_AV42_66163_20190718_ST	17994071	79.1666666666667	83.6499999999998	188558.431631128	403.798214285714	17764.5656084656	5590.41905555556	0	1.4375	159.114969135802	0	0	295.275	10843.1766782407	0	0	0	0	0.1	583.084083333333	1904.60891203704	7490.53486276456	2508.61041666666	759.51111111111	0	0	0	0.725	9.29166666666667	0	2.53888888888889	4	10255.6054292695	9220.97916666667	7262.39411651234	0	46.5231481481481	5021.94933436214	42025.5080792855	0	0	17683196.0004608
0159_AK37_71023_20180813_ST	17833556	74	27.125	186359.10978776	274.571428571429	20609.2484567901	5959.8905978836	0	6.58333333333333	488.229938271605	0.514285714285714	0.075	171.175	11969.2780092593	0	0	0	0	28.35	436.337842592593	1507.10277777778	7258.44589120371	2340.05777777778	769.45	0	0	0	9.375	4.91666666666667	0.6	19.7083333333333	2.66666666666667	10707.5849191407	8989.70109375	8213.98529376103	0	74.5662037037037	4471.12358862434	42021.6188766106	0	0	17520760.6082308
0159_AP39_21289_20190125_ST_E21	17725209	22.3333333333333	23.1916666666667	191370.395932087	252.269345238095	18363.5845959596	5473.75998677249	0	6.91666666666667	137.166975308642	0.214285714285714	0	213.391666666667	10100.1109375	0	0	0.0333333333333333	0	56.15	486.776990740741	1204.12685185185	6827.79006283069	2438.14986111111	423.549206349207	0	0	0	0.325	2.25	0	2.56388888888889	0.133333333333333	10023.8773885582	9589.2899537037	7548.19786733907	0	33.4324074074074	4289.97267416226	39808.6096547986	0	0.222222222222222	17416510.2139115
0159_AK37_71052_20190226_ST	17361335	10	75.275	185995.293227068	387.419642857143	13370.6550925926	5890.47445767195	2.275	1.6875	198.718981481481	0.0428571428571429	0.1	505.941666666665	10851.1295138889	0	0	0	0	0	437.672453703703	1559.27118055556	6471.40790068343	2715.24305555556	664.722222222223	0.166666666666667	0.125	0	0.425	2.70833333333333	4.7	14.8194444444444	7.73333333333333	9335.34869508132	8288.28770833333	6169.58511243386	0	22.0583333333333	4841.95574882422	38011.9818283363	0	0.888888888888888	17065496.8861549
0159_AP39_21282_20180907_ST_E21	17180440	4.11904761904762	70.9416666666668	178132.651023097	381.352678571429	16901.8217592593	5358.28346560847	0	4.68055555555556	522.04799382716	0.214285714285714	0	234.525	10862.0084490741	0	0	0	0	0.6	517.028842592593	2057.78125	6556.00288525132	2240.63472222222	449.06111111111	0	0	0	34.95	21.8333333333333	0	7.06944444444443	1.1	9261.93890072017	8081.83159722222	7212.8326758157	0	134.178240740741	5828.35432411082	37003.5260755009	0	0	16888558.6306719
0159_AZ03_32016_20180619_ST	17159390	63.8333333333333	29.4666666666667	185361.962892469	365.232142857143	15524.4123737374	5808.10105820106	0	5.70833333333333	88.2539351851852	1.2	0	233.75	9242.82569444445	0	0	0	0	1.5	332.569490740741	1618.47083333333	6573.63792713845	2737.78472222222	463.35	0.466666666666667	0.35	0	1.05	0.5	0.1	7.43055555555557	0.166666666666667	8617.31296615961	8244.37251157407	6164.27923225308	0	19.7884259259259	4639.61123567019	37704.8628823425	0	0	16865537.6494535
0159_AK37_71024_20181010_ST	17003481	74.1666666666667	73.7416666666667	193478.610943893	289.333928571429	17508.1023148148	5589.92837037037	0	6.25	383.269405864197	0.128571428571429	0.8	374.033333333334	10359.7687830688	0	0	0	0	11.25	370.263453703703	1624.80601851852	6770.94878747795	2371.94236111111	664.927777777778	0	0	0	14.275	5.66666666666667	19.3	4.08333333333333	2.33333333333333	9526.74916683813	8353.3233449074	7156.71235721634	0	146.166666666667	5714.16282800558	38767.547532138	0	5.88888888888888	16693812.5184987
0159_AZ03_32057_20190910_ST	16713937	77.1666666666667	31.9833333333333	186187.626876021	276.214285714286	18585.3509259259	5322.10468253968	0	5.33333333333333	141.468518518519	0.3	0.55	257.916666666667	8905.85190972222	0	0	0	0	5.55	335.409259259259	1189.75	6599.60343364197	2258.34291666666	584.080555555557	0	0	0	0	2.04166666666667	12.8	17.1333333333333	5.7	9286.07791177984	8543.40428240741	7282.39320491622	0	24.1472222222222	4388.8356095679	37641.6294216025	0	2.05555555555555	16415966.1784284
0159_AP39_21294_20181026_ST_E21	16210343	69.3333333333333	22.2666666666667	182590.700181584	319.1875	16251.900462963	4924.07104497355	0	3.41666666666667	147.116049382716	0.171428571428571	0.05	290.885	9665.44940476191	0	0	0.0333333333333333	0	5.15	363.42837962963	1371.40324074074	6542.38973214285	2456.22777777778	507.005555555557	0	0	0	7.4	9.45833333333333	0.5	4.5611111111111	1.03333333333333	9110.18004912551	8266.04005787037	6615.50210593033	0	40.5898148148148	4640.10582378013	36183.4035859421	0	0.222222222222222	15919933.8178044
