sample_id	total	phosphotransferase_activity__alcohol_group_as_acceptor	tRNA_2__phosphotransferase_activity	NAD__kinase_activity	adenosine_kinase_activity	adenylylsulfate_kinase_activity	choline_kinase_activity	dephospho_CoA_kinase_activity	diacylglycerol_kinase_activity	dolichol_kinase_activity	ethanolamine_kinase_activity	galactokinase_activity	glycerol_kinase_activity	glycerone_kinase_activity	hexokinase_activity	homoserine_kinase_activity	hydroxyethylthiazole_kinase_activity	mevalonate_kinase_activity	pantothenate_kinase_activity	protein_kinase_activity	pyruvate_kinase_activity	ribokinase_activity	shikimate_kinase_activity	xylulokinase_activity	phosphofructokinase_activity	pyridoxal_kinase_activity	riboflavin_kinase_activity	X2_dehydro_3_deoxygalactonokinase_activity	X2_dehydro_3_deoxygluconokinase_activity	L_fuculokinase_activity	ribulokinase_activity	allose_kinase_activity	glycerate_kinase_activity	hydroxymethylpyrimidine_kinase_activity	inosine_kinase_activity	phosphoribulokinase_activity	protein_N_PI__phosphohistidine_sugar_phosphotransferase_activity	rhamnulokinase_activity	tagatose_6_phosphate_kinase_activity	tetraacyldisaccharide_4__kinase_activity	undecaprenol_kinase_activity	N_acylmannosamine_kinase_activity	phosphatidylinositol_phosphate_kinase_activity	inositol_3_kinase_activity	D_ribulokinase_activity	thiamine_kinase_activity	N_acetylgalactosamine_kinase_activity	aminoglycoside_phosphotransferase_activity	inositol_pentakisphosphate_2_kinase_activity	NADH_kinase_activity	LPPG_FO_2_phospho_L_lactate_transferase_activity	adenosylcobinamide_kinase_activity	ADP_specific_glucokinase_activity	ADP_specific_phosphofructokinase_activity	gluconokinase_activity	S_methyl_5_thioribose_kinase_activity	phosphoenolpyruvate_glycerone_phosphotransferase_activity	polyphosphate_glucose_phosphotransferase_activity	X5_dehydro_2_deoxygluconokinase_activity	beta_glucoside_kinase_activity	dehydrogluconokinase_activity	erythritol_kinase_activity	glucosamine_kinase_activity	glucose_1_6_bisphosphate_synthase_activity	glucose_1_phosphate_phosphodismutase_activity	macrolide_2__kinase_activity	fucokinase_activity	pseudouridine_kinase_activity	ribosylnicotinamide_kinase_activity	sedoheptulokinase_activity	tagatose_kinase_activity	triokinase_activity	X4__cytidine_5__diphospho__2_C_methyl_D_erythritol_kinase_activity	polynucleotide_5__hydroxyl_kinase_activity	inositol_tetrakisphosphate_kinase_activity	inositol_trisphosphate_kinase_activity	phosphatidylinositol_kinase_activity	phosphatidylinositol_bisphosphate_kinase_activity	X6_deoxy_6_sulfofructose_kinase_activity	protein_phosphocysteine_sugar_phosphotransferase_activity	protein_ribulosamine_3_kinase_activity	myo_inositol_1_2_3_4_6_heptakisphosphate_5_kinase_activity	dihydroceramide_kinase_activity	D_glucosamine_PTS_permease_activity	guanosine_kinase_activity	Remaining
0159_AB18_100835_20190130_ST	13710877	11424.0833333333	0	702.583333333335	12	400.166666666667	1	1011.55	1197.33333333334	0	0	1460.58333333334	2312.91666666667	2004.91666666666	4885.83333333333	257.75	296.291666666667	0.5	1434.91666666666	35676.5194444445	1724.91666666667	1314.14166666667	665.2	2298.25	5212.02380952381	2310.25	933.666666666665	55.5	1096	119.5	156.166666666666	17	2102.41666666667	879.466666666665	0	0	3865.13888888888	2596.5	406.291666666667	805	109.75	151.75	0.5	0	113.666666666667	0.5	0	2.25	0	0	391	495.4	0	0	12	61	16.4166666666667	25	2724	552	0	0	29.5	0	0	0	263.75	197.75	621	0	0	0	1075	0	0	0	0	0	21.5	0	2.25	0	0	899.166666666667	0	13613475.4761905
0159_AB18_26501_20190507_ST	13674503	10851.9166666667	0	664.016666666665	4.5	236.942857142857	0.916666666666665	1534.91666666666	630.75	0	0	1738.01666666667	2203.5	4105	3343.16666666667	361	642.416666666665	4.08333333333333	1291.83333333334	34115.0438492063	1967.13333333333	623.791666666665	1007.225	1492.25	5934.83333333333	2035.625	994.416666666665	60.5	752.75	144.75	109.666666666667	38.5	2613.16666666667	928.375	0	0.583333333333335	6182.19444444443	2252	694.666666666665	583.75	71.5833333333335	359.25	2.5	0	57.1666666666665	0	0	10	0	0	715	586.3	0	0	10.25	228	79.4166666666665	1.5	2888.75	510.5	0	0.25	3.5	0	0	0	64	279	153.5	0	0	0	1418.25	0	0	0	0	0	0.5	0	0	0	0	1530.58333333333	0	13575389.0021825
0159_AZ03_32029_20180906_ST	13666261	12326.8333333333	0	576.916666666665	15	349.75	2.5	756.908333333335	1010.11666666666	0	0	1353.2	1067.58333333334	2062.58333333333	3870.66666666667	219.5	190.266666666667	0.5	1105.08333333334	45682.0015873016	1392.85	957.325	568.2	1356.75	4367.91666666666	1915.66666666666	712.041666666665	172.5	1054.75	169.5	269.833333333333	69	1986.66666666666	645.933333333335	31.25	28.5	5398.80555555557	3038.66666666667	453.833333333333	686.083333333335	156	154.083333333334	0.75	0	156.333333333334	23.5	0	21.25	0	0	367	457.175000000001	0	0	41.6666666666667	217	151.666666666666	0	1300.75	639.75	0	0	17	0	0.25	0	286.125	252.5	29.5	0	0	0	912.5	0	0	0	0	0	0	0	0	0	0	1521.91666666667	31.25	13563657.5511905
0159_AB18_26832_20201028_ST	13659933	13876.25	0	747.5	1.5	351.683333333334	0.5	1159.19166666667	935.316666666665	0	0	1406.83333333334	2897	3376.5	3707.83333333333	595.8	379.3	6.75	1618.91666666666	33816.3191919192	1795.05	1440.7	958.608333333335	2532.33333333333	4663.55952380952	2041.25	1047.04166666666	962.875	787.5	785.333333333335	847.791666666665	377.75	3180.08333333333	770.625	263	220.583333333334	10725.8138888889	2796.5	1556.79166666666	757.833333333335	98.5	583.25	0.5	0	120.041666666667	233	0	0	0	0	1227	618.466666666666	0	0	247.625	141.5	301.666666666667	21	2031.5	658	2.5	4.5	4.5	0	0	0	190.583333333334	793	142.916666666666	0	0	0	1304	0	0	0	0	0	138.166666666667	0.0833333333333333	0	0	0	4132.61666666667	263	13543286.8657287
0159_AZ03_32034_20181015_ST	13543667	11773.2833333333	0	679.725	6	332.439285714286	1.5	1118.46666666667	716.183333333335	0	0	1572.85	2214.80952380953	4181.91666666667	3242.16666666667	479	478.483333333334	19.5833333333333	1423.91666666666	35855.4672619047	1885.25	844.458333333335	871.158333333335	1287.35	5088.70833333334	2140.16666666667	1110.375	94.5	587.25	171.916666666666	229.25	28.5	2440.5	629.166666666665	7.25	8	5857.74999999999	2503.25	1051.16666666666	676.416666666665	94.0833333333335	174.666666666666	3.5	0	64.5	4.5	0	7.20833333333335	0	0	991	528.691666666666	0	0	8.83333333333335	261.166666666667	82	1	1552.75	394	0	0	96.75	0.833333333333335	1	0	19.8333333333333	183	102.541666666667	1	0	0	1399.5	0.75	0	0	0	0	4	0	0	0	0	1620.75	7.25	13444453.7172619
0159_AP39_21248_20181016_ST_E21	13481602	12220.9166666667	0	680.866666666665	7.5	326.038095238095	10.1666666666667	1141.16666666666	1010.65	0	0	1695.875	2670.5	3927.66666666667	4068.66666666667	524.1	492.408333333333	1	1509.20833333334	32404.1555555556	1982.81666666667	1047.41666666666	884.283333333335	2000.83333333334	5939.35714285714	2352.375	987.5	309.5	735.75	291.166666666667	524.833333333335	25	3291.66666666667	862.908333333335	103.5	77.75	9514.09444444444	2420.5	732.083333333335	574.25	84.3333333333335	231.166666666666	0.5	0	94.0833333333335	104.25	0	7.79166666666665	0	0	867	721.591666666667	0	0	59.6666666666665	308.75	164.583333333334	2.5	3066.5	765.5	0.5	0	21.5	0	0	0	120.75	245.75	145.375	0	0	0	1291.5	0	0	0	0	0	16.5	0	0	0	0	2241.56666666667	103.5	13373588.3714286
0159_AP39_21287_20181015_ST_E21	13463508	15403.75	0	624.708333333335	232	360.338095238095	0	693.866666666665	930.233333333335	0	0	1208.28333333333	2311.33333333333	2537.08333333333	3320.5	204.1	211.866666666667	5.75	1113	39659.2964285714	1342.05	1289.66666666666	529.141666666665	2590.41666666667	4649.75	1956.58333333334	747.75	100.375	896.5	181.75	320.458333333333	85.25	2087.16666666667	768.383333333335	15.5	9.25	7030.42777777777	2570.25	439.791666666667	712.958333333335	110.5	135.25	0.571428571428572	0	82.125	12	0	33.125	0	0	456.5	341.125	0	0	11.4166666666667	170.666666666666	103.166666666667	5	1492.25	592.25	0	0.166666666666666	51.75	0	0	0	346.916666666667	58.5	296.208333333333	0.25	0	0	934.25	0	0	0	0	0	5.83333333333333	0	0	0	0	3099.58333333333	15.5	13358013.5662698
0159_AZ03_32005_20200930_ST	13417941	10590.8333333333	0	701.458333333335	4	364.666666666667	2.5	1267.91666666666	1329.21666666667	0	0	1812.93333333333	1760.82142857143	3277.625	4455.83333333333	649.6	504.383333333335	2	1724.25	33170.4003968254	2058.75	1076.36666666666	819.133333333335	1445	5975.5	2067.625	1017.45833333333	89	1195.25	68.9166666666665	197.916666666666	16	3092.41666666667	1001.15	5.25	3.5	6334.66666666665	1844.5	514.458333333335	764.25	57.25	154.916666666666	0.5	0	64.1666666666665	6.5	0	14.9166666666667	0	0	943.5	621.283333333334	0	0	8.16666666666665	167.75	79.75	27.5	2830	1089.25	0	0.25	22.5	0.5	0	0.5	98.9166666666665	358.25	143.958333333334	0	0	0	1382.7	0	0	0	0	0	52.5	0	0	0	0	1346.08333333333	5.25	13317258.5948413
0159_AQ29_10028_20171018_ST	13407280	10782.5333333333	0	804.858333333335	4.5	194.033333333334	4.08333333333333	1225.76666666667	500.75	0	0	2110.33333333333	1780.5	3461.91666666667	2302.66666666667	514	494.041666666667	3.33333333333333	1496.83333333334	26529.4541666667	1997.85	677.716666666665	939.358333333335	708.75	5153.625	2249.5	1096.61666666666	72	506.5	57.9166666666665	131.916666666666	7	3084.5	1003.85	0.5	0.833333333333335	5302.86111111111	1746	523.125	894.75	20.25	109.166666666667	1.25	0	49.6666666666667	0.5	0	274.791666666667	0	0	1407	622.175	0	0	1.5	109.666666666667	41.1666666666667	2.5	1835.25	683.75	0	2.5	13.5	0	0	0	9.25	243.5	85.4583333333335	0	0	0	1529.75	0	0	0	0	0	2	0.111111111111111	0	0	0	938.583333333333	0.5	13320931.4402778
0159_AZ03_32072_20190318_ST	13403551	13851.6666666667	0	654	50	184.066666666666	0.666666666666665	1190.6	723.45	0	0	1617.03333333333	2297.08333333333	3095.25	3683.66666666667	609	504.441666666665	9.5	1466.16666666666	34174.6432539682	1915.1	1074.48333333333	866.4	2217.25	4730.16071428572	2266.08333333333	1091.83333333334	266.875	598.25	423.5	505.5	154.5	2950.33333333333	663.95	88	77.75	7863.28888888888	2968.08333333333	917.291666666665	733.25	95.1666666666665	435.75	5	0	74.25	78	0	83.25	0	0	1448	622.858333333333	0	0	117.333333333333	211	145	128	1566.5	429	0	0	54.5	0	0	0	119	389.5	136.375	0.25	0	0	1375	0.166666666666666	0	0	0	0	93.8333333333333	0	15.75	0	0	2409.11666666667	88	13296947.2821429
