sample_id	total	oxidoreductase_complex	glycine_cleavage_complex	ribonucleoside_diphosphate_reductase_complex	nitrate_reductase_complex	formate_dehydrogenase_complex	glycerol_3_phosphate_dehydrogenase_complex	glycolate_oxidase_complex	ferredoxin_hydrogenase_complex	photosystem_II_oxygen_evolving_complex	procollagen_proline_4_dioxygenase_complex	nitrogenase_complex	glycine_reductase_complex	NADH_dehydrogenase_complex	sarcosine_oxidase_complex	dihydrolipoyl_dehydrogenase_complex	isocitrate_dehydrogenase_complex__NAD__	electron_transfer_flavoprotein_complex	pyruvate_dehydrogenase_complex	respiratory_chain_complex_III	succinate_dehydrogenase_complex	catalase_complex	GMP_reductase_complex	superoxide_dismutase_complex	ferroxidase_complex	Remaining
0159_AB18_26637_20200411_ST	3844669	0	476	44.5	73.1666666666667	467.833333333333	4409.33333333333	5	70.75	0	0	1	173	44.9166666666667	0	2.625	0.5	0	236.5	0	0.75	0	117	0	11.3333333333333	3838534.79166666
0159_AA34_42281_20181017_ST	3841334	0	388.5	203	375.333333333333	394.25	3572	13	62	17.25	0	0	221	73.5833333333333	0	9.75	0.875	0	324.5	0	2.75	0	110	0	52.6666666666667	3835513.54166666
0159_AB18_26507_20190724_ST	3784499	0	670	48.5	176	461.833333333333	3719.66666666667	5	128.25	0.25	0	1	168	95.6666666666665	0	31.7083333333333	1	0	526.5	0.375	4.25	0	35	0	13.6666666666667	3778412.33333333
0159_AQ11_10134_20190208_ST	3776326	0.5	300	2	88.6666666666667	763.333333333333	5324.16666666667	20.5	62.25	0	0	0	198	10	0	5.125	2	0	245.5	0.125	0.25	0	45	0	9.33333333333333	3769249.25
0159_AB18_26450_20190306_ST	3763202	0	813.5	1724.5	2778.33333333333	4297.91666666667	6048	132	300.75	0	0	42	0	180.083333333333	0	179.375	0	0	2181.75	23.5	64.75	0	1204	0	259	3742972.54166667
0159_AA34_42435_20190518_ST	3745937	0	683.75	28	84.3333333333333	219.166666666667	2858	5	314.5	0	0	0	454	250.916666666667	0	121.625	1.125	0	655.25	0.875	0.75	0	20	0	5.66666666666667	3740234.04166667
0159_AB10_26116_20180922_ST	3744567	0	241	18	215.5	423.833333333333	7274.16666666667	12	65.25	0	0	0	289	31.8333333333333	0	18.875	0.375	0	138.75	0	2	0	70	0	33.6666666666667	3735732.75
0159_AP39_21401_20180607_ST_E21	3742350	0	457.5	4.5	2	267.333333333333	2650.66666666667	0	19.25	0.25	0	0	412	108.333333333333	0	0.125	0.625	0	119.5	0.875	0	0	1	0	2.66666666666667	3738303.375
0159_AQ29_10043_20171205_ST	3738907	0	404	28	104.666666666667	493.833333333333	3586.16666666667	4	42	7.5	0	0	264	135.5	0	10.5	2.5	0	142	6.25	0	0	39	0	16.3333333333333	3733620.75
0159_AQ29_10070_20180328_ST	3736570	0	463	30	85.8333333333333	330.833333333333	2666	6	18.25	1	0	1	92	145.5	0	4.375	0.75	0	187.75	0.5	0.5	0	9	0	30.6666666666667	3732497.04166667
0159_AP39_21386_20180320_ST_E21	3708938	0	432	22	137	343	2974.16666666667	9	62.75	33.5	0	0.5	244	201.916666666667	0	5.875	0.5	0	209	0.125	1.75	0	10	0	30	3704220.91666666
0159_AQ29_10079_20180418_ST	3693277	0	529	65	121.333333333333	212	3037.33333333333	0	21.75	14.25	0	0	139	31.4166666666667	0	0.5	0.375	0	37	0	0	0	29	0	24.6666666666667	3689014.375
0159_AQ29_10066_20180313_ST	3683656	0	376.25	24	23.8333333333333	381.5	3224.33333333333	6	100.75	3	0	0	162	81.5000000000002	0	15.5625	0.5	0	131.625	0.875	0	0	45	0	14.6666666666667	3679064.60416667
0159_AA34_42094_20180523_ST	3676129	0	520	68.5	17.8333333333333	240.666666666667	3581.33333333333	1	276.5	12.25	0	0	232	23.3333333333333	0	7.20833333333333	0.5	0	289.25	0	0	0	144	0	67.3333333333333	3670647.29166666
0159_AB18_26815_20201210_ST	3675739	0	584.5	8	82.1666666666667	801.75	2961.83333333333	1	31.5	0	0	0.5	199	129.666666666667	0	7.45833333333333	0.375	0	211.25	0.875	0.25	0	13	0	12.1666666666667	3670693.70833333
0159_AJ09_750041_20190718_ST	3661978	2	622	86	203.333333333333	711.166666666667	3341	4	122.75	0.75	0	0	97	96.5833333333333	0	36.75	0.375	0	274.5	0.25	0.25	0	26	0	152.333333333333	3656200.95833333
0159_AY44_33270_20191025_ST	3644488	0	510	9	52.3333333333333	236.5	3144.83333333333	2	62.75	13.75	0	0	130	189.333333333333	0	16.0833333333333	0.875	0	278	0	0	0	17	0	11	3639814.54166667
0159_AA34_42175_20180807_ST	3607603	0	500.5	43.5	113.333333333333	262.5	3598.33333333333	3	21.5	0.5	0	0	144	57.3333333333332	0	4.625	0.625	0	73	0.375	0	0	19	0	15.3333333333333	3602745.54166666
0159_AY44_33181_20190529_ST	3599353	0.5	510	139.5	77.8333333333333	418.5	3713	4	44	0	0	0	85	127.583333333333	0	8.625	1.75	0	304.25	0.25	0	0	61	0	63.3333333333333	3593793.875
0159_AP39_21388_20180307_ST_E21	3576470	0	503.5	50	127.333333333333	402.083333333333	3511.66666666667	0	45.5	1.5	0	0	284	172.5	0	15.375	0.25	0	238.5	0	2	0	31	0	12.6666666666667	3571072.125
0159_AZ03_32092_20191205_ST	3563522	0	444.5	5	82.8333333333333	415.5	4101.83333333333	35	116.75	1	0	0	145	70.6666666666665	0	6.125	3.5	0	99.5	4.25	0	0	303.5	0	2.33333333333333	3557684.70833333
0159_AA34_42427_20190604_ST	3555510	0	687	657	177	727.75	3179.5	13	126.5	0	0	0.5	886	65.9166666666665	0	8.70833333333333	0.625	0	172.75	0	1	0	129	0	185.666666666667	3548492.08333334
0159_AB18_30120_20190320_ST	3553390	0	585.5	5	5.16666666666667	198.083333333333	2729.66666666667	0	99.25	1	0	0	394	160.416666666667	0	40.25	0.5	0	479.5	0.375	0	0	3	0	4	3548684.29166667
0159_AZ03_32026_20180802_ST	3503986	1	784.5	93	726.166666666667	1244.25	4386.83333333333	55	121.5	0.916666666666665	0	3.5	184	70.9166666666667	0	70.7083333333332	0.5	0	754.5	0.875	9.5	0	128	0	46	3495304.33333334
0159_AB18_26491_20190502_ST	3502218	0	484.5	94	47	229.5	3443.5	0	27	0	0	0	78	103.083333333333	0	1.75	2	0	373.5	0	0	0	34	0	48.6666666666667	3497251.5
0159_AA34_42131_20190211_ST	3491649	0	494.75	375	1378.33333333333	1348.16666666667	2734	83	205.416666666666	0	0	0	284	81.3333333333335	0	84.7708333333332	0.375	0	452.125	0.625	14.75	0	434	0	236	3483442.35416666
0159_AQ29_10137_20190311_ST	3483531	1	395	69	766.166666666667	743.833333333333	4389.5	18	200.25	0	0	0.5	245	33.1666666666667	0	5.375	3.375	0	322	0.125	0.5	0	11	0	20.6666666666667	3476306.54166666
0159_AA34_42089_20180515_ST	3477335	0.5	333.5	45	76.8333333333333	545.333333333333	3330.83333333333	2	106.5	0.75	0	0	206	53.8333333333333	0	7.95833333333333	0.625	0	177.25	3.125	0	0	14	0	7.33333333333333	3472423.625
0159_BA21_18007_20171111_ST	3469544	0.25	460.5	1	6	97.6666666666667	2970	1	43	0.5	0	0	312	164.916666666667	0	4	0.125	0	286.5	0.125	0	0	19	0	2.33333333333333	3465175.08333333
0159_AB10_26016_20180423_ST	3455219	0	322	70.5	94.5	486.5	2913	1	32.75	7.5	0	0	60	75.6666666666667	0	3.625	0.75	0	74	0.875	0	0	16	0	29.6666666666667	3451030.66666667
0159_AK37_71027_00/00/00_ST	3445045	0.5	563	20	30	320	3385.66666666667	7	68.25	0	0	1.5	218	102.416666666667	0	7.33333333333333	1.25	0	320.5	0.25	0	0	41	0	3.33333333333333	3439955
0159_AB18_26442_20190220_ST	3434823	0	713	40	184.333333333333	330.166666666667	3040.66666666667	6	320.75	0	0	0	173	216.166666666667	0	133.625	1.625	0	638.75	1.625	1	0	30	0	30.6666666666667	3428961.625
0159_AQ29_10122_20180925_ST	3431289	0.5	106.5	4	75.3333333333333	192.666666666667	6405.66666666667	1	15	0	0	0	27	6.66666666666667	0	7.5	0.5	0	44	2	0.25	0	22.5	0	2	3424375.91666667
0159_AY44_33251_20191023_ST	3411269	0	391.5	97	259	696.083333333333	2408	33	42.25	0	0	0	375	156.416666666666	0	12.25	1	0	256.25	0	5.5	0	106	0	13.3333333333333	3406416.41666667
0159_AB18_26633_20191009_ST	3402772	1.5	443.5	65	225.166666666667	987.916666666667	3423.33333333333	0.5	54.75	0.25	0	35	207	102.25	0	17.75	0.375	0	390.75	0.125	8.5	0	69	0	14	3396725.33333333
0159_AZ03_32016_20180619_STHS	3400208	0	497	11	26.6666666666667	281.333333333333	2324.16666666667	18	28.25	4.5	0	0	204	139	0	6.25	1.375	0	139.75	0.375	0	0	31	0	18	3396477.33333333
0159_AS41_40093_20191022_ST	3395395	0	504.5	244	167	357.166666666667	3154.33333333333	5	72.25	8.5	0	1.5	93	131	0	7.54166666666667	1.875	0	408.5	0	1.16666666666667	0	97	0	76.6666666666667	3390064
0159_AK37_71022_20180922_ST	3394142	0	546	74	90.8333333333333	235.5	2973.83333333333	2	13.75	0	0	0	353	177	0	2.70833333333333	0.25	0	379.25	0	1	0	22	0	67	3389203.875
0159_AA34_42003_20180313_ST	3383889	0	337.5	383	109.5	206.333333333333	3624.33333333333	1	24.25	0	0	0	50	111.75	0	5.08333333333333	0.25	0	176	1	0.166666666666667	0	16	0	20.3333333333333	3378822.5
0159_AZ03_32068_20190211_STLS	3352121	0	431	24	90.6666666666667	459	3258.5	10	42.5	2	0	0	259	24.5833333333333	0	7.08333333333333	0.25	0	389	0.25	0.25	0	15	0	19	3347088.91666666
0159_AA34_42132_20190220_ST	3329231	0	420	202	78.1666666666667	300	3155.5	3	61.75	5	0	0	129	52.1666666666667	0	3.5	0.25	0	320.5	0.25	0	0	21	0	59	3324419.91666666
0159_AQ29_10105_20180712_ST	3321364	0	187.5	9	6.33333333333333	209	4705.33333333333	1	25	0.25	0	0	53	17.5833333333333	0	0.25	0.5	0	52	0.625	0	0	61	0	5.33333333333333	3316030.29166667
0159_AB18_100772_20190909_ST	3320089	0	382.5	14	51	323.666666666667	2709.83333333333	4	21.5	2.25	0	0	180	91.7500000000002	0	4.75	1	0	134	0.125	0.25	0	5	0	13.3333333333333	3316150.04166666
