sample_id	total	hydro_lyase_activity	X3_dehydroquinate_dehydratase_activity	X3_hydroxybutyryl_CoA_dehydratase_activity	X3_isopropylmalate_dehydratase_activity	aconitate_hydratase_activity	carbonate_dehydratase_activity	cystathionine_beta_synthase_activity	dihydroxy_acid_dehydratase_activity	enoyl_CoA_hydratase_activity	fumarate_hydratase_activity	homoaconitate_hydratase_activity	imidazoleglycerol_phosphate_dehydratase_activity	phosphogluconate_dehydratase_activity	methylglutaconyl_CoA_hydratase_activity	phosphopyruvate_hydratase_activity	porphobilinogen_synthase_activity	prephenate_dehydratase_activity	pseudouridylate_synthase_activity	tryptophan_synthase_activity	uroporphyrinogen_III_synthase_activity	X4_alpha_hydroxytetrahydrobiopterin_dehydratase_activity	GDP_mannose_4_6_dehydratase_activity	dTDP_glucose_4_6_dehydratase_activity	X_3R__hydroxymyristoyl__acyl_carrier_protein__dehydratase_activity	X2_oxopent_4_enoate_hydratase_activity	L____tartrate_dehydratase_activity	altronate_dehydratase_activity	X4_hydroxy_tetrahydrodipicolinate_synthase_activity	galactarate_dehydratase_activity	galactonate_dehydratase_activity	glucarate_dehydratase_activity	mannonate_dehydratase_activity	urocanate_hydratase_activity	X3_hydroxyacyl_CoA_dehydratase_activity	X2_oxo_hept_3_ene_1_7_dioate_hydratase_activity	acetylene_hydratase_activity	lactoyl_CoA_dehydratase_activity	nitrile_hydratase_activity	cyclohexa_1_5_dienecarbonyl_CoA_hydratase_activity	X3_hydroxyacyl__acyl_carrier_protein__dehydratase_activity	glyoxalase_III_activity	X2_hydroxyisoflavanone_dehydratase_activity	bile_acid_7alpha_dehydratase_activity	X3alpha_7alpha_12alpha_trihydroxy_5beta_cholest_24_enoyl_CoA_hydratase_activity	ectoine_synthase_activity	X2_hydroxyhexa_2_4_dienoate_hydratase_activity	protein_deglycase_activity	X4_hydroxybutanoyl_CoA_dehydratase_activity	O_succinylbenzoate_synthase_activity	X3_hydroxypropionyl_CoA_dehydratase_activity	glycerol_dehydratase_activity	X3_dehydroshikimate_dehydratase_activity	methylthioribulose_1_phosphate_dehydratase_activity	X5_dehydro_4_deoxyglucarate_dehydratase_activity	X2_dehydro_3_deoxy_L_arabinonate_dehydratase_activity	ATP_dependent_NAD_P_H_hydrate_dehydratase_activity	X2_methylisocitrate_dehydratase_activity	X_R__2_methylmalate_dehydratase_activity	X2_methylcitrate_dehydratase_activity	X4_oxalmesaconate_hydratase_activity	arabinonate_dehydratase_activity	CDP_glucose_4_6_dehydratase_activity	arogenate_dehydratase_activity	citrate_dehydratase_activity	D____tartrate_dehydratase_activity	D_glutamate_cyclase_activity	dimethylmaleate_hydratase_activity	gluconate_dehydratase_activity	isohexenylglutaconyl_CoA_hydratase_activity	itaconyl_CoA_hydratase_activity	L_arabinonate_dehydratase_activity	L_fuconate_dehydratase_activity	L_rhamnonate_dehydratase_activity	maleate_hydratase_activity	myo_inosose_2_dehydratase_activity	oleate_hydratase_activity	propanediol_dehydratase_activity	pyrazolylalanine_synthase_activity	trans_L_3_hydroxyproline_dehydratase_activity	UDP_glucose_4_6_dehydratase_activity	xylonate_dehydratase_activity	trans_feruloyl_CoA_hydratase_activity	cyclohexyl_isocyanide_hydratase_activity	L_serine_hydro_lyase__adding_indole__L_tryptophan_forming__activity	ADP_dependent_NAD_P_H_hydrate_dehydratase_activity	tRNA_threonylcarbamoyladenosine_dehydratase	X6_carboxy_5_6_7_8_tetrahydropterin_synthase_activity	X3R_hydroxyacyl_CoA_dehydratase_activity	very_long_chain_3_hydroxyacyl_CoA_dehydratase_activity	X3_hydroxy_arachidoyl_CoA_dehydratase_activity	X3_hydroxy_behenoyl_CoA_dehydratase_activity	X3_hydroxy_lignoceroyl_CoA_dehydratase_activity	glyoxalase__glycolic_acid_forming__activity	Remaining
0159_AP39_21295_20180811_ST_E21	34369045	52162.1833333333	9641.90952380952	869.833333333333	11263.6166666667	5016.75	1740.16666666667	635.285714285714	10088.5333333333	2796.25	8634.58333333333	37.3333333333333	6484.53333333333	307.933333333333	0	9839.11904761905	1492	8596.16666666667	1518.11666666667	22198.6666666667	5858.16666666667	0	4030.41666666667	22274.1666666667	1566.53095238095	374	2524.41666666667	1291	17002.0242424242	5859.5	2211.08333333333	975	13314.6666666667	10616	0	84.5	596.219047619048	0	32	0	3917.82738095238	142	0	129	245	10	0	142	388.333333333333	965.5	0	693.666666666667	95	838	0	1	0	396.25	12.25	241	130	5	3274	149.666666666667	4987.91666666667	0	0	2433.35	210.5	0	0	11	142.5	475.25	0	1876.5	5750.91666666667	1158	4	13	0	20	0	618	0	4408.61666666667	0	1302.66666666667	0	0	0	0	0	0	34091924.6174243
0159_AZ03_32019_20180325_ST	33704867	62234.75	9801.44523809524	807	12289.5666666667	4224.91666666667	732.5	98.5	7719.13333333333	1808	8171.16666666667	81.0833333333333	8732.45	6.56666666666667	0	9100.23333333333	1714.5	8906.73333333333	2060.25	21529.3333333333	5144	0	2815.66666666667	15857	1213.8619047619	80	1365.5	1443.33333333333	17422.6393939394	2240.83333333333	2587.16666666667	213	10493.1666666667	10578.3333333333	0	7	490.914682539682	8	0	0	3034.65476190475	192.5	0	316	151	21	0	1.625	360.333333333333	224.333333333333	0	121.416666666667	75	771.833333333333	0	0	1	134.8	18	125	331	0	3864	62	4216.91666666667	1.5	0	1173.86666666667	54.6666666666667	0	0	5	14	165.5	0	1856.5	3908.25	173.333333333333	13	31.5	0	0	0	406	0	5118.91904761905	0	1074.33333333333	0	0	0	0	0	0	33444869.6733045
0159_AK37_71050_20190313_ST	33238352	48827.7833333333	8764.95	1135.5	14094.0666666667	4202.16666666667	1069.64285714286	18	10081.7666666667	2242.28333333333	7534.41666666667	9	6964.28333333333	1.7	0.5	10602.8666666667	2284.5	8181.66666666667	714.083333333333	24785.6666666667	7116.66666666667	0	4498.66666666667	22052	1646.08003663004	10	1958.41666666667	1065.5	15579.0909090909	3120	1737.5	219	9587	10142.3333333333	0	0	2404.35555555556	3	0	0	4115.2000915751	25	0	82	369	5	0	0	518.333333333333	678.666666666667	0	110.5	79	1428.5	2	63	0.5	209.283333333333	72.75	21.5	79	5	4018	36	4198.16666666667	0.5	0	1672.8	15	0	0	3	7.5	56.5	0	2943.33333333333	5600.91666666667	254.166666666667	0	28	0	0	0	492	0	4616.33333333333	0	1584	0	0	0	0	0	0	32972307.0972167
0159_AZ03_32013_20200922_ST	32993539	46694.4166666667	8531.07380952381	356.666666666667	8999.01666666667	3798.25	1179.75	10.5	5203.6	2302.46666666667	9589.91666666667	115.583333333333	3982.58333333333	4.7	0	7290.5	764	7472.6	2194.83333333333	17964.8333333333	5883.5	2	3588.33333333333	20081.8333333333	1168.38461538462	196	744.5	1050	13241.9242424242	1359.5	1564.5	35.5	12547.3333333333	10648.5	0	3	336.205952380952	0	0	0	2920.96153846155	52	0	20	270	1	1	5.5	550.833333333333	512.166666666667	0	126	83.8333333333333	896	20	8	5.33333333333333	58.9	36.75	266.5	348	1	1413	12.5	3789.08333333333	3	0	949.15	20.3333333333333	0	5	22	0	213.166666666667	0	2155	6152.08333333333	127.5	8	6	0	0	1	147	11	4702.41666666667	0	1420.16666666667	0	3.75	3.75	3.75	3.75	0	32767276.5165085
0159_AB10_100710_20181001_ST	32532675	41724.9761904762	9586.58333333333	645	13739.5	6805.75	3312	41.2142857142857	14227.3333333333	2362.41666666667	12807.4166666667	333.5	6692.24166666667	1587.73333333333	0	11294	4232.5	8926.58333333333	1977.25	24678.6666666667	6717.5	1	3534.41666666667	19929.5833333333	1453.46904761905	2287	4695.25	1877.66666666667	14686.6666666667	7900.16666666667	10810.8333333333	3097.5	7496.33333333333	6037.66666666667	0	7	1017.7	0	0	0	3636.17261904762	1517	0	186	359	0	0	202.625	111.5	2032.33333333333	0	280.666666666667	91.1666666666667	857.5	1	5	0	418.2	14.25	2723	99	3	2064	107.333333333333	6667.16666666667	0	0	3765.7	3.33333333333333	0	0	1	19	2625.5	0	1338	4634.33333333333	859.666666666667	0	5	0	4	0	319	0	4205.16666666667	0	2091.33333333333	0	0	0	0	0	0	32234903.6345238
0159_AP39_21076_20180429_ST	31933635	47372	9868.65	1486.33333333333	11623.9916666667	3895.64285714286	1313.5	245	10402.4666666667	2098.23333333333	7816	1	6147.08333333333	0	1	10645.0833333333	1521.5	7045	453.416666666667	20737.9166666667	5370.8	0	5976.16666666667	24105.5	1593.50238095238	1	1645.66666666667	1415.16666666667	12628	5485.16666666667	2676.5	92	13422.3333333333	9661	0	1	175.819444444444	0	0	0	3983.75595238095	52.5	0	273	70	14	0	0	359.833333333333	270.166666666667	0	145	13.5	559	0	0	0	199.916666666667	5.25	1	67	2	4021.5	120.333333333333	3881.97619047619	0	0	1641.75	16	0	0	3	69	44.5	0	2545.83333333333	6682.66666666667	253.5	4	1	0	0	0	1628	0	4550.75	0	1061.16666666667	0	0	0	0	0	0	31674170.661508
0159_AP39_21119_20181218_ST	31279866	26956.4166666667	7589.11666666667	1016.16666666667	11338.5	3808.48333333333	2094.66666666667	819.5	9323.66666666667	3819.16666666667	7452.58333333333	2.5	4817.08333333333	0	0	9563.91666666667	615.333333333333	6205.25	115.833333333333	22448.6666666667	7050.66666666667	0	9725.5	22626.1666666667	1856.05238095238	2	1372.25	1600	14753.3333333333	5024	1085.5	102	17347.3333333333	15052	0	0	160.7	3	0	0	4640.13095238095	110.5	0	14	54	0	0	0	195	1093.16666666667	0	211	25.5	373	0	1	0	618.566666666667	6.5	0	7	13	6641	325	3794.48333333333	1	0	2348.53333333333	10	0	0	1	208	92.3333333333333	0	2462.33333333333	2957.16666666667	425.333333333333	6	8	0	0	0	1070	0	3503.11666666667	0.25	1583.5	0	0	0	0	0	0	31031319.2333333
0159_AQ29_10022_20170920_ST	29966568	57216.1166666667	11341.2666666667	1793.5	11966.2583333333	3770.76666666667	1126.33333333333	10.5	11375.7	2009.41666666667	6671.33333333333	3.33333333333333	6470.28333333333	37.1666666666667	0	10031.0595238095	1225	8759.25	1169.25	18833.3666666667	4982.5	0	4331.75	20180.3333333333	1625.07857142857	2	2373.33333333333	1180	16542.0151515152	4444.5	1916	201.5	9609.5	7875	0	0	684.05753968254	5	2	0	4062.69642857143	0	0	31	110	29	2	1	290.833333333333	494.833333333333	0	54	51.5	362.5	23	12	0	106.633333333333	44.75	12	175	1	3119	27	3762.86666666667	0	0	1542.03333333333	25.5	0	0	6	90	63.1666666666667	0	949.666666666667	8004.08333333333	72.5	6	0	0	0.5	0	1546.5	0	5360.25	0	1914.83333333333	0	0.25	0.25	0.25	0.25	0	29704448.8844517
0159_AB10_26156_20180815_ST	29238094	25098.8333333333	6573.91666666667	909.5	10322.2166666667	4629.48333333333	2208.16666666667	344.285714285714	8260.13333333333	3545.76666666667	7859.91666666667	0.333333333333333	4238.73333333333	199.7	0	9614.89285714286	1262	5901	246	22106.5	7500.83333333333	0	6048.5	23011.3333333333	1677.48333333333	172.5	1081.91666666667	2209.83333333333	12305.8333333333	5013.16666666667	2352.75	953.5	15911	13379	0	41.5	61.15	0	0	0	4194.70833333332	215	0	18	27	7	0	0	326.166666666667	641.666666666667	0	343.5	43.1666666666667	450	1	0	0	101.466666666667	22.75	10.3333333333333	9	9	3382	276	4607.98333333333	0	0	1046.53333333333	6.5	0	0	0	22	364	0	3228.16666666667	1976	827	0	14	0	0	0	597	0	3047.18333333333	0.25	1890.83333333333	0	0	0	0	0	0	29005347.1130952
0159_AZ03_32015_20201210_ST	28328007	49616.8	7536.65952380952	750.833333333333	10582.2666666667	3314.78333333333	1414.33333333333	474.5	7681.43333333333	2201.7	5554.75	22.4166666666667	5719.75	0.833333333333333	0	9399.30952380952	1498.33333333333	7180.0125	1246.83333333333	17985.6666666667	5463.66666666667	0	2526.5	15343.25	1216.75952380952	274.5	881.583333333333	884.5	13341.9242424242	1841.5	2625.83333333333	278	7880.5	8095.66666666667	0	2	1543.14444444444	0	0	0	3041.8988095238	73.5	0	391.5	239	3	1	0	767	671	3	193.75	74	577	1	4	3.66666666666667	545.6	6.66666666666667	8.5	171	8	3867	114.729166666667	3312.78333333333	0	0	1182.15	86.3333333333333	0	0	1	103.5	118.75	0.166666666666667	1015.16666666667	4397.25	526.5	6	23	0	0	0	98.5	0	4242.66666666667	0	1513.16666666667	0	3.5	3.5	3.5	3.5	0	28106219.7122655
