sample_id	total	transferase_complex	X1_3_beta_D_glucan_synthase_complex	ubiquitin_ligase_complex	glycosylphosphatidylinositol_N_acetylglucosaminyltransferase__GPI_GnT__complex	palmitoyltransferase_complex	alpha_alpha_trehalose_phosphate_synthase_complex__UDP_forming_	acetolactate_synthase_complex	CAAX_protein_geranylgeranyltransferase_complex	protein_farnesyltransferase_complex	Rab_protein_geranylgeranyltransferase_complex	serine_pyruvate_aminotransferase_complex	oligosaccharyltransferase_complex	aspartate_carbamoyltransferase_complex	riboflavin_synthase_complex	cellulose_synthase_complex	protein_N_acetylglucosaminyltransferase_complex	ubiquitin_conjugating_enzyme_complex	mannosyltransferase_complex	decaprenyl_diphosphate_synthase_complex	Atg12_Atg5_Atg16_complex	methyltransferase_complex	oxoglutarate_dehydrogenase_complex	methionine_adenosyltransferase_complex	transferase_complex__transferring_phosphorus_containing_groups	inositol_phosphoceramide_synthase_complex	SUMO_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_II_complex	acetyltransferase_complex	dehydrodolichyl_diphosphate_synthase_complex	Bre1_Rad6_ubiquitin_ligase_complex	UBR1_RAD6_ubiquitin_ligase_complex	MUB1_RAD6_UBR2_ubiquitin_ligase_complex	RAD6_UBR2_ubiquitin_ligase_complex	RSP5_BUL_ubiquitin_ligase_complex	glycosylphosphatidylinositol_mannosyltransferase_I_complex	Remaining
0159_AP39_21119_20181218_ST	21439715	0	2.25	13.3333333333333	0.333333333333333	0.75	22	346	0	1	2	0	0	5046	5756.5	0	751.916666666665	0	0.416666666666667	0	0	904.583333333333	91.125	0.5	143227.470039682	0.5	998.5	0	6.35416666666667	0.583333333333333	0	0.333333333333333	1.5	0.5	0.25	0.166666666666666	21282540.134127
0159_AP39_21076_20180429_ST	20996683	0	0	7.0625	0	0.333333333333333	5	446	0.25	0.5	0	0	0	3754	4304	0	72.5	0	0.111111111111111	0	0	326	145.666666666666	0	137844.658333333	0	179	0	1.125	0.833333333333333	0	0	0	0	0	0	20849595.9597222
0159_AB10_26156_20180815_ST	20352699	0	1.75	13.2166666666667	0.333333333333333	0.416666666666667	27.5	639.5	0.5	1	1.5	0	0.333333333333333	4325	6527	0	142.333333333334	0	0.833333333333333	0	0.333333333333333	149.833333333333	539.208333333335	0	125094.352777778	0.5	17.1666666666667	0.5	6.75625	0	0	0.166666666666666	2.25	1.25	0.75	0.333333333333333	20215204.3826389
0159_AQ29_10022_20170920_ST	19485035	1	0.25	6.2875	0	5.83333333333333	0	299	0	3	7	0	0.111111111111111	4593	4928.83333333333	0	178.083333333334	0.0277777777777777	0	0	0	683.25	10.4791666666667	1	150810.77718254	0	38	0	8.79545454545455	0.5	0.111111111111111	0.222222222222222	0.0555555555555555	0.0555555555555555	0	0	19323459.3273629
0159_AP39_21090_20180504_ST	18989837	1	0	12.6666666666667	0	2	2	128.5	0	0	0	0	0	4111.8	4569.5	0	33.9166666666667	0	0	0	0	165	25.875	0	126762.708333334	0	319	0	0.25	0	0	0	0	0	0	0	18853702.7833333
0159_AP39_21314_20180719_ST_E21	18760936	0	0.25	2.89583333333333	0	1	0	621	0.25	0.5	0	0	0	3546.8	4052	0	83	0	0	0	0	227	184.666666666666	0	115881.541666667	0	785	0	3	0	0	0	0	0	0	0	18635547.0958333
0159_AZ03_32015_20201210_ST	18411108	1	0.25	19.325	0	2	0	130.5	0	11	35	0	3.5	3128	3897.5	0	46.6666666666667	0.666666666666666	0	0.5	0	671.027777777778	55	0.25	135311.417063492	0	65	0	50.1515151515152	1	0.333333333333333	0.166666666666666	0.666666666666665	0.166666666666666	0	0.166666666666666	18267676.7453102
0159_AK37_71031_20180929_ST	18190337	0	0.75	9.1875	0	1.83333333333333	12	343	0	0	0	0	0.166666666666667	3798.8	4626.5	0	38.1666666666667	0	0.611111111111111	0	0	145	202.5625	0	124467.085714286	0	95	0	9.2875	0	0	0	0	0	0.25	0	18056586.7990079
0159_AK37_71023_20180813_ST	17982284	0	0	2.375	0	1	64	673	0	1	0	0	0	4963	4406.5	0	188.666666666666	0	0	0	0	179	369.916666666667	0	117441.208333333	0	9	0	0.5	0	0	0	0	0	0	0	17853984.8333333
0159_AV42_66163_20190718_ST	17925240	0	0	0.95	0	2.16666666666667	14	72	0.5	0	0	0	0	4474.2	5025	0	563.25	0	0	0	0	1390	28.1666666666667	0	124049.625	0	191	0	1.5	0	0	0	0	0	0	0	17789427.6416667
