Target	CorrelatedName	Correlation
	nmndf_log_POS_00147.0763760.3	0.89533
	nmndf_nrcp_POS_00295.1751560	0.89417
	nmndf_nrcp_POS_00437.2380560	0.89407
	nmndf_nrcp_POS_00287.1854360	0.89346
	nmndf_nrcp_POS_00265.1647660	0.89311
	nmndf_nrcp_POS_00370.2437960	0.89224
	nmndf_nrcp_POS_00245.1383260	0.89201
	nmndf_nrcp_POS_00087.0440260.2	0.8916
	nmndf_nrcp_POS_00393.1757260	0.89135
	nmndf_log_POS_00303.8999060	0.89096
	nmndf_nrcp_POS_00199.0965060	0.89095
	nmndf_nrcp_POS_00245.1382960	0.89086
	nmndf_nrcp_POS_00219.1226860	0.88862
	nmndf_nrcp_POS_00282.1911560	0.88844
	nmndf_nrcp_POS_00250.2011360	0.88816
	nmndf_nrcp_POS_00252.1441160	0.88759
	nmndf_nrcp_POS_00270.1910760	0.88739
	nmndf_log_POS_00134.0811460	0.88611
	nmndf_log_POS_00311.9840960	0.88596
	nmndf_nrcp_POS_00444.2623560	0.88579
	nmndf_nrcp_POS_00161.0960560	0.88506
	nmndf_nrcp_POS_00312.2381860	0.88391
	nmndf_nrcp_POS_00189.0757260	0.88305
	nmndf_nrcp_POS_00603.3548460	0.88248
	nmndf_nrcp_POS_00313.1646160	0.88195
	nmndf_nrcp_POS_00340.1967760	0.8818
	nmndf_log_POS_00221.0767860	0.88171
	nmndf_nrcp_POS_00179.1066260	0.8815
	nmndf_nrcp_POS_00637.3384060	0.88059
	nmndf_log_POS_00219.1338760	0.87879
	nmndf_log_POS_00348.9004860	0.87768
	nmndf_nrcp_POS_00195.1226360	0.87651
	nmndf_log_POS_00301.1707760	0.87637
	nmndf_log_POS_00182.0790460	0.87619
	nmndf_nrcp_POS_00356.2646460	0.87523
	nmndf_nrcp_POS_00375.1651860	0.87511
	nmndf_nrcp_POS_00117.0545660	0.87511
	nmndf_log_POS_00171.0627860	0.87493
	nmndf_nrcp_POS_00461.2337460	0.87472
	nmndf_log_POS_00294.9495760	0.87458
	nmndf_log_POS_00189.0869560	0.87418
	nmndf_nrcp_POS_00384.2232660	0.87413
	nmndf_nrcp_POS_00312.2017860	0.87411
	nmndf_nrcp_POS_00504.3382460	0.87329
	nmndf_log_POS_00261.1192560	0.87307
	nmndf_log_POS_00223.0964860	0.8728
	nmndf_log_POS_00462.2196260	0.87279
	nmndf_nrcp_POS_00231.1592960	0.87195
	nmndf_log_POS_00262.1032960	0.87169
	nmndf_log_POS_00337.2011560	0.87106
	nmndf_log_POS_00281.9734660	0.87075
	nmndf_log_POS_00235.0924160	0.87063
	nmndf_log_POS_00162.0760160	0.86958
	nmndf_log_POS_00318.1813560	0.86917
	nmndf_nrcp_POS_00316.1967360	0.86886
	nmndf_log_POS_00245.0767260	0.86882
	nmndf_log_POS_00245.0954060	0.86882
	nmndf_log_POS_00360.1403660	0.86881
	nmndf_nrcp_POS_00384.2230860	0.86837
	nmndf_log_POS_00231.6134160	0.86826
	nmndf_nrcp_POS_00191.0913760	0.8676
	nmndf_log_POS_00635.3555160	0.86754
	nmndf_nrcp_POS_00207.1226860	0.86687
	nmndf_log_POS_00208.9724760	0.86506
	nmndf_nrcp_POS_00131.0702260.2	0.86501
	nmndf_log_POS_00230.1134760.1	0.8648
	nmndf_nrcp_POS_00751.4177760	0.86477
	nmndf_sqrt_POS_00360.8330360	0.86429
	nmndf_nrcp_POS_00428.2492060	0.8626
	nmndf_log_NEG_00382.9304240	0.8623
	nmndf_log_POS_00698.3875760	0.86219
	nmndf_log_POS_00493.2587860	0.8618
	nmndf_nrcp_POS_00123.0804060	0.86169
	nmndf_log_POS_00358.1723060	0.86153
	nmndf_log_POS_00248.1240560	0.86146
	nmndf_log_POS_00985.5105460	0.86067
	nmndf_log_POS_00217.1182460	0.86052
	nmndf_log_POS_00264.1189960	0.86019
	nmndf_log_POS_00292.9338960	0.86017
	nmndf_log_POS_00222.9882060	0.8601
	nmndf_log_POS_00230.0658560	0.85986
	nmndf_sqrt_POS_00191.0916860	0.85911
	nmndf_nrcp_POS_00342.2124860	0.85859
	nmndf_log_POS_00216.0978360	0.85764
	nmndf_log_NEG_00321.1414240	0.85742
	nmndf_log_POS_00171.0166460	0.85738
	nmndf_nrcp_POS_00243.1590760	0.85721
	nmndf_log_POS_00129.0658160	0.8571
	nmndf_nrcp_POS_00275.1464560	0.85639
	nmndf_log_POS_00241.1546760	0.85634
	nmndf_log_POS_00227.1026060	0.85606
	nmndf_log_POS_00764.4346360	0.85572
