,Bacteroidales_S24_7_grp_uncl,Lachnospiraceae_uncl,Lachnospiraceae_NK4A136_grp,Ruminococcaceae_uncl,Lactococcus,Romboutsia,Clostridiales_vadinBB60_grp_uncl,Akkermansia,Anaeroplasma,Oscillibacter,Acetatifactor,Ruminiclostridium_9,Enterobacteriaceae_uncl,Lactobacillus,Turicibacter,Lachnospiraceae_UCG_001,Clostridium_sensu_stricto_1,Clostridiales_uncl,Parabacteroides,Tyzzerella,Enterococcus,Peptostreptococcaceae_uncl,Ruminococcaceae_UCG_014,Bacteria_uncl,Parcubacteria_uncl,Lachnoclostridium,Lactobacillales_uncl,Epulopiscium,Clostridiaceae_1_uncl,Erysipelatoclostridium,Flavobacterium,Ruminiclostridium_5,Roseburia,Anaerotruncus,Eubacterium_coprostanoligenes_grp
0115.PG071.LB.MST,2.10031669037187,1.51856274736954,0.940980252641663,0.845162329744429,-3.24361118742822,-7.51135070204448,-0.316871785361176,-7.51135070204448,-4.34222347609633,-1.12334765122813,1.29968359484179,1.40077971171316,-7.51135070204448,-7.51135070204448,-7.51135070204448,-7.51135070204448,-7.51135070204448,-1.77727411863479,-7.51135070204448,-0.0795435990550104,-7.51135070204448,-7.51135070204448,-7.51135070204448,-3.24361118742822,-7.51135070204448,-1.046386610092,-7.51135070204448,-7.51135070204448,-7.51135070204448,-7.51135070204448,-7.51135070204448,-3.24361118742822,-7.51135070204448,-1.20672926016718,-7.51135070204448
0115.PG071.SB.MST,1.8371245883031,-1.4341259132611,-1.67379876652652,-4.4463874887663,0.960784282693819,-8.52154049300798,-8.52154049300798,-8.52154049300798,-8.52154049300798,-8.52154049300798,-2.24916291143008,-4.4463874887663,-8.52154049300798,-2.60056079826797,-8.52154049300798,-8.52154049300798,-8.52154049300798,-3.34777520009819,-8.52154049300798,-4.4463874887663,-5.54499977743441,-8.52154049300798,-8.52154049300798,-4.15870541631452,-4.85185259687446,-4.85185259687446,-5.54499977743441,-8.52154049300798,-8.52154049300798,-3.14710450463604,-5.54499977743441,-5.54499977743441,-8.52154049300798,-8.52154049300798,-8.52154049300798
0115.PG072.LB.MST,1.76742900718091,2.39701470625111,0.919153151605731,-0.630466265617459,-7.14871803348693,-7.14871803348693,2.9681707909254,-7.14871803348693,-7.14871803348693,-0.567945908636125,-1.66655819730423,-0.88639963975466,-7.14871803348693,-7.14871803348693,-7.14871803348693,-3.37130628954266,-7.14871803348693,-1.49950411264107,-7.14871803348693,-4.06445347010261,-7.14871803348693,-7.14871803348693,-4.06445347010261,-4.06445347010261,-7.14871803348693,-1.98501192842277,-7.14871803348693,-7.14871803348693,-7.14871803348693,-7.14871803348693,-7.14871803348693,-3.37130628954266,-2.4550155576685,-7.14871803348693,-7.14871803348693
0115.PG072.SB.MST,3.1819135167208,0.428606724030468,0.364068202892897,-3.15491221442564,-7.51812007770311,-7.51812007770311,-4.54120657554553,-7.51812007770311,-7.51812007770311,-2.23862148255149,-1.976257218084,-2.34398199820931,-7.51812007770311,-2.59529642649022,-7.51812007770311,-3.84805939498559,-7.51812007770311,-4.54120657554553,-7.51812007770311,-7.51812007770311,-7.51812007770311,-7.51812007770311,-7.51812007770311,-3.44259428687742,-7.51812007770311,-0.852327121431596,-7.51812007770311,-7.51812007770311,-7.51812007770311,-7.51812007770311,-7.51812007770311,-4.54120657554553,-3.15491221442564,-7.51812007770311,-7.51812007770311
0115.PG073.LB.MST,2.872763063154,1.11910011069262,1.77877136205617,-1.19590750229999,-7.40842811538306,-7.40842811538306,0.909242396090056,-7.40842811538306,-5.06710851320788,-0.818613271158519,-1.51176045171846,-1.09681659965576,-7.40842811538306,-2.98766697152804,-7.40842811538306,-1.13528288048355,-7.40842811538306,-2.58220186341988,-7.40842811538306,-7.40842811538306,-7.40842811538306,-7.40842811538306,-3.96849622453977,-3.45767060077378,-7.40842811538306,-0.908225429848207,-7.40842811538306,-7.40842811538306,-7.40842811538306,-7.40842811538306,-7.40842811538306,-3.27534904397982,-3.12119836415257,-5.06710851320788,-7.40842811538306
0115.PG074.LB.MST,2.12954822526796,2.09024637292034,1.68478126481218,-0.0105179382283144,-7.32689417494812,-7.32689417494812,1.87707404040591,-7.32689417494812,-7.32689417494812,0.665237499619762,-1.67306567597636,0.0721737776167992,-7.32689417494812,-7.32689417494812,-7.32689417494812,-0.100669035222612,-7.32689417494812,-0.70366511878826,-7.32689417494812,-7.32689417494812,-7.32689417494812,-7.32689417494812,-4.07096094877473,-3.37781376821479,-7.32689417494812,-2.46152303634063,-7.32689417494812,-7.32689417494812,-7.32689417494812,-7.32689417494812,-7.32689417494812,-7.32689417494812,-2.97234866010662,-7.32689417494812,-7.32689417494812
0115.PG074.SB.MST,2.49832338869441,1.17433718296354,0.636023975731989,-1.19758260343157,-7.86987861832987,-7.86987861832987,-3.7625319608931,-7.86987861832987,-4.86114424956121,-1.7701017962029,-1.60304771153973,-0.989943238653322,-7.86987861832987,-4.86114424956121,-7.86987861832987,-2.22208691994595,-7.86987861832987,-4.16799706900127,-7.86987861832987,-7.86987861832987,-7.86987861832987,-7.86987861832987,-3.7625319608931,-7.86987861832987,-7.86987861832987,-0.188315415099307,-7.86987861832987,-7.86987861832987,-7.86987861832987,-7.86987861832987,-7.86987861832987,-3.47484988844132,-2.66391967222499,-4.86114424956121,-7.86987861832987
0115.PG075.LB.MST,3.54220140785774,0.932609969585512,1.96686438927082,-0.835051948063482,-6.91364630178443,-6.91364630178443,1.79717941648138,-6.91364630178443,-6.91364630178443,-1.1715241846847,-3.18642720522696,-2.7809620971188,-6.91364630178443,-6.91364630178443,-6.91364630178443,-0.324226324297492,-6.91364630178443,-2.49328002466702,-6.91364630178443,-3.87957438578691,-6.91364630178443,-6.91364630178443,-2.27013647335281,-2.49328002466702,-6.91364630178443,-2.27013647335281,-6.91364630178443,-6.91364630178443,-6.91364630178443,-6.91364630178443,-6.91364630178443,-6.91364630178443,-6.91364630178443,-6.91364630178443,-6.91364630178443
0115.PG075.SB.MST,2.62384653815345,0.821314971943483,0.761817873078838,-1.91233077634769,-7.84430371109286,-7.84430371109286,-4.10955535368391,-7.84430371109286,-4.80270253424386,-2.31779588445586,-2.23775317678232,-1.75818009652043,-7.84430371109286,-2.85679238518854,-7.84430371109286,-4.10955535368391,-7.84430371109286,-2.85679238518854,-7.84430371109286,-7.84430371109286,-7.84430371109286,-7.84430371109286,-4.10955535368391,-4.80270253424386,-7.84430371109286,-0.06650408584936,-7.84430371109286,-7.84430371109286,-7.84430371109286,-7.84430371109286,-7.84430371109286,-4.80270253424386,-2.09465233314165,-4.80270253424386,-7.84430371109286
0115.PG076.LB.MST,2.64777858015501,1.48691443593359,1.51637646866391,-1.08470161288613,-7.35337509712517,-7.35337509712517,2.02784704569315,-7.35337509712517,-7.35337509712517,-1.58113849920003,-2.61075791638118,-2.14075428713545,-7.35337509712517,-2.83390146769539,-7.35337509712517,-0.212862643582812,-7.35337509712517,-1.65524647135375,-7.35337509712517,-3.12158354014717,-7.35337509712517,-7.35337509712517,-2.61075791638118,-2.42843635958723,-7.35337509712517,-0.723688267348803,-7.35337509712517,-7.35337509712517,-7.35337509712517,-3.52704864825534,-7.35337509712517,-7.35337509712517,-2.83390146769539,-4.22019582881528,-7.35337509712517
0115.PG076.SB.MST,2.21596226532185,1.11734997665374,1.06498199113642,-0.710777136745193,-7.90510543967717,-7.90510543967717,-4.16076468257678,-7.90510543967717,-7.90510543967717,-0.864927816572452,-7.90510543967717,-0.793468852590307,-7.90510543967717,-2.77447032145689,-7.90510543967717,-2.02069851908051,-7.90510543967717,-3.46761750201684,-7.90510543967717,-7.90510543967717,-4.85391186313673,-7.90510543967717,-2.65668728580051,-3.24447395070263,-7.90510543967717,0.525985490403734,-7.90510543967717,-7.90510543967717,-7.90510543967717,-7.90510543967717,-7.90510543967717,-1.71841764720758,-4.16076468257678,-4.85391186313673,-7.90510543967717
0115.PG077.LB.MST,2.28412280266251,2.1445612410114,1.75168931592806,0.375581800115162,-7.15431715965957,-7.15431715965957,2.28812280799586,-7.15431715965957,-7.15431715965957,0.465965861583431,-1.84904175140917,-0.709607468220807,-7.15431715965957,-7.15431715965957,-7.15431715965957,0.807715155305487,-7.15431715965957,-0.883960855365585,-7.15431715965957,-7.15431715965957,-7.15431715965957,-7.15431715965957,-2.8298710044209,-2.31904538065491,-7.15431715965957,-1.84904175140917,-7.15431715965957,-7.15431715965957,-7.15431715965957,-7.15431715965957,-7.15431715965957,-3.92848329308901,-1.84904175140917,-3.92848329308901,-7.15431715965957
0115.PG077.SB.MST,2.65871220265085,1.03651815887231,1.09873134337389,-1.32163678527654,-7.68751850056986,-7.68751850056986,-3.9606941148918,-7.68751850056986,-7.68751850056986,-1.4757874651038,-3.26754693433186,-1.09849323396233,-7.68751850056986,-2.45661671811553,-7.68751850056986,-4.65384129545175,-7.68751850056986,-2.3512562024577,-7.68751850056986,-7.68751850056986,-7.68751850056986,-7.68751850056986,-3.9606941148918,-4.65384129545175,-7.68751850056986,0.775504333502694,-7.68751850056986,-7.68751850056986,-7.68751850056986,-7.68751850056986,-7.68751850056986,-4.65384129545175,-1.82062795139553,-7.68751850056986,-7.68751850056986
0115.PG078.LB.MST,2.33364893843169,0.660382984463622,0.153338083537537,-1.25200447255305,-6.85181563546866,-6.85181563546866,3.72100882975362,-6.85181563546866,-6.85181563546866,-1.51436873702054,-6.85181563546866,-2.20751591758048,-6.85181563546866,-6.85181563546866,-6.85181563546866,-3.12380664945464,-6.85181563546866,-1.61972925267837,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-3.81695383001458,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-6.85181563546866,-3.81695383001458,-6.85181563546866
0115.PG078.SB.MST,1.93409133930879,0.805157856925721,1.59967671658226,-1.01240949625821,-8.01530362458877,-8.01530362458877,-4.25108794842259,-8.01530362458877,-4.94423512898253,-1.94850285542854,-2.11102178492632,-0.537515881718279,-8.01530362458877,-3.33479721654843,-8.01530362458877,-2.379285771521,-8.01530362458877,-3.33479721654843,-8.01530362458877,-8.01530362458877,-8.01530362458877,-8.01530362458877,-2.64165003598849,-4.25108794842259,-8.01530362458877,0.0393714927258042,-8.01530362458877,-8.01530362458877,-8.01530362458877,-8.01530362458877,-8.01530362458877,-4.94423512898253,-2.99832497992722,-8.01530362458877,-8.01530362458877
