SampleID	ProportionKept
0000.3307.20240111.negext7.D	0.997699546880446
0000.3309.20240116.negext8.D	0.992324505667666
0000.3361.20240111.negext7.D	0.995834088027531
0000.3362.20240116.negext8.D	0.995063652896856
0262.CONTROLAIR.20240910.DOD.CS	0.235939404492426
0262.CONTROLAIR1.20240905.DOD.CS	0.440463208184037
0262.CONTROLAIR2.20240905.DOD.CS	0.576794342321915
0262.HCF001.20230717.DOD.CS	0.306771417882529
0262.HCF001.20230717.DOD.CS.2	0.309888506825049
0262.HCF001.20230717.DOD.CS.3	0.317865550614701
0262.HCF001.20230720.DOD.CS	0.997241379310345
0262.HCF001.20230817.DOD.CS	0.994291151284491
0262.HCF001.20230824.DOD.CS	0.967265725288832
0262.HCF001.20231116.DOD.CS	0.834698210494389
0262.HCF001.20240826.DOD.CS	0.980509745127436
0262.HCF001.20240903.DOD.CS	0.8336
0262.HCF002.20230717.DOD.CS	0.202487504358945
0262.HCF002.20230717.DOD.CS.2	0.256261227940399
0262.HCF002.20230717.DOD.CS.3	0.276931883228392
0262.HCF002.20230817.DOD.CS	0.994879817949083
0262.HCF002.20230824.DOD.CS	0.998052038402672
0262.HCF002.20231116.DOD.CS	0.882562277580071
0262.HCF002.20240827.DOD.CS	0.992047713717694
0262.HCF002.20240903.DOD.CS	0.992355296687295
0262.HCF003.20230717.DOD.CS	0.153123988345743
0262.HCF003.20230717.DOD.CS.2	0.370938029621988
0262.HCF003.20230717.DOD.CS.3	0.380865603644647
0262.HCF003.20230817.DOD.CS	0.998641639911089
0262.HCF003.20230824.DOD.CS	0.994468085106383
0262.HCF003.20231116.DOD.CS	0.994439566871525
0262.HCF003.20240829.DOD.CS	0.994986770644757
0262.HCF004.20230717.DOD.CS	0.995744680851064
0262.HCF004.20230717.DOD.CS.2	0.994357872111768
0262.HCF004.20230817.DOD.CS	0.998506406729031
0262.HCF004.20230824.DOD.CS	0.753156565656566
0262.HCF004.20240828.DOD.CS	0.974812797821647
0262.HCF004.20240905.DOD.CS	0.740259243681413
0262.HCF005.20230717.DOD.CS	0.867088607594937
0262.HCF005.20230717.DOD.CS.2	0.874579777605379
0262.HCF005.20230720.DOD.CS	0.993652625504905
0262.HCF005.20230817.DOD.CS	0.996074032529445
0262.HCF005.20230824.DOD.CS	0.879991808314561
0262.HCF005.20231116.DOD.CS	0.997931890252309
0262.HCF005.20240827.DOD.CS	0.793282999218953
0262.HCF005.20240905.DOD.CS	0.995872544163777
0262.HCF006.20230717.DOD.CS	0.96275422690517
0262.HCF006.20230717.DOD.CS.2	0.965004793863854
0262.HCF006.20230720.DOD.CS	0.981248980922876
0262.HCF006.20230817.DOD.CS	0.995871309495988
0262.HCF006.20230824.DOD.CS	0.990853658536585
0262.HCF006.20240829.DOD.CS	0.967852257181943
0262.HCF006.20240904.DOD.CS	0.974152986377925
0262.HCF007.20230717.DOD.CS	1
