Exp_all	type 	sex	species	region	StationID	regionWithStation	Fathoms
80_012_LEM_RS_M_L	LEM	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_012_SCR_RS_M_L	SCR	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_012_SKM_RS_M_L	SKM	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_013_SCR_RS_F_N	SCR	F	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_016_SCR_RS_F_N	SCR	F	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_017_SCR_RS_F_N	SCR	F	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_018_SCR_RS_M_N	SCR	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_019_SCR_RS_F_N	SCR	F	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_020_SCR_RS_M_N	SCR	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_021_SCR_RS_M_N	SCR	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_022_SCR_RS_F_N	SCR	F	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_023_SCR_RS_F_N	SCR	F	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_024_SCR_RS_M_N	SCR	M	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
80_025_SCR_RS_F_N	SCR	F	red_snapper	East_Louisiana	offshore	East_Louisiana_offshore	NA
81_020_LEM_TF_F_L	LEM	F	tilefish	East_Louisiana	offshore	East_Louisiana_offshore	NA
81_020_SCR_TF_F_L	SCR	F	tilefish	East_Louisiana	offshore	East_Louisiana_offshore	NA
81_020_SKM_TF_F_L	SKM	F	tilefish	East_Louisiana	offshore	East_Louisiana_offshore	NA
81_104_LEM_TF_U_L	LEM	U	tilefish	East_Louisiana	offshore	East_Louisiana_offshore	NA
81_104_SCR_TF_U_L	SCR	U	tilefish	East_Louisiana	offshore	East_Louisiana_offshore	NA
81_104_SKM_TF_U_L	SKM	U	tilefish	East_Louisiana	offshore	East_Louisiana_offshore	NA
BB_015_LEM_RD_U_L	LEM	U	red_drum	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
BB_015_SKM_RD_U_L	SKM	U	red_drum	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
BB_017_LEM_RD_F_L	LEM	F	red_drum	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
BB_017_SKM_RD_F_L	SKM	F	red_drum	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
GT_009_LEM_CJ_F_L	LEM	F	crevalle_jack	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
GT_009_SKM_CJ_F_L	SKM	F	crevalle_jack	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
GT_014_LEM_RD_F_L	LEM	F	red_drum	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
GT_014_SKM_RD_F_L	SKM	F	red_drum	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
MG_014_LEM_RD_M_L_dorsal_caudal	LEM	M	red_drum	Birds_foot	onshore	Birds_foot_onshore	NA
MG_014_LEM_RD_M_L_ventral_caudal	LEM	M	red_drum	Birds_foot	onshore	Birds_foot_onshore	NA
MG_014_SKM_RD_M_L_caudal	SKM	M	red_drum	Birds_foot	onshore	Birds_foot_onshore	NA
QB_017_LEM_SST_F_L	LEM	F	spotted_seatrout	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
QB_017_SKM_SST_F_L	SKM	F	spotted_seatrout	Barataria_Bay	onshore	Barataria_Bay_onshore	NA
SEP_009_LEM_RD_U_L	LEM	U	red_drum	Birds_foot	onshore	Birds_foot_onshore	NA
SEP_009_SKM_RD_U_L	SKM	U	red_drum	Birds_foot	onshore	Birds_foot_onshore	NA
WT_017_LEM_RD_F_L	LEM	F	red_drum	Terrebonne	onshore	Terrebonne_onshore	NA
WT_017_SKM_RD_F_L	SKM	F	red_drum	Terrebonne	onshore	Terrebonne_onshore	NA
