sample_id	total	1.-.-.-	1.-.-.- ;1.1.1.- ;1.1.1.290	1.-.-.- ;1.1.1.100	1.-.-.- ;1.1.1.125	1.-.-.- ;1.1.1.131	1.-.-.- ;1.1.1.18	1.-.-.- ;1.1.1.274
0159_AP39_21147_20180112_ST	1089283	4694	0	0	0	0	0	0
0159_AP39_21150_20180111_ST	8479	28	0	0	0	0	0	0
0159_AP39_21151_20180131_ST	287310	810	0	0	0	0	0	0
0159_AP39_21154_20171212_ST	73906	304	0	0	0	0	0	0
0159_AP39_21156_20180210_ST	879111	2659	0	0	0	0	0	0
0159_AP39_21157_20171211_ST	1896	4	0	0	0	0	0	0
0159_AP39_21159_20171202_ST	108572	348	0	0	0	0	0	0
0159_AP39_21164_20171206_ST	2072	5	0	0	0	0	0	0
0159_AP39_21167_20171214_ST	459506	2609	0	0	0	0	0	0
0159_AP39_21169_20180220_ST	25819	73	0	0	0	0	0	0
0159_AP39_21170_20180412_ST	33721	95	0	0	0	0	0	0
0159_AP39_21172_20180201_ST	153377	448	0	0	0	0	0	0
0159_AP39_21174_20171212_ST	1525376	3186	0	0	0	0	0	0
0159_AP39_21175_20180310_ST	23195	100	0	0	0	0	0	0
0159_AP39_21177_20180111_ST	5299	53	0	0	0	0	0	0
0159_AP39_21181_20180215_ST	127274	408	0	0	0	0	0	0
0159_AP39_21182_20171209_ST	23275	100	0	0	0	0	0	0
0159_AP39_21185_20180121_ST	15950	53	0	0	0	0	0	0
0159_AP39_21186_20180211_ST	36469	94	0	0	0	0	0	0
0159_AP39_21191_20180122_ST	61800	168	0	0	0	0	0	0
0159_AP39_21192_20171215_ST	188979	579	0	0	0	0	0	0
0159_AP39_21196_20171219_ST	11904	41	0	0	0	0	0	0
0159_AP39_21197_20180825_ST	46993	117	0	0	0	0	0	0
0159_AP39_21198_20180807_ST	547814	1530	0	0	0	0	0	0
0159_AP39_21199_20180410_ST	88306	260	0	0	0	0	0	0
0159_AP39_21200_20180318_ST	24010	79	0	0	0	0	0	0
0159_AP39_21202_20180226_ST	345971	1349	0	0	0	0	0	0
0159_AP39_21206_20180411_ST	47991	197	0	0	0	0	0	0
0159_AP39_21207_20180418_ST	21270	61	0	0	0	0	0	0
0159_AP39_21210_20180228_ST	747550	1817	0	0	0	0	0	0
0159_AP39_21211_20171227_ST	349905	977	0	0	0	0	0	0
0159_AP39_21213_20180420_ST_E21	1455717	3510	0	0	0	0	0	0
0159_AP39_21215_20180801_ST_E21	1605876	6447	0	0	0	0	0	0
0159_AP39_21216_20180227_ST_E21	1174385	3365	0	0	0	0	0	0
0159_AP39_21218_20180614_ST_E21	1951885	6902	0	0	0	0	0	0
0159_AP39_21219_20180306_ST_E21	927253	3082	0	0	0	0	0	0
0159_AP39_21220_20180215_ST_E21	1951860	5653	0	0	0	0	0	0
0159_AP39_21221_20180301_ST_E21	1317325	6743	0	0	0	0	0	0
0159_AP39_21222_20180322_ST_E21	1052237	3276	0	0	0	0	0	0
0159_AP39_21224_20180730_ST_E21	1202913	3838	0	0	0	0	0	0
0159_AP39_21225_20170910_ST_E21	2091184	7290	0	0	0	0	0	0
0159_AP39_21231_20180727_ST_E21	2044188	5753	0	0	0	0	0	0
0159_AP39_21232_20180924_ST	15306	46	0	0	0	0	0	0
0159_AP39_21246_20181017_ST_E21	2119768	9335	0	0	0	0	0	0
0159_AP39_21248_20181016_ST_E21	1847582	6959	0	0	0	0	0	0
0159_AP39_21260_20180615_ST_E21	1782787	6412	0	0	0	0	0	0
0159_AP39_21261_20180629_ST_E21	1338509	4755	0	0	0	0	0	0
0159_AP39_21262_20120515_ST_E21	1270248	4933	0	0	0	0	0	0
0159_AP39_21264_20180816_ST_E21	1107657	3185	0	0	0	0	0	0
0159_AP39_21276_20190316_ST	16850	42	0	0	0	0	0	0
0159_AP39_21277_20180817_ST_E21	2400346	10564	0	0	0	0	0	0
0159_AP39_21278_20180823_ST_E21	2031626	7122	0	0	0	0	0	0
0159_AP39_21282_20180907_ST_E21	2295220	9039	0	0	0	0	0	0
0159_AP39_21284_20190102_ST_E21	1710134	3870	0	0	0	0	0	0
0159_AP39_21287_20181015_ST_E21	1458684	4533	0	0	0	0	0	0
0159_AP39_21289_20190125_ST_E21	1642858	4079	0	0	0	0	0	0
0159_AP39_21290_20181113_ST_E21	1267404	3392	0	0	0	0	0	0
0159_AP39_21294_20181026_ST_E21	1892373	6160	0	0	0	0	0	0
0159_AP39_21295_20180811_ST_E21	2321105	7792	0	0	0	0	0	0
0159_AP39_21298_20181004_ST_E21	2313573	7885	0	0	0	0	0	0
0159_AP39_21301_20180706_ST_E21	2198116	7187	0	0	0	0	0	0
0159_AP39_21302_20181004_ST_E21	2169672	7622	0	0	0	0	0	0
0159_AP39_21303_20180522_ST_E21	1433394	4271	0	0	0	0	0	0
0159_AP39_21307_20180730_ST_E21	1184887	2994	0	0	0	0	0	0
0159_AP39_21308_20180925_ST_E21	1310935	4213	0	0	0	0	0	0
0159_AP39_21310_20180719_ST_E21	1869222	5441	0	0	0	0	0	0
0159_AP39_21311_20180613_ST_E21	2234928	6520	0	0	0	0	0	0
0159_AP39_21314_20180719_ST_E21	2336454	7960	0	0	0	0	0	0
0159_AP39_21316_20180604_ST_E21	1604397	4400	0	0	0	0	0	0
0159_AP39_21317_20180801_ST_E21	2265241	7182	0	0	0	0	0	0
0159_AP39_21318_20180613_ST_E21	1409688	4663	0	0	0	0	0	0
0159_AP39_21321_20180731_ST_E21	1344733	5751	0	0	0	0	0	0
0159_AP39_21323_20180726_ST_E21	1750214	4709	0	0	0	0	0	0
0159_AP39_21325_20180920_ST_E21	1421294	3825	0	0	0	0	0	0
0159_AP39_21330_20190102_ST_E21	2314896	9201	0	0	0	0	0	0
0159_AP39_21331_20190102_ST_E21	2190446	7610	0	0	0	0	0	0
0159_AP39_21333_20181113_ST_E21	2135116	6043	0	0	0	0	0	0
0159_AP39_21334_20181120_ST_E21	1476599	4489	0	0	0	0	0	0
0159_AP39_21336_20181130_ST_E21	1347262	3615	0	0	0	0	0	0
0159_AP39_21337_20181107_ST_E21	1436543	4309	0	0	0	0	0	0
