mouse_id	liver.ENSMUSG00000021492	liver.ENSMUSG00000026621	liver.ENSMUSG00000031010	liver.ENSMUSG00000039197	liver.ENSMUSG00000069805	liver.ENSMUSG00000024892	liver.ENSMUSG00000025347	liver.ENSMUSG00000023224	liver.ENSMUSG00000037942	liver.ENSMUSG00000028179	liver.ENSMUSG00000073988	liver.ENSMUSG00000063856	liver.ENSMUSG00000026664	liver.ENSMUSG00000030382	liver.ENSMUSG00000092746	liver.ENSMUSG00000026874	liver.ENSMUSG00000092702	liver.ENSMUSG00000017344	liver.ENSMUSG00000028307	liver.ENSMUSG00000056035	liver.ENSMUSG00000099021	liver.ENSMUSG00000099250
m29	-7.23974962312126	-7.17349460814441	-7.13259058526342	-7.05958196065217	-7.16922985961534	-6.84106957871353	-6.89334059508692	-6.85400283919738	-6.93067252730711	-7.00409139984876	-6.72888887219494	-6.52201050610768	-6.3910476378873	-6.16010953471642	-5.92792328437385	-6.26673374748919	-5.75426381943381	-5.45954635148802	-5.2259185741426	-4.58410376557271	-3.15766253337452	-2.85890631981748
m03	-7.26017897610832	-7.23786898059656	-7.04541108633291	-7.18440797539092	-7.30566049883606	-6.88392745743159	-6.84262855183943	-6.93506310451153	-6.52348974909426	-7.2357776027429	-6.60226868850269	-6.51251398135085	-6.55887250142513	-6.31517316698834	-5.55762747853255	-6.04858604049937	-5.3261972907372	-5.4171296171918	-5.41893036404042	-4.58068639921945	-3.07308632927044	-2.69213617548441
m30	-7.17093477203719	-7.17074082323906	-7.03326108800734	-7.03308481560705	-7.11529171389619	-6.86344721982848	-6.72650760770111	-6.96672602567515	-6.55012158841879	-6.53501446681618	-6.77231422880598	-6.44840111511283	-6.36669731918725	-6.16493046926672	-6.11289565110297	-6.09105311054278	-5.97469648645119	-5.47499801169696	-5.20883538998139	-4.30406284948851	-3.38426148087322	-3.06093650791214
m31	-7.05671286416073	-7.00144645994062	-6.99023176254966	-6.85077701453982	-6.61743244220547	-6.39049991005051	-6.50175067031541	-6.16342744351082	-6.33740542688959	-6.42999536889808	-6.4445413500787	-6.23343982162906	-6.18713421324803	-6.22610524307332	-6.66756776508327	-5.37967909839356	-6.472949635184	-4.8761337292545	-5.01252444745652	-4.38576268926339	-3.83532044970965	-3.48606951112758
m32	-7.14238992364938	-7.23657074917769	-7.03819404693123	-7.01280186030295	-6.75318675049513	-6.76187480044794	-6.68769523804309	-6.53038225951937	-6.85021094733861	-6.66646278792253	-6.81726947512042	-6.50516385307939	-6.1346152416005	-6.24531129218147	-5.65418211376613	-5.9434067399361	-5.41470484911794	-5.33108384601256	-5.29609116310482	-4.06951125725315	-3.05009976331686	-2.77038758629223
m33	-7.24926300365995	-7.01921618635793	-6.92085649462985	-6.86986231108667	-6.84679765439341	-6.63357310899484	-6.84290230817856	-6.66125449953916	-6.62893676339619	-6.26853935487249	-6.50313245933579	-6.28655838406026	-6.07044851438734	-6.07423594937993	-6.67954279902681	-5.78714102899071	-6.42428741955887	-5.34809240554876	-4.99468234566265	-4.04013707858442	-3.89020418330424	-3.60999657617361
m34	-7.22702654981489	-7.21913554760624	-7.0326112116753	-7.09890225915687	-7.10985987659912	-6.75338353030542	-6.96054346983291	-6.83970609957762	-6.80747317636855	-6.62833655322295	-6.65269372516009	-6.48967807408359	-6.23731536022308	-6.24123120033259	-6.05699140723758	-6.0055414808161	-5.82190923294108	-5.4963817096056	-5.30922525411936	-4.09296089994821	-3.47307763995795	-3.13592131810835
m35	-7.24005407708058	-7.070014088192	-7.11001680771756	-7.00661352141243	-6.94944428441743	-6.68696208290459	-6.74154046518992	-6.51968304921683	-6.56140499231279	-6.45786431337195	-6.66780619908337	-6.42742130964233	-6.23659068649144	-6.16478549298677	-6.01604748842193	-5.67553700972962	-5.69279098272168	-5.14882099529512	-5.24314182669051	-4.39633546716197	-3.38822211754293	-2.95678008028942
m36	-7.21915081217867	-7.07434242148702	-6.9755977028858	-6.73147740821664	-6.9263278189541	-6.4756006260931	-6.62030667455833	-6.52303529806551	-6.57429010056522	-6.77816225610123	-6.39150270682602	-6.3128706399809	-6.20693944956606	-5.9701785108147	-6.26064764219726	-5.69396102493968	-5.87597772422071	-5.36739219963425	-4.98013798657919	-4.33258287191633	-3.61244765956352	-3.31172231260772
m37	-7.11347896272293	-7.06734346409762	-6.99397317530044	-6.86634082901989	-6.33349515874198	-6.61771060581324	-6.43503820194395	-6.42575212342997	-6.70745016364953	-5.90960177229344	-6.90750034962083	-6.55444120037335	-6.22032656177927	-6.3139972613376	-5.91476577015841	-5.60216318464114	-5.56103637570615	-5.06311121552461	-5.16145175381668	-4.0768348671028	-3.2353508188761	-2.99254754078196
m38	-7.22213791883553	-7.20559062204884	-7.1996018247505	-6.93714882154864	-6.78756043297214	-6.74370848882504	-6.63565307259495	-6.66305552282773	-6.73431917234006	-6.88222172139013	-6.63280754221964	-6.44855969091814	-6.31412135292869	-6.10573143239786	-5.62800277021297	-5.88371482477117	-5.38797802784046	-5.46465858840057	-5.19818704060385	-4.46779158505676	-2.93302084556211	-2.58091270096578
m39	-7.24520057503979	-7.11088660770467	-7.10500251880037	-6.72098453908837	-6.9351780609767	-6.73497161000272	-6.73987768661367	-6.88069278337327	-6.60928198498959	-6.60780930813373	-6.4671361246316	-6.36975669135989	-6.14097066535963	-6.07449184654766	-6.30918004375443	-6.17666118833106	-5.92126341305109	-5.60413761742745	-4.95571411782421	-4.28678955878774	-3.44315752440894	-3.24762857927945
m04	-7.33922458237582	-7.2454290779367	-7.19416078164549	-7.03142207646118	-7.13097081189408	-6.93971623227475	-6.80275455611989	-7.00083477298015	-6.94876784858158	-6.56616202113696	-6.79278336705269	-6.71682083450355	-6.43675700139809	-6.19966172795742	-5.58523674334382	-6.28304069036197	-5.31259594423405	-5.50996280827592	-5.27287834197037	-4.4209665089601	-2.98333043403851	-2.64210696681725
m40	-7.10922512492422	-7.14223094354207	-7.12357465170771	-7.00595293996723	-7.01278286342443	-6.74467101494102	-6.67394893672887	-6.63819852318729	-6.76182768732804	-7.06031630160306	-6.73023777469636	-6.47302696920057	-6.51985741552775	-6.05720179367422	-6.39146938570184	-5.61180724928925	-6.2471673208617	-5.20127401260632	-5.36790367023959	-4.50369780961785	-3.22964644150346	-2.9587970083203
m41	-7.05213200658851	-7.17788930804395	-7.06762014694606	-7.08631657522688	-7.03048446624928	-6.82941058421751	-6.81660742610893	-6.72069671815855	-6.82230509433746	-6.32604374587876	-6.81846179677259	-6.41454462866578	-6.34675039872834	-6.20483407921085	-5.67962336266265	-6.11665942561458	-5.45690501073998	-5.34235905259106	-5.29546060069663	-4.70668521311619	-3.0617151398679	-2.67466737203518
m42	-7.16969769810901	-7.26700362259153	-6.9592047639081	-7.17387005431836	-7.17483522204149	-6.94298936557861	-6.86634515275729	-6.92715823454224	-6.71073445233166	-6.47571013092178	-6.96963863682133	-6.48778311703063	-6.39534438558386	-6.32659516712144	-6.28890963998616	-6.16815607786341	-6.0851037793588	-5.35002647644713	-5.2854271499442	-4.60772726772641	-3.39685051588137	-3.10224756763897
m43	-7.17103814581436	-7.13938054120542	-7.10605388776729	-7.05268570082102	-7.03043312699038	-6.86426615704496	-6.77287000839605	-6.97208677950591	-6.88277829277751	-6.58309514017846	-6.70489914621415	-6.39771682664571	-6.2942553159813	-6.07081894708871	-5.77247197051917	-6.15545209332612	-5.59907673973003	-5.44546472741731	-5.22000066175998	-4.30521111467067	-3.1653153062831	-2.78750282216337
m44	-7.20669399808505	-7.24781989732251	-7.12798151842872	-7.0679045671993	-7.06335296272656	-6.7588717546767	-6.7210790967009	-6.82194258649869	-6.67364559750529	-7.29392129910004	-6.61521983922231	-6.48995537806507	-6.4810370564232	-6.27798377930489	-5.9223033638458	-5.97865001336437	-5.64990158626416	-5.43382446165623	-5.33474696859452	-4.475977453692	-3.04506958664433	-2.95282876237629
m45	-7.230334886307	-7.36075770734471	-7.03792164732307	-7.13910670586104	-7.17970713737649	-6.81920363429645	-6.8718705638973	-6.89917879708738	-6.86525830717532	-7.40842173374016	-6.78637228428815	-6.55529645091458	-6.51735405163242	-6.37399468860136	-5.87634669649714	-6.10559778242283	-5.56571975360148	-5.47260594948459	-5.38820978796892	-4.36248675942023	-3.21037778208091	-2.96571828517927
m46	-7.19699825350325	-7.09311037474082	-6.86183895746558	-7.04850068215469	-6.93974446794316	-7.01998648528116	-6.78186342372247	-6.81099840341866	-6.48394553227988	-6.37522319100865	-6.71763050655161	-6.76687634878223	-6.48394553227988	-6.23360137083236	-7.01125518151228	-5.83391136197677	-6.86789614625339	-5.28107132356295	-5.30049238535166	-3.93387826111692	-4.08979629659882	-3.70410237222422
m47	-7.32086323945295	-7.12197636600316	-6.96127775188883	-7.16567527347293	-6.98614308387565	-7.05403160783251	-6.8161833769097	-6.92693045687441	-6.76942080632952	-6.50230838411968	-6.75291723028708	-6.60303420582041	-6.49308570798117	-6.43317911559877	-7.02399551954378	-5.90208266621714	-6.77884503587258	-5.28716778976943	-5.33389454992723	-4.07585743916732	-4.16263210706212	-3.80577364472667
m48	-7.38092194897404	-7.14999874527201	-7.08526310980478	-7.02453590950089	-7.10678470950633	-6.98128671842674	-6.82942412258433	-7.09594477249713	-6.83796589276632	-6.42439054054396	-6.65065277404192	-6.57293232394878	-6.5811686396387	-6.14814992121457	-6.77571938367628	-6.1447876316923	-6.47702714817195	-5.48567061810378	-5.14874830029962	-4.34626663394188	-3.9633276423581	-3.63031616483987
m49	-7.20394619367572	-7.20715548669973	-7.10375835530957	-7.00006102112703	-6.9234362506002	-6.79609475110647	-6.71377253325135	-6.8755535622066	-6.68515842343169	-6.60355322448246	-6.73570438198378	-6.46228595237396	-6.20075933444699	-6.24198211223972	-5.83186377990805	-6.11988682322759	-5.60443617571608	-5.43264645265356	-5.17123050195894	-4.19400748579518	-3.28160938788811	-2.81975658033918
m05	-7.25320911756061	-7.27692063569391	-7.04598264768887	-7.29131070044368	-7.34788449308238	-6.79323911125135	-6.90267948194709	-6.93208396538773	-6.94645860035709	-7.56121984777679	-6.84123629760659	-6.58666250398728	-6.44922943316251	-6.44699041739365	-5.42409627948442	-6.08883449069619	-5.19380762067943	-5.4380980417994	-5.43699192749489	-4.29289749346993	-2.8953732691614	-2.62109626434971
m50	-7.309414536518	-7.2857876331696	-6.97517809792413	-7.12319255032121	-7.15042827633676	-6.85347485989146	-6.84130925972777	-6.98643189147683	-6.83042838270568	-7.48005288442498	-6.65235927143634	-6.65579708236826	-6.39520412793615	-6.39035071528177	-7.3123508893625	-6.07782656515909	-7.19403344324255	-5.49719155107415	-5.219624427598	-4.16752339334123	-4.1512019884662	-3.93184071640298
m51	-7.23792215684408	-7.27277698617299	-6.92718388649989	-6.84679393707774	-6.62349603988911	-6.41834321075638	-6.83116383034413	-6.42412882345051	-6.30476899367723	-6.48512248748008	-6.35172108286546	-6.31264399680339	-6.2269234734283	-6.34471683319282	-6.15213515824559	-5.54930969150528	-5.98814793668628	-5.21294596444507	-5.1109218115768	-4.34652157108681	-3.4373567019755	-3.16879282034363
m52	-7.14904801524784	-7.10895464729879	-7.00928983253646	-6.88861076185357	-6.72531994193872	-6.49088674248284	-6.69995451085722	-6.2459645961505	-6.38679710767329	-6.34388999463493	-6.5987042188804	-6.29020039138211	-6.28227115160866	-6.21497339660921	-6.5022547695737	-5.43388544293815	-6.36833266448106	-4.93935563901643	-5.19151765537336	-4.44010976313747	-3.68390870885146	-3.33028025613436
m53	-7.21002141144319	-7.18513656114784	-6.9280422232087	-6.87514812717481	-6.84598295561028	-6.69545691251445	-6.73597523333563	-6.88951810183179	-6.60400198416042	-6.34857966261486	-6.41751768972317	-6.32778789550742	-6.05271107618551	-6.14140840917895	-5.75738424558605	-6.12620514888383	-5.6214009362741	-5.5050222620548	-5.14543566404268	-4.19779421162201	-3.20052379194888	-2.6971014119017
m54	-7.2246695651263	-7.09406908665741	-7.06690485895848	-6.97718865251667	-6.8279587313668	-6.60491269034225	-6.51845343769206	-6.46367802550654	-6.54983204048832	-6.23869427087517	-6.46751954876042	-6.21309059650558	-6.13483866009406	-6.0391867582994	-6.05083954863813	-5.69586052724692	-5.85852019740981	-5.23001470292713	-5.18495815911637	-4.11013783198235	-3.3323326399846	-2.97880159349843
m55	-7.27583179589766	-7.12863405025441	-7.09600188277727	-6.84655570830135	-6.74393905573129	-6.71146740408227	-6.50298586584745	-6.53134703681896	-6.55158326906615	-6.26080896299847	-6.42740184173891	-6.32370022485501	-6.12544130301519	-6.1078686699217	-5.92326162903833	-5.76559691104954	-5.68548753902699	-5.28342082544097	-5.08191179633937	-4.13900334493574	-3.20871215198427	-2.90222643180376
m56	-7.20851292747631	-7.10246032237291	-7.04675585000832	-7.06130961476144	-6.97058050039567	-6.76669995622134	-6.67718444758984	-6.84788568232988	-6.63562692679344	-6.57317607470636	-6.62774592991848	-6.38604920371814	-6.35718789803298	-6.16570795315317	-6.34278050190877	-5.87585642813924	-6.16503825711971	-5.30723375577044	-5.16156775726532	-3.99911260047244	-3.46357784563973	-3.15142913395816
m57	-7.14120311063092	-7.10756358579283	-6.90529358370732	-6.933761070951	-6.90773204288122	-6.57172494959068	-6.63632716790635	-6.79774941741855	-6.51881496748285	-6.23820048139841	-6.30197150854455	-5.99378084730979	-5.97920463288458	-5.95210439052897	-6.5265965544845	-5.85134833860749	-6.26642870182818	-5.33758413624116	-5.17906407438646	-4.01329605489385	-3.73575328526066	-3.37300005210647
m58	-7.1787173214415	-7.08107335568851	-6.66490418836249	-6.75919102477168	-6.47912126033321	-6.67419809963816	-6.53812365527424	-6.5205316948988	-6.4845957265603	-5.88904123312054	-6.43485461750743	-6.46895851188369	-6.19272417173895	-6.3192048515018	-6.67567555599201	-5.60868687023218	-6.50335164157294	-5.21884308723003	-4.96974517875533	-3.83283442293843	-4.093979918729	-3.42666532764711
m59	-7.21436468459542	-7.04039383643657	-6.980012220302	-6.84572870021966	-6.75982407862776	-6.59211923472254	-6.73267118150459	-6.74052189205677	-6.66039211639759	-6.35562774390015	-6.52131851243609	-6.25739364219906	-5.99337368733508	-6.04995629102288	-6.52761147953584	-5.78799471746014	-6.21608230454945	-5.37810272993321	-5.12087342518742	-4.01441181834541	-3.84735018488467	-3.45713897026502
m06	-7.2793516630323	-7.31049756262034	-7.09393228790681	-7.20612393740443	-7.23306268607392	-6.86613535415673	-6.94927419414127	-6.94199380660388	-6.95312082998003	-7.62834053210015	-6.87058995889589	-6.64177301199335	-6.4488310956699	-6.51197653671268	-5.58375239739453	-6.14669713714774	-5.47038735833778	-5.47306871775866	-5.36578145872493	-4.41213995427113	-2.78434075495028	-2.81769479201804
m60	-7.06485130033341	-7.28769155771357	-6.85898895415906	-6.81433190315028	-6.78378471424997	-6.50897380034003	-6.71729243542209	-6.1432741003023	-6.15683276286196	-6.32105762753093	-6.42249673453678	-6.27601084712829	-6.09830875114632	-6.10528059921512	-6.21235935858214	-5.08445557608845	-5.81600761854097	-4.94483814607336	-5.206187285776	-4.11878549119368	-3.55186887350841	-3.21881900391659
m61	-7.24473621035715	-7.19168577158029	-7.0356563977691	-6.8645327108378	-7.11035714454463	-6.88209849256365	-6.81578672431007	-6.98047094950016	-6.66316161261545	-6.64066152878547	-6.52628828437367	-6.55813372710223	-6.31383600824087	-6.09452625168223	-5.84015736713639	-6.1442468965247	-5.53297904557844	-5.49553181759128	-5.19228384443812	-4.18237575859379	-3.08788001078511	-2.83372227379893
m62	-7.17957012163723	-7.21507965009019	-6.98730640251534	-7.00101405929821	-6.88732160747836	-6.8556810718736	-6.71114902782506	-6.78704821592805	-6.75170258494648	-6.421808305134	-6.59430096258838	-6.26625387279908	-6.27086683516557	-6.14336667304159	-6.16303137224052	-5.95525868774738	-5.89144703020302	-5.32280328248855	-5.14847146851143	-4.09338012616217	-3.34675879713257	-3.06646228563656
m63	-7.17910158638664	-7.2792631404064	-6.93586536280267	-7.13845505889911	-7.03970496561979	-6.94594219539045	-6.75797408515679	-6.79363549390078	-6.78297291686458	-6.70791853621134	-6.65012338154561	-6.22850891711334	-6.37206962337816	-6.19416398989658	-6.56964281128076	-5.81842813547929	-6.3047676710756	-5.31954938070688	-5.22481513376913	-4.16268360018263	-3.73503725890327	-3.38054712063615
m64	-7.25386156724393	-7.13305016222698	-7.10593592571065	-7.08703073579968	-7.31867237840393	-6.91098410191061	-6.79412402106276	-6.9383884396539	-6.5724360323741	-7.33348871483094	-6.6423567225866	-6.6124039163641	-6.54278414247041	-6.28412333805094	-6.20935526067776	-6.01807068787246	-6.00819686411371	-5.46145241943795	-5.36785326592735	-4.3189672997929	-3.28355187245226	-3.05739878445364
m65	-7.21699791174117	-7.12234136163661	-7.08633459110248	-6.99549111670907	-7.08705559027728	-6.70742854878142	-6.74123941900302	-6.83535439895643	-6.5581739004503	-7.3426898142706	-6.50272419203445	-6.43118714956386	-6.39075823059372	-6.12307709872731	-6.30165398955887	-5.98771824357276	-6.24828228842845	-5.39077676580619	-5.28527661181142	-4.42008977274991	-3.34080517469814	-3.12941259180301
m66	-7.19644619872007	-7.35157799557931	-7.06364346298241	-7.13039125935057	-6.97467937986654	-6.77440695800848	-6.77223575811086	-6.87457049824882	-6.90469105353507	-7.21433965271417	-6.77669180287148	-6.51694099773116	-6.3052799286986	-6.22215396955336	-5.89298944070051	-6.03967081091992	-5.68663211384363	-5.42211627356067	-5.31930992987201	-4.26546886153212	-3.0966467011358	-2.90196258221518
m67	-7.1707823611082	-7.29468908067861	-6.94621767643612	-6.97644003534915	-6.9473883807488	-6.78603374157082	-6.71931972441533	-6.75678408957024	-6.63524795455512	-6.44107418490523	-6.57931922147677	-6.25391714971179	-6.17326984643712	-6.13332742360859	-6.55278389808452	-5.91670481374598	-6.29791387071309	-5.32251607832184	-5.13655589015418	-4.12016983253536	-3.63963331544771	-3.43211192135475
