Variable	beta
log_POS_00206.1386460	0.368731204514722
log_POS_00117.9711160	1.90789602475292
log_POS_00575.2909560	3.78779907844585
log_POS_00173.0784060	0.786015467142197
sqrt_POS_00123.0427060	184003.073385966
log_POS_00254.1135260	4.7094124779311
log_POS_00766.3371860	5.52487226194724
sqrt_POS_00146.9612960	2.09672004281939
log_POS_00316.1141060	4.03837375738841
log_POS_00783.3637760	6.01438486879134
log_POS_00392.1854560	5.84064436140223
log_POS_00089.0596760	0.808473630542196
NEG_00205.9358240	1.45048349291221
log_POS_00271.5966760	5241.8423682061
log_POS_00257.1748060	2.42034456952095
log_POS_00416.8602660	1.70107672978071
sqrt_NEG_00155.0211340	1.5843207862021
log_POS_00542.1860060	32.5730187890404
log_POS_00529.2254760	7.50776209245423
log_POS_00178.0896160	6.60815764732196
log_POS_00332.1917660	2.05473175833062
log_NEG_00635.2795640	6.77927979348142
log_POS_00581.2801060	1.51556300193764
log_NEG_00134.8948340	1.92431566739469
log_POS_00083.0253060	0.829303170452228
log_NEG_00267.0722040	2.65267983249768
log_POS_00529.2366260	5.16584834861981
sqrt_NEG_00199.0109540	1.71158592535708
sqrt_POS_00334.9180860	1.72743834417102
log_POS_00096.0443960	1.493734847381
log_POS_00228.1206060	0.316879347996834
orig_POS_00144.0059360	155925.93847823
log_POS_00213.0482060	2.30471225940139
sqrt_NEG_00155.0210340	1.6676070234694
log_POS_00665.3292660	2739.96217792722
log_NEG_00211.0013140	1.44154525421135
log_NEG_00165.0768240	2.38589784504496
log_POS_00307.9825860	6.22925826739533
log_POS_00236.9386460	4.1079717152026
log_POS_00117.0545760	1.52902524220266
log_NEG_00687.2585940	5.9815984894319
log_POS_00325.9931960	6.38197257045178
log_POS_00199.0325760	2.75701059296063
log_POS_00156.0266860	1.2847981289435
log_POS_01087.5424360	3.7873426276236
sqrt_NEG_00164.9572640	1.48013259199348
log_POS_00333.1683660	139.2120023259
log_POS_00297.1697060	1.27532857329934
log_POS_00222.1124560	4.18745165874859
log_POS_00316.1967360	1.29235389794719
orig_POS_00181.9508160	1.1107916996878
log_POS_00345.1405360	3.65064278155614
log_POS_00508.2517760	5.73552085893161
log_POS_00138.0073160	4.78905016852874
orig_NEG_00160.0306540	1.48101812160924
sqrt_NEG_00196.9470740	1.42133613422224
log_POS_00615.3332360	1.37609654393753
log_POS_00820.2804060	3.58482953765827
log_POS_00120.0290660	0.753070767601244
log_POS_00147.0327660	0.573186545117472
log_POS_00289.9719260	3.89868585693113
log_POS_00410.6437760	3.23317901905562
sqrt_POS_00301.1858460	0.690734740884928
log_NEG_00175.0723140	3.00380759824349
log_NEG_00462.1842740	0.448364612152953
log_POS_00196.6182360	32.3566936416175
log_POS_00689.2738460	4.15011549724314
log_POS_00392.2292660	3892.15856254098
log_POS_00365.1057060	1.12401286926994
log_POS_00526.2623960	2.90563144440865
log_POS_00214.9545460	1.52592769407426
log_POS_00743.3680760	2.17572827103228
log_POS_00308.1704360	1.4433797301942
log_POS_00579.1059960	1.36476434499694
orig_NEG_00246.8637840	217905.517330491
sqrt_POS_00126.9206260	0.858533137529852
log_POS_00751.3739060	7.4608383962464
log_POS_00275.0073760	5.00330420496363
log_POS_00529.2365860	16.4642736678606
sqrt_NEG_00241.8921140	1.55618234314594
log_POS_00247.1176260	1.00199431711555
log_POS_00334.1861960	1.29621158014841
log_POS_00955.4523860	1.78078027903403
log_POS_00358.2437360	1.06879007515125
log_POS_00191.0662460	2.24990981919334
log_POS_00223.1176160	4.84393606747309
log_POS_00132.5889160	31.4692959327549
log_NEG_00238.9290940	1.56246230168646
log_NEG_00287.0088240	5291.3544880566
log_NEG_00200.0565240	2.60308490550612
log_POS_00101.0232660	2.66142949642166
log_POS_00227.2005060	1.14130357990665
log_POS_00169.0184260	5.91545044773634
log_NEG_00140.0118940	1137916.85742911
sqrt_POS_00796.6610660	1.76652647109634
log_POS_00265.1218760	7.26984956924623
POS_00196.0447760	3.08654962304223
log_POS_00299.0617960	2.08417918850232
log_POS_01329.6509260	31.5574292615864
log_NEG_00146.9659140	5.70361995368113
log_NEG_00216.9444940	6197.48436541488
sqrt_POS_00746.6935260	1.55834131526675
log_POS_00256.6086760	7.0600985420286
log_POS_00733.3192760	7.08471886065931
log_POS_00159.0400160	2.58192971727344
log_POS_00307.1243260	14.0604714803499
log_POS_00217.9871660	4531.84485478849
log_POS_00831.3999260	2.04615749768084
log_POS_00481.0512560	2.10917699511258
log_NEG_00540.3044340	4.23013627920701
log_NEG_00202.1084840	1.34674009393119
log_POS_00177.0506360	2.0536395477288
log_POS_00249.2060260	1.76154957957056
orig_NEG_00241.8922940	256588.532731742
log_NEG_00089.0244040	1.21927004863485
log_POS_00732.3163860	5.95645461623167
log_POS_00310.6249460	4.41020346241956
log_POS_00819.3484560	8.14059965241084
log_POS_00203.0316260	2.4466864457423
log_POS_00074.0200060	0.778667164361857
sqrt_NEG_00322.9420740	3.22464854753761
log_NEG_00171.0299440	1.4543542289699
log_POS_00145.0243560	1.9816476300693
log_POS_00637.2942360	6.35833368550879
log_POS_00342.6512160	4.13622974866542
log_POS_00264.1705860	31.8238434174857
log_POS_00479.0564560	1.86305071578573
sqrt_NEG_00320.9412940	5.87489048052423
log_POS_00468.2200860	11.005919698563
log_POS_00241.1434260	1.26739654433786
log_POS_00832.4161060	3.20397292812382
log_NEG_00117.0193140	2.94476008099939
log_POS_00372.1876360	2.30841301705457
log_POS_00568.2767560	7.46717944724704
log_POS_00732.3163260	8.57329329955537
log_POS_00226.9514360	2.45012395122634
log_POS_00494.1730260	1.70144746666022
sqrt_POS_00215.9345860	1.27698868454907
log_POS_00284.2068760	1.06217265377533
log_POS_00267.1438260	1.2590133482011
log_NEG_00156.8956640	4.73982418740856
log_POS_00178.0993160	2.11296313402203
log_POS_01223.6261260	7.42640832547931
log_POS_00779.4092260	0.492043530578527
sqrt_POS_00141.9585860	4.52930692760593
log_POS_00366.6618160	8.76804217515225
log_POS_00117.0545760.1	1.74392172867871
log_NEG_00184.9159740	2.50321055388821
log_NEG_00231.0279840	1.84381496032235
log_POS_00268.1473560	4.12983337623528
sqrt_NEG_00197.0316640	1.6942724941608
log_POS_00380.1930460	2.89081330391007
log_POS_00684.2951860	3.75124972868817
log_POS_00404.2492560	1.13367444274082
log_NEG_00117.0556840	4.50068440992624
log_POS_01280.6223660	3.25063244735575
log_POS_00146.0811560	3.15071198556488
log_NEG_00476.2155040	1.86486135934841
orig_NEG_00324.8410940	291316.154859196
NEG_00293.1761040	2.45952224476892
log_POS_00256.1283660	1.12917812757294
log_POS_00169.0331860	1.5308857202679
log_POS_00284.0573060	3.24891886721576
log_NEG_00071.0502240	4.44904659165348
log_POS_00175.0277460	0.716965943720152
log_POS_00478.2298160	1.88283718374643
log_NEG_00151.0400540	0.666575177344169
log_POS_00168.0767360	1.67144823855207
sqrt_NEG_00191.9948940	2.68202803314034
log_POS_00102.0185160	1.25492024979472
log_POS_00269.1377160	1.22096597325473
log_NEG_00204.1241840	0.320596840814449
log_POS_00105.0334160	1.31138833259317
POS_00178.9334860	3.10847497653027
log_POS_00384.1503460	2.91511246118088
log_POS_00089.0029760	1.41753872119996
orig_POS_00144.9820160	11.7028360673727
sqrt_POS_00163.9766560	3.33653074785062
log_POS_00453.2491860	4.06914706814821
log_POS_00355.1611360	2.52697793663131
log_POS_00233.9906560	5.0829373259497
log_NEG_00276.0052540	2.42988132710534
log_POS_00188.0592760	0.593884963106251
sqrt_NEG_00319.9425040	3.78296173519504
log_POS_00297.1545160	1.13504492907577
log_POS_00193.0383260	0.639693969906526
log_POS_00384.1515060	7074.43967585378
log_POS_00147.1015260	0.886133950567218
log_POS_00161.0960560	1.10405175226227
log_POS_00292.1026460	2.28618233798999
log_POS_00682.3772260	16.8962410223415
log_POS_00952.3499160	13.8854047706059
log_POS_00319.1728760	0.967631708167749
log_NEG_00213.0170240	3.21144922383932
log_POS_00907.4889260	9.99952375461369
log_NEG_00348.8958140	1.87711876512575
log_POS_00454.2481160	7.50643501034888
log_POS_00327.2280060	0.812350697793523
NEG_00154.8986640	2.11109342505147
log_POS_00137.0457160	2.4499766912216
log_POS_00267.1802360	1.09507138959352
log_NEG_00462.0924940	3.4220881776167
log_NEG_00149.0454640	1.38436581879338
log_POS_00281.0511360	1.69031674659036
log_NEG_00378.1043240	3.30333805164375
log_NEG_00267.9601240	33.743920401896
log_POS_00252.0290460	0.721125339437649
log_NEG_00448.1075440	1.58524810134154
log_POS_00358.2073360	1.06855384455009
log_POS_00334.1377460	3.16565785190453
log_POS_00635.2111960	2.88534601613447
log_POS_00150.0773760	5.96033829925636
log_POS_00332.6219160	3.19154693678711
log_POS_00147.0222260	2.16629771364904
log_POS_00217.1545560	2.38736995081085
log_NEG_00209.9491040	0.327029368132216
log_POS_00471.2239460	9.28096397946866
sqrt_NEG_00238.0053140	2.01305440201443
log_POS_00516.1857360	4.12197910996412
log_POS_00166.1073560	1.27156925800312
log_NEG_00343.1231040	6.27290132180772
log_POS_00341.6923060	16.0907254746201
log_POS_00171.9817060	1.49173288895912
log_NEG_00311.0498940	1.73380528877766
log_POS_00234.0184660	0.802582753828002
log_POS_00531.2298660	30.8993784449323
sqrt_POS_00081.9812560	2.15189866441051
log_POS_00185.1032860	2.0541286733048
orig_NEG_00236.9657540	9.68132097709798
log_POS_00421.2082560	2.85213476167287
log_NEG_00200.1292040	1.46851313742988
sqrt_NEG_00078.9189140	1.95735528663693
log_POS_00438.2347060	2.58431611014049
log_POS_00219.6210260	2.35799091265254
log_POS_00211.1077860	2.78805031195412
log_POS_00142.0263460	1.10112069114539
sqrt_NEG_00154.9284240	1.50512045482551
log_POS_00410.1779860	10.1073715802819
log_NEG_00146.9062140	1.76681503697838
log_POS_00565.2731460	3.42831341869489
log_POS_00239.1488060	0.952671997821386
log_POS_00289.0944560	3.65212822543532
sqrt_NEG_00241.7580940	1.84127817157277
NEG_00128.9595640	2.45760698190839
log_NEG_00218.0670840	1.5127175778472
log_POS_00307.1904460	1.96803319755059
log_POS_00806.3011560	5.46661764431879
sqrt_POS_01572.2507760	6.6894317994866
log_POS_00085.5280160	0.694782345099011
log_NEG_00570.2781040	2.54006554747238
log_POS_00437.2149560	17.6942814691738
log_POS_00731.7218560	1.88012140906751
log_POS_00559.2489860	2.10564334893101
log_POS_00113.0711660	1.07570109916511
log_POS_00577.1816860	3.55301802334949
log_POS_00490.2860860	0.792280367443892
log_POS_00682.2094660	4.21097577410187
log_POS_00175.9849260	1.45634104921996
log_NEG_00360.9982840	1.70982030658773
log_POS_00155.1066260	1.88433543559569
sqrt_POS_00205.0395960	1.57973193807509
log_POS_00169.0522360	1.67167898337981
log_POS_00241.0741960	1.67153121081983
log_POS_00168.0549560	1.67166263943962
log_POS_00081.0334860	2.37948632825686
log_POS_00133.0607060	1.92340089320679
log_POS_00104.0705360	1.33877022718376
log_POS_00323.2218960	0.772199606451694
log_POS_00235.1175960	1.69436000004544
sqrt_POS_00762.6673960	1.04909705874408
log_NEG_00228.0986940	3.67277938773774
log_POS_00180.0078760	0.899354659682004
log_POS_00420.8053460	529.939704590459
log_POS_00291.1802560	1.69752109078584
log_POS_00155.0814760	1.82510088703169
log_POS_00446.2597960	0.882562039630016
orig_NEG_00247.8583940	4.58020485610262
log_NEG_00279.0240440	2.06556716949034
log_POS_00565.3429760	1.06318587130695
log_POS_00340.1041960	3.10596969026691
NEG_00144.9599240	3.77112559984151
log_POS_01118.5592660	32.6796452332705
log_POS_00762.3822960	2.53838986269566
log_POS_00375.6744760	2.55268177436733
log_POS_00103.5385760	0.731287226338525
sqrt_NEG_00122.0247140	1.27552400406794
log_POS_00283.1750960	1.02301923666655
log_POS_00875.4627860	2.09308425301371
log_POS_00664.2366460	3.11230768687906
log_NEG_00261.0382640	2.12547442175071
log_NEG_00433.1705240	5.69235763051189
log_POS_00303.9481460	2.75616332376457
log_POS_00402.2335360	0.587108170897277
log_POS_00481.2041660	2.17402660550491
log_POS_00767.3688260	10154.41902052
sqrt_POS_00739.7054460	1.80044312372218
log_POS_01241.6275360	1.24559802323604
log_POS_00165.5283960	5.95626909824045
log_POS_00223.1539560	1.06630798288016
log_NEG_00277.8611840	4.68716864907495
log_POS_00169.0346560	1.72274810661162
log_POS_00224.0632360	1.5209563634491
sqrt_POS_00077.9986160	1.46397385215502
log_POS_00875.4627060	0.347058202122361
log_POS_01200.6416560	4.76327879486048
log_POS_00383.1676260	2.48906163838215
log_POS_00609.2629860	2.87885445940145
log_POS_00438.2348460	0.336368884748808
sqrt_NEG_00142.9752140	1.40422505976633
log_POS_00361.1978860	2.5873340464536
log_POS_00341.6085960	3.80053301525965
log_NEG_00128.0101540	1.50815427409673
log_POS_00822.3697660	9.47448288056772
log_NEG_00112.0152240	1.69156133733004
log_POS_00317.4540060	31.6808735341867
log_POS_00419.5257560	3.29888986132784
sqrt_NEG_00318.9416840	4.70831307379497
log_NEG_00185.0819040	2.64508218611973
log_POS_00291.5776860	7490.63040287145
log_NEG_00624.2743640	3.44234869723115
log_POS_00164.0916660	1.20620909757064
log_NEG_00197.0455640	1.08761152798378
log_POS_00280.0240360	1.09050844830429
log_POS_00085.0283360	2.40362063803086
log_POS_00177.0607460	1.41839808830817
log_POS_00241.1056960	3.28139511327882
log_POS_00104.0705060	1.10773748276468
log_POS_00566.7199660	17.0638187884002
orig_NEG_00192.9758340	5.48519238681385
log_POS_00200.0403460	3.27164291472215
log_POS_00521.1181860	1.94897453368677
log_POS_00207.0323260	1.67287054915113
NEG_00293.1761040.1	2.42547731500152
log_POS_00198.0849260	2.37025743728781
log_POS_00133.0858760	0.991505355562357
log_POS_00094.5332860	0.696586543431864
log_POS_00076.5218460	0.75928541272909
log_POS_00787.3347160	3.02339200095119
log_POS_00377.1420560	1.52969730325342
log_POS_00500.2118160	2.3703508564219
log_POS_00347.1831260	1.41656574284282
log_POS_00311.1703560	1.41567908244344
log_NEG_00225.9266340	0.357123908778933
log_NEG_00174.9561040	1.00955998571127
log_POS_00284.1604560	1.36817747667453
sqrt_NEG_00124.9242640	1.70323297912075
log_POS_00143.9866860	0.935069282342601
log_POS_00164.9718560	0.926741450729882
log_NEG_00277.9889740	33.8621580244196
log_POS_00626.2894460	1.94855853698836
log_POS_01273.6267560	2.89384691851821
log_POS_00241.8886360	1.28653758198227
log_POS_00119.9603660	0.953818788900993
log_NEG_00387.9850140	1.49271478909708
sqrt_NEG_00285.8410240	33.8934915918656
log_POS_00091.0389360	2.09657437668991
log_POS_00220.0028760	0.693246699586986
sqrt_POS_00140.9969760	2.94044550739637
log_POS_00749.3583860	3.16751530510033
log_NEG_00161.9135640	0.415480206660108
log_NEG_00158.0822640	2.47752264898159
log_POS_00572.2926860	3.70379073248815
log_POS_00387.9489760	32.4641780313457
log_POS_00535.2875160	3.1919112122536
log_POS_00403.6540960	5.70661518773659
log_POS_01143.5800860	3.58997232156767
sqrt_NEG_00241.8843840	3.47723836420224
log_POS_00274.0920560	2.86365781095446
log_NEG_00269.9066940	0.310321797891007
log_POS_00679.2011760	3.17886831590827
log_POS_00161.9973160	1.00779353320465
log_POS_00498.2307860	2.6103614170727
POS_00211.9404660	1.1679075810725
log_POS_00537.2668760	2.76995731135896
log_POS_00267.1801860	1.2436222328751
log_NEG_00213.9166840	0.399903726003284
log_POS_00286.6500860	3.27754728193654
log_POS_00530.2206960	19.5806372455137
sqrt_POS_00268.8909560	1.80081790261519
log_POS_00102.0549060	5.66591117333885
log_POS_00326.2075260	8.60772911921727
log_NEG_00223.9734240	9180.65822932893
log_POS_00897.3701860	5.0622657643754
log_NEG_00250.0723640	1.14881597461822
log_POS_00606.7785660	2.78214447174921
log_POS_01281.6223660	2.71784733383845
sqrt_NEG_00273.0314840	1.20526270074999
log_NEG_00347.0312840	1.57338913036199
log_NEG_00118.0509840	2.54605843160693
log_POS_00498.2308060	2.39002592331915
log_NEG_00168.9811440	1.59850508639983
log_POS_00261.1444160	4.25983505465853
log_POS_00305.1351360	2.52389499930399
log_POS_00400.8854660	3.70452532098509
log_POS_00452.2558560	9.91009678478208
sqrt_NEG_00323.0783040	134548.928360033
log_POS_00086.0963360	7360.66719437009
log_POS_00258.5918460	4.53666916295107
