Variable	beta
log_NEG_00259.1300340	2.29235085554655
log_POS_00281.0715060	1.77107239956169
log_POS_00297.1911660	1.51407967134192
sqrt_NEG_00332.9219440	1.2847909402866
log_POS_00504.3201460	2.16752469648437
log_NEG_00099.0451940	1.45591002080647
POS_00291.1438260	2.01067007082017
log_POS_00313.0359760	2.49312489475349
log_NEG_00656.8846440	1.89442572465235
sqrt_NEG_00454.9272140	2.69614223469885
log_NEG_00246.9942640	1.82432515920389
log_NEG_01398.7380540	2.38602944402363
log_NEG_00484.8708040	1.39437570229022
POS_00490.3224060	2.77211406590702
log_POS_00339.1704860	1.86148091421851
log_POS_00357.2359160	1.42865115348414
log_NEG_00385.9387740	1.55463739928488
POS_00372.2413660	2.21670196353697
POS_00237.1332260	2.11592693420765
POS_00385.2375260	2.62468252025523
POS_00248.0673260	2.50727679295629
log_NEG_00294.0296940	1.34287716453637
log_POS_00161.0519260	1.87272825236708
log_POS_00359.7135860	1.46969480340961
log_POS_00155.0427060	2.26820174288339
log_POS_00428.2856660	5.97234598472261
NEG_00299.0975040	1.5190265790535
log_POS_00365.0926560	1.6565187763687
log_POS_00263.0609960	1.95285551255121
log_NEG_00232.0262340	1.74492041595461
log_NEG_00740.8458940	2.70436423477608
log_POS_00132.0341260	1.88721291996612
log_NEG_00245.1142640	1.99843971236345
NEG_00724.8721040	3.11199836575398
log_NEG_00199.0529740	32.5900334278744
log_NEG_00342.9875440	2.68091986223055
log_POS_00516.3379660	5.91620685430588
log_POS_00143.0188260	1.69642592475235
log_POS_00151.0753160	2.42488283329318
log_POS_00381.2305260	32.598990317995
log_NEG_00199.9693040	11.1473643988005
log_POS_00321.1521660	1.98583637865104
POS_00182.0338560	2.68003127417294
log_NEG_00131.0462440	2.61301018846932
log_NEG_00344.1023040	2.25790051820994
NEG_00089.0244840	1.69894695248524
log_POS_00890.5724960	1.10043414367173
log_POS_00161.0293960	1.85188207793023
log_POS_00563.1665060	1.92346754207817
orig_POS_00311.1884760	4.52512014830774
log_POS_00201.0604960	2.44640988503373
log_POS_00131.0702360	3.6695453201587
log_NEG_00125.0244740	2.01034757745861
log_POS_00445.2739160	2.6771686214785
log_NEG_00756.8198040	2.50296367751783
log_NEG_00287.9265140	8.10935677056488
log_NEG_00657.8880540	2.24259574599406
orig_POS_00293.1779360	3.56806209794297
log_POS_00165.0909660	2.94363798848506
log_POS_00163.1328660	2.09976300504524
log_POS_00153.0393660	2.66518005715577
POS_00189.0757360	1.70601301848553
POS_00259.1328260	3.01498187532631
log_POS_00553.3016560	4.61284276031925
log_POS_00718.4200260	1.58027961004376
log_POS_00421.2230460	3.04021587462722
NEG_00203.0205340	3.51904507878377
NEG_00127.0513640	2.04335861394481
log_POS_00166.5449660	1.34392930733503
